year_iranian,year_western,area,sex,occupation,value,unit,source,country_iso3
1386,2007-2008,total,Male,Laborers,2852278,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Male,Other or Not Declared,486350,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Total,3862488,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,"Legislators, Senior Officials and Managers",78930,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Professionals,722957,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Technicians and Associate Professionals,166131,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Clerical and Administrative Workers,244448,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Service Workers and Shop and Market Sales Workers,288674,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",1078115,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Crafts and Related Trades Workers,972779,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,"Machinery Operators, Assemblers and Drivers",24871,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Laborers,280988,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,total,Female,Other or Not Declared,4593,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Total,13847364,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,"Legislators, Senior Officials and Managers",542757,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Professionals,1515870,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Technicians and Associate Professionals,865410,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Clerical and Administrative Workers,933361,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Service Workers and Shop and Market Sales Workers,2300200,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",646378,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Crafts and Related Trades Workers,3054379,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,"Machinery Operators, Assemblers and Drivers",1804896,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Laborers,1758650,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Both,Other or Not Declared,425457,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Total,11801130,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,"Legislators, Senior Officials and Managers",470126,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Professionals,839724,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Technicians and Associate Professionals,719834,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Clerical and Administrative Workers,701775,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Service Workers and Shop and Market Sales Workers,2072741,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",572709,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Crafts and Related Trades Workers,2552269,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,"Machinery Operators, Assemblers and Drivers",1784522,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Laborers,1666113,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Male,Other or Not Declared,421313,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Total,2046234,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,"Legislators, Senior Officials and Managers",72631,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Professionals,676146,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Technicians and Associate Professionals,145576,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Clerical and Administrative Workers,231585,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Service Workers and Shop and Market Sales Workers,227459,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",73669,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Crafts and Related Trades Workers,502110,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,"Machinery Operators, Assemblers and Drivers",20374,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Laborers,92537,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,urban,Female,Other or Not Declared,4143,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Total,7245112,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,"Legislators, Senior Officials and Managers",50375,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Professionals,140878,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Technicians and Associate Professionals,112463,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Clerical and Administrative Workers,75675,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Service Workers and Shop and Market Sales Workers,388829,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",3349025,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Crafts and Related Trades Workers,1110188,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,"Machinery Operators, Assemblers and Drivers",577574,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Laborers,1374615,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Both,Other or Not Declared,65486,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Total,5428858,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,"Legislators, Senior Officials and Managers",44076,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Professionals,94067,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Technicians and Associate Professionals,91908,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Clerical and Administrative Workers,62812,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Service Workers and Shop and Market Sales Workers,327613,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",2344579,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Crafts and Related Trades Workers,639519,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,"Machinery Operators, Assemblers and Drivers",573077,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Laborers,1186165,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Male,Other or Not Declared,65036,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Total,1816254,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,"Legislators, Senior Officials and Managers",6298,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Professionals,46810,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Technicians and Associate Professionals,20554,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Clerical and Administrative Workers,12862,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Service Workers and Shop and Market Sales Workers,61215,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",1004445,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Crafts and Related Trades Workers,470668,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,"Machinery Operators, Assemblers and Drivers",4497,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Laborers,188450,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1386,2007-2008,rural,Female,Other or Not Declared,449,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Total,20500310,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,"Legislators, Senior Officials and Managers",497167,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Professionals,1591664,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Technicians and Associate Professionals,993665,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Clerical and Administrative Workers,973882,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Service Workers and Shop and Market Sales Workers,2624991,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",3653772,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Crafts and Related Trades Workers,3948171,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,"Machinery Operators, Assemblers and Drivers",2474686,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Laborers,3218526,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Both,Other or Not Declared,523783,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Total,17118965,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,"Legislators, Senior Officials and Managers",431408,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Professionals,900301,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Technicians and Associate Professionals,822966,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Clerical and Administrative Workers,725045,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Service Workers and Shop and Market Sales Workers,2355593,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",2760544,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Crafts and Related Trades Workers,3156846,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,"Machinery Operators, Assemblers and Drivers",2442902,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Laborers,3007605,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Male,Other or Not Declared,515751,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Total,3381344,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,"Legislators, Senior Officials and Managers",65758,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Professionals,691362,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Technicians and Associate Professionals,170698,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Clerical and Administrative Workers,248836,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Service Workers and Shop and Market Sales Workers,269397,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",893228,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Crafts and Related Trades Workers,791324,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,"Machinery Operators, Assemblers and Drivers",31784,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Laborers,210921,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,total,Female,Other or Not Declared,8031,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Total,13734433,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,"Legislators, Senior Officials and Managers",451866,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Professionals,1455262,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Technicians and Associate Professionals,885178,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Clerical and Administrative Workers,895428,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Service Workers and Shop and Market Sales Workers,2257651,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",627175,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Crafts and Related Trades Workers,2981869,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,"Machinery Operators, Assemblers and Drivers",1897968,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Laborers,1839090,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Both,Other or Not Declared,442944,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Total,11827229,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,"Legislators, Senior Officials and Managers",389001,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Professionals,809123,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Technicians and Associate Professionals,736838,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Clerical and Administrative Workers,659695,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Service Workers and Shop and Market Sales Workers,2038210,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",571803,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Crafts and Related Trades Workers,2550360,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,"Machinery Operators, Assemblers and Drivers",1872125,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Laborers,1762712,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Male,Other or Not Declared,437359,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Total,1907203,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,"Legislators, Senior Officials and Managers",62764,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Professionals,646139,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Technicians and Associate Professionals,148340,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Clerical and Administrative Workers,235733,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Service Workers and Shop and Market Sales Workers,219440,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",55371,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Crafts and Related Trades Workers,431508,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,"Machinery Operators, Assemblers and Drivers",25843,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Laborers,76377,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1387,2008-2009,urban,Female,Other or Not Declared,5584,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
