year,province,area,metric,value,source,country_iso3
2006,Fars,urban,divorces,4687,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Fars,rural,marriages,12335,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Fars,rural,divorces,1015,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qazvin,total,marriages,12578,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qazvin,total,divorces,1201,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qazvin,urban,marriages,9044,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qazvin,urban,divorces,928,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qazvin,rural,marriages,3534,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qazvin,rural,divorces,273,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qom,total,marriages,12105,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qom,total,divorces,1778,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qom,urban,marriages,12105,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qom,urban,divorces,1778,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qom,rural,marriages,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Qom,rural,divorces,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kordestan,total,marriages,17734,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kordestan,total,divorces,2560,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kordestan,urban,marriages,10393,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kordestan,urban,divorces,1855,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kordestan,rural,marriages,7341,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kordestan,rural,divorces,705,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kerman,total,marriages,30643,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kerman,total,divorces,2708,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kerman,urban,marriages,24700,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kerman,urban,divorces,2477,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kerman,rural,marriages,5943,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kerman,rural,divorces,231,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kermanshah,total,marriages,21892,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kermanshah,total,divorces,3453,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kermanshah,urban,marriages,17160,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kermanshah,urban,divorces,2930,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kermanshah,rural,marriages,4732,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kermanshah,rural,divorces,523,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kohgiluyeh & Boyerahmad,total,marriages,7024,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kohgiluyeh & Boyerahmad,total,divorces,539,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kohgiluyeh & Boyerahmad,urban,marriages,3051,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kohgiluyeh & Boyerahmad,urban,divorces,312,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kohgiluyeh & Boyerahmad,rural,marriages,3973,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Kohgiluyeh & Boyerahmad,rural,divorces,227,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Golestan,total,marriages,21128,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Golestan,total,divorces,1499,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Golestan,urban,marriages,9649,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Golestan,urban,divorces,1032,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Golestan,rural,marriages,11479,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Golestan,rural,divorces,467,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Gilan,total,marriages,27709,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Gilan,total,divorces,3166,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Gilan,urban,marriages,16198,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Gilan,urban,divorces,1971,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Gilan,rural,marriages,11511,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Gilan,rural,divorces,1195,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Lorestan,total,marriages,20558,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Lorestan,total,divorces,1898,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Lorestan,urban,marriages,12375,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Lorestan,urban,divorces,1423,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Lorestan,rural,marriages,8183,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Lorestan,rural,divorces,475,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Mazandaran,total,marriages,34440,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Mazandaran,total,divorces,4123,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Mazandaran,urban,marriages,25523,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Mazandaran,urban,divorces,3632,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Mazandaran,rural,marriages,8917,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Mazandaran,rural,divorces,491,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Markazi,total,marriages,14535,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Markazi,total,divorces,1895,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Markazi,urban,marriages,9951,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Markazi,urban,divorces,1454,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Markazi,rural,marriages,4584,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Markazi,rural,divorces,441,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hormozgan,total,marriages,15262,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hormozgan,total,divorces,1379,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hormozgan,urban,marriages,6597,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hormozgan,urban,divorces,856,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hormozgan,rural,marriages,8665,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hormozgan,rural,divorces,523,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hamedan,total,marriages,21535,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hamedan,total,divorces,2419,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hamedan,urban,marriages,14248,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hamedan,urban,divorces,1924,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hamedan,rural,marriages,7287,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Hamedan,rural,divorces,495,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Yazd,total,marriages,11443,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Yazd,total,divorces,569,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Yazd,urban,marriages,10267,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Yazd,urban,divorces,569,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Yazd,rural,marriages,1176,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Yazd,rural,divorces,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
