year,area,metric,value,unit,source,country_iso3
1970,urban,recreation_share,1.7,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,recreation_share,0.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,recreation_share,2.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,recreation_share,1.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,gifts_and_donations_share,3.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,gifts_and_donations_share,1.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,gifts_and_donations_share,4.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,gifts_and_donations_share,1.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,gifts_and_donations_share,2.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,gifts_and_donations_share,1.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,gifts_and_donations_share,1.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,gifts_and_donations_share,2.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,gifts_and_donations_share,1.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,gifts_and_donations_share,1.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,gifts_and_donations_share,1.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,gifts_and_donations_share,1.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,gifts_and_donations_share,1.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,gifts_and_donations_share,2.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,other_share,2.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,other_share,0.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,other_share,2.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,other_share,0.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,other_share,1.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,other_share,0.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,other_share,0.7,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,other_share,0.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,other_share,0.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,other_share,0.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,other_share,0.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,other_share,0.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,other_share,0.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,other_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
