table,province,area,year,metric,value,unit,source,country_iso3
Table 9 - Population & Growth by Province,Kurdistan,total,2011,population,1493645,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kurdistan,total,2011,average_annual_growth_rate_2006_2011,0.73,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kerman,total,2006,population,2652413,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kerman,total,2011,population,2938988,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kerman,total,2011,average_annual_growth_rate_2006_2011,2.07,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kermanshah,total,2006,population,1879385,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kermanshah,total,2011,population,1945227,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kermanshah,total,2011,average_annual_growth_rate_2006_2011,0.69,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kohgilooyeh and Booyerahmad,total,2006,population,634299,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kohgilooyeh and Booyerahmad,total,2011,population,658629,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kohgilooyeh and Booyerahmad,total,2011,average_annual_growth_rate_2006_2011,0.76,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Golestan,total,2006,population,1617087,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Golestan,total,2011,population,1777014,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Golestan,total,2011,average_annual_growth_rate_2006_2011,1.9,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Gillan,total,2006,population,2404861,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Gillan,total,2011,population,2480874,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Gillan,total,2011,average_annual_growth_rate_2006_2011,0.62,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Lorestan,total,2006,population,1716527,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Lorestan,total,2011,population,1754243,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Lorestan,total,2011,average_annual_growth_rate_2006_2011,0.44,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Mazandaran,total,2006,population,2922432,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Mazandaran,total,2011,population,3073943,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Mazandaran,total,2011,average_annual_growth_rate_2006_2011,1.02,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Markazi,total,2006,population,1351257,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Markazi,total,2011,population,1413959,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Markazi,total,2011,average_annual_growth_rate_2006_2011,0.91,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Hormozgan,total,2006,population,1403674,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Hormozgan,total,2011,population,1578183,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Hormozgan,total,2011,average_annual_growth_rate_2006_2011,2.37,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Hamedan,total,2006,population,1703267,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Hamedan,total,2011,population,1758268,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Hamedan,total,2011,average_annual_growth_rate_2006_2011,0.64,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Yazd,total,2006,population,990818,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Yazd,total,2011,population,1074428,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Yazd,total,2011,average_annual_growth_rate_2006_2011,1.63,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Eastern Azerbaijan,total,2011,land_area,45650.5,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Eastern Azerbaijan,total,2006,population_density,79,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Eastern Azerbaijan,total,2011,population_density,82,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Western Azerbaijan,total,2011,land_area,37411.4,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Western Azerbaijan,total,2006,population_density,77,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Western Azerbaijan,total,2011,population_density,82,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ardebil,total,2011,land_area,17800.0,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ardebil,total,2006,population_density,69,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ardebil,total,2011,population_density,70,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Esfahan,total,2011,land_area,107017.6,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Esfahan,total,2006,population_density,42,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Esfahan,total,2011,population_density,46,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Alborz,total,2011,land_area,5121.7,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Alborz,total,2006,population_density,406,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Alborz,total,2011,population_density,471,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ilam,total,2011,land_area,20132.8,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ilam,total,2006,population_density,27,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ilam,total,2011,population_density,28,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Booshehr,total,2011,land_area,22742.7,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Booshehr,total,2006,population_density,39,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Booshehr,total,2011,population_density,45,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Tehran,total,2011,land_area,13692.4,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Tehran,total,2006,population_density,829,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Tehran,total,2011,population_density,890,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Chaharmahal and Bakhtiari,total,2011,land_area,16328.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Chaharmahal and Bakhtiari,total,2006,population_density,52,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Chaharmahal and Bakhtiari,total,2011,population_density,55,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,South Khorassan,total,2011,land_area,95385.0,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,South Khorassan,total,2006,population_density,7,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,South Khorassan,total,2011,population_density,7,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Razavi Khorassan,total,2011,land_area,118851.4,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Razavi Khorassan,total,2006,population_density,44,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Razavi Khorassan,total,2011,population_density,50,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,North Khorassan,total,2011,land_area,28434.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,North Khorassan,total,2006,population_density,29,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,North Khorassan,total,2011,population_density,31,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Khoozestan,total,2011,land_area,64055.0,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Khoozestan,total,2006,population_density,67,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Khoozestan,total,2011,population_density,71,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Zanjan,total,2011,land_area,21773.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Zanjan,total,2006,population_density,44,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Zanjan,total,2011,population_density,47,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Semnan,total,2011,land_area,97490.8,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Semnan,total,2006,population_density,6,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Semnan,total,2011,population_density,6,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Sistan and Baloochestan,total,2011,land_area,181785.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Sistan and Baloochestan,total,2006,population_density,13,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Sistan and Baloochestan,total,2011,population_density,14,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Fars,total,2011,land_area,122607.9,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Fars,total,2006,population_density,35,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Fars,total,2011,population_density,37,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ghazvin,total,2011,land_area,15567.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ghazvin,total,2006,population_density,74,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ghazvin,total,2011,population_density,77,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ghom,total,2011,land_area,11526.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ghom,total,2006,population_density,90,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Ghom,total,2011,population_density,100,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kurdistan,total,2011,land_area,29136.5,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kurdistan,total,2006,population_density,49,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kurdistan,total,2011,population_density,51,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kerman,total,2011,land_area,180725.6,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kerman,total,2006,population_density,15,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kerman,total,2011,population_density,16,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kermanshah,total,2011,land_area,25009.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kermanshah,total,2006,population_density,75,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kermanshah,total,2011,population_density,78,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kohgilooyeh and Booyerahmad,total,2011,land_area,15504.1,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kohgilooyeh and Booyerahmad,total,2006,population_density,41,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Kohgilooyeh and Booyerahmad,total,2011,population_density,42,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Golestan,total,2011,land_area,20367.1,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Golestan,total,2006,population_density,80,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Golestan,total,2011,population_density,87,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Gillan,total,2011,land_area,14041.9,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Gillan,total,2006,population_density,171,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Gillan,total,2011,population_density,177,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Lorestan,total,2011,land_area,28294.0,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Lorestan,total,2006,population_density,61,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Lorestan,total,2011,population_density,62,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Mazandaran,total,2011,land_area,23841.6,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Mazandaran,total,2006,population_density,123,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Mazandaran,total,2011,population_density,129,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Markazi,total,2011,land_area,29126.6,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Markazi,total,2006,population_density,46,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Markazi,total,2011,population_density,49,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Hormozgan,total,2011,land_area,70697.3,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Hormozgan,total,2006,population_density,20,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Hormozgan,total,2011,population_density,22,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Hamedan,total,2011,land_area,19367.9,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Hamedan,total,2006,population_density,88,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Hamedan,total,2011,population_density,91,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Yazd,total,2011,land_area,129284.9,km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Yazd,total,2006,population_density,8,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 13 - Population Density by Province,Yazd,total,2011,population_density,8,persons_per_km2,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Eastern Azerbaijan,total,2006,sex_ratio_males_per_100_females,104,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Eastern Azerbaijan,total,2011,sex_ratio_males_per_100_females,102,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Western Azerbaijan,total,2006,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Western Azerbaijan,total,2011,sex_ratio_males_per_100_females,102,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Ardebil,total,2006,sex_ratio_males_per_100_females,101,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Ardebil,total,2011,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Esfahan,total,2006,sex_ratio_males_per_100_females,105,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Esfahan,total,2011,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Alborz,total,2006,sex_ratio_males_per_100_females,106,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Alborz,total,2011,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Ilam,total,2006,sex_ratio_males_per_100_females,104,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Ilam,total,2011,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Booshehr,total,2006,sex_ratio_males_per_100_females,112,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Booshehr,total,2011,sex_ratio_males_per_100_females,119,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Tehran,total,2006,sex_ratio_males_per_100_females,106,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Tehran,total,2011,sex_ratio_males_per_100_females,102,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Chaharmahal and Bakhtiari,total,2006,sex_ratio_males_per_100_females,101,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Chaharmahal and Bakhtiari,total,2011,sex_ratio_males_per_100_females,102,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,South Khorassan,total,2006,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,South Khorassan,total,2011,sex_ratio_males_per_100_females,101,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Razavi Khorassan,total,2006,sex_ratio_males_per_100_females,101,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Razavi Khorassan,total,2011,sex_ratio_males_per_100_females,100,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,North Khorassan,total,2006,sex_ratio_males_per_100_females,98,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,North Khorassan,total,2011,sex_ratio_males_per_100_females,99,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Khoozestan,total,2006,sex_ratio_males_per_100_females,105,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Khoozestan,total,2011,sex_ratio_males_per_100_females,102,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Zanjan,total,2006,sex_ratio_males_per_100_females,100,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Zanjan,total,2011,sex_ratio_males_per_100_females,101,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Semnan,total,2006,sex_ratio_males_per_100_females,105,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Semnan,total,2011,sex_ratio_males_per_100_females,102,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Sistan and Baloochestan,total,2006,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Sistan and Baloochestan,total,2011,sex_ratio_males_per_100_females,100,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Fars,total,2006,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Fars,total,2011,sex_ratio_males_per_100_females,102,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Ghazvin,total,2006,sex_ratio_males_per_100_females,104,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Ghazvin,total,2011,sex_ratio_males_per_100_females,103,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 14 - Sex Ratio by Province,Ghom,total,2006,sex_ratio_males_per_100_females,105,ratio,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
