province_or_governorate,year,population_thousands,value_type,notes,source,country_iso3
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1969,382,intercensal_estimate,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1970,394,intercensal_estimate,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1971,405,intercensal_estimate,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1972,418,intercensal_estimate,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1956,2008,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1966,2521,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1967,2579,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1968,2657,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1969,2700,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1970,2760,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1971,2825,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khorasan Province,1972,2889,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1956,1514,census,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1966,1444,census,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1967,1481,intercensal_estimate,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1968,1518,intercensal_estimate,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1969,1556,intercensal_estimate,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1970,1595,intercensal_estimate,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1971,1654,intercensal_estimate,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Esfahan Province,1972,1676,intercensal_estimate,1956 figure appears bracketed jointly with Yazd Province row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1956,1514,census,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1966,261,census,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1967,285,intercensal_estimate,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1968,289,intercensal_estimate,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1969,295,intercensal_estimate,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1970,297,intercensal_estimate,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1971,301,intercensal_estimate,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Yazd Province,1972,306,intercensal_estimate,See row 20 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Chaharmahal and Bakhtiyari Province,1966,301,census,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Chaharmahal and Bakhtiyari Province,1967,309,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Chaharmahal and Bakhtiyari Province,1968,317,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Chaharmahal and Bakhtiyari Province,1969,326,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Chaharmahal and Bakhtiyari Province,1970,334,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Chaharmahal and Bakhtiyari Province,1971,343,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Chaharmahal and Bakhtiyari Province,1972,351,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1956,555,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1966,620,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1967,634,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1968,648,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1969,664,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1970,679,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1971,694,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kurdestan Province,1972,710,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1956,428,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1966,503,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1967,511,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1968,519,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1969,527,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1970,535,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1971,544,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Sistan and Baluchestan Province,1972,553,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
