year_iranian,year_western,population_group,occupation_category,persons_employed
1387,2008-2009,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,49957
1387,2008-2009,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,837857
1387,2008-2009,"Rural Areas, Females",Crafts and Related Trades Workers,359815
1387,2008-2009,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,5941
1387,2008-2009,"Rural Areas, Females",Laborers,134543
1387,2008-2009,"Rural Areas, Females",Other or Not Declared,2447
1388,2009-2010,"Country, Both Genders",Total,21000704
1388,2009-2010,"Country, Both Genders",Legislators/Senior Officials/Managers,511513
1388,2009-2010,"Country, Both Genders",Professionals,1661355
1388,2009-2010,"Country, Both Genders",Technicians and Associate Professionals,1044794
1388,2009-2010,"Country, Both Genders",Clerical and Administrative Workers,1083708
1388,2009-2010,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2835984
1388,2009-2010,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3741107
1388,2009-2010,"Country, Both Genders",Crafts and Related Trades Workers,3989891
1388,2009-2010,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2480257
1388,2009-2010,"Country, Both Genders",Laborers,3138010
1388,2009-2010,"Country, Both Genders",Other or Not Declared,514080
1388,2009-2010,"Country, Males",Total,17334085
1388,2009-2010,"Country, Males",Legislators/Senior Officials/Managers,451148
1388,2009-2010,"Country, Males",Professionals,931672
1388,2009-2010,"Country, Males",Technicians and Associate Professionals,843615
1388,2009-2010,"Country, Males",Clerical and Administrative Workers,811581
1388,2009-2010,"Country, Males",Service Workers and Shop/Market Sales Workers,2482287
1388,2009-2010,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2739453
1388,2009-2010,"Country, Males",Crafts and Related Trades Workers,3177148
1388,2009-2010,"Country, Males",Machinery Operators/Assemblers/Drivers,2450560
1388,2009-2010,"Country, Males",Laborers,2938632
1388,2009-2010,"Country, Males",Other or Not Declared,507986
1388,2009-2010,"Country, Females",Total,3666619
1388,2009-2010,"Country, Females",Legislators/Senior Officials/Managers,60365
1388,2009-2010,"Country, Females",Professionals,729682
1388,2009-2010,"Country, Females",Technicians and Associate Professionals,201178
1388,2009-2010,"Country, Females",Clerical and Administrative Workers,272127
1388,2009-2010,"Country, Females",Service Workers and Shop/Market Sales Workers,353697
1388,2009-2010,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,1001654
1388,2009-2010,"Country, Females",Crafts and Related Trades Workers,812743
1388,2009-2010,"Country, Females",Machinery Operators/Assemblers/Drivers,29697
1388,2009-2010,"Country, Females",Laborers,199378
1388,2009-2010,"Country, Females",Other or Not Declared,6094
1388,2009-2010,"Urban Areas, Both Genders",Total,14320076
1388,2009-2010,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,474167
1388,2009-2010,"Urban Areas, Both Genders",Professionals,1542690
1388,2009-2010,"Urban Areas, Both Genders",Technicians and Associate Professionals,936703
1388,2009-2010,"Urban Areas, Both Genders",Clerical and Administrative Workers,1012733
1388,2009-2010,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2473875
1388,2009-2010,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,615733
1388,2009-2010,"Urban Areas, Both Genders",Crafts and Related Trades Workers,3076038
1388,2009-2010,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,1882953
1388,2009-2010,"Urban Areas, Both Genders",Laborers,1845726
1388,2009-2010,"Urban Areas, Both Genders",Other or Not Declared,459455
1388,2009-2010,"Urban Areas, Males",Total,12127090
1388,2009-2010,"Urban Areas, Males",Legislators/Senior Officials/Managers,418123
1388,2009-2010,"Urban Areas, Males",Professionals,851047
1388,2009-2010,"Urban Areas, Males",Technicians and Associate Professionals,759396
1388,2009-2010,"Urban Areas, Males",Clerical and Administrative Workers,752143
1388,2009-2010,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2181145
1388,2009-2010,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,530504
1388,2009-2010,"Urban Areas, Males",Crafts and Related Trades Workers,2562675
1388,2009-2010,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1856380
1388,2009-2010,"Urban Areas, Males",Laborers,1761855
1388,2009-2010,"Urban Areas, Males",Other or Not Declared,453817
1388,2009-2010,"Urban Areas, Females",Total,2192986
1388,2009-2010,"Urban Areas, Females",Legislators/Senior Officials/Managers,56044
1388,2009-2010,"Urban Areas, Females",Professionals,691642
1388,2009-2010,"Urban Areas, Females",Technicians and Associate Professionals,177307
1388,2009-2010,"Urban Areas, Females",Clerical and Administrative Workers,260589
1388,2009-2010,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,292730
1388,2009-2010,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,85228
1388,2009-2010,"Urban Areas, Females",Crafts and Related Trades Workers,513362
1388,2009-2010,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,26572
1388,2009-2010,"Urban Areas, Females",Laborers,83870
1388,2009-2010,"Urban Areas, Females",Other or Not Declared,5637
1388,2009-2010,"Rural Areas, Both Genders",Total,6680628
1388,2009-2010,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,37346
1388,2009-2010,"Rural Areas, Both Genders",Professionals,118664
1388,2009-2010,"Rural Areas, Both Genders",Technicians and Associate Professionals,108091
1388,2009-2010,"Rural Areas, Both Genders",Clerical and Administrative Workers,70975
1388,2009-2010,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,362108
1388,2009-2010,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3125374
1388,2009-2010,"Rural Areas, Both Genders",Crafts and Related Trades Workers,913853
1388,2009-2010,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,597304
1388,2009-2010,"Rural Areas, Both Genders",Laborers,1292284
1388,2009-2010,"Rural Areas, Both Genders",Other or Not Declared,54625
1388,2009-2010,"Rural Areas, Males",Total,5206995
1388,2009-2010,"Rural Areas, Males",Legislators/Senior Officials/Managers,33025
1388,2009-2010,"Rural Areas, Males",Professionals,80625
1388,2009-2010,"Rural Areas, Males",Technicians and Associate Professionals,84219
1388,2009-2010,"Rural Areas, Males",Clerical and Administrative Workers,59437
1388,2009-2010,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,301141
1388,2009-2010,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,2208948
1388,2009-2010,"Rural Areas, Males",Crafts and Related Trades Workers,614472
1388,2009-2010,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,594179
1388,2009-2010,"Rural Areas, Males",Laborers,1176776
1388,2009-2010,"Rural Areas, Males",Other or Not Declared,54168
1388,2009-2010,"Rural Areas, Females",Total,1473632
1388,2009-2010,"Rural Areas, Females",Legislators/Senior Officials/Managers,4321
1388,2009-2010,"Rural Areas, Females",Professionals,38039
1388,2009-2010,"Rural Areas, Females",Technicians and Associate Professionals,23871
1388,2009-2010,"Rural Areas, Females",Clerical and Administrative Workers,11537
1388,2009-2010,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,60966
1388,2009-2010,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,916426
1388,2009-2010,"Rural Areas, Females",Crafts and Related Trades Workers,299381
1388,2009-2010,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,3124
1388,2009-2010,"Rural Areas, Females",Laborers,115507
1388,2009-2010,"Rural Areas, Females",Other or Not Declared,456
1389,2010-2011,"Country, Both Genders",Total,20656693
1389,2010-2011,"Country, Both Genders",Legislators/Senior Officials/Managers,497978
1389,2010-2011,"Country, Both Genders",Professionals,1725493
1389,2010-2011,"Country, Both Genders",Technicians and Associate Professionals,1079858
1389,2010-2011,"Country, Both Genders",Clerical and Administrative Workers,936988
1389,2010-2011,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2808890
1389,2010-2011,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3298028
1389,2010-2011,"Country, Both Genders",Crafts and Related Trades Workers,3863245
1389,2010-2011,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2572860
1389,2010-2011,"Country, Both Genders",Laborers,3389901
1389,2010-2011,"Country, Both Genders",Other or Not Declared,483448
1389,2010-2011,"Country, Males",Total,17199685
1389,2010-2011,"Country, Males",Legislators/Senior Officials/Managers,425243
1389,2010-2011,"Country, Males",Professionals,955306
1389,2010-2011,"Country, Males",Technicians and Associate Professionals,861968
1389,2010-2011,"Country, Males",Clerical and Administrative Workers,687481
1389,2010-2011,"Country, Males",Service Workers and Shop/Market Sales Workers,2453215
1389,2010-2011,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2481899
1389,2010-2011,"Country, Males",Crafts and Related Trades Workers,3180143
1389,2010-2011,"Country, Males",Machinery Operators/Assemblers/Drivers,2538458
1389,2010-2011,"Country, Males",Laborers,3141325
1389,2010-2011,"Country, Males",Other or Not Declared,474642
1389,2010-2011,"Country, Females",Total,3457008
1389,2010-2011,"Country, Females",Legislators/Senior Officials/Managers,72734
1389,2010-2011,"Country, Females",Professionals,770186
1389,2010-2011,"Country, Females",Technicians and Associate Professionals,217890
1389,2010-2011,"Country, Females",Clerical and Administrative Workers,249506
1389,2010-2011,"Country, Females",Service Workers and Shop/Market Sales Workers,355675
1389,2010-2011,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,816129
1389,2010-2011,"Country, Females",Crafts and Related Trades Workers,683101
1389,2010-2011,"Country, Females",Machinery Operators/Assemblers/Drivers,34401
1389,2010-2011,"Country, Females",Laborers,248576
1389,2010-2011,"Country, Females",Other or Not Declared,8806
1389,2010-2011,"Urban Areas, Both Genders",Total,14291431
1389,2010-2011,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,459826
1389,2010-2011,"Urban Areas, Both Genders",Professionals,1606648
1389,2010-2011,"Urban Areas, Both Genders",Technicians and Associate Professionals,975047
1389,2010-2011,"Urban Areas, Both Genders",Clerical and Administrative Workers,873086
1389,2010-2011,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2452136
1389,2010-2011,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,531213
1389,2010-2011,"Urban Areas, Both Genders",Crafts and Related Trades Workers,2995351
1389,2010-2011,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,2006907
1389,2010-2011,"Urban Areas, Both Genders",Laborers,1962044
1389,2010-2011,"Urban Areas, Both Genders",Other or Not Declared,429169
1389,2010-2011,"Urban Areas, Males",Total,12155043
1389,2010-2011,"Urban Areas, Males",Legislators/Senior Officials/Managers,390925
1389,2010-2011,"Urban Areas, Males",Professionals,870577
1389,2010-2011,"Urban Areas, Males",Technicians and Associate Professionals,777643
1389,2010-2011,"Urban Areas, Males",Clerical and Administrative Workers,636570
1389,2010-2011,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2155335
1389,2010-2011,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,485758
1389,2010-2011,"Urban Areas, Males",Crafts and Related Trades Workers,2572718
1389,2010-2011,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1977765
1389,2010-2011,"Urban Areas, Males",Laborers,1867153
1389,2010-2011,"Urban Areas, Males",Other or Not Declared,420594
1389,2010-2011,"Urban Areas, Females",Total,2136388
1389,2010-2011,"Urban Areas, Females",Legislators/Senior Officials/Managers,68900
1389,2010-2011,"Urban Areas, Females",Professionals,736070
1389,2010-2011,"Urban Areas, Females",Technicians and Associate Professionals,197404
1389,2010-2011,"Urban Areas, Females",Clerical and Administrative Workers,236515
1389,2010-2011,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,296801
1389,2010-2011,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,45455
1389,2010-2011,"Urban Areas, Females",Crafts and Related Trades Workers,422633
1389,2010-2011,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,29141
1389,2010-2011,"Urban Areas, Females",Laborers,94890
1389,2010-2011,"Urban Areas, Females",Other or Not Declared,8575
1389,2010-2011,"Rural Areas, Both Genders",Total,6365261
1389,2010-2011,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,38151
1389,2010-2011,"Rural Areas, Both Genders",Professionals,118844
1389,2010-2011,"Rural Areas, Both Genders",Technicians and Associate Professionals,104811
1389,2010-2011,"Rural Areas, Both Genders",Clerical and Administrative Workers,63902
1389,2010-2011,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,356754
1389,2010-2011,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,2766814
1389,2010-2011,"Rural Areas, Both Genders",Crafts and Related Trades Workers,867893
1389,2010-2011,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,565952
1389,2010-2011,"Rural Areas, Both Genders",Laborers,1427857
1389,2010-2011,"Rural Areas, Both Genders",Other or Not Declared,54278
1389,2010-2011,"Rural Areas, Males",Total,5044641
1389,2010-2011,"Rural Areas, Males",Legislators/Senior Officials/Managers,34318
1389,2010-2011,"Rural Areas, Males",Professionals,84729
1389,2010-2011,"Rural Areas, Males",Technicians and Associate Professionals,84324
1389,2010-2011,"Rural Areas, Males",Clerical and Administrative Workers,50911
1389,2010-2011,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,297880
1389,2010-2011,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,1996140
1389,2010-2011,"Rural Areas, Males",Crafts and Related Trades Workers,607425
1389,2010-2011,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,560692
1389,2010-2011,"Rural Areas, Males",Laborers,1274171
1389,2010-2011,"Rural Areas, Males",Other or Not Declared,54047
1389,2010-2011,"Rural Areas, Females",Total,1320620
1389,2010-2011,"Rural Areas, Females",Legislators/Senior Officials/Managers,3833
1389,2010-2011,"Rural Areas, Females",Professionals,34115
1389,2010-2011,"Rural Areas, Females",Technicians and Associate Professionals,20486
1389,2010-2011,"Rural Areas, Females",Clerical and Administrative Workers,12991
1389,2010-2011,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,58874
1389,2010-2011,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,770674
1389,2010-2011,"Rural Areas, Females",Crafts and Related Trades Workers,260468
1389,2010-2011,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,5260
1389,2010-2011,"Rural Areas, Females",Laborers,153685
1389,2010-2011,"Rural Areas, Females",Other or Not Declared,231
1390,2011-2012,"Country, Both Genders",Total,20510025
1390,2011-2012,"Country, Both Genders",Legislators/Senior Officials/Managers,523501
1390,2011-2012,"Country, Both Genders",Professionals,1735646
1390,2011-2012,"Country, Both Genders",Technicians and Associate Professionals,1019480
1390,2011-2012,"Country, Both Genders",Clerical and Administrative Workers,1005158
1390,2011-2012,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2682142
1390,2011-2012,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3182997
1390,2011-2012,"Country, Both Genders",Crafts and Related Trades Workers,3869286
1390,2011-2012,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2557304
1390,2011-2012,"Country, Both Genders",Laborers,3442390
1390,2011-2012,"Country, Both Genders",Other or Not Declared,492115
1390,2011-2012,"Country, Males",Total,17372105
1390,2011-2012,"Country, Males",Legislators/Senior Officials/Managers,450407
1390,2011-2012,"Country, Males",Professionals,960248
1390,2011-2012,"Country, Males",Technicians and Associate Professionals,819276
1390,2011-2012,"Country, Males",Clerical and Administrative Workers,734423
1390,2011-2012,"Country, Males",Service Workers and Shop/Market Sales Workers,2394290
1390,2011-2012,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2499129
1390,2011-2012,"Country, Males",Crafts and Related Trades Workers,3280940
1390,2011-2012,"Country, Males",Machinery Operators/Assemblers/Drivers,2533247
1390,2011-2012,"Country, Males",Laborers,3217658
1390,2011-2012,"Country, Males",Other or Not Declared,482482
1390,2011-2012,"Country, Females",Total,3137919
1390,2011-2012,"Country, Females",Legislators/Senior Officials/Managers,73093
1390,2011-2012,"Country, Females",Professionals,775398
1390,2011-2012,"Country, Females",Technicians and Associate Professionals,200204
1390,2011-2012,"Country, Females",Clerical and Administrative Workers,270735
1390,2011-2012,"Country, Females",Service Workers and Shop/Market Sales Workers,287852
1390,2011-2012,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,683868
1390,2011-2012,"Country, Females",Crafts and Related Trades Workers,588346
1390,2011-2012,"Country, Females",Machinery Operators/Assemblers/Drivers,24056
1390,2011-2012,"Country, Females",Laborers,224731
1390,2011-2012,"Country, Females",Other or Not Declared,9633
1390,2011-2012,"Urban Areas, Both Genders",Total,14368033
1390,2011-2012,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,481116
1390,2011-2012,"Urban Areas, Both Genders",Professionals,1608404
1390,2011-2012,"Urban Areas, Both Genders",Technicians and Associate Professionals,931918
1390,2011-2012,"Urban Areas, Both Genders",Clerical and Administrative Workers,929460
1390,2011-2012,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2329302
1390,2011-2012,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,556763
1390,2011-2012,"Urban Areas, Both Genders",Crafts and Related Trades Workers,3024327
1390,2011-2012,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,1981263
1390,2011-2012,"Urban Areas, Both Genders",Laborers,2085137
1390,2011-2012,"Urban Areas, Both Genders",Other or Not Declared,440338
1390,2011-2012,"Urban Areas, Males",Total,12386283
1390,2011-2012,"Urban Areas, Males",Legislators/Senior Officials/Managers,411234
1390,2011-2012,"Urban Areas, Males",Professionals,872807
1390,2011-2012,"Urban Areas, Males",Technicians and Associate Professionals,747722
1390,2011-2012,"Urban Areas, Males",Clerical and Administrative Workers,671158
1390,2011-2012,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2101833
1390,2011-2012,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,523112
1390,2011-2012,"Urban Areas, Males",Crafts and Related Trades Workers,2661956
1390,2011-2012,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1962593
1390,2011-2012,"Urban Areas, Males",Laborers,2002824
1390,2011-2012,"Urban Areas, Males",Other or Not Declared,431038
1390,2011-2012,"Urban Areas, Females",Total,1981749
1390,2011-2012,"Urban Areas, Females",Legislators/Senior Officials/Managers,69881
1390,2011-2012,"Urban Areas, Females",Professionals,735597
1390,2011-2012,"Urban Areas, Females",Technicians and Associate Professionals,184196
1390,2011-2012,"Urban Areas, Females",Clerical and Administrative Workers,258302
1390,2011-2012,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,227468
1390,2011-2012,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,33650
1390,2011-2012,"Urban Areas, Females",Crafts and Related Trades Workers,362370
1390,2011-2012,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,18669
1390,2011-2012,"Urban Areas, Females",Laborers,82313
1390,2011-2012,"Urban Areas, Females",Other or Not Declared,9299
1390,2011-2012,"Rural Areas, Both Genders",Total,6141991
1390,2011-2012,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,42384
1390,2011-2012,"Rural Areas, Both Genders",Professionals,127242
1390,2011-2012,"Rural Areas, Both Genders",Technicians and Associate Professionals,87562
1390,2011-2012,"Rural Areas, Both Genders",Clerical and Administrative Workers,75697
1390,2011-2012,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,352840
1390,2011-2012,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,2626234
1390,2011-2012,"Rural Areas, Both Genders",Crafts and Related Trades Workers,844959
1390,2011-2012,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,576041
1390,2011-2012,"Rural Areas, Both Genders",Laborers,1357252
1390,2011-2012,"Rural Areas, Both Genders",Other or Not Declared,51777
1390,2011-2012,"Rural Areas, Males",Total,4985821
1390,2011-2012,"Rural Areas, Males",Legislators/Senior Officials/Managers,39173
1390,2011-2012,"Rural Areas, Males",Professionals,87441
1390,2011-2012,"Rural Areas, Males",Technicians and Associate Professionals,71554
1390,2011-2012,"Rural Areas, Males",Clerical and Administrative Workers,63264
1390,2011-2012,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,292456
1390,2011-2012,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,1976017
1390,2011-2012,"Rural Areas, Males",Crafts and Related Trades Workers,618983
1390,2011-2012,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,570653
1390,2011-2012,"Rural Areas, Males",Laborers,1214833
1390,2011-2012,"Rural Areas, Males",Other or Not Declared,51444
1390,2011-2012,"Rural Areas, Females",Total,1156170
1390,2011-2012,"Rural Areas, Females",Legislators/Senior Officials/Managers,3211
1390,2011-2012,"Rural Areas, Females",Professionals,39801
1390,2011-2012,"Rural Areas, Females",Technicians and Associate Professionals,16008
1390,2011-2012,"Rural Areas, Females",Clerical and Administrative Workers,12433
1390,2011-2012,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,60384
1390,2011-2012,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,650217
1390,2011-2012,"Rural Areas, Females",Crafts and Related Trades Workers,225975
1390,2011-2012,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,5387
1390,2011-2012,"Rural Areas, Females",Laborers,142418
1390,2011-2012,"Rural Areas, Females",Other or Not Declared,333
1391,2012-2013,"Country, Both Genders",Total,20628225
1391,2012-2013,"Country, Both Genders",Legislators/Senior Officials/Managers,544092
1391,2012-2013,"Country, Both Genders",Professionals,1750862
1391,2012-2013,"Country, Both Genders",Technicians and Associate Professionals,1098117
1391,2012-2013,"Country, Both Genders",Clerical and Administrative Workers,925621
1391,2012-2013,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2584108
1391,2012-2013,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3303353
1391,2012-2013,"Country, Both Genders",Crafts and Related Trades Workers,3904721
1391,2012-2013,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2551941
1391,2012-2013,"Country, Both Genders",Laborers,3493454
1391,2012-2013,"Country, Both Genders",Other or Not Declared,471954
1391,2012-2013,"Country, Males",Total,17181105
1391,2012-2013,"Country, Males",Legislators/Senior Officials/Managers,451091
1391,2012-2013,"Country, Males",Professionals,982513
1391,2012-2013,"Country, Males",Technicians and Associate Professionals,874675
1391,2012-2013,"Country, Males",Clerical and Administrative Workers,607920
1391,2012-2013,"Country, Males",Service Workers and Shop/Market Sales Workers,2271171
1391,2012-2013,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2553208
1391,2012-2013,"Country, Males",Crafts and Related Trades Workers,3199227
1391,2012-2013,"Country, Males",Machinery Operators/Assemblers/Drivers,2523219
1391,2012-2013,"Country, Males",Laborers,3250677
1391,2012-2013,"Country, Males",Other or Not Declared,467400
1391,2012-2013,"Country, Females",Total,3447120
1391,2012-2013,"Country, Females",Legislators/Senior Officials/Managers,93001
1391,2012-2013,"Country, Females",Professionals,768349
1391,2012-2013,"Country, Females",Technicians and Associate Professionals,223441
1391,2012-2013,"Country, Females",Clerical and Administrative Workers,317700
1391,2012-2013,"Country, Females",Service Workers and Shop/Market Sales Workers,312936
1391,2012-2013,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,750144
1391,2012-2013,"Country, Females",Crafts and Related Trades Workers,705494
1391,2012-2013,"Country, Females",Machinery Operators/Assemblers/Drivers,28721
1391,2012-2013,"Country, Females",Laborers,242776
1391,2012-2013,"Country, Females",Other or Not Declared,4553
1391,2012-2013,"Urban Areas, Both Genders",Total,14302976
1391,2012-2013,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,496836
1391,2012-2013,"Urban Areas, Both Genders",Professionals,1631062
1391,2012-2013,"Urban Areas, Both Genders",Technicians and Associate Professionals,1000438
1391,2012-2013,"Urban Areas, Both Genders",Clerical and Administrative Workers,849691
1391,2012-2013,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2215862
1391,2012-2013,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,578781
1391,2012-2013,"Urban Areas, Both Genders",Crafts and Related Trades Workers,3040459
1391,2012-2013,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,1962667
1391,2012-2013,"Urban Areas, Both Genders",Laborers,2118823
1391,2012-2013,"Urban Areas, Both Genders",Other or Not Declared,408354
1391,2012-2013,"Urban Areas, Males",Total,12086716
1391,2012-2013,"Urban Areas, Males",Legislators/Senior Officials/Managers,408773
1391,2012-2013,"Urban Areas, Males",Professionals,897074
1391,2012-2013,"Urban Areas, Males",Technicians and Associate Professionals,795150
1391,2012-2013,"Urban Areas, Males",Clerical and Administrative Workers,547506
1391,2012-2013,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,1961359
1391,2012-2013,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,529843
1391,2012-2013,"Urban Areas, Males",Crafts and Related Trades Workers,2588332
1391,2012-2013,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1939454
1391,2012-2013,"Urban Areas, Males",Laborers,2014628
1391,2012-2013,"Urban Areas, Males",Other or Not Declared,404594
1391,2012-2013,"Urban Areas, Females",Total,2216259
1391,2012-2013,"Urban Areas, Females",Legislators/Senior Officials/Managers,88063
1391,2012-2013,"Urban Areas, Females",Professionals,733988
1391,2012-2013,"Urban Areas, Females",Technicians and Associate Professionals,205287
1391,2012-2013,"Urban Areas, Females",Clerical and Administrative Workers,302184
1391,2012-2013,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,254502
1391,2012-2013,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,48938
1391,2012-2013,"Urban Areas, Females",Crafts and Related Trades Workers,452126
1391,2012-2013,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,23213
1391,2012-2013,"Urban Areas, Females",Laborers,104195
1391,2012-2013,"Urban Areas, Females",Other or Not Declared,3759
1391,2012-2013,"Rural Areas, Both Genders",Total,6325249
1391,2012-2013,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,47255
1391,2012-2013,"Rural Areas, Both Genders",Professionals,119800
1391,2012-2013,"Rural Areas, Both Genders",Technicians and Associate Professionals,97679
1391,2012-2013,"Rural Areas, Both Genders",Clerical and Administrative Workers,75930
1391,2012-2013,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,368246
1391,2012-2013,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,2724572
1391,2012-2013,"Rural Areas, Both Genders",Crafts and Related Trades Workers,864262
1391,2012-2013,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,589273
1391,2012-2013,"Rural Areas, Both Genders",Laborers,1374630
1391,2012-2013,"Rural Areas, Both Genders",Other or Not Declared,63599
1391,2012-2013,"Rural Areas, Males",Total,5094389
1391,2012-2013,"Rural Areas, Males",Legislators/Senior Officials/Managers,42317
1391,2012-2013,"Rural Areas, Males",Professionals,85439
1391,2012-2013,"Rural Areas, Males",Technicians and Associate Professionals,79525
1391,2012-2013,"Rural Areas, Males",Clerical and Administrative Workers,60414
1391,2012-2013,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,309812
1391,2012-2013,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,2023365
1391,2012-2013,"Rural Areas, Males",Crafts and Related Trades Workers,610894
1391,2012-2013,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,583765
1391,2012-2013,"Rural Areas, Males",Laborers,1236048
