chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
imf_a4__government_operations_2015_2018,"Augmented Central Government Operations: Revenue, Expenditure & Financing Detail",Government Finance,imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Government Finance (410 rows; Table 3 in both reports),extends,wdi__GC.XPN.TOTL,2013/14-2022/23 (incl. Fund staff projections from 2018/19 or 2020/21 onward -- see date_label '(proj.)'/'(est.)' suffix),"HIGH-CONFIDENCE extends call: WDI's Iran GC.* government-finance series stops at 2009 (confirmed against macro_wdi.csv -- max year across all GC.* codes for IRN is 2009), so this table sits entirely in a confirmed, genuine post-2009 coverage gap. Also touches wdi__GC.REV.XGRT (revenue, incl. nontax/oil/tax sub-line-items) and wdi__GC.NLD.TOTL (net lending/borrowing) concepts. Line-item granularity (e.g. 'Revenue -- Nontax revenue -- Oil revenue') exceeds WDI's own aggregate on top of the pure time-gap."
imf_a4__monetary_survey_2015_2018,Monetary Survey: Central Bank & Deposit-Money-Bank Balance Sheet Detail,Financial Sector (Monetary),imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Money supply (567 rows; Table 5 [2015]/Table 12 [2018]),extends,wdi__FM.LBL.BMNY,2010/11-2022/23,"WDI's Iran FM.* monetary coverage stops at 2016 (confirmed against macro_wdi.csv), so the 2018 report's years extending to 2022/23 are a genuine gap-fill beyond that. The 2015 report's years (mostly <=2016) substantially duplicate/corroborate existing WDI FM coverage -- net effect is 'extends' given the real 2017-2022 tail, plus the table's central-bank-vs-deposit-money-bank line-item detail exceeds WDI's single aggregate figure regardless of year."
imf_a4__balance_of_payments_2015_2018,"Balance of Payments, Full Table (Current Account, Capital & Financial Account)",Balance of Payments (Net),imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Balance of Payments (573 rows; Table 2 [2015]/Table 9 [2018]),extends,wdi__BN.CAB.XOKA,2013/14-2022/23,"MIXED, net extends: WDI's Iran current-account-balance series (BN.CAB.XOKA) stops at 2000 (confirmed against macro_wdi.csv), so this is a genuine ~13-22 year gap-filler for the net current-account concept. However WDI's gross goods/services trade flows (BX.*/BM.* prefixes) DO have near-continuous Iran coverage through 2024 (also confirmed), so this table's goods/services export and import sub-lines substantially duplicate/corroborate existing WDI series for overlapping years rather than filling a gap. Targeted the net-CAB chart since that concept has the larger genuine gap."
imf_a4__oil_production_trade_2015_2018,"Crude Oil Production, Export Volumes & Revenue Projections",Energy / Oil Production & Trade,imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Oil production & trade (64 rows),new,,2013/14-2022/23,"AMBIGUOUS -- possible overlap with an OWID physical-oil-production chart and WDI's oil-rents chart for these years, but IMF Article IV oil figures here are export-volume and revenue projections tied to sanctions-relief scenarios (e.g. crude exports projected to jump from 1.24 to 1.81 million b/d, 2015/16-2016/17), distinct in framing from OWID's physical-barrel outturn series. Kept new given this uncertainty without a deeper row-level read."
imf_a4__external_debt_2015_2018,External Debt Stock Composition,External Debt,imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=External debt (43 rows),extends,wdi__DT.DOD.DECT,2013/14-2022/23,"WDI's DT.DOD.DECT (external debt stocks, total) has near-continuous Iran coverage through 2024, so this is more a duplicate/corroboration than a time-gap fill; primary incremental value is the Fund staff's specific debt-composition breakdown (short-term vs. medium/long-term, public vs. private) rather than new time coverage."
imf_a4__demographics_population_2015_2018,Population & Demographic Indicators (Table 10 Context),Demographics & Population,imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Demographics & Population (26 rows),extends,wdi__SP.POP,2015/16-2022/23,"WDI's population series for Iran is dense and continuous, so this substantially duplicates/corroborates existing coverage for the overlap years; kept as extends given the straightforward concept match, though the incremental value is mostly the Fund's specific sourcing trail rather than new data."
imf_a4__prices_inflation_2015_2018,"Consumer Price Inflation, Staff Report Figures & Projections",Prices & Inflation,imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Prices (17 rows),extends,wdi__FP.CPI.TOTL,2013/14-2022/23,"WDI's Iran CPI/inflation coverage is continuous 1960-2025, so these figures substantially duplicate/corroborate the existing chart for overlapping years. Genuine incremental value is limited to the 2018/19-2022/23 STAFF PROJECTION years (per the folder README's caveat that everything from 2018/19 onward in the 2018 report is an unconfirmed Fund forecast, never updated by a subsequent full consultation)."
imf_a4__labor_employment_2015_2018,Labor Market Indicators incl. Gender- and Youth-Disaggregated Unemployment,Labor & Employment,imf-article-iv-iran-staff-reports,,"data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Labor & Employment (88 rows; Table 10, 2018 report)",extends,wdi__SL.UEM.TOTL,"2015/16-2017/18 (a handful of youth/gender rows only to 2017/18 -- source used literal ellipses for 2018/19 onward, left out entirely rather than represented as blank)","WDI already carries matching gender/youth/national-estimate-disaggregated codes (wdi__SL.UEM.TOTL.FE.NE, wdi__SL.UEM.1524.MA.NE, wdi__SL.TLF.ACTI.1524.FE.NE, etc.) for these same years, so this substantially duplicates/corroborates existing WDI coverage. Primary incremental value is the specific Fund-staff sourcing and citation trail (e.g. 20.7% female vs. 10.5% male unemployment, 29.1% youth unemployment, 2016/17), not new coverage."
imf_a4__foreign_exchange_2015_2018,Official/Market Exchange-Rate Spread Narrative Citations (2018 Press Release),Exchange Rates,imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Foreign exchange (5 rows; 2018 report Press Release narrative),new,,early 2018,"HIGH RELEVANCE flag for the project's active FX-research thread: the official/market exchange-rate spread narrowing to 'under 20 percent' by early 2018 after a Feb 2018 rate hike is an early documented sign of the exchange-rate pressure that intensified after the US withdrew from the JCPOA later in 2018 (outside this report's cutoff). Only 5 narrative rows, not a systematic daily/annual rate series, so kept as its own small new row rather than forced onto wdi__PA.NUS or the project's parallel-market FX charts -- worth a human's attention given docs/bookkeeping.md's documented 1979-1998 FX gap that this project is actively researching."
imf_a4__selected_macro_indicators_dashboard_2015_2018,Selected Macroeconomic Indicators Dashboard (incl. Oil vs. Non-Oil GDP Growth Split),Macro / National Accounts,imf-article-iv-iran-staff-reports,,data/processed/imf_article_iv_iran_series/imf_article_iv_iran_2015_2018.csv|category=Macro / National Accounts (154 rows; Table 1 [2015]/Table 2 [2018]),extends,wdi__NY.GDP.MKTP.KD,2013/14-2022/23 (incl. Fund staff projections),"WDI's NY.GDP.MKTP.KD (GDP growth, annual %) has near-continuous Iran coverage, so this headline dashboard substantially duplicates/corroborates it for outturn years (e.g. the 2018 report's realized 12.5% real GDP growth in 2016/17, driven by a 61.6% jump in real oil GDP as sanctions-era curbs lifted). Genuine incremental value: (a) the 2018/19-2022/23 Fund projection years not yet in WDI as confirmed outturns, and (b) the oil-GDP-vs-non-oil-GDP growth split, which WDI does not report separately for Iran."
