changed,rule,chart_id,primary_source,category,old_title,new_title
Y,faostat-commodity,faostat__Soyabean Oil__consumption,faostat-fbs+fbsh,Food Consumption,"Soyabean Oil, per-capita food consumption",Soyabean Oil
Y,faostat-commodity,faostat__Soyabean Oil__trade,faostat-fbs+fbsh,Agriculture Trade,"Soyabean Oil, imports and exports (1000 tonnes)",Soyabean Oil
Y,faostat-commodity,faostat__Soyabeans__trade,faostat-fbs+fbsh,Agriculture Trade,"Soyabeans, imports and exports (1000 tonnes)",Soyabeans
Y,faostat-commodity,"faostat__Spices, Other__consumption",faostat-fbs+fbsh,Food Consumption,"Spices, Other, per-capita food consumption","Spices, Other"
Y,faostat-commodity,"faostat__Spices, Other__trade",faostat-fbs+fbsh,Agriculture Trade,"Spices, Other, imports and exports (1000 tonnes)","Spices, Other"
Y,faostat-commodity,faostat__Spices__consumption,faostat-fbs+fbsh,Food Consumption,"Spices, per-capita food consumption",Spices
Y,faostat-commodity,faostat__Spices__trade,faostat-fbs+fbsh,Agriculture Trade,"Spices, imports and exports (1000 tonnes)",Spices
Y,faostat-commodity,faostat__Spinach__price,faostat-pp+pa,Agriculture Prices,"Spinach, Producer Price",Spinach
Y,faostat-commodity,faostat__Spinach__production,faostat-qcl,Agriculture Production,"Spinach, Production, Area & Yield",Spinach
Y,faostat-commodity,faostat__Starchy Roots__consumption,faostat-fbs+fbsh,Food Consumption,"Starchy Roots, per-capita food consumption",Starchy Roots
Y,faostat-commodity,faostat__Starchy Roots__trade,faostat-fbs+fbsh,Agriculture Trade,"Starchy Roots, imports and exports (1000 tonnes)",Starchy Roots
Y,faostat-commodity,faostat__Stimulants__consumption,faostat-fbs+fbsh,Food Consumption,"Stimulants, per-capita food consumption",Stimulants
Y,faostat-commodity,faostat__Stimulants__trade,faostat-fbs+fbsh,Agriculture Trade,"Stimulants, imports and exports (1000 tonnes)",Stimulants
Y,faostat-commodity,faostat__Strawberries__price,faostat-pp+pa,Agriculture Prices,"Strawberries, Producer Price",Strawberries
Y,faostat-commodity,faostat__Strawberries__production,faostat-qcl,Agriculture Production,"Strawberries, Production, Area & Yield",Strawberries
Y,faostat-commodity,faostat__String beans__price,faostat-pp+pa,Agriculture Prices,"String beans, Producer Price",String beans
Y,faostat-commodity,faostat__Sugar & Sweeteners__consumption,faostat-fbs+fbsh,Food Consumption,"Sugar & Sweeteners, per-capita food consumption",Sugar & Sweeteners
Y,faostat-commodity,faostat__Sugar & Sweeteners__trade,faostat-fbs+fbsh,Agriculture Trade,"Sugar & Sweeteners, imports and exports (1000 tonnes)",Sugar & Sweeteners
Y,faostat-commodity,faostat__Sugar (Raw Equivalent)__consumption,faostat-fbs+fbsh,Food Consumption,"Sugar (Raw Equivalent), per-capita food consumption",Sugar (Raw Equivalent)
Y,faostat-commodity,faostat__Sugar (Raw Equivalent)__trade,faostat-fbs+fbsh,Agriculture Trade,"Sugar (Raw Equivalent), imports and exports (1000 tonnes)",Sugar (Raw Equivalent)
Y,faostat-commodity,faostat__Sugar Crops Primary__production,faostat-qcl,Agriculture Production,"Sugar Crops Primary, Production, Area & Yield",Sugar Crops Primary
Y,faostat-commodity,faostat__Sugar Crops__consumption,faostat-fbs+fbsh,Food Consumption,"Sugar Crops, per-capita food consumption",Sugar Crops
Y,faostat-commodity,faostat__Sugar Crops__trade,faostat-fbs+fbsh,Agriculture Trade,"Sugar Crops, imports and exports (1000 tonnes)",Sugar Crops
Y,faostat-commodity,faostat__Sugar beet__price,faostat-pp+pa,Agriculture Prices,"Sugar beet, Producer Price",Sugar beet
Y,faostat-commodity,faostat__Sugar beet__production,faostat-qcl,Agriculture Production,"Sugar beet, Production, Area & Yield",Sugar beet
Y,faostat-commodity,faostat__Sugar beet__trade,faostat-fbs+fbsh,Agriculture Trade,"Sugar beet, imports and exports (1000 tonnes)",Sugar beet
Y,faostat-commodity,faostat__Sugar cane__consumption,faostat-fbs+fbsh,Food Consumption,"Sugar cane, per-capita food consumption",Sugar cane
Y,faostat-commodity,faostat__Sugar cane__price,faostat-pp+pa,Agriculture Prices,"Sugar cane, Producer Price",Sugar cane
Y,faostat-commodity,faostat__Sugar cane__production,faostat-qcl,Agriculture Production,"Sugar cane, Production, Area & Yield",Sugar cane
Y,faostat-commodity,faostat__Sugar cane__trade,faostat-fbs+fbsh,Agriculture Trade,"Sugar cane, imports and exports (1000 tonnes)",Sugar cane
Y,faostat-commodity,faostat__Sunflower seed__price,faostat-pp+pa,Agriculture Prices,"Sunflower seed, Producer Price",Sunflower seed
Y,faostat-commodity,faostat__Sunflower seed__production,faostat-qcl,Agriculture Production,"Sunflower seed, Production, Area & Yield",Sunflower seed
Y,faostat-commodity,faostat__Sunflower seed__trade,faostat-fbs+fbsh,Agriculture Trade,"Sunflower seed, imports and exports (1000 tonnes)",Sunflower seed
Y,faostat-commodity,"faostat__Sunflower-seed oil, crude__production",faostat-qcl,Agriculture Production,"Sunflower-seed oil, crude, production (tonnes)","Sunflower-seed oil, crude"
Y,faostat-commodity,faostat__Sunflowerseed Oil__consumption,faostat-fbs+fbsh,Food Consumption,"Sunflowerseed Oil, per-capita food consumption",Sunflowerseed Oil
Y,faostat-commodity,faostat__Sunflowerseed Oil__trade,faostat-fbs+fbsh,Agriculture Trade,"Sunflowerseed Oil, imports and exports (1000 tonnes)",Sunflowerseed Oil
Y,faostat-commodity,faostat__Sweet potatoes__trade,faostat-fbs+fbsh,Agriculture Trade,"Sweet potatoes, imports and exports (1000 tonnes)",Sweet potatoes
Y,faostat-commodity,"faostat__Sweeteners, Other__consumption",faostat-fbs+fbsh,Food Consumption,"Sweeteners, Other, per-capita food consumption","Sweeteners, Other"
Y,faostat-commodity,"faostat__Sweeteners, Other__trade",faostat-fbs+fbsh,Agriculture Trade,"Sweeteners, Other, imports and exports (1000 tonnes)","Sweeteners, Other"
Y,faostat-commodity,faostat__Swine / pigs__production,faostat-qcl,Agriculture Production,"Swine / pigs, livestock stocks (head)",Swine / pigs
Y,faostat-commodity,faostat__Tallow__production,faostat-qcl,Agriculture Production,"Tallow, production (tonnes)",Tallow
Y,faostat-commodity,"faostat__Tangerines, mandarins, clementines__price",faostat-pp+pa,Agriculture Prices,"Tangerines, mandarins, clementines, Producer Price","Tangerines, mandarins, clementines"
Y,faostat-commodity,"faostat__Tangerines, mandarins, clementines__production",faostat-qcl,Agriculture Production,"Tangerines, mandarins, clementines, Production, Area & Yield","Tangerines, mandarins, clementines"
Y,faostat-commodity,faostat__Tea (including mate)__consumption,faostat-fbs+fbsh,Food Consumption,"Tea (including mate), per-capita food consumption",Tea (including mate)
Y,faostat-commodity,faostat__Tea (including mate)__trade,faostat-fbs+fbsh,Agriculture Trade,"Tea (including mate), imports and exports (1000 tonnes)",Tea (including mate)
Y,faostat-commodity,faostat__Tea leaves__price,faostat-pp+pa,Agriculture Prices,"Tea leaves, Producer Price",Tea leaves
Y,faostat-commodity,faostat__Tea leaves__production,faostat-qcl,Agriculture Production,"Tea leaves, Production, Area & Yield",Tea leaves
Y,faostat-commodity,faostat__Tomatoes and products__consumption,faostat-fbs+fbsh,Food Consumption,"Tomatoes and products, per-capita food consumption",Tomatoes and products
Y,faostat-commodity,faostat__Tomatoes and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Tomatoes and products, imports and exports (1000 tonnes)",Tomatoes and products
Y,faostat-commodity,faostat__Tomatoes__price,faostat-pp+pa,Agriculture Prices,"Tomatoes, Producer Price",Tomatoes
Y,faostat-commodity,faostat__Tomatoes__production,faostat-qcl,Agriculture Production,"Tomatoes, Production, Area & Yield",Tomatoes
Y,faostat-commodity,"faostat__Treenuts, Total__price",faostat-pp+pa,Agriculture Prices,"Treenuts, Total, Producer Price","Treenuts, Total"
Y,faostat-commodity,"faostat__Treenuts, Total__production",faostat-qcl,Agriculture Production,"Treenuts, Total, Production, Area & Yield","Treenuts, Total"
Y,faostat-commodity,faostat__Treenuts__consumption,faostat-fbs+fbsh,Food Consumption,"Treenuts, per-capita food consumption",Treenuts
Y,faostat-commodity,faostat__Treenuts__trade,faostat-fbs+fbsh,Agriculture Trade,"Treenuts, imports and exports (1000 tonnes)",Treenuts
Y,faostat-commodity,faostat__Turkeys__production,faostat-qcl,Agriculture Production,"Turkeys, livestock stocks (head)",Turkeys
Y,faostat-commodity,faostat__Unmanufactured tobacco__price,faostat-pp+pa,Agriculture Prices,"Unmanufactured tobacco, Producer Price",Unmanufactured tobacco
Y,faostat-commodity,faostat__Unmanufactured tobacco__production,faostat-qcl,Agriculture Production,"Unmanufactured tobacco, Production, Area & Yield",Unmanufactured tobacco
Y,faostat-commodity,faostat__Vegetable Oils__consumption,faostat-fbs+fbsh,Food Consumption,"Vegetable Oils, per-capita food consumption",Vegetable Oils
Y,faostat-commodity,faostat__Vegetable Oils__trade,faostat-fbs+fbsh,Agriculture Trade,"Vegetable Oils, imports and exports (1000 tonnes)",Vegetable Oils
Y,faostat-commodity,faostat__Vegetables Primary__price,faostat-pp+pa,Agriculture Prices,"Vegetables Primary, Producer Price",Vegetables Primary
Y,faostat-commodity,faostat__Vegetables Primary__production,faostat-qcl,Agriculture Production,"Vegetables Primary, Production, Area & Yield",Vegetables Primary
Y,faostat-commodity,"faostat__Vegetables and Melons, Total__price",faostat-pp+pa,Agriculture Prices,"Vegetables and Melons, Total, Producer Price","Vegetables and Melons, Total"
Y,faostat-commodity,"faostat__Vegetables, other__consumption",faostat-fbs+fbsh,Food Consumption,"Vegetables, other, per-capita food consumption","Vegetables, other"
Y,faostat-commodity,"faostat__Vegetables, other__trade",faostat-fbs+fbsh,Agriculture Trade,"Vegetables, other, imports and exports (1000 tonnes)","Vegetables, other"
Y,faostat-commodity,faostat__Vegetables__consumption,faostat-fbs+fbsh,Food Consumption,"Vegetables, per-capita food consumption",Vegetables
Y,faostat-commodity,faostat__Vegetables__trade,faostat-fbs+fbsh,Agriculture Trade,"Vegetables, imports and exports (1000 tonnes)",Vegetables
Y,faostat-commodity,faostat__Vegetal Products__consumption,faostat-fbs+fbsh,Food Consumption,"Vegetal Products, per-capita food consumption",Vegetal Products
Y,faostat-commodity,"faostat__Walnuts, in shell__price",faostat-pp+pa,Agriculture Prices,"Walnuts, in shell, Producer Price","Walnuts, in shell"
Y,faostat-commodity,"faostat__Walnuts, in shell__production",faostat-qcl,Agriculture Production,"Walnuts, in shell, Production, Area & Yield","Walnuts, in shell"
Y,faostat-commodity,faostat__Watermelons__price,faostat-pp+pa,Agriculture Prices,"Watermelons, Producer Price",Watermelons
Y,faostat-commodity,faostat__Watermelons__production,faostat-qcl,Agriculture Production,"Watermelons, Production, Area & Yield",Watermelons
Y,faostat-commodity,faostat__Wheat and products__consumption,faostat-fbs+fbsh,Food Consumption,"Wheat and products, per-capita food consumption",Wheat and products
Y,faostat-commodity,faostat__Wheat and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Wheat and products, imports and exports (1000 tonnes)",Wheat and products
Y,faostat-commodity,faostat__Wheat__price,faostat-pp+pa,Agriculture Prices,"Wheat, Producer Price",Wheat
Y,faostat-commodity,faostat__Wheat__production,faostat-qcl,Agriculture Production,"Wheat, Production, Area & Yield",Wheat
Y,faostat-commodity,"faostat__Whey, dry__production",faostat-qcl,Agriculture Production,"Whey, dry, production (tonnes)","Whey, dry"
Y,faostat-commodity,faostat__Whole milk powder__production,faostat-qcl,Agriculture Production,"Whole milk powder, production (tonnes)",Whole milk powder
Y,faostat-commodity,"faostat__Whole milk, condensed__production",faostat-qcl,Agriculture Production,"Whole milk, condensed, production (tonnes)","Whole milk, condensed"
Y,faostat-commodity,"faostat__Whole milk, evaporated__production",faostat-qcl,Agriculture Production,"Whole milk, evaporated, production (tonnes)","Whole milk, evaporated"
Y,faostat-commodity,faostat__Wine__consumption,faostat-fbs+fbsh,Food Consumption,"Wine, per-capita food consumption",Wine
,keep,dams_of_iran_technical_economic_specs_1971,pahlavi-era-primary-extraction:wb1975water-major-dams-specifications-1971,Infrastructure (Dams & Water),"Major Reservoir Dams of Iran, Technical & Economic Specifications","Major Reservoir Dams of Iran, Technical & Economic Specifications"
,keep,dez_dam_project_economics_1960,pahlavi-era-primary-extraction:wb1960dez-project-key-parameters,Infrastructure (Dams & Water),"Dez Multipurpose Project, Key Parameters & Cost Breakdown (World Bank Appraisal, 1960)","Dez Multipurpose Project, Key Parameters & Cost Breakdown (World Bank Appraisal, 1960)"
,keep,diversion_dams_of_iran_specifications_1937_1967,pahlavi-era-primary-extraction:wb1975water-diversion-dams-specifications,Infrastructure (Dams & Water),"Small-Scale Irrigation Diversion Dams of Iran, Specifications","Small-Scale Irrigation Diversion Dams of Iran, Specifications"
,keep,gfdd__gfdd_di_01,worldbank-gfdd-via-fred,Financial Sector (Monetary),Private Credit by Deposit Money Banks to GDP (World Bank GFDD),Private Credit by Deposit Money Banks to GDP (World Bank GFDD)
,keep,gfdd__gfdd_di_04,worldbank-gfdd-via-fred,Financial Sector (Monetary),Deposit Money Bank Assets to Deposit Money Bank Assets and Central Bank Assets (World Bank GFDD),Deposit Money Bank Assets to Deposit Money Bank Assets and Central Bank Assets (World Bank GFDD)
,keep,gfdd__gfdd_di_05,worldbank-gfdd-via-fred,Financial Sector (Monetary),Liquid Liabilities to GDP (World Bank GFDD),Liquid Liabilities to GDP (World Bank GFDD)
,keep,gfdd__gfdd_di_06,worldbank-gfdd-via-fred,Financial Sector (Monetary),Central Bank Assets to GDP (World Bank GFDD),Central Bank Assets to GDP (World Bank GFDD)
,keep,gfdd__gfdd_oi_02,worldbank-gfdd-via-fred,Financial Sector (Monetary),Bank Deposits to GDP (World Bank GFDD),Bank Deposits to GDP (World Bank GFDD)
,keep,gfdd__gfdd_oi_07,worldbank-gfdd-via-fred,Financial Sector (Monetary),Liquid Liabilities (Broad Money) (World Bank GFDD),Liquid Liabilities (Broad Money) (World Bank GFDD)
,keep,gfdd__gfdd_si_04,worldbank-gfdd-via-fred,Financial Sector (Monetary),Bank Credit to Bank Deposits (World Bank GFDD),Bank Credit to Bank Deposits (World Bank GFDD)
,keep,ghazvin_project_economics_appraisal_vs_actual_1967_1978,pahlavi-era-primary-extraction:wb1967ghazvin-project-cost-and-parameters,Infrastructure (Dams & Water),"Ghazvin (Qazvin) Area Development Project, Appraisal vs. Audited Actual Outcomes","Ghazvin (Qazvin) Area Development Project, Appraisal vs. Audited Actual Outcomes"
,keep,iran_aluminum_production_1973_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity contains 'Aluminum'),Mining & Minerals Production,Primary Aluminum (Ingot) Production,Primary Aluminum (Ingot) Production
,keep,iran_automotive_national_vehicle_production_1970_2018,iran-automotive-industry:khodro-paykan-production-history,Industry / Automotive,National Motor Vehicle Production (incl. Paykan/Iran Khodro Milestones),National Motor Vehicle Production (incl. Paykan/Iran Khodro Milestones)
,keep,iran_aviation__events_fleet_workforce_1952_1988,iran-aviation-history:iranica-aviation-history,Infrastructure (Transport),"Iran Air Founding, Fleet Size, Workforce & Major Accidents (1952-1988)","Iran Air Founding, Fleet Size, Workforce & Major Accidents (1952-1988)"
,keep,iran_barite_production_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity=Barite),Mining & Minerals Production,Barite Production,Barite Production
,keep,iran_bizenv__national_index_1398_1404,iccima-iran,Business Cycle Indicators,Iran National Business Environment Monitoring Index (Annual & Quarterly),Iran National Business Environment Monitoring Index (Annual & Quarterly)
,keep,iran_cement_production_1954_1980,pahlavi-era-primary-extraction:wb1960-industrial-production-1954-1959 + usgs-minerals-yearbook,Mining & Minerals Production,Cement (Hydraulic) Production,Cement (Hydraulic) Production
,keep,iran_census1996__activity_status_by_residence_sex,sci-amar-via-iran-census-historical,Labor & Employment,"Population by Activity/Employment Status, 1996 Census","Population by Activity/Employment Status, 1996 Census"
,keep,iran_census1996__admin_units_by_province,sci-amar-via-iran-census-historical,Demographics & Population,"Administrative Units by Province, 1996 Census","Administrative Units by Province, 1996 Census"
,keep,iran_census1996__literacy_by_age_group,sci-amar-via-iran-census-historical,Education,"Literacy Rate by Age Group x Sex x Urban/Rural/Non-Resident, 1996 Census","Literacy Rate by Age Group x Sex x Urban/Rural/Non-Resident, 1996 Census"
,keep,iran_census1996__population_by_age_group,sci-amar-via-iran-census-historical,Demographics & Population,"Population by 8 Broad Age Groups incl. Sex Ratio, 1996 Census","Population by 8 Broad Age Groups incl. Sex Ratio, 1996 Census"
,keep,iran_census1996__population_by_sex_residence,sci-amar-via-iran-census-historical,Demographics & Population,"Population by Sex and Urban/Rural-Resident/Non-Resident Status, 1996 Census","Population by Sex and Urban/Rural-Resident/Non-Resident Status, 1996 Census"
,keep,iran_census1996__school_enrollment_by_age_group,sci-amar-via-iran-census-historical,Education,"School Enrollment (% in Education) by Age Group, 1996 Census","School Enrollment (% in Education) by Age Group, 1996 Census"
,keep,iran_census__fertility_family_planning_1956_1991,iranica-online,Health,"Fertility, Family Planning & Contraceptive Distribution (1956-1991)","Fertility, Family Planning & Contraceptive Distribution (1956-1991)"
,keep,iran_census__household_development_by_residence_1976_2016,sci-iran-census,Demographics & Population,Households & Average Household Size by Urban/Rural Residence (1976-2016),Households & Average Household Size by Urban/Rural Residence (1976-2016)
,keep,iran_census__household_size_by_province_2011,sci-iran-census,Demographics & Population,Average Household Size by Province (2011 Census),Average Household Size by Province (2011 Census)
,keep,iran_census__housing_tenure_type_2006_2016,sci-iran-census,Demographics & Population,"Housing Tenure Type, National (2006-2016)","Housing Tenure Type, National (2006-2016)"
,keep,iran_census__marital_status_2006_2016,sci-iran-census,Demographics & Population,Population Aged 10+ by Marital Status and Sex (2006-2016),Population Aged 10+ by Marital Status and Sex (2006-2016)
,keep,iran_census__marriage_migration_patterns_1956_1991,iranica-online,Demographics & Population,"Marriage Age Gap, Internal Migration & Post-Revolution Exile Population (1956-1991)","Marriage Age Gap, Internal Migration & Post-Revolution Exile Population (1956-1991)"
,keep,iran_census__mean_median_age_by_residence_2006_2016,sci-iran-census,Demographics & Population,Mean & Median Age of Population by Urban/Rural Residence (2006-2016),Mean & Median Age of Population by Urban/Rural Residence (2006-2016)
,keep,iran_census__nomadic_population_1900_1990s,iranica-online,Demographics & Population,Nomadic Population Counts & Share of Rural Population (c.1900-1990s),Nomadic Population Counts & Share of Rural Population (c.1900-1990s)
,keep,iran_census__population_by_nationality_citizenship_2006_2016,sci-iran-census,Migration,"Population by Citizenship/Nationality, 2006-2016","Population by Citizenship/Nationality, 2006-2016"
,keep,iran_census__population_by_religion_2011,sci-iran-census,Demographics & Population,Population by Religion (2011 Census),Population by Religion (2011 Census)
,keep,iran_census__premodern_local_counts_1868_1884,iranica-online,Demographics & Population,"Pre-Modern Local Population Counts (Tehran 1868, Shiraz 1883-84, Kerman 1874)","Pre-Modern Local Population Counts (Tehran 1868, Shiraz 1883-84, Kerman 1874)"
,keep,iran_census__sex_ratio_by_province_2011,sci-iran-census,Demographics & Population,Sex Ratio (Males per 100 Females) by Province (2011 Census),Sex Ratio (Males per 100 Females) by Province (2011 Census)
,keep,iran_census__tehran_city_population_growth_1956_1972,world-bank-archives-iran,Demographics & Population,"Tehran City Population, Household Size & National Primacy Share (1956-1972)","Tehran City Population, Household Size & National Primacy Share (1956-1972)"
,keep,iran_census__urban_rural_household_indicators_2011,sci-iran-census,Demographics & Population,Household Size & Sex Share by Urban/Rural Residence (2011 Census),Household Size & Sex Share by Urban/Rural Residence (2011 Census)
,keep,iran_census__wb_archives_reproduction_family_size_1966_1982,world-bank-archives-iran,Health,"Gross/Net Reproduction Rate & Completed Family Size, Rural vs. Tehran (1966-1982)","Gross/Net Reproduction Rate & Completed Family Size, Rural vs. Tehran (1966-1982)"
,keep,iran_chromite_production_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity=Chromite (gross weight)),Mining & Minerals Production,Chromite (Chrome Ore) Production,Chromite (Chrome Ore) Production
,keep,iran_cigarette_production_1954_1959,pahlavi-era-primary-extraction:wb1960-industrial-production-1954-1959,Industry / Light Manufacturing,Cigarette Production,Cigarette Production
,keep,iran_coal_production_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity=Coal),Mining & Minerals Production,Coal Production (Non-Oil),Coal Production (Non-Oil)
,keep,iran_coke_production_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity=Coke),Mining & Minerals Production,Coke Production,Coke Production
,keep,iran_copper_production_by_stage_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity contains 'Copper'),Mining & Minerals Production,"Copper Production, Mine Output, Smelter Output & Refined","Copper Production, Mine Output, Smelter Output & Refined"
,keep,iran_crude_steel_production_1973_1980,"usgs_iran_mineral_production_1961_1980.csv (rows: commodity=Steel, crude)",Mining & Minerals Production,Crude Steel Production,Crude Steel Production
,keep,iran_data_portal__employment_by_gender_1966_2011,iran-data-portal,Labor & Employment,"Employment by Gender, Absolute Headcounts & Female Share (1966-2011)","Employment by Gender, Absolute Headcounts & Female Share (1966-2011)"
,keep,iran_data_portal__employment_by_sector_1956_2011,iran-data-portal,Labor & Employment,"Employment by Sector, 14-Sector Breakdown, Absolute Headcounts (1956-2011)","Employment by Sector, 14-Sector Breakdown, Absolute Headcounts (1956-2011)"
,keep,iran_data_portal__housing_units_by_household_size_1966_2006,iran-data-portal,Housing,"Housing Units by Number of Resident Households, Census Years (1966-2006)","Housing Units by Number of Resident Households, Census Years (1966-2006)"
,keep,iran_disasters__employed_by_occupation_gender_2005_2013,iran-data-portal,Labor & Employment,"Employed Persons by Occupation Category x Sex x Urban/Rural/Total, Annual (2005-2013)","Employed Persons by Occupation Category x Sex x Urban/Rural/Total, Annual (2005-2013)"
,keep,iran_disasters__mean_age_at_first_marriage_1966_2006,iran-data-portal,Social Statistics (Marriage & Vital Registration),"Mean Age at First Marriage by Sex, Urban/Rural/Total (6 Census Years, 1966-2006)","Mean Age at First Marriage by Sex, Urban/Rural/Total (6 Census Years, 1966-2006)"
,keep,iran_disasters__registered_births_by_sex_1991_2006,iran-data-portal,Demographics & Population,"Registered Births by Sex, National Annual (1991-2006) + All Provinces (2006)","Registered Births by Sex, National Annual (1991-2006) + All Provinces (2006)"
,keep,iran_disasters__registered_marriages_divorces_1991_2006,iran-data-portal,Social Statistics (Marriage & Vital Registration),"Registered Marriages & Divorces, National Annual (1991-2006) + All Provinces (2006)","Registered Marriages & Divorces, National Annual (1991-2006) + All Provinces (2006)"
,keep,iran_disasters__significant_earthquakes_1956_2023,noaa-ncei,Natural Disasters,"Significant Earthquakes: Magnitude, Casualties & Economic Damage (1956-2023)","Significant Earthquakes: Magnitude, Casualties & Economic Damage (1956-2023)"
,keep,iran_disasters__ssi_pensioners_amounts_paid_1991_2006,iran-data-portal,Social Protection,"Social Security Organization Pensioners & Amounts Paid, by Category (1991-2006)","Social Security Organization Pensioners & Amounts Paid, by Category (1991-2006)"
,keep,iran_energy__national_balance_1386_1394,iran-data-portal,Energy,Iran National Energy Balance Sheet (SH1386-1394),Iran National Energy Balance Sheet (SH1386-1394)
,keep,iran_energy__natural_gas_consumption_1370_1385,iran-data-portal,Energy,"Natural Gas Consumption: Flared, Delivered to NIGC, Injection","Natural Gas Consumption: Flared, Delivered to NIGC, Injection"
,keep,iran_energy__npc_petrochemical_production_1375_1385,iran-data-portal,Energy,National Petrochemical Company Production by Category,National Petrochemical Company Production by Category
,keep,iran_energy__oil_products_imports_1370_1385,iran-data-portal,Energy,"Oil Product Imports by Type (Motor Spirit, Kerosene, Gas Oil, Aviation Spirit)","Oil Product Imports by Type (Motor Spirit, Kerosene, Gas Oil, Aviation Spirit)"
,keep,iran_fx__gold_coin_bahar_azadi_price_daily_2013_2026,tgju,Precious Metals Prices,"Bahar Azadi Gold Coin Price, Rial, Daily (2013-07-22 to 2026-07-11)","Bahar Azadi Gold Coin Price, Rial, Daily (2013-07-22 to 2026-07-11)"
,keep,iran_fx__gold_coin_emami_price_daily_2010_2026,tgju,Precious Metals Prices,"Emami Gold Coin Price, Rial, Daily (2010-04-04 to 2026-07-11)","Emami Gold Coin Price, Rial, Daily (2010-04-04 to 2026-07-11)"
,keep,iran_gasoline_consumption_1955_1972,pahlavi-era-primary-extraction:wb1962-gasoline-consumption-1955-1962,Energy / Transport,National Gasoline Consumption,National Gasoline Consumption
,keep,iran_giews__cereal_import_requirements_2010_2027,fao-giews,Trade (Imports),GIEWS Cereal Import Requirement Forecasts by Grain Type (2010/11-2026/27),GIEWS Cereal Import Requirement Forecasts by Grain Type (2010/11-2026/27)
,keep,iran_giews__wheat_guaranteed_purchase_price_2013_2026,fao-giews,Government Finance,"Government-Guaranteed Wheat Procurement Price, Common & Durum (2013-2026)","Government-Guaranteed Wheat Procurement Price, Common & Durum (2013-2026)"
,keep,iran_gypsum_production_1968_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity=Gypsum),Mining & Minerals Production,Gypsum Production,Gypsum Production
,keep,iran_imidro__sales_export_by_group_2011_2015,imidro-iran,Trade & Investment,IMIDRO Subsidiary Sales & Export Volume/Value by Industrial Group,IMIDRO Subsidiary Sales & Export Volume/Value by Industrial Group
,keep,iran_industry_import_dependence_1970,pahlavi-era-primary-extraction:wb1970-industry-import-dependence,Industry / Light Manufacturing,"Industrial Import Dependence, Share of Imported Inputs in Sales Value, by Product","Industrial Import Dependence, Share of Imported Inputs in Sales Value, by Product"
,keep,iran_institutions__opec_quota_policy_history_1960_2025,iran-opec-membership,Trade Institutions & Policy History,"OPEC Membership, Quota System & Production Policy Milestones for Iran (1960-2025)","OPEC Membership, Quota System & Production Policy Milestones for Iran (1960-2025)"
,keep,iran_insurance__bmi_own_financial_highlights_1386_1391,bimeh-markazi-iran,Financial Sector / Insurance,Bimeh Markazi Iran (Reinsurer) Own Financial Highlights,Bimeh Markazi Iran (Reinsurer) Own Financial Highlights
,keep,iran_insurance__companies_by_ownership_1385_1391,bimeh-markazi-iran,Financial Sector / Insurance,Iranian Insurance Companies by Ownership Type (State vs. Private) & Employment,Iranian Insurance Companies by Ownership Type (State vs. Private) & Employment
,keep,iran_insurance__market_direct_premium_1379_1384,bimeh-markazi-iran,Financial Sector / Insurance,Iranian Insurance Market: Direct Premium Written & Growth Rate,Iranian Insurance Market: Direct Premium Written & Growth Rate
,keep,iran_insurance__market_earned_premium_incurred_loss_1379_1391,bimeh-markazi-iran,Financial Sector / Insurance,"Iranian Insurance Market: Earned Premium, Incurred Loss & Loss Ratio","Iranian Insurance Market: Earned Premium, Incurred Loss & Loss Ratio"
,keep,iran_insurance__premium_loss_by_class_1383_1389,bimeh-markazi-iran,Financial Sector / Insurance,"Iranian Insurance Market: Premium & Loss by Insurance Class (Fire, Motor, Health, etc.)","Iranian Insurance Market: Premium & Loss by Insurance Class (Fire, Motor, Health, etc.)"
,keep,iran_insurance__sales_network_1382_1391,bimeh-markazi-iran,Financial Sector / Insurance,Iranian Insurance Market: Sales Network (SH1382-1391),Iranian Insurance Market: Sales Network (SH1382-1391)
,keep,iran_iron_ore_production_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity contains 'Iron ore'),Mining & Minerals Production,Iron Ore Production (Gross Weight),Iron Ore Production (Gross Weight)
,keep,iran_lead_production_by_stage_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity contains 'Lead'),Mining & Minerals Production,"Lead Production, Mine Output & Smelter/Ingot Output","Lead Production, Mine Output & Smelter/Ingot Output"
,keep,iran_manganese_ore_production_1961_1980,usgs_iran_mineral_production_1961_1980.csv (rows: commodity contains 'Manganese'),Mining & Minerals Production,Manganese Ore Production,Manganese Ore Production
