chart_id,title,category,primary_source,verdict,flags,n_variants,n_countries,iran_points,iran_nonzero,iran_span,iran_distinct,iran_ymin,iran_ymax,best_variant
faostat__Palm Oil__trade,Palm Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,90,67,63,45,1961,2023,Domestic supply quantity
faostat__Palm kernels__trade,Palm kernels,Agriculture Trade,faostat-fbs+fbsh,THIN,SPARSE|SHORT,1,9,53,5,5,4,2004,2008,Domestic supply quantity
faostat__Palmkernel Oil__consumption,Palmkernel Oil,Food Consumption,faostat-fbs+fbsh,OK,,2,9,134,46,51,44,1973,2023,Food supply (kcal/capita/day)
faostat__Palmkernel Oil__trade,Palmkernel Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,89,39,50,14,1974,2023,Domestic supply quantity
faostat__Papayas__price,Papayas,Agriculture Prices,faostat-pp+pa,OK,,2,5,37,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Papayas__production,Papayas,Agriculture Production,faostat-qcl,OK,,3,5,171,43,43,42,1982,2024,Yield
faostat__Peaches and nectarines__price,Peaches and nectarines,Agriculture Prices,faostat-pp+pa,OK,,4,11,124,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Peaches and nectarines__production,Peaches and nectarines,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,53,1961,2024,Yield
faostat__Pears__price,Pears,Agriculture Prices,faostat-pp+pa,OK,,4,10,155,56,57,56,1967,2023,Producer Price (LCU/tonne)
faostat__Pears__production,Pears,Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,59,1961,2024,Production
"faostat__Peas, dry__production","Peas, dry",Agriculture Production,faostat-qcl,DEAD,ALL_ZERO,2,9,8,0,0,0,,,Area harvested
"faostat__Peas, green__price","Peas, green",Agriculture Prices,faostat-pp+pa,OK,,1,7,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Peas, green__production","Peas, green",Agriculture Production,faostat-qcl,OK,,3,8,105,35,35,35,1990,2024,Area harvested
faostat__Peas__consumption,Peas,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,39,46,29,1976,2021,Food supply (kcal/capita/day)
faostat__Peas__trade,Peas,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,92,31,48,20,1976,2023,Domestic supply quantity
faostat__Pelagic Fish__consumption,Pelagic Fish,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,58,54,53,1970,2023,Food supply (kcal/capita/day)
faostat__Pelagic Fish__trade,Pelagic Fish,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,58,54,55,1970,2023,Domestic supply quantity
faostat__Pepper__consumption,Pepper,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,57,63,31,1961,2023,Food supply (kcal/capita/day)
faostat__Pepper__trade,Pepper,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,42,60,6,1964,2023,Domestic supply quantity
faostat__Persimmons__price,Persimmons,Agriculture Prices,faostat-pp+pa,OK,,4,4,103,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Persimmons__production,Persimmons,Agriculture Production,faostat-qcl,OK,,3,5,192,64,64,47,1961,2024,Production
faostat__Pigmeat__consumption,Pigmeat,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,19,19,14,1961,1979,Food supply (kcal/capita/day)
faostat__Pigmeat__trade,Pigmeat,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,90,19,19,3,1961,1979,Domestic supply quantity
faostat__Pimento__consumption,Pimento,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,28,1961,2023,Food supply (kcal/capita/day)
faostat__Pimento__trade,Pimento,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,5,1961,2023,Domestic supply quantity
faostat__Pineapples and products__consumption,Pineapples and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,27,46,23,1978,2023,Food supply (kcal/capita/day)
faostat__Pineapples and products__trade,Pineapples and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,25,21,22,2003,2023,Domestic supply quantity
"faostat__Pistachios, in shell__price","Pistachios, in shell",Agriculture Prices,faostat-pp+pa,OK,,4,4,156,57,58,56,1966,2023,Producer Price (LCU/tonne)
"faostat__Pistachios, in shell__production","Pistachios, in shell",Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,64,1961,2024,Yield
faostat__Plums and sloes__price,Plums and sloes,Agriculture Prices,faostat-pp+pa,OK,,4,9,124,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Plums and sloes__production,Plums and sloes,Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,54,1961,2024,Yield
faostat__Pomelos and grapefruits__price,Pomelos and grapefruits,Agriculture Prices,faostat-pp+pa,OK,,4,6,103,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Pomelos and grapefruits__production,Pomelos and grapefruits,Agriculture Production,faostat-qcl,OK,,3,8,192,64,64,61,1961,2024,Yield
faostat__Potatoes and products__consumption,Potatoes and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Potatoes and products__trade,Potatoes and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,65,1961,2023,Domestic supply quantity
faostat__Potatoes__price,Potatoes,Agriculture Prices,faostat-pp+pa,OK,,4,11,156,57,57,56,1966,2022,Producer Price (LCU/tonne)
faostat__Potatoes__production,Potatoes,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,62,1961,2024,Area harvested
faostat__Poultry Birds__production,Poultry Birds,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,64,1961,2024,Stocks
faostat__Poultry Meat__consumption,Poultry Meat,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply (kcal/capita/day)
faostat__Poultry Meat__trade,Poultry Meat,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,63,1961,2023,Domestic supply quantity
"faostat__Pulses, Other and products__consumption","Pulses, Other and products",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,66,1961,2023,Food supply (kcal/capita/day)
"faostat__Pulses, Other and products__trade","Pulses, Other and products",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,64,1961,2023,Domestic supply quantity
"faostat__Pulses, Total__price","Pulses, Total",Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Pulses, Total__production","Pulses, Total",Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Yield
faostat__Pulses__consumption,Pulses,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,61,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Pulses__trade,Pulses,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,60,1961,2023,Domestic supply quantity
"faostat__Pumpkins, squash and gourds__price","Pumpkins, squash and gourds",Agriculture Prices,faostat-pp+pa,OK,,2,11,37,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Pumpkins, squash and gourds__production","Pumpkins, squash and gourds",Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Yield
faostat__Quinces__price,Quinces,Agriculture Prices,faostat-pp+pa,OK,,4,6,103,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Quinces__production,Quinces,Agriculture Production,faostat-qcl,OK,,3,7,192,64,64,51,1961,2024,Yield
faostat__Rape and Mustard Oil__consumption,Rape and Mustard Oil,Food Consumption,faostat-fbs+fbsh,OK,,2,10,134,31,51,29,1973,2023,Food supply (kcal/capita/day)
faostat__Rape and Mustard Oil__trade,Rape and Mustard Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,92,26,22,22,2002,2023,Domestic supply quantity
faostat__Rape and Mustardseed__consumption,Rape and Mustardseed,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,31,27,8,1997,2023,Food supply (kcal/capita/day)
faostat__Rape and Mustardseed__trade,Rape and Mustardseed,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,94,26,22,26,2002,2023,Domestic supply quantity
faostat__Rape or colza seed__price,Rape or colza seed,Agriculture Prices,faostat-pp+pa,OK,,4,8,53,23,23,23,2003,2025,Producer Price Index (2014-2016 = 100)
faostat__Rape or colza seed__production,Rape or colza seed,Agriculture Production,faostat-qcl,OK,,3,8,81,27,27,27,1998,2024,Area harvested
"faostat__Rapeseed or canola oil, crude__production","Rapeseed or canola oil, crude",Agriculture Production,faostat-qcl,OK,,1,8,21,21,21,21,2003,2023,Production
faostat__Raspberries__price,Raspberries,Agriculture Prices,faostat-pp+pa,OK,,4,5,56,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Raw cane or beet sugar (centrifugal only)__production,Raw cane or beet sugar (centrifugal only),Agriculture Production,faostat-qcl,OK,,1,10,63,63,63,63,1961,2023,Production
faostat__Raw hides and skins of buffaloes__production,Raw hides and skins of buffaloes,Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,46,1961,2024,Production
faostat__Raw hides and skins of cattle__production,Raw hides and skins of cattle,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,60,1961,2024,Production
faostat__Raw hides and skins of goats or kids__production,Raw hides and skins of goats or kids,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,53,1961,2024,Production
faostat__Raw hides and skins of sheep or lambs__production,Raw hides and skins of sheep or lambs,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,59,1961,2024,Producing Animals/Slaughtered
faostat__Raw milk of buffalo__price,Raw milk of buffalo,Agriculture Prices,faostat-pp+pa,OK,,4,3,140,51,57,50,1967,2023,Producer Price (LCU/tonne)
faostat__Raw milk of buffalo__production,Raw milk of buffalo,Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,48,1961,2024,Milk Animals
faostat__Raw milk of cattle__price,Raw milk of cattle,Agriculture Prices,faostat-pp+pa,OK,,4,11,158,57,57,56,1967,2023,Producer Price (LCU/tonne)
faostat__Raw milk of cattle__production,Raw milk of cattle,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,63,1961,2024,Production
faostat__Raw milk of goats__price,Raw milk of goats,Agriculture Prices,faostat-pp+pa,OK,,4,9,137,50,57,49,1967,2023,Producer Price (LCU/tonne)
faostat__Raw milk of goats__production,Raw milk of goats,Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,60,1961,2024,Production
faostat__Raw milk of sheep__price,Raw milk of sheep,Agriculture Prices,faostat-pp+pa,OK,,4,7,158,57,57,56,1967,2023,Producer Price (LCU/tonne)
faostat__Raw milk of sheep__production,Raw milk of sheep,Agriculture Production,faostat-qcl,OK,,3,7,192,64,64,58,1961,2024,Production
faostat__Raw silk (not thrown)__production,Raw silk (not thrown),Agriculture Production,faostat-qcl,OK,,1,5,63,63,63,38,1961,2023,Production
faostat__Rice (Milled Equivalent)__consumption,Rice (Milled Equivalent),Food Consumption,faostat-fbs+fbsh,OK,,2,10,106,53,53,53,1961,2013,Food supply quantity (kg/capita/yr)
faostat__Rice (Milled Equivalent)__trade,Rice (Milled Equivalent),Agriculture Trade,faostat-fbs+fbsh,OK,,1,10,53,53,53,53,1961,2013,Domestic supply quantity
faostat__Rice and products__consumption,Rice and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,28,14,14,14,2010,2023,Food supply quantity (kg/capita/yr)
faostat__Rice and products__trade,Rice and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,42,14,14,14,2010,2023,Import quantity
faostat__Rice__price,Rice,Agriculture Prices,faostat-pp+pa,OK,,4,10,159,58,58,57,1966,2023,Producer Price (LCU/tonne)
faostat__Rice__production,Rice,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Yield
"faostat__Roots and Tubers, Total__price","Roots and Tubers, Total",Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Roots and Tubers, Total__production","Roots and Tubers, Total",Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,62,1961,2024,Area harvested
faostat__Rye and products__consumption,Rye and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,22,46,10,1978,2023,Food supply (kcal/capita/day)
faostat__Rye and products__trade,Rye and products,Agriculture Trade,faostat-fbs+fbsh,THIN,SPARSE,3,11,81,6,43,6,1978,2020,Domestic supply quantity
faostat__Rye__production,Rye,Agriculture Production,faostat-qcl,OK,,3,9,161,33,37,33,1988,2024,Yield
faostat__Safflower seed__price,Safflower seed,Agriculture Prices,faostat-pp+pa,OK,,1,6,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Safflower seed__production,Safflower seed,Agriculture Production,faostat-qcl,OK,,3,6,166,38,57,38,1968,2024,Area harvested
"faostat__Seed cotton, unginned__price","Seed cotton, unginned",Agriculture Prices,faostat-pp+pa,OK,,4,6,138,51,52,50,1966,2017,Producer Price (LCU/tonne)
"faostat__Seed cotton, unginned__production","Seed cotton, unginned",Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,63,1961,2024,Production
faostat__Sesame seed__consumption,Sesame seed,Food Consumption,faostat-fbs+fbsh,THIN,SPARSE|SHORT,2,9,10,5,5,5,2019,2023,Food supply quantity (kg/capita/yr)
faostat__Sesame seed__price,Sesame seed,Agriculture Prices,faostat-pp+pa,OK,,4,6,156,57,58,57,1966,2023,Producer Price (LCU/tonne)
faostat__Sesame seed__production,Sesame seed,Agriculture Production,faostat-qcl,OK,,3,8,192,64,64,44,1961,2024,Area harvested
faostat__Sesame seed__trade,Sesame seed,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,36,1961,2023,Domestic supply quantity
faostat__Sesameseed Oil__consumption,Sesameseed Oil,Food Consumption,faostat-fbs+fbsh,OK,,2,10,134,67,63,63,1961,2023,Food supply (kcal/capita/day)
faostat__Sesameseed Oil__trade,Sesameseed Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,19,1961,2023,Domestic supply quantity
faostat__Sheep and Goat Meat__production,Sheep and Goat Meat,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,62,1961,2024,Production
faostat__Sheep and Goats__production,Sheep and Goats,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,60,1961,2024,Stocks
"faostat__Sheep fat, unrendered__production","Sheep fat, unrendered",Agriculture Production,faostat-qcl,OK,,2,11,128,64,64,59,1961,2024,Producing Animals/Slaughtered
faostat__Sheep__production,Sheep,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,57,1961,2024,Stocks
"faostat__Shorn wool, greasy, including fleece-washed shorn wool__price","Shorn wool, greasy, including fleece-washed shorn wool",Agriculture Prices,faostat-pp+pa,OK,,4,8,158,57,57,57,1967,2023,Producer Price (LCU/tonne)
"faostat__Shorn wool, greasy, including fleece-washed shorn wool__production","Shorn wool, greasy, including fleece-washed shorn wool",Agriculture Production,faostat-qcl,OK,,1,9,64,64,64,53,1961,2024,Production
faostat__Silk-worm cocoons suitable for reeling__price,Silk-worm cocoons suitable for reeling,Agriculture Prices,faostat-pp+pa,OK,,4,5,134,49,57,48,1967,2023,Producer Price (LCU/tonne)
faostat__Silk-worm cocoons suitable for reeling__production,Silk-worm cocoons suitable for reeling,Agriculture Production,faostat-qcl,OK,,1,5,64,64,64,33,1961,2024,Production
"faostat__Skim Milk & Buttermilk, Dry__production","Skim Milk & Buttermilk, Dry",Agriculture Production,faostat-qcl,OK,,1,11,14,14,14,14,2010,2023,Production
faostat__Skim milk and whey powder__production,Skim milk and whey powder,Agriculture Production,faostat-qcl,OK,,1,8,14,14,14,14,2010,2023,Production
faostat__Skim milk of cows__production,Skim milk of cows,Agriculture Production,faostat-qcl,OK,,1,11,63,63,63,63,1961,2023,Production
faostat__Sorghum and products__trade,Sorghum and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,86,12,37,12,1975,2011,Domestic supply quantity
faostat__Sorghum__price,Sorghum,Agriculture Prices,faostat-pp+pa,OK,,1,10,25,25,25,18,1966,1990,Producer Price (LCU/tonne)
faostat__Sour cherries__price,Sour cherries,Agriculture Prices,faostat-pp+pa,OK,,4,6,103,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Sour cherries__production,Sour cherries,Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,56,1961,2024,Production
faostat__Soya bean oil__production,Soya bean oil,Agriculture Production,faostat-qcl,OK,,1,11,63,63,63,54,1961,2023,Production
faostat__Soya beans__price,Soya beans,Agriculture Prices,faostat-pp+pa,OK,,4,9,159,58,58,55,1966,2023,Producer Price (LCU/tonne)
faostat__Soya beans__production,Soya beans,Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,55,1961,2024,Production
faostat__Soyabean Oil__consumption,Soyabean Oil,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply (kcal/capita/day)
faostat__Soyabean Oil__trade,Soyabean Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,91,67,63,66,1961,2023,Domestic supply quantity
faostat__Soyabeans__trade,Soyabeans,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,58,1961,2023,Domestic supply quantity
"faostat__Spices, Other__consumption","Spices, Other",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,63,1961,2023,Food supply (kcal/capita/day)
"faostat__Spices, Other__trade","Spices, Other",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,33,1961,2023,Domestic supply quantity
faostat__Spices__consumption,Spices,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,41,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Spices__trade,Spices,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,34,1961,2023,Domestic supply quantity
faostat__Spinach__price,Spinach,Agriculture Prices,faostat-pp+pa,OK,,4,8,80,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Spinach__production,Spinach,Agriculture Production,faostat-qcl,OK,,3,8,105,35,35,35,1990,2024,Area harvested
faostat__Starchy Roots__consumption,Starchy Roots,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Starchy Roots__trade,Starchy Roots,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,64,1961,2023,Domestic supply quantity
faostat__Stimulants__consumption,Stimulants,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,53,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Stimulants__trade,Stimulants,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,53,1961,2023,Domestic supply quantity
faostat__Strawberries__price,Strawberries,Agriculture Prices,faostat-pp+pa,OK,,4,9,115,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Strawberries__production,Strawberries,Agriculture Production,faostat-qcl,OK,,3,10,173,45,45,45,1980,2024,Area harvested
faostat__String beans__price,String beans,Agriculture Prices,faostat-pp+pa,OK,,4,6,122,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Sugar & Sweeteners__consumption,Sugar & Sweeteners,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,66,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Sugar & Sweeteners__trade,Sugar & Sweeteners,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,65,1961,2023,Domestic supply quantity
faostat__Sugar (Raw Equivalent)__consumption,Sugar (Raw Equivalent),Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply (kcal/capita/day)
faostat__Sugar (Raw Equivalent)__trade,Sugar (Raw Equivalent),Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,63,1961,2023,Domestic supply quantity
faostat__Sugar Crops Primary__production,Sugar Crops Primary,Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,64,1961,2024,Area harvested
faostat__Sugar Crops__consumption,Sugar Crops,Food Consumption,faostat-fbs+fbsh,OK,,2,7,28,14,14,14,2010,2023,Food supply quantity (kg/capita/yr)
faostat__Sugar Crops__trade,Sugar Crops,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,87,67,63,66,1961,2023,Domestic supply quantity
faostat__Sugar beet__price,Sugar beet,Agriculture Prices,faostat-pp+pa,OK,,4,7,156,57,58,55,1966,2023,Producer Price (LCU/tonne)
faostat__Sugar beet__production,Sugar beet,Agriculture Production,faostat-qcl,OK,,3,8,192,64,64,64,1961,2024,Production
faostat__Sugar beet__trade,Sugar beet,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,83,67,63,67,1961,2023,Domestic supply quantity
faostat__Sugar cane__consumption,Sugar cane,Food Consumption,faostat-fbs+fbsh,OK,,2,5,28,14,14,14,2010,2023,Food supply quantity (kg/capita/yr)
faostat__Sugar cane__price,Sugar cane,Agriculture Prices,faostat-pp+pa,OK,,4,5,96,37,57,34,1966,2022,Producer Price (LCU/tonne)
faostat__Sugar cane__production,Sugar cane,Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,63,1961,2024,Yield
faostat__Sugar cane__trade,Sugar cane,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,75,67,63,62,1961,2023,Domestic supply quantity
faostat__Sunflower seed__price,Sunflower seed,Agriculture Prices,faostat-pp+pa,OK,,4,8,159,58,58,56,1966,2023,Producer Price (LCU/tonne)
faostat__Sunflower seed__production,Sunflower seed,Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,62,1961,2024,Production
faostat__Sunflower seed__trade,Sunflower seed,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,65,61,50,1963,2023,Domestic supply quantity
"faostat__Sunflower-seed oil, crude__production","Sunflower-seed oil, crude",Agriculture Production,faostat-qcl,OK,,1,9,63,63,63,62,1961,2023,Production
faostat__Sunflowerseed Oil__consumption,Sunflowerseed Oil,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply (kcal/capita/day)
faostat__Sunflowerseed Oil__trade,Sunflowerseed Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,93,67,63,59,1961,2023,Domestic supply quantity
"faostat__Sweeteners, Other__consumption","Sweeteners, Other",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,57,63,50,1961,2023,Food supply (kcal/capita/day)
"faostat__Sweeteners, Other__trade","Sweeteners, Other",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,55,63,25,1961,2023,Domestic supply quantity
faostat__Tallow__production,Tallow,Agriculture Production,faostat-qcl,OK,,1,7,63,63,63,63,1961,2023,Production
"faostat__Tangerines, mandarins, clementines__price","Tangerines, mandarins, clementines",Agriculture Prices,faostat-pp+pa,OK,,4,10,124,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Tangerines, mandarins, clementines__production","Tangerines, mandarins, clementines",Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,64,1961,2024,Area harvested
faostat__Tea (including mate)__consumption,Tea (including mate),Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,57,1961,2023,Food supply (kcal/capita/day)
faostat__Tea (including mate)__trade,Tea (including mate),Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,51,1961,2023,Domestic supply quantity
faostat__Tea leaves__price,Tea leaves,Agriculture Prices,faostat-pp+pa,OK,,4,5,149,54,57,45,1967,2023,Producer Price (LCU/tonne)
faostat__Tea leaves__production,Tea leaves,Agriculture Production,faostat-qcl,OK,,3,5,192,64,64,64,1961,2024,Yield
faostat__Tomatoes and products__consumption,Tomatoes and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Tomatoes and products__trade,Tomatoes and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,66,1961,2023,Domestic supply quantity
faostat__Tomatoes__price,Tomatoes,Agriculture Prices,faostat-pp+pa,OK,,4,11,159,58,58,58,1966,2023,Producer Price (LCU/tonne)
faostat__Tomatoes__production,Tomatoes,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,61,1961,2024,Production
"faostat__Treenuts, Total__price","Treenuts, Total",Agriculture Prices,faostat-pp+pa,OK,,1,8,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Treenuts, Total__production","Treenuts, Total",Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,64,1961,2024,Yield
faostat__Treenuts__consumption,Treenuts,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,66,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Treenuts__trade,Treenuts,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,62,1961,2023,Domestic supply quantity
faostat__Turkeys__production,Turkeys,Agriculture Production,faostat-qcl,OK,,1,9,64,64,64,45,1961,2024,Stocks
faostat__Unmanufactured tobacco__price,Unmanufactured tobacco,Agriculture Prices,faostat-pp+pa,OK,,4,9,137,50,57,50,1967,2023,Producer Price (LCU/tonne)
faostat__Unmanufactured tobacco__production,Unmanufactured tobacco,Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,64,1961,2024,Yield
faostat__Vegetable Oils__consumption,Vegetable Oils,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,64,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Vegetable Oils__trade,Vegetable Oils,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,67,1961,2023,Domestic supply quantity
faostat__Vegetables Primary__price,Vegetables Primary,Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Vegetables Primary__production,Vegetables Primary,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Area harvested
"faostat__Vegetables and Melons, Total__price","Vegetables and Melons, Total",Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Vegetables, other__consumption","Vegetables, other",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply quantity (kg/capita/yr)
"faostat__Vegetables, other__trade","Vegetables, other",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,66,1961,2023,Domestic supply quantity
faostat__Vegetables__consumption,Vegetables,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Vegetables__trade,Vegetables,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,67,1961,2023,Domestic supply quantity
faostat__Vegetal Products__consumption,Vegetal Products,Food Consumption,faostat-fbs+fbsh,OK,,1,11,67,67,63,66,1961,2023,Food supply (kcal/capita/day)
"faostat__Walnuts, in shell__price","Walnuts, in shell",Agriculture Prices,faostat-pp+pa,OK,,4,8,156,57,58,57,1966,2023,Producer Price (LCU/tonne)
"faostat__Walnuts, in shell__production","Walnuts, in shell",Agriculture Production,faostat-qcl,OK,,3,8,192,64,64,56,1961,2024,Yield
faostat__Watermelons__price,Watermelons,Agriculture Prices,faostat-pp+pa,OK,,4,11,158,57,57,57,1967,2023,Producer Price (LCU/tonne)
faostat__Watermelons__production,Watermelons,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Production
