chart_id,old_title_fa,new_title_fa,note
"faostat__Marine Fish, Other__trade",صادرات و واردات سایر ماهیان دریایی,سایر ماهیان دریایی,faostat-commodity term
"faostat__Meat of buffalo, fresh or chilled__price",قیمت تولیدکننده گوشت گاومیش، تازه یا سردکرده,گوشت گاومیش، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of buffalo, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت گاومیش، تازه یا سردکرده,گوشت گاومیش، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of camels, fresh or chilled__price",قیمت تولیدکننده گوشت شتر، تازه یا سردکرده,گوشت شتر، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of camels, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت شتر، تازه یا سردکرده,گوشت شتر، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of cattle with the bone, fresh or chilled__price",قیمت تولیدکننده گوشت گاو با استخوان، تازه یا سردکرده,گوشت گاو با استخوان، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of cattle with the bone, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت گاو با استخوان، تازه یا سردکرده,گوشت گاو با استخوان، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of chickens, fresh or chilled__price",قیمت تولیدکننده گوشت مرغ، تازه یا سردکرده,گوشت مرغ، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of chickens, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت مرغ، تازه یا سردکرده,گوشت مرغ، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of ducks, fresh or chilled__price",قیمت تولیدکننده گوشت اردک، تازه یا سردکرده,گوشت اردک، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of ducks, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت اردک، تازه یا سردکرده,گوشت اردک، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of geese, fresh or chilled__price",قیمت تولیدکننده گوشت غاز، تازه یا سردکرده,گوشت غاز، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of geese, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت غاز، تازه یا سردکرده,گوشت غاز، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of goat, fresh or chilled__price",قیمت تولیدکننده گوشت بز، تازه یا سردکرده,گوشت بز، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of goat, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت بز، تازه یا سردکرده,گوشت بز، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of pig with the bone, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت خوک با استخوان، تازه یا سردکرده,گوشت خوک با استخوان، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of sheep, fresh or chilled__price",قیمت تولیدکننده گوشت گوسفند، تازه یا سردکرده,گوشت گوسفند، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of sheep, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت گوسفند، تازه یا سردکرده,گوشت گوسفند، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of turkeys, fresh or chilled__price",قیمت تولیدکننده گوشت بوقلمون، تازه یا سردکرده,گوشت بوقلمون، تازه یا سردکرده,faostat-commodity term
"faostat__Meat of turkeys, fresh or chilled__production",تولید، سطح زیر کشت و عملکرد گوشت بوقلمون، تازه یا سردکرده,گوشت بوقلمون، تازه یا سردکرده,faostat-commodity term
"faostat__Meat, Other__consumption",سرانه مصرف سایر گوشت,سایر گوشت‌ها,faostat-commodity term
"faostat__Meat, Other__trade",صادرات و واردات سایر گوشت,سایر گوشت‌ها,faostat-commodity term
"faostat__Meat, Poultry__production",تولید، سطح زیر کشت و عملکرد گوشت ماکیان,گوشت طیور,faostat-commodity term
"faostat__Meat, Total__price",قیمت تولیدکننده گوشت، جمع کل,گوشت (کل),faostat-commodity term
"faostat__Meat, Total__production",تولید گوشت، جمع کل (تن),گوشت (کل),faostat-commodity term
faostat__Meat__consumption,سرانه مصرف گوشت,گوشت,faostat-commodity term
faostat__Meat__trade,صادرات و واردات گوشت,گوشت,faostat-commodity term
faostat__Melonseed__production,تولید، سطح زیر کشت و عملکرد دانه خربزه,دانه خربزه,faostat-commodity term
faostat__Milk - Excluding Butter__consumption,سرانه مصرف شیر (به‌جز کره),شیر (به استثنای کره),faostat-commodity term
faostat__Milk - Excluding Butter__trade,صادرات و واردات شیر (به‌جز کره),شیر (به استثنای کره),faostat-commodity term
"faostat__Milk, Total__price",قیمت تولیدکننده شیر، جمع کل,شیر (کل),faostat-commodity term
"faostat__Milk, Total__production",تولید، سطح زیر کشت و عملکرد شیر، جمع کل,شیر (کل),faostat-commodity term
faostat__Millet and products__trade,صادرات و واردات ارزن و فرآورده‌های آن,ارزن و فرآورده‌های آن,faostat-commodity term
faostat__Millet__price,قیمت تولیدکننده ارزن,ارزن,faostat-commodity term
faostat__Millet__production,تولید، سطح زیر کشت و عملکرد ارزن,ارزن,faostat-commodity term
faostat__Miscellaneous__consumption,سرانه مصرف متفرقه,متفرقه,faostat-commodity term
faostat__Miscellaneous__trade,صادرات و واردات متفرقه,متفرقه,faostat-commodity term
faostat__Molasses__production,تولید ملاس (تن),ملاس,faostat-commodity term
"faostat__Molluscs, Other__consumption",سرانه مصرف سایر نرم‌تنان,سایر نرم‌تنان,faostat-commodity term
"faostat__Molluscs, Other__trade",صادرات و واردات سایر نرم‌تنان,سایر نرم‌تنان,faostat-commodity term
faostat__Mules and hinnies__production,تولید، سطح زیر کشت و عملکرد قاطر و استر,قاطر و استر,faostat-commodity term
faostat__Mushrooms and truffles__price,قیمت تولیدکننده قارچ و ترافل,قارچ و ترافل,faostat-commodity term
faostat__Mushrooms and truffles__production,تولید قارچ و ترافل (تن),قارچ و ترافل,faostat-commodity term
faostat__Mustard seed__production,تولید، سطح زیر کشت و عملکرد دانه خردل,دانه خردل,faostat-commodity term
faostat__Mutton & Goat Meat__consumption,سرانه مصرف گوشت گوسفند و بز,گوشت گوسفند و بز,faostat-commodity term
faostat__Mutton & Goat Meat__trade,صادرات و واردات گوشت گوسفند و بز,گوشت گوسفند و بز,faostat-commodity term
faostat__Natural honey__price,قیمت تولیدکننده عسل طبیعی,عسل طبیعی,faostat-commodity term
faostat__Natural honey__production,تولید عسل طبیعی (تن),عسل طبیعی,faostat-commodity term
faostat__Nuts and products__consumption,سرانه مصرف آجیل و فرآورده‌های آن,آجیل و فرآورده‌های آن,faostat-commodity term
faostat__Nuts and products__trade,صادرات و واردات آجیل و فرآورده‌های آن,آجیل و فرآورده‌های آن,faostat-commodity term
faostat__Oats__consumption,سرانه مصرف یولاف (جو دوسر),جو دوسر,faostat-commodity term
faostat__Oats__trade,صادرات و واردات یولاف (جو دوسر),جو دوسر,faostat-commodity term
"faostat__Offals, Edible__consumption",سرانه مصرف احشای خوراکی,احشای خوراکی,faostat-commodity term
"faostat__Offals, Edible__trade",صادرات و واردات احشای خوراکی,احشای خوراکی,faostat-commodity term
faostat__Offals__consumption,سرانه مصرف احشا,احشا,faostat-commodity term
faostat__Offals__trade,صادرات و واردات احشا,احشا,faostat-commodity term
faostat__Oil of linseed__production,تولید روغن بزرک (تن),روغن بزرک,faostat-commodity term
faostat__Oil of sesame seed__production,تولید روغن کنجد (تن),روغن کنجد,faostat-commodity term
"faostat__Oilcrops Oil, Other__consumption",سرانه مصرف سایر روغن‌های دانه‌های روغنی,سایر روغن‌های دانه‌های روغنی,faostat-commodity term
"faostat__Oilcrops Oil, Other__trade",صادرات و واردات سایر روغن‌های دانه‌های روغنی,سایر روغن‌های دانه‌های روغنی,faostat-commodity term
"faostat__Oilcrops, Cake Equivalent__production",تولید، سطح زیر کشت و عملکرد دانه‌های روغنی (معادل کنجاله),دانه‌های روغنی (معادل کنجاله),faostat-commodity term
"faostat__Oilcrops, Oil Equivalent__price",قیمت تولیدکننده دانه‌های روغنی (معادل روغن),دانه‌های روغنی (معادل روغن),faostat-commodity term
"faostat__Oilcrops, Oil Equivalent__production",تولید، سطح زیر کشت و عملکرد دانه‌های روغنی (معادل روغن),دانه‌های روغنی (معادل روغن),faostat-commodity term
"faostat__Oilcrops, Other__consumption",سرانه مصرف سایر دانه‌های روغنی,سایر دانه‌های روغنی,faostat-commodity term
"faostat__Oilcrops, Other__trade",صادرات و واردات سایر دانه‌های روغنی,سایر دانه‌های روغنی,faostat-commodity term
faostat__Oilcrops__consumption,سرانه مصرف دانه‌های روغنی,دانه‌های روغنی,faostat-commodity term
faostat__Oilcrops__trade,صادرات و واردات دانه‌های روغنی,دانه‌های روغنی,faostat-commodity term
faostat__Olive Oil__consumption,سرانه مصرف روغن زیتون,روغن زیتون,faostat-commodity term
faostat__Olive Oil__trade,صادرات و واردات روغن زیتون,روغن زیتون,faostat-commodity term
faostat__Olive oil__production,تولید روغن زیتون (تن),روغن زیتون,faostat-commodity term
faostat__Olives (including preserved)__consumption,سرانه مصرف زیتون (شامل کنسروی و نمکی),زیتون (شامل کنسروی),faostat-commodity term
faostat__Olives (including preserved)__trade,صادرات و واردات زیتون (شامل کنسروی و نمکی),زیتون (شامل کنسروی),faostat-commodity term
faostat__Olives__price,قیمت تولیدکننده زیتون,زیتون,faostat-commodity term
faostat__Olives__production,تولید، سطح زیر کشت و عملکرد زیتون,زیتون,faostat-commodity term
"faostat__Onions and shallots, dry (excluding dehydrated)__price",قیمت تولیدکننده پیاز و موسیر، خشک (به‌جز دهیدراته),پیاز و موسیر خشک,faostat-commodity term
"faostat__Onions and shallots, dry (excluding dehydrated)__production",تولید، سطح زیر کشت و عملکرد پیاز و موسیر، خشک (به‌جز دهیدراته),پیاز و موسیر خشک,faostat-commodity term
faostat__Onions__consumption,سرانه مصرف پیاز,پیاز,faostat-commodity term
faostat__Onions__trade,صادرات و واردات پیاز,پیاز,faostat-commodity term
"faostat__Oranges, Mandarines__consumption",سرانه مصرف پرتقال و نارنگی,پرتقال و نارنگی,faostat-commodity term
"faostat__Oranges, Mandarines__trade",صادرات و واردات پرتقال و نارنگی,پرتقال و نارنگی,faostat-commodity term
faostat__Oranges__price,قیمت تولیدکننده پرتقال,پرتقال,faostat-commodity term
faostat__Oranges__production,تولید، سطح زیر کشت و عملکرد پرتقال,پرتقال,faostat-commodity term
"faostat__Other beans, green__price",قیمت تولیدکننده سایر لوبیاها، سبز,سایر لوبیاهای سبز,faostat-commodity term
"faostat__Other beans, green__production",تولید، سطح زیر کشت و عملکرد سایر لوبیاها، سبز,سایر لوبیاهای سبز,faostat-commodity term
faostat__Other berries and fruits of the genus vaccinium n.e.c.__price,قیمت تولیدکننده سایر توت‌ها و میوه‌های جنس Vaccinium، طبقه‌بندی‌نشده,سایر انواع توت و میوه جنس ویاکسینیوم,faostat-commodity term
faostat__Other berries and fruits of the genus vaccinium n.e.c.__production,تولید، سطح زیر کشت و عملکرد سایر توت‌ها و میوه‌های جنس Vaccinium، طبقه‌بندی‌نشده,سایر انواع توت و میوه جنس ویاکسینیوم,faostat-commodity term
"faostat__Other citrus fruit, n.e.c.__price",قیمت تولیدکننده سایر مرکبات، طبقه‌بندی‌نشده,سایر مرکبات,faostat-commodity term
"faostat__Other citrus fruit, n.e.c.__production",تولید، سطح زیر کشت و عملکرد سایر مرکبات، طبقه‌بندی‌نشده,سایر مرکبات,faostat-commodity term
"faostat__Other fruits, n.e.c.__price",قیمت تولیدکننده سایر میوه‌ها، طبقه‌بندی‌نشده,سایر میوه‌ها,faostat-commodity term
"faostat__Other fruits, n.e.c.__production",تولید، سطح زیر کشت و عملکرد سایر میوه‌ها، طبقه‌بندی‌نشده,سایر میوه‌ها,faostat-commodity term
"faostat__Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.__price",قیمت تولیدکننده سایر آجیل‌ها (به‌جز آجیل‌های خوراکی وحشی و بادام‌زمینی)، با پوست، طبقه‌بندی‌نشده,سایر آجیل‌ها با پوست,faostat-commodity term
"faostat__Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.__production",تولید، سطح زیر کشت و عملکرد سایر آجیل‌ها (به‌جز آجیل‌های خوراکی وحشی و بادام‌زمینی)، با پوست، طبقه‌بندی‌نشده,سایر آجیل‌ها با پوست,faostat-commodity term
"faostat__Other oil seeds, n.e.c.__production",تولید، سطح زیر کشت و عملکرد سایر دانه‌های روغنی، طبقه‌بندی‌نشده,سایر دانه‌های روغنی,faostat-commodity term
faostat__Other pulses n.e.c.__price,قیمت تولیدکننده سایر حبوبات، طبقه‌بندی‌نشده,سایر حبوبات,faostat-commodity term
faostat__Other pulses n.e.c.__production,تولید، سطح زیر کشت و عملکرد سایر حبوبات، طبقه‌بندی‌نشده,سایر حبوبات,faostat-commodity term
"faostat__Other stimulant, spice and aromatic crops, n.e.c.__price",قیمت تولیدکننده سایر محصولات محرک، ادویه‌ای و معطر، طبقه‌بندی‌نشده,سایر محصولات محرک، ادویه‌ای و معطر,faostat-commodity term
"faostat__Other stimulant, spice and aromatic crops, n.e.c.__production",تولید، سطح زیر کشت و عملکرد سایر محصولات محرک، ادویه‌ای و معطر، طبقه‌بندی‌نشده,سایر محصولات محرک، ادویه‌ای و معطر,faostat-commodity term
faostat__Other stone fruits__price,قیمت تولیدکننده سایر میوه‌های هسته‌دار,سایر میوه‌های هسته‌دار,faostat-commodity term
faostat__Other stone fruits__production,تولید، سطح زیر کشت و عملکرد سایر میوه‌های هسته‌دار,سایر میوه‌های هسته‌دار,faostat-commodity term
"faostat__Other tropical fruits, n.e.c.__production",تولید، سطح زیر کشت و عملکرد سایر میوه‌های گرمسیری، طبقه‌بندی‌نشده,سایر میوه‌های گرمسیری,faostat-commodity term
"faostat__Other vegetables, fresh n.e.c.__price",قیمت تولیدکننده سایر سبزیجات تازه، طبقه‌بندی‌نشده,سایر سبزیجات تازه,faostat-commodity term
"faostat__Other vegetables, fresh n.e.c.__production",تولید، سطح زیر کشت و عملکرد سایر سبزیجات تازه، طبقه‌بندی‌نشده,سایر سبزیجات تازه,faostat-commodity term
faostat__Palm Oil__consumption,سرانه مصرف روغن پالم,روغن پالم,faostat-commodity term
faostat__Palm Oil__trade,صادرات و واردات روغن پالم,روغن پالم,faostat-commodity term
faostat__Palm kernels__trade,صادرات و واردات هسته پالم,هسته پالم,faostat-commodity term
faostat__Palmkernel Oil__consumption,سرانه مصرف روغن هسته پالم,روغن هسته پالم,faostat-commodity term
faostat__Palmkernel Oil__trade,صادرات و واردات روغن هسته پالم,روغن هسته پالم,faostat-commodity term
faostat__Papayas__price,قیمت تولیدکننده پاپایا,پاپایا,faostat-commodity term
faostat__Papayas__production,تولید، سطح زیر کشت و عملکرد پاپایا,پاپایا,faostat-commodity term
faostat__Peaches and nectarines__price,قیمت تولیدکننده هلو و شلیل,هلو و شلیل,faostat-commodity term
faostat__Peaches and nectarines__production,تولید، سطح زیر کشت و عملکرد هلو و شلیل,هلو و شلیل,faostat-commodity term
faostat__Pears__price,قیمت تولیدکننده گلابی,گلابی,faostat-commodity term
faostat__Pears__production,تولید، سطح زیر کشت و عملکرد گلابی,گلابی,faostat-commodity term
"faostat__Peas, dry__production",تولید، سطح زیر کشت و عملکرد نخود فرنگی، خشک,نخود فرنگی خشک,faostat-commodity term
"faostat__Peas, green__price",قیمت تولیدکننده نخود فرنگی، سبز,نخود فرنگی سبز,faostat-commodity term
"faostat__Peas, green__production",تولید، سطح زیر کشت و عملکرد نخود فرنگی، سبز,نخود فرنگی سبز,faostat-commodity term
faostat__Peas__consumption,سرانه مصرف نخود فرنگی,نخود فرنگی,faostat-commodity term
faostat__Peas__trade,صادرات و واردات نخود فرنگی,نخود فرنگی,faostat-commodity term
faostat__Pelagic Fish__consumption,سرانه مصرف ماهیان روباز (پلاژیک),ماهیان پلاژیک,faostat-commodity term
faostat__Pelagic Fish__trade,صادرات و واردات ماهیان روباز (پلاژیک),ماهیان پلاژیک,faostat-commodity term
faostat__Pepper__consumption,سرانه مصرف فلفل سیاه,فلفل سیاه,faostat-commodity term
faostat__Pepper__trade,صادرات و واردات فلفل سیاه,فلفل سیاه,faostat-commodity term
faostat__Persimmons__price,قیمت تولیدکننده خرمالو,خرمالو,faostat-commodity term
faostat__Persimmons__production,تولید، سطح زیر کشت و عملکرد خرمالو,خرمالو,faostat-commodity term
faostat__Pigmeat__consumption,سرانه مصرف گوشت خوک,گوشت خوک,faostat-commodity term
faostat__Pigmeat__trade,صادرات و واردات گوشت خوک,گوشت خوک,faostat-commodity term
faostat__Pimento__consumption,سرانه مصرف فلفل انگلیسی (پیمنتو),فلفل دلمه‌ای,faostat-commodity term
faostat__Pimento__trade,صادرات و واردات فلفل انگلیسی (پیمنتو),فلفل دلمه‌ای,faostat-commodity term
faostat__Pineapples and products__consumption,سرانه مصرف آناناس و فرآورده‌های آن,آناناس و فرآورده‌های آن,faostat-commodity term
faostat__Pineapples and products__trade,صادرات و واردات آناناس و فرآورده‌های آن,آناناس و فرآورده‌های آن,faostat-commodity term
"faostat__Pistachios, in shell__price",قیمت تولیدکننده پسته با پوست,پسته با پوست,faostat-commodity term
"faostat__Pistachios, in shell__production",تولید، سطح زیر کشت و عملکرد پسته با پوست,پسته با پوست,faostat-commodity term
faostat__Plantains__consumption,سرانه مصرف موز پلانتین (موز پخت),موز پلانتین,faostat-commodity term
faostat__Plantains__trade,صادرات و واردات موز پلانتین (موز پخت),موز پلانتین,faostat-commodity term
faostat__Plums and sloes__price,قیمت تولیدکننده آلو و گوجه وحشی,آلو و گوجه وحشی,faostat-commodity term
faostat__Plums and sloes__production,تولید، سطح زیر کشت و عملکرد آلو و گوجه وحشی,آلو و گوجه وحشی,faostat-commodity term
faostat__Pomelos and grapefruits__price,قیمت تولیدکننده پوملو و گریپ‌فروت,پوملو و گریپ‌فروت,faostat-commodity term
faostat__Pomelos and grapefruits__production,تولید، سطح زیر کشت و عملکرد پوملو و گریپ‌فروت,پوملو و گریپ‌فروت,faostat-commodity term
faostat__Potatoes and products__consumption,سرانه مصرف سیب‌زمینی و فرآورده‌های آن,سیب‌زمینی و فرآورده‌های آن,faostat-commodity term
faostat__Potatoes and products__trade,صادرات و واردات سیب‌زمینی و فرآورده‌های آن,سیب‌زمینی و فرآورده‌های آن,faostat-commodity term
faostat__Potatoes__price,قیمت تولیدکننده سیب‌زمینی,سیب‌زمینی,faostat-commodity term
faostat__Potatoes__production,تولید، سطح زیر کشت و عملکرد سیب‌زمینی,سیب‌زمینی,faostat-commodity term
faostat__Poultry Birds__production,تولید، سطح زیر کشت و عملکرد پرندگان اهلی (ماکیان),طیور,faostat-commodity term
faostat__Poultry Meat__consumption,سرانه مصرف گوشت ماکیان,گوشت طیور,faostat-commodity term
faostat__Poultry Meat__trade,صادرات و واردات گوشت ماکیان,گوشت طیور,faostat-commodity term
"faostat__Pulses, Other and products__consumption",سرانه مصرف سایر حبوبات و فرآورده‌های آن,سایر حبوبات و فرآورده‌های آن,faostat-commodity term
"faostat__Pulses, Other and products__trade",صادرات و واردات سایر حبوبات و فرآورده‌های آن,سایر حبوبات و فرآورده‌های آن,faostat-commodity term
"faostat__Pulses, Total__price",قیمت تولیدکننده حبوبات، جمع کل,حبوبات (کل),faostat-commodity term
"faostat__Pulses, Total__production",تولید، سطح زیر کشت و عملکرد حبوبات، جمع کل,حبوبات (کل),faostat-commodity term
faostat__Pulses__consumption,سرانه مصرف حبوبات,حبوبات,faostat-commodity term
faostat__Pulses__trade,صادرات و واردات حبوبات,حبوبات,faostat-commodity term
"faostat__Pumpkins, squash and gourds__price",قیمت تولیدکننده کدو تنبل، کدو مسمایی و کدوهای دیگر,کدو، کدوحلوایی و کدوهای دیگر,faostat-commodity term
"faostat__Pumpkins, squash and gourds__production",تولید، سطح زیر کشت و عملکرد کدو تنبل، کدو مسمایی و کدوهای دیگر,کدو، کدوحلوایی و کدوهای دیگر,faostat-commodity term
faostat__Quinces__price,قیمت تولیدکننده به,به,faostat-commodity term
faostat__Quinces__production,تولید، سطح زیر کشت و عملکرد به,به,faostat-commodity term
faostat__Rape and Mustard Oil__consumption,سرانه مصرف روغن کلزا و خردل,روغن کلزا و خردل,faostat-commodity term
faostat__Rape and Mustard Oil__trade,صادرات و واردات روغن کلزا و خردل,روغن کلزا و خردل,faostat-commodity term
faostat__Rape and Mustardseed__consumption,سرانه مصرف دانه کلزا و خردل,دانه کلزا و خردل,faostat-commodity term
faostat__Rape and Mustardseed__trade,صادرات و واردات دانه کلزا و خردل,دانه کلزا و خردل,faostat-commodity term
faostat__Rape or colza seed__price,قیمت تولیدکننده دانه کلزا,دانه کلزا,faostat-commodity term
faostat__Rape or colza seed__production,تولید، سطح زیر کشت و عملکرد دانه کلزا,دانه کلزا,faostat-commodity term
"faostat__Rapeseed or canola oil, crude__production",تولید روغن کلزا (کانولا)، خام (تن),روغن کلزا، خام,faostat-commodity term
faostat__Raspberries__price,قیمت تولیدکننده تمشک,تمشک,faostat-commodity term
faostat__Raw cane or beet sugar (centrifugal only)__production,تولید شکر خام نیشکر یا چغندرقند (فرآوری‌شده با سانتریفیوژ) (تن),شکر خام نیشکر یا چغندرقند,faostat-commodity term
faostat__Raw hides and skins of buffaloes__production,تولید، سطح زیر کشت و عملکرد پوست خام گاومیش,پوست خام گاومیش,faostat-commodity term
faostat__Raw hides and skins of cattle__production,تولید، سطح زیر کشت و عملکرد پوست خام گاو,پوست خام گاو,faostat-commodity term
faostat__Raw hides and skins of goats or kids__production,تولید، سطح زیر کشت و عملکرد پوست خام بز و بزغاله,پوست خام بز و بزغاله,faostat-commodity term
faostat__Raw hides and skins of sheep or lambs__production,تولید، سطح زیر کشت و عملکرد پوست خام گوسفند و بره,پوست خام گوسفند و بره,faostat-commodity term
faostat__Raw milk of buffalo__price,قیمت تولیدکننده شیر خام گاومیش,شیر خام گاومیش,faostat-commodity term
faostat__Raw milk of buffalo__production,تولید، سطح زیر کشت و عملکرد شیر خام گاومیش,شیر خام گاومیش,faostat-commodity term
faostat__Raw milk of cattle__price,قیمت تولیدکننده شیر خام گاو,شیر خام گاو,faostat-commodity term
faostat__Raw milk of cattle__production,تولید، سطح زیر کشت و عملکرد شیر خام گاو,شیر خام گاو,faostat-commodity term
faostat__Raw milk of goats__price,قیمت تولیدکننده شیر خام بز,شیر خام بز,faostat-commodity term
faostat__Raw milk of goats__production,تولید، سطح زیر کشت و عملکرد شیر خام بز,شیر خام بز,faostat-commodity term
faostat__Raw milk of sheep__price,قیمت تولیدکننده شیر خام گوسفند,شیر خام گوسفند,faostat-commodity term
faostat__Raw milk of sheep__production,تولید، سطح زیر کشت و عملکرد شیر خام گوسفند,شیر خام گوسفند,faostat-commodity term
faostat__Raw silk (not thrown)__production,تولید ابریشم خام (نتابیده) (تن),ابریشم خام,faostat-commodity term
faostat__Rice (Milled Equivalent)__consumption,سرانه مصرف برنج (معادل برنج سفید),برنج (معادل سفید),faostat-commodity term
faostat__Rice (Milled Equivalent)__trade,صادرات و واردات برنج (معادل برنج سفید),برنج (معادل سفید),faostat-commodity term
faostat__Rice and products__consumption,سرانه مصرف برنج و فرآورده‌های آن,برنج و فرآورده‌های آن,faostat-commodity term
faostat__Rice and products__trade,صادرات و واردات برنج و فرآورده‌های آن,برنج و فرآورده‌های آن,faostat-commodity term
faostat__Rice__price,قیمت تولیدکننده برنج,برنج,faostat-commodity term
faostat__Rice__production,تولید، سطح زیر کشت و عملکرد برنج,برنج,faostat-commodity term
faostat__Ricebran Oil__consumption,سرانه مصرف روغن سبوس برنج,روغن سبوس برنج,faostat-commodity term
"faostat__Roots and Tubers, Total__price",قیمت تولیدکننده ریشه‌ها و غده‌ها، جمع کل,ریشه‌ها و غده‌ها (کل),faostat-commodity term
"faostat__Roots and Tubers, Total__production",تولید، سطح زیر کشت و عملکرد ریشه‌ها و غده‌ها، جمع کل,ریشه‌ها و غده‌ها (کل),faostat-commodity term
faostat__Rye and products__consumption,سرانه مصرف چاودار و فرآورده‌های آن,چاودار و فرآورده‌های آن,faostat-commodity term
faostat__Rye and products__trade,صادرات و واردات چاودار و فرآورده‌های آن,چاودار و فرآورده‌های آن,faostat-commodity term
faostat__Rye__production,تولید، سطح زیر کشت و عملکرد چاودار,چاودار,faostat-commodity term
faostat__Safflower seed__price,قیمت تولیدکننده دانه گلرنگ,دانه گلرنگ,faostat-commodity term
faostat__Safflower seed__production,تولید، سطح زیر کشت و عملکرد دانه گلرنگ,دانه گلرنگ,faostat-commodity term
"faostat__Seed cotton, unginned__price",قیمت تولیدکننده پنبه‌وش، حلاجی‌نشده,پنبه دانه‌دار، حلاجی‌نشده,faostat-commodity term
"faostat__Seed cotton, unginned__production",تولید، سطح زیر کشت و عملکرد پنبه‌وش، حلاجی‌نشده,پنبه دانه‌دار، حلاجی‌نشده,faostat-commodity term
faostat__Sesame seed__consumption,سرانه مصرف دانه کنجد,کنجد,faostat-commodity term
faostat__Sesame seed__price,قیمت تولیدکننده دانه کنجد,کنجد,faostat-commodity term
faostat__Sesame seed__production,تولید، سطح زیر کشت و عملکرد دانه کنجد,کنجد,faostat-commodity term
faostat__Sesame seed__trade,صادرات و واردات دانه کنجد,کنجد,faostat-commodity term
faostat__Sesameseed Oil__consumption,سرانه مصرف روغن کنجد,روغن کنجد,faostat-commodity term
faostat__Sesameseed Oil__trade,صادرات و واردات روغن کنجد,روغن کنجد,faostat-commodity term
faostat__Sheep and Goat Meat__production,تولید، سطح زیر کشت و عملکرد گوشت گوسفند و بز,گوشت گوسفند و بز,faostat-commodity term
faostat__Sheep and Goats__production,تولید، سطح زیر کشت و عملکرد گوسفند و بز,گوسفند و بز,faostat-commodity term
"faostat__Sheep fat, unrendered__production",تولید، سطح زیر کشت و عملکرد چربی گوسفند، خام,چربی خام گوسفند,faostat-commodity term
faostat__Sheep__production,تولید، سطح زیر کشت و عملکرد گوسفند,گوسفند,faostat-commodity term
"faostat__Shorn wool, greasy, including fleece-washed shorn wool__price",قیمت تولیدکننده پشم چیده‌شده، چرب (شامل پشم شسته‌شده روی بدن),پشم چیده‌شده چرب، شامل پشم شسته‌شده,faostat-commodity term
"faostat__Shorn wool, greasy, including fleece-washed shorn wool__production",تولید پشم چیده‌شده، چرب (شامل پشم شسته‌شده روی بدن) (تن),پشم چیده‌شده چرب، شامل پشم شسته‌شده,faostat-commodity term
faostat__Silk-worm cocoons suitable for reeling__price,قیمت تولیدکننده پیله کرم ابریشم مناسب برای نخ‌ریسی,پیله کرم ابریشم مناسب برای نخ‌ریسی,faostat-commodity term
faostat__Silk-worm cocoons suitable for reeling__production,تولید پیله کرم ابریشم مناسب برای نخ‌ریسی (تن),پیله کرم ابریشم مناسب برای نخ‌ریسی,faostat-commodity term
"faostat__Skim Milk & Buttermilk, Dry__production",تولید شیر پس‌چرخ و دوغ کره، خشک (تن),شیر بدون چربی و دوغ خشک,faostat-commodity term
faostat__Skim milk and whey powder__production,تولید شیر پس‌چرخ و پودر آب‌پنیر (تن),شیر بدون چربی و پودر آب‌پنیر,faostat-commodity term
faostat__Skim milk of cows__production,تولید شیر پس‌چرخ گاو (تن),شیر بدون چربی گاو,faostat-commodity term
faostat__Sorghum and products__trade,صادرات و واردات ذرت خوشه‌ای (سورگوم) و فرآورده‌های آن,سورگوم و فرآورده‌های آن,faostat-commodity term
faostat__Sorghum__price,قیمت تولیدکننده ذرت خوشه‌ای (سورگوم),سورگوم,faostat-commodity term
faostat__Sour cherries__price,قیمت تولیدکننده آلبالو,آلبالو,faostat-commodity term
faostat__Sour cherries__production,تولید، سطح زیر کشت و عملکرد آلبالو,آلبالو,faostat-commodity term
faostat__Soya bean oil__production,تولید روغن سویا (تن),روغن سویا,faostat-commodity term
faostat__Soya beans__price,قیمت تولیدکننده سویا,سویا,faostat-commodity term
