Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Average expenditure per person	Total	07 Transport	2008	1,625.91
Average expenditure per person	Total	07 Transport	2007	1,679.73
Average expenditure per person	Total	07 Transport	2006	1,642.23
Average expenditure per person	Total	08 Communication	2023	360.45
Average expenditure per person	Total	08 Communication	2022	374.31
Average expenditure per person	Total	08 Communication	2021	377.29
Average expenditure per person	Total	08 Communication	2020	377.61
Average expenditure per person	Total	08 Communication	2019	380.15
Average expenditure per person	Total	08 Communication	2018	387.88
Average expenditure per person	Total	08 Communication	2017	373.47
Average expenditure per person	Total	08 Communication	2016	353.87
Average expenditure per person	Total	08 Communication	2015	316.58
Average expenditure per person	Total	08 Communication	2014	315.66
Average expenditure per person	Total	08 Communication	2013	324.91
Average expenditure per person	Total	08 Communication	2012	336.38
Average expenditure per person	Total	08 Communication	2011	349.33
Average expenditure per person	Total	08 Communication	2010	351.79
Average expenditure per person	Total	08 Communication	2009	359.14
Average expenditure per person	Total	08 Communication	2008	362.38
Average expenditure per person	Total	08 Communication	2007	343.84
Average expenditure per person	Total	08 Communication	2006	317.05
Average expenditure per person	Total	09 Recreation and culture	2023	664.14
Average expenditure per person	Total	09 Recreation and culture	2022	621.19
Average expenditure per person	Total	09 Recreation and culture	2021	521.09
Average expenditure per person	Total	09 Recreation and culture	2020	452.44
Average expenditure per person	Total	09 Recreation and culture	2019	664.45
Average expenditure per person	Total	09 Recreation and culture	2018	661.14
Average expenditure per person	Total	09 Recreation and culture	2017	667.77
Average expenditure per person	Total	09 Recreation and culture	2016	639.34
Average expenditure per person	Total	09 Recreation and culture	2015	636.80
Average expenditure per person	Total	09 Recreation and culture	2014	609.96
Average expenditure per person	Total	09 Recreation and culture	2013	606.56
Average expenditure per person	Total	09 Recreation and culture	2012	652.33
Average expenditure per person	Total	09 Recreation and culture	2011	715.96
Average expenditure per person	Total	09 Recreation and culture	2010	743.79
Average expenditure per person	Total	09 Recreation and culture	2009	775.04
Average expenditure per person	Total	09 Recreation and culture	2008	816.49
Average expenditure per person	Total	09 Recreation and culture	2007	822.70
Average expenditure per person	Total	09 Recreation and culture	2006	765.68
Average expenditure per person	Total	10 Education	2023	195.42
Average expenditure per person	Total	10 Education	2022	189.29
Average expenditure per person	Total	10 Education	2021	176.67
Average expenditure per person	Total	10 Education	2020	175.72
Average expenditure per person	Total	10 Education	2019	193.10
Average expenditure per person	Total	10 Education	2018	185.35
Average expenditure per person	Total	10 Education	2017	166.41
Average expenditure per person	Total	10 Education	2016	160.08
Average expenditure per person	Total	10 Education	2015	162.86
Average expenditure per person	Total	10 Education	2014	157.53
Average expenditure per person	Total	10 Education	2013	153.42
Average expenditure per person	Total	10 Education	2012	141.12
Average expenditure per person	Total	10 Education	2011	131.59
Average expenditure per person	Total	10 Education	2010	129.47
Average expenditure per person	Total	10 Education	2009	119.50
Average expenditure per person	Total	10 Education	2008	122.49
Average expenditure per person	Total	10 Education	2007	118.88
Average expenditure per person	Total	10 Education	2006	113.26
Average expenditure per person	Total	11 Restaurants and hotels	2023	1,331.72
Average expenditure per person	Total	11 Restaurants and hotels	2022	1,195.57
Average expenditure per person	Total	11 Restaurants and hotels	2021	921.69
Average expenditure per person	Total	11 Restaurants and hotels	2020	704.13
Average expenditure per person	Total	11 Restaurants and hotels	2019	1,183.03
Average expenditure per person	Total	11 Restaurants and hotels	2018	1,185.97
Average expenditure per person	Total	11 Restaurants and hotels	2017	1,206.35
Average expenditure per person	Total	11 Restaurants and hotels	2016	1,115.38
Average expenditure per person	Total	11 Restaurants and hotels	2015	1,038.10
Average expenditure per person	Total	11 Restaurants and hotels	2014	948.30
Average expenditure per person	Total	11 Restaurants and hotels	2013	907.53
Average expenditure per person	Total	11 Restaurants and hotels	2012	978.56
Average expenditure per person	Total	11 Restaurants and hotels	2011	1,044.99
Average expenditure per person	Total	11 Restaurants and hotels	2010	1,050.42
Average expenditure per person	Total	11 Restaurants and hotels	2009	1,100.19
Average expenditure per person	Total	11 Restaurants and hotels	2008	1,170.68
Average expenditure per person	Total	11 Restaurants and hotels	2007	1,222.07
Average expenditure per person	Total	11 Restaurants and hotels	2006	1,123.52
Average expenditure per person	Total	12 Other goods and services	2023	969.26
Average expenditure per person	Total	12 Other goods and services	2022	956.97
Average expenditure per person	Total	12 Other goods and services	2021	892.73
Average expenditure per person	Total	12 Other goods and services	2020	847.24
Average expenditure per person	Total	12 Other goods and services	2019	920.47
Average expenditure per person	Total	12 Other goods and services	2018	924.61
Average expenditure per person	Total	12 Other goods and services	2017	908.51
Average expenditure per person	Total	12 Other goods and services	2016	888.50
Average expenditure per person	Total	12 Other goods and services	2015	811.91
Average expenditure per person	Total	12 Other goods and services	2014	811.31
Average expenditure per person	Total	12 Other goods and services	2013	795.76
Average expenditure per person	Total	12 Other goods and services	2012	828.42
Average expenditure per person	Total	12 Other goods and services	2011	835.55
Average expenditure per person	Total	12 Other goods and services	2010	838.97
Average expenditure per person	Total	12 Other goods and services	2009	881.15
Average expenditure per person	Total	12 Other goods and services	2008	892.69
Average expenditure per person	Total	12 Other goods and services	2007	891.99
Average expenditure per person	Total	12 Other goods and services	2006	864.34
Average expenditure per person	Quintile 1	Overall index	2023	5,443.29
Average expenditure per person	Quintile 1	Overall index	2022	5,478.39
Average expenditure per person	Quintile 1	Overall index	2021	5,023.90
Average expenditure per person	Quintile 1	Overall index	2020	4,629.76
Average expenditure per person	Quintile 1	Overall index	2019	5,077.48
Average expenditure per person	Quintile 1	Overall index	2018	5,088.53
Average expenditure per person	Quintile 1	Overall index	2017	4,980.52
Average expenditure per person	Quintile 1	Overall index	2016	4,841.69
Average expenditure per person	Quintile 1	Overall index	2015	4,578.52
Average expenditure per person	Quintile 1	Overall index	2014	4,490.47
Average expenditure per person	Quintile 1	Overall index	2013	4,563.22
Average expenditure per person	Quintile 1	Overall index	2012	4,760.40
Average expenditure per person	Quintile 1	Overall index	2011	4,892.04
Average expenditure per person	Quintile 1	Overall index	2010	4,901.89
Average expenditure per person	Quintile 1	Overall index	2009	4,974.53
Average expenditure per person	Quintile 1	Overall index	2008	5,278.99
Average expenditure per person	Quintile 1	Overall index	2007	5,068.30
Average expenditure per person	Quintile 1	Overall index	2006	4,612.75
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2023	1,142.83
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2022	1,121.31
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2021	1,037.44
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2020	1,023.31
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2019	1,028.58
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2018	1,034.10
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2017	1,011.22
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2016	1,001.26
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2015	974.30
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2014	936.59
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2013	950.44
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2012	998.05
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2011	1,020.86
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2010	1,042.65
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2009	1,074.97
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2008	1,151.41
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2007	1,116.73
Average expenditure per person	Quintile 1	01 Food and non-alcoholic beverages	2006	1,004.75
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2023	77.30
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2022	83.05
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2021	82.04
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2020	89.20
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2019	113.03
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2018	112.51
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2017	123.68
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2016	128.68
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2015	117.29
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2014	118.38
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2013	115.95
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2012	135.30
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2011	158.66
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2010	155.56
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2009	149.72
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2008	143.81
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2007	132.51
Average expenditure per person	Quintile 1	02 Alcoholic beverages and tobacco	2006	124.66
Average expenditure per person	Quintile 1	03 Clothing and footwear	2023	190.99
Average expenditure per person	Quintile 1	03 Clothing and footwear	2022	177.19
Average expenditure per person	Quintile 1	03 Clothing and footwear	2021	153.99
Average expenditure per person	Quintile 1	03 Clothing and footwear	2020	121.95
Average expenditure per person	Quintile 1	03 Clothing and footwear	2019	184.24
Average expenditure per person	Quintile 1	03 Clothing and footwear	2018	188.76
Average expenditure per person	Quintile 1	03 Clothing and footwear	2017	187.05
Average expenditure per person	Quintile 1	03 Clothing and footwear	2016	180.87
Average expenditure per person	Quintile 1	03 Clothing and footwear	2015	170.96
Average expenditure per person	Quintile 1	03 Clothing and footwear	2014	155.13
Average expenditure per person	Quintile 1	03 Clothing and footwear	2013	156.42
Average expenditure per person	Quintile 1	03 Clothing and footwear	2012	173.12
Average expenditure per person	Quintile 1	03 Clothing and footwear	2011	192.59
Average expenditure per person	Quintile 1	03 Clothing and footwear	2010	193.90
Average expenditure per person	Quintile 1	03 Clothing and footwear	2009	209.66
Average expenditure per person	Quintile 1	03 Clothing and footwear	2008	240.46
Average expenditure per person	Quintile 1	03 Clothing and footwear	2007	238.94
Average expenditure per person	Quintile 1	03 Clothing and footwear	2006	235.06
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2023	2,313.03
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2022	2,335.89
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2021	2,191.39
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2020	2,039.09
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2019	2,053.37
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2018	2,035.89
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2017	1,971.76
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2016	1,941.62
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2015	1,878.65
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2014	1,895.79
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2013	1,916.92
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2012	1,940.91
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2011	1,926.48
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2010	1,897.06
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2009	1,879.38
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2008	1,918.64
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2007	1,862.39
Average expenditure per person	Quintile 1	04 Housing, water, electricity, gas and other fuels	2006	1,698.07
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2023	170.19
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2022	163.50
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2021	158.02
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2020	145.17
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2019	165.03
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2018	160.65
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2017	159.44
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2016	146.91
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2015	126.96
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2014	122.02
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2013	118.37
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2012	133.99
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2011	147.62
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2010	149.98
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2009	164.16
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2008	192.98
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2007	196.88
Average expenditure per person	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2006	171.89
Average expenditure per person	Quintile 1	06 Health	2023	134.52
Average expenditure per person	Quintile 1	06 Health	2022	141.67
Average expenditure per person	Quintile 1	06 Health	2021	138.50
Average expenditure per person	Quintile 1	06 Health	2020	114.85
Average expenditure per person	Quintile 1	06 Health	2019	127.29
Average expenditure per person	Quintile 1	06 Health	2018	117.87
Average expenditure per person	Quintile 1	06 Health	2017	111.97
Average expenditure per person	Quintile 1	06 Health	2016	111.63
Average expenditure per person	Quintile 1	06 Health	2015	94.91
Average expenditure per person	Quintile 1	06 Health	2014	86.61
Average expenditure per person	Quintile 1	06 Health	2013	82.49
Average expenditure per person	Quintile 1	06 Health	2012	78.82
Average expenditure per person	Quintile 1	06 Health	2011	81.75
Average expenditure per person	Quintile 1	06 Health	2010	87.89
Average expenditure per person	Quintile 1	06 Health	2009	86.35
Average expenditure per person	Quintile 1	06 Health	2008	102.24
Average expenditure per person	Quintile 1	06 Health	2007	85.80
Average expenditure per person	Quintile 1	06 Health	2006	76.43
Average expenditure per person	Quintile 1	07 Transport	2023	339.01
Average expenditure per person	Quintile 1	07 Transport	2022	361.33
Average expenditure per person	Quintile 1	07 Transport	2021	289.16
Average expenditure per person	Quintile 1	07 Transport	2020	229.69
Average expenditure per person	Quintile 1	07 Transport	2019	356.21
Average expenditure per person	Quintile 1	07 Transport	2018	384.05
Average expenditure per person	Quintile 1	07 Transport	2017	356.66
Average expenditure per person	Quintile 1	07 Transport	2016	344.87
Average expenditure per person	Quintile 1	07 Transport	2015	318.82
Average expenditure per person	Quintile 1	07 Transport	2014	321.20
Average expenditure per person	Quintile 1	07 Transport	2013	349.33
Average expenditure per person	Quintile 1	07 Transport	2012	359.72
Average expenditure per person	Quintile 1	07 Transport	2011	371.76
Average expenditure per person	Quintile 1	07 Transport	2010	360.87
Average expenditure per person	Quintile 1	07 Transport	2009	346.32
Average expenditure per person	Quintile 1	07 Transport	2008	370.34
Average expenditure per person	Quintile 1	07 Transport	2007	340.36
Average expenditure per person	Quintile 1	07 Transport	2006	318.71
Average expenditure per person	Quintile 1	08 Communication	2023	226.96
Average expenditure per person	Quintile 1	08 Communication	2022	243.78
Average expenditure per person	Quintile 1	08 Communication	2021	239.33
Average expenditure per person	Quintile 1	08 Communication	2020	241.26
Average expenditure per person	Quintile 1	08 Communication	2019	227.40
Average expenditure per person	Quintile 1	08 Communication	2018	240.64
Average expenditure per person	Quintile 1	08 Communication	2017	230.09
Average expenditure per person	Quintile 1	08 Communication	2016	210.07
Average expenditure per person	Quintile 1	08 Communication	2015	185.86
Average expenditure per person	Quintile 1	08 Communication	2014	184.19
Average expenditure per person	Quintile 1	08 Communication	2013	185.80
Average expenditure per person	Quintile 1	08 Communication	2012	190.39
Average expenditure per person	Quintile 1	08 Communication	2011	199.73
Average expenditure per person	Quintile 1	08 Communication	2010	193.55
Average expenditure per person	Quintile 1	08 Communication	2009	196.96
Average expenditure per person	Quintile 1	08 Communication	2008	204.33
Average expenditure per person	Quintile 1	08 Communication	2007	184.41
Average expenditure per person	Quintile 1	08 Communication	2006	165.56
Average expenditure per person	Quintile 1	09 Recreation and culture	2023	150.29
Average expenditure per person	Quintile 1	09 Recreation and culture	2022	146.46
Average expenditure per person	Quintile 1	09 Recreation and culture	2021	128.13
Average expenditure per person	Quintile 1	09 Recreation and culture	2020	104.88
Average expenditure per person	Quintile 1	09 Recreation and culture	2019	152.05
Average expenditure per person	Quintile 1	09 Recreation and culture	2018	148.94
Average expenditure per person	Quintile 1	09 Recreation and culture	2017	151.22
Average expenditure per person	Quintile 1	09 Recreation and culture	2016	146.37
Average expenditure per person	Quintile 1	09 Recreation and culture	2015	149.49
Average expenditure per person	Quintile 1	09 Recreation and culture	2014	140.69
Average expenditure per person	Quintile 1	09 Recreation and culture	2013	151.71
Average expenditure per person	Quintile 1	09 Recreation and culture	2012	171.98
Average expenditure per person	Quintile 1	09 Recreation and culture	2011	178.67
Average expenditure per person	Quintile 1	09 Recreation and culture	2010	194.41
Average expenditure per person	Quintile 1	09 Recreation and culture	2009	202.00
Average expenditure per person	Quintile 1	09 Recreation and culture	2008	230.85
Average expenditure per person	Quintile 1	09 Recreation and culture	2007	213.68
Average expenditure per person	Quintile 1	09 Recreation and culture	2006	184.28
Average expenditure per person	Quintile 1	10 Education	2023	48.48
Average expenditure per person	Quintile 1	10 Education	2022	46.79
Average expenditure per person	Quintile 1	10 Education	2021	38.57
Average expenditure per person	Quintile 1	10 Education	2020	38.49
Average expenditure per person	Quintile 1	10 Education	2019	34.56
Average expenditure per person	Quintile 1	10 Education	2018	33.94
Average expenditure per person	Quintile 1	10 Education	2017	29.74
Average expenditure per person	Quintile 1	10 Education	2016	28.47
Average expenditure per person	Quintile 1	10 Education	2015	26.59
Average expenditure per person	Quintile 1	10 Education	2014	24.77
Average expenditure per person	Quintile 1	10 Education	2013	26.41
Average expenditure per person	Quintile 1	10 Education	2012	22.01
Average expenditure per person	Quintile 1	10 Education	2011	20.44
Average expenditure per person	Quintile 1	10 Education	2010	23.12
Average expenditure per person	Quintile 1	10 Education	2009	22.00
Average expenditure per person	Quintile 1	10 Education	2008	20.96
Average expenditure per person	Quintile 1	10 Education	2007	19.08
Average expenditure per person	Quintile 1	10 Education	2006	12.73
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2023	271.55
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2022	266.66
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2021	194.56
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2020	147.89
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2019	283.40
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2018	277.03
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2017	294.13
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2016	268.08
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2015	239.86
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2014	217.55
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2013	217.56
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2012	251.13
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2011	277.41
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2010	291.36
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2009	313.71
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2008	363.85
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2007	362.14
Average expenditure per person	Quintile 1	11 Restaurants and hotels	2006	334.29
Average expenditure per person	Quintile 1	12 Other goods and services	2023	378.13
Average expenditure per person	Quintile 1	12 Other goods and services	2022	390.75
Average expenditure per person	Quintile 1	12 Other goods and services	2021	372.78
Average expenditure per person	Quintile 1	12 Other goods and services	2020	333.98
Average expenditure per person	Quintile 1	12 Other goods and services	2019	352.32
Average expenditure per person	Quintile 1	12 Other goods and services	2018	354.16
Average expenditure per person	Quintile 1	12 Other goods and services	2017	353.56
Average expenditure per person	Quintile 1	12 Other goods and services	2016	332.87
Average expenditure per person	Quintile 1	12 Other goods and services	2015	294.83
Average expenditure per person	Quintile 1	12 Other goods and services	2014	287.55
Average expenditure per person	Quintile 1	12 Other goods and services	2013	291.82
Average expenditure per person	Quintile 1	12 Other goods and services	2012	304.99
Average expenditure per person	Quintile 1	12 Other goods and services	2011	316.06
Average expenditure per person	Quintile 1	12 Other goods and services	2010	311.54
Average expenditure per person	Quintile 1	12 Other goods and services	2009	329.31
Average expenditure per person	Quintile 1	12 Other goods and services	2008	339.12
Average expenditure per person	Quintile 1	12 Other goods and services	2007	315.36
Average expenditure per person	Quintile 1	12 Other goods and services	2006	286.32
Average expenditure per person	Quintile 2	Overall index	2023	9,009.73
Average expenditure per person	Quintile 2	Overall index	2022	8,952.80
Average expenditure per person	Quintile 2	Overall index	2021	8,226.31
Average expenditure per person	Quintile 2	Overall index	2020	7,538.69
Average expenditure per person	Quintile 2	Overall index	2019	8,344.92
Average expenditure per person	Quintile 2	Overall index	2018	8,238.77
Average expenditure per person	Quintile 2	Overall index	2017	8,087.76
Average expenditure per person	Quintile 2	Overall index	2016	7,842.03
Average expenditure per person	Quintile 2	Overall index	2015	7,598.67
Average expenditure per person	Quintile 2	Overall index	2014	7,370.95
Average expenditure per person	Quintile 2	Overall index	2013	7,343.76
Average expenditure per person	Quintile 2	Overall index	2012	7,618.84
Average expenditure per person	Quintile 2	Overall index	2011	7,719.47
Average expenditure per person	Quintile 2	Overall index	2010	7,720.53
Average expenditure per person	Quintile 2	Overall index	2009	7,788.50
Average expenditure per person	Quintile 2	Overall index	2008	8,027.77
Average expenditure per person	Quintile 2	Overall index	2007	7,731.11
Average expenditure per person	Quintile 2	Overall index	2006	7,220.58
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2023	1,818.76
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2022	1,742.94
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2021	1,665.06
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2020	1,617.09
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2019	1,507.31
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2018	1,506.39
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2017	1,455.27
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2016	1,467.11
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2015	1,440.47
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2014	1,386.42
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2013	1,405.39
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2012	1,406.97
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2011	1,420.26
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2010	1,410.86
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2009	1,442.60
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2008	1,517.87
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2007	1,443.31
Average expenditure per person	Quintile 2	01 Food and non-alcoholic beverages	2006	1,381.47
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2023	152.80
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2022	140.66
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2021	154.77
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2020	156.40
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2019	172.70
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2018	173.15
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2017	194.23
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2016	189.98
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2015	181.17
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2014	173.14
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2013	178.88
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2012	198.87
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2011	202.34
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2010	215.35
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2009	209.42
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2008	202.61
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2007	196.74
Average expenditure per person	Quintile 2	02 Alcoholic beverages and tobacco	2006	183.05
Average expenditure per person	Quintile 2	03 Clothing and footwear	2023	358.37
Average expenditure per person	Quintile 2	03 Clothing and footwear	2022	350.93
Average expenditure per person	Quintile 2	03 Clothing and footwear	2021	304.33
Average expenditure per person	Quintile 2	03 Clothing and footwear	2020	231.59
Average expenditure per person	Quintile 2	03 Clothing and footwear	2019	363.42
Average expenditure per person	Quintile 2	03 Clothing and footwear	2018	374.25
Average expenditure per person	Quintile 2	03 Clothing and footwear	2017	369.09
Average expenditure per person	Quintile 2	03 Clothing and footwear	2016	354.66
Average expenditure per person	Quintile 2	03 Clothing and footwear	2015	325.06
Average expenditure per person	Quintile 2	03 Clothing and footwear	2014	315.83
Average expenditure per person	Quintile 2	03 Clothing and footwear	2013	304.10
Average expenditure per person	Quintile 2	03 Clothing and footwear	2012	332.51
Average expenditure per person	Quintile 2	03 Clothing and footwear	2011	340.86
Average expenditure per person	Quintile 2	03 Clothing and footwear	2010	364.13
Average expenditure per person	Quintile 2	03 Clothing and footwear	2009	393.60
Average expenditure per person	Quintile 2	03 Clothing and footwear	2008	430.75
Average expenditure per person	Quintile 2	03 Clothing and footwear	2007	442.99
Average expenditure per person	Quintile 2	03 Clothing and footwear	2006	419.91
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2023	3,261.95
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2022	3,386.04
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2021	3,161.31
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2020	2,994.39
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2019	2,982.28
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2018	2,925.06
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2017	2,815.00
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2016	2,778.28
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2015	2,779.90
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2014	2,729.43
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2013	2,703.22
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2012	2,753.85
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2011	2,766.68
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2010	2,710.33
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2009	2,634.61
