chart_id	title	category	year_range
faostat__Cream__trade	Cream	Agriculture Trade	
faostat__Crustaceans__trade	Crustaceans	Agriculture Trade	
faostat__Dates__trade	Dates	Agriculture Trade	
faostat__Demersal Fish__trade	Demersal Fish	Agriculture Trade	
faostat__Eggs__trade	Eggs	Agriculture Trade	
faostat__Fats, Animals, Raw__trade	Fats, Animals, Raw	Agriculture Trade	
faostat__Fish, Body Oil__trade	Fish, Body Oil	Agriculture Trade	
faostat__Fish, Liver Oil__trade	Fish, Liver Oil	Agriculture Trade	
faostat__Fish, Seafood__trade	Fish, Seafood	Agriculture Trade	
faostat__Freshwater Fish__trade	Freshwater Fish	Agriculture Trade	
faostat__Fruits - Excluding Wine__trade	Fruits - Excluding Wine	Agriculture Trade	
faostat__Fruits, other__trade	Fruits, other	Agriculture Trade	
faostat__Grapefruit and products__trade	Grapefruit and products	Agriculture Trade	
faostat__Grapes and products (excl wine)__trade	Grapes and products (excl wine)	Agriculture Trade	
faostat__Groundnut Oil__trade	Groundnut Oil	Agriculture Trade	
faostat__Groundnuts__trade	Groundnuts	Agriculture Trade	
faostat__Groundnuts (Shelled Eq)__trade	Groundnuts (Shelled Eq)	Agriculture Trade	
faostat__Honey__trade	Honey	Agriculture Trade	
faostat__Infant food__trade	Infant food	Agriculture Trade	
faostat__Lemons, Limes and products__trade	Lemons, Limes and products	Agriculture Trade	
faostat__Maize Germ Oil__trade	Maize Germ Oil	Agriculture Trade	
faostat__Maize and products__trade	Maize and products	Agriculture Trade	
faostat__Marine Fish, Other__trade	Marine Fish, Other	Agriculture Trade	
faostat__Meat__trade	Meat	Agriculture Trade	
faostat__Meat, Other__trade	Meat, Other	Agriculture Trade	
faostat__Milk - Excluding Butter__trade	Milk - Excluding Butter	Agriculture Trade	
faostat__Millet and products__trade	Millet and products	Agriculture Trade	
faostat__Miscellaneous__trade	Miscellaneous	Agriculture Trade	
faostat__Molluscs, Other__trade	Molluscs, Other	Agriculture Trade	
faostat__Mutton & Goat Meat__trade	Mutton & Goat Meat	Agriculture Trade	
faostat__Nuts and products__trade	Nuts and products	Agriculture Trade	
faostat__Oats__trade	Oats	Agriculture Trade	
faostat__Offals__trade	Offals	Agriculture Trade	
faostat__Offals, Edible__trade	Offals, Edible	Agriculture Trade	
faostat__Oilcrops__trade	Oilcrops	Agriculture Trade	
faostat__Oilcrops Oil, Other__trade	Oilcrops Oil, Other	Agriculture Trade	
faostat__Oilcrops, Other__trade	Oilcrops, Other	Agriculture Trade	
faostat__Olive Oil__trade	Olive Oil	Agriculture Trade	
faostat__Olives (including preserved)__trade	Olives (including preserved)	Agriculture Trade	
faostat__Onions__trade	Onions	Agriculture Trade	
faostat__Oranges, Mandarines__trade	Oranges, Mandarines	Agriculture Trade	
faostat__Palm Oil__trade	Palm Oil	Agriculture Trade	
faostat__Palm kernels__trade	Palm kernels	Agriculture Trade	
faostat__Palmkernel Oil__trade	Palmkernel Oil	Agriculture Trade	
faostat__Peas__trade	Peas	Agriculture Trade	
faostat__Pelagic Fish__trade	Pelagic Fish	Agriculture Trade	
faostat__Pepper__trade	Pepper	Agriculture Trade	
faostat__Pigmeat__trade	Pigmeat	Agriculture Trade	
faostat__Pimento__trade	Pimento	Agriculture Trade	
faostat__Pineapples and products__trade	Pineapples and products	Agriculture Trade	
faostat__Potatoes and products__trade	Potatoes and products	Agriculture Trade	
faostat__Poultry Meat__trade	Poultry Meat	Agriculture Trade	
faostat__Pulses__trade	Pulses	Agriculture Trade	
faostat__Pulses, Other and products__trade	Pulses, Other and products	Agriculture Trade	
faostat__Rape and Mustard Oil__trade	Rape and Mustard Oil	Agriculture Trade	
faostat__Rape and Mustardseed__trade	Rape and Mustardseed	Agriculture Trade	
faostat__Rice (Milled Equivalent)__trade	Rice (Milled Equivalent)	Agriculture Trade	
faostat__Rice and products__trade	Rice and products	Agriculture Trade	
faostat__Rye and products__trade	Rye and products	Agriculture Trade	
faostat__Sesame seed__trade	Sesame seed	Agriculture Trade	
faostat__Sesameseed Oil__trade	Sesameseed Oil	Agriculture Trade	
faostat__Sorghum and products__trade	Sorghum and products	Agriculture Trade	
faostat__Soyabean Oil__trade	Soyabean Oil	Agriculture Trade	
faostat__Soyabeans__trade	Soyabeans	Agriculture Trade	
faostat__Spices__trade	Spices	Agriculture Trade	
faostat__Spices, Other__trade	Spices, Other	Agriculture Trade	
faostat__Starchy Roots__trade	Starchy Roots	Agriculture Trade	
faostat__Stimulants__trade	Stimulants	Agriculture Trade	
faostat__Sugar & Sweeteners__trade	Sugar & Sweeteners	Agriculture Trade	
faostat__Sugar (Raw Equivalent)__trade	Sugar (Raw Equivalent)	Agriculture Trade	
faostat__Sugar Crops__trade	Sugar Crops	Agriculture Trade	
faostat__Sugar beet__trade	Sugar beet	Agriculture Trade	
faostat__Sugar cane__trade	Sugar cane	Agriculture Trade	
faostat__Sunflower seed__trade	Sunflower seed	Agriculture Trade	
faostat__Sunflowerseed Oil__trade	Sunflowerseed Oil	Agriculture Trade	
faostat__Sweeteners, Other__trade	Sweeteners, Other	Agriculture Trade	
faostat__Tea (including mate)__trade	Tea (including mate)	Agriculture Trade	
faostat__Tomatoes and products__trade	Tomatoes and products	Agriculture Trade	
faostat__Treenuts__trade	Treenuts	Agriculture Trade	
faostat__Vegetable Oils__trade	Vegetable Oils	Agriculture Trade	
faostat__Vegetables__trade	Vegetables	Agriculture Trade	
faostat__Vegetables, other__trade	Vegetables, other	Agriculture Trade	
faostat__Wheat and products__trade	Wheat and products	Agriculture Trade	
wdi__DT.ODA.ODAT.GN	Net ODA received (% of GNI)	Aid & Development Finance	
wdi__DC.DAC.TOTL	Net bilateral aid flows from DAC donors, Total	Aid & Development Finance	
proposed__net_official_flows_un_agencies	Net official flows from UN agencies, by agency	Aid & Development Finance	1968-2023
wdi__BN.CAB.XOKA	Current account balance	Balance of Payments (Net)	
wdi__BN.CAB.XOKA.GD	Current account balance (% of GDP)	Balance of Payments (Net)	
wdi__BN.KLT.DINV	Foreign direct investment, net	Balance of Payments (Net)	
wdi__BN.KAC.EOMS	Net errors and omissions	Balance of Payments (Net)	
wdi__BN.FIN.TOTL	Net financial account	Balance of Payments (Net)	
wdi__BN.GSR.FCTY	Net primary income	Balance of Payments (Net)	
wdi__BN.TRF.CURR	Net secondary income	Balance of Payments (Net)	
wdi__BN.GSR.MRCH	Net trade in goods	Balance of Payments (Net)	
wdi__BN.GSR.GNFS	Net trade in goods and services	Balance of Payments (Net)	
wdi__BN.RES.INCL	Reserves and related items	Balance of Payments (Net)	
wdi__BM.GSR.CMCP	Communications, computer, etc. (% of service imports, BoP)	Balance of Payments (Payments)	
wdi__BM.KLT.DINV.CD	Foreign direct investment, net outflows	Balance of Payments (Payments)	
wdi__BM.KLT.DINV.WD.GD	Foreign direct investment, net outflows (% of GDP)	Balance of Payments (Payments)	
wdi__BM.GSR.MRCH	Goods imports	Balance of Payments (Payments)	
wdi__BM.GSR.GNFS	Imports of goods and services	Balance of Payments (Payments)	
wdi__BM.GSR.TOTL	Imports of goods, services and primary income	Balance of Payments (Payments)	
wdi__BM.GSR.INSF	Insurance and financial services (% of service imports, BoP)	Balance of Payments (Payments)	
wdi__BM.GSR.FCTY	Primary income payments	Balance of Payments (Payments)	
wdi__BM.TRF.PRVT	Secondary income, other sectors, payments	Balance of Payments (Payments)	
wdi__BM.GSR.NFSV	Service imports	Balance of Payments (Payments)	
wdi__BM.GSR.TRAN	Transport services (% of service imports, BoP)	Balance of Payments (Payments)	
wdi__BM.GSR.TRVL	Travel services (% of service imports, BoP)	Balance of Payments (Payments)	
wdi__BX.GSR.CMCP	Communications, computer, etc. (% of service exports, BoP)	Balance of Payments (Receipts)	
wdi__BX.GSR.GNFS	Exports of goods and services	Balance of Payments (Receipts)	
wdi__BX.GSR.TOTL	Exports of goods, services and primary income	Balance of Payments (Receipts)	
wdi__BX.KLT.DINV.CD	Foreign direct investment, net inflows	Balance of Payments (Receipts)	
wdi__BX.KLT.DINV.WD.GD	Foreign direct investment, net inflows (% of GDP)	Balance of Payments (Receipts)	
wdi__BX.GSR.MRCH	Goods exports	Balance of Payments (Receipts)	
wdi__BX.GRT.EXTA.CD	Grants, excluding technical cooperation	Balance of Payments (Receipts)	
wdi__BX.GSR.INSF	Insurance and financial services (% of service exports, BoP)	Balance of Payments (Receipts)	
wdi__BX.TRF.PWKR.CD	Personal remittances, received	Balance of Payments (Receipts)	
wdi__BX.TRF.PWKR.DT.GD	Personal remittances, received (% of GDP)	Balance of Payments (Receipts)	
wdi__BX.GSR.FCTY	Primary income receipts	Balance of Payments (Receipts)	
wdi__BX.TRF.CURR	Secondary income receipts	Balance of Payments (Receipts)	
wdi__BX.GSR.NFSV	Service exports	Balance of Payments (Receipts)	
wdi__BX.GRT.TECH.CD	Technical cooperation grants	Balance of Payments (Receipts)	
wdi__BX.GSR.TRAN	Transport services (% of service exports, BoP)	Balance of Payments (Receipts)	
wdi__BX.GSR.TRVL	Travel services (% of service exports, BoP)	Balance of Payments (Receipts)	
wdi__BG.GSR.NFSV.GD	Trade in services (% of GDP)	Balance of Payments (misc)	
wdi__IC.BUS.NDNS	New business density (new registrations per 1,000 people ages 15-64)	Business & Investment Climate	
wdi__IC.BUS	New businesses registered	Business & Investment Climate	
iran_bizenv__national_index_1398_1404	Iran National Business Environment Monitoring Index (Annual & Quarterly)	Business Cycle Indicators	1398-1404 (2019-2026)
iran_pmi__sectoral_fy1403	Iran Purchasing Managers' Index (PMI) by Manufacturing Sub-Sector (13 sectors)	Business Cycle Indicators	FY1403 (March 2024-March 2025)
iran_pmi__whole_economy_fy1403	Iran Purchasing Managers' Index (PMI), Whole Economy, Monthly	Business Cycle Indicators	FY1403 (March 2024-March 2025)
wdi__CM.MKT.LDOM	Listed domestic companies, total	Capital Markets	
wdi__CM.MKT.LCAP	Market capitalization of listed domestic companies	Capital Markets	
wdi__CM.MKT.LCAP.GD	Market capitalization of listed domestic companies (% of GDP)	Capital Markets	
wdi__CM.MKT.TRAD	Stocks traded, total value	Capital Markets	
wdi__CM.MKT.TRAD.GD	Stocks traded, total value (% of GDP)	Capital Markets	
wdi__CM.MKT	Stocks traded, turnover ratio of domestic shares	Capital Markets	
wdi__VC.BTL	Battle-related deaths (number of people)	Conflict & Violence	
wdi__VC.IHR.PSRC	Intentional homicides	Conflict & Violence	
wdi__VC.IHR.PSRC.FE	Intentional homicides, female (per 100,000 female)	Conflict & Violence	
wdi__VC.IHR.PSRC.MA	Intentional homicides, male (per 100,000 male)	Conflict & Violence	
wdi__VC.IDP	Internally displaced persons, new displacement associated with disasters (number of cases)	Conflict & Violence	
proposed__population_by_age_group_sex	Population by age group and sex (% of group population)	Demographics	1960-2025
wdi__SP.ADO	Adolescent fertility rate (births per 1,000 women ages 15-19)	Demographics & Population	
wdi__SP.POP.DPND	Age dependency ratio, old (% of working-age population)	Demographics & Population	
iran_census__household_size_by_province_2011	Average Household Size by Province (2011 Census)	Demographics & Population	2011
wdi__SP.DYN.CBRT	Birth rate, crude	Demographics & Population	
wdi__SP.REG.BRTH	Completeness of birth registration	Demographics & Population	
wdi__SP.REG.BRTH.FE	Completeness of birth registration, female	Demographics & Population	
wdi__SP.REG.BRTH.MA	Completeness of birth registration, male	Demographics & Population	
wdi__SP.REG.DTHS	Completeness of death registration with cause-of-death information	Demographics & Population	
wdi__SP.DYN.CONU	Contraceptive prevalence, any method (% of married women ages 15-49)	Demographics & Population	
wdi__SP.DYN.CONM	Contraceptive prevalence, any modern method (% of married women ages 15-49)	Demographics & Population	
wdi__SP.DYN.CDRT	Death rate, crude	Demographics & Population	
wdi__SP.DYN.TFRT	Fertility rate, total (births per woman)	Demographics & Population	
iran_census__urban_rural_household_indicators_2011	Household Size & Sex Share by Urban/Rural Residence (2011 Census)	Demographics & Population	2011
iran_census__household_development_by_residence_1976_2016	Households & Average Household Size by Urban/Rural Residence (1976-2016)	Demographics & Population	1976-2016
iran_census__housing_tenure_type_2006_2016	Housing Tenure Type, National (2006-2016)	Demographics & Population	2006-2016
pahlavi__century_indicators_world_rank_1900_2006	Iran's World Rank in Population, Per-Capita Income & Life Expectancy (1900 vs. 2006)	Demographics & Population	1900 (rough estimate) vs. 2006
wdi__SP.DYN.LE00.FE	Life expectancy at birth, female	Demographics & Population	
wdi__SP.DYN.LE00.MA	Life expectancy at birth, male	Demographics & Population	
wdi__SP.DYN.LE00	Life expectancy at birth, total	Demographics & Population	
iran_census__marriage_migration_patterns_1956_1991	Marriage Age Gap, Internal Migration & Post-Revolution Exile Population (1956-1991)	Demographics & Population	1956-1991
iran_census__mean_median_age_by_residence_2006_2016	Mean & Median Age of Population by Urban/Rural Residence (2006-2016)	Demographics & Population	2006-2016
wdi__SP.DYN.AMRT	Mortality rate, adult, by sex	Demographics & Population	
wdi__SP.DYN.IMRT	Mortality rate, infant	Demographics & Population	
wdi__SP.DYN.IMRT.FE	Mortality rate, infant, female	Demographics & Population	
iran_census__nomadic_population_1900_1990s	Nomadic Population Counts & Share of Rural Population (c.1900-1990s)	Demographics & Population	1900-1990s
iran_census__marital_status_2006_2016	Population Aged 10+ by Marital Status and Sex (2006-2016)	Demographics & Population	2006-2016
wdi__SP.POP.0014.TO	Population ages 0-14 (% of total population)	Demographics & Population	
wdi__SP.POP.0014.FE	Population ages 0-14, female	Demographics & Population	
wdi__SP.POP.0014.MA	Population ages 0-14, male	Demographics & Population	
wdi__SP.POP.0014	Population ages 0-14, total	Demographics & Population	
wdi__SP.POP.0004.FE	Population ages 00-04, female (% of female population)	Demographics & Population	
wdi__SP.POP.0509.FE	Population ages 05-09, female (% of female population)	Demographics & Population	
wdi__SP.POP.1014.FE	Population ages 10-14, female (% of female population)	Demographics & Population	
wdi__SP.POP.1519.MA	Population ages 15-19, male (% of male population)	Demographics & Population	
wdi__SP.POP.1564.TO	Population ages 15-64 (% of total population)	Demographics & Population	
wdi__SP.POP.1564.FE	Population ages 15-64, female	Demographics & Population	
wdi__SP.POP.1564.MA	Population ages 15-64, male	Demographics & Population	
wdi__SP.POP.1564	Population ages 15-64, total	Demographics & Population	
wdi__SP.POP.2024.FE	Population ages 20-24, female (% of female population)	Demographics & Population	
wdi__SP.POP.2024.MA	Population ages 20-24, male (% of male population)	Demographics & Population	
wdi__SP.POP.2529.MA	Population ages 25-29, male (% of male population)	Demographics & Population	
wdi__SP.POP.3034.FE	Population ages 30-34, female (% of female population)	Demographics & Population	
wdi__SP.POP.3539.FE	Population ages 35-39, female (% of female population)	Demographics & Population	
wdi__SP.POP.3539.MA	Population ages 35-39, male (% of male population)	Demographics & Population	
wdi__SP.POP.4044.FE	Population ages 40-44, female (% of female population)	Demographics & Population	
wdi__SP.POP.4044.MA	Population ages 40-44, male (% of male population)	Demographics & Population	
wdi__SP.POP.5054.MA	Population ages 50-54, male (% of male population)	Demographics & Population	
wdi__SP.POP.5559.FE	Population ages 55-59, female (% of female population)	Demographics & Population	
wdi__SP.POP.5559.MA	Population ages 55-59, male (% of male population)	Demographics & Population	
wdi__SP.POP.6064.FE	Population ages 60-64, female (% of female population)	Demographics & Population	
wdi__SP.POP.6064.MA	Population ages 60-64, male (% of male population)	Demographics & Population	
wdi__SP.POP.65UP.TO	Population ages 65 and above (% of total population)	Demographics & Population	
wdi__SP.POP.65UP.FE	Population ages 65 and above, female	Demographics & Population	
wdi__SP.POP.65UP.MA	Population ages 65 and above, male	Demographics & Population	
wdi__SP.POP.65UP	Population ages 65 and above, total	Demographics & Population	
wdi__SP.POP.7579.MA	Population ages 75-79, male (% of male population)	Demographics & Population	
wdi__SP.POP.80UP.FE	Population ages 80 and above, female (% of female population)	Demographics & Population	
wdi__SP.POP.80UP.MA	Population ages 80 and above, male (% of male population)	Demographics & Population	
iran_census__population_by_religion_2011	Population by Religion (2011 Census)	Demographics & Population	2011
iran_census1996__population_by_sex_residence	Population by Sex and Urban/Rural-Resident/Non-Resident Status, 1996 Census	Demographics & Population	1375 SH (1996)
wdi__SP.POP.TOTL.FE	Population, female	Demographics & Population	
wdi__SP.POP.TOTL.MA	Population, male	Demographics & Population	
wdi__SP.POP	Population, total	Demographics & Population	
iran_census__premodern_local_counts_1868_1884	Pre-Modern Local Population Counts (Tehran 1868, Shiraz 1883-84, Kerman 1874)	Demographics & Population	1868-1884
iran_disasters__registered_births_by_sex_1991_2006	Registered Births by Sex, National Annual (1991-2006) + All Provinces (2006)	Demographics & Population	1991-2006
wdi__SP.POP.SCIE.RD	Researchers in R&D	Demographics & Population	
wdi__SP.RUR	Rural population	Demographics & Population	
wdi__SP.RUR.TOTL	Rural population growth	Demographics & Population	
iran_census__sex_ratio_by_province_2011	Sex Ratio (Males per 100 Females) by Province (2011 Census)	Demographics & Population	2011
wdi__SP.POP.BRTH	Sex ratio at birth (male births per female births)	Demographics & Population	
wdi__SP.DYN.TO65.FE	Survival to age 65, female (% of cohort)	Demographics & Population	
wdi__SP.DYN.TO65.MA	Survival to age 65, male (% of cohort)	Demographics & Population	
wdi__SP.POP.TECH.RD	Technicians in R&D	Demographics & Population	
iran_census__tehran_city_population_growth_1956_1972	Tehran City Population, Household Size & National Primacy Share (1956-1972)	Demographics & Population	1956-1972
wdi__SP.UWT	Unmet need for contraception (% of married women ages 15-49)	Demographics & Population	
wdi__SP.URB	Urban population	Demographics & Population	
wdi__SP.URB.TOTL.IN	Urban population (% of total population)	Demographics & Population	
wdi__SP.M15.2024.FE	Women who were first married by age 15 (% of women ages 20-24)	Demographics & Population	
wdi__SP.M18.2024.FE	Women who were first married by age 18 (% of women ages 20-24)	Demographics & Population	
owid__hdi	Human Development Index	Development / Composite Index	
wdi__SE.PRM.TENR	Adjusted net enrollment rate, primary, by sex (% of primary school age children)	Education	
wdi__SE.SEC.UNER.LO	Adolescents out of school (% of lower secondary school age)	Education	
wdi__SE.SEC.UNER.LO.FE	Adolescents out of school, female (% of female lower secondary school age)	Education	
wdi__SE.SEC.UNER.LO.MA	Adolescents out of school, male (% of male lower secondary school age)	Education	
owid__mean_years_schooling_long_run	Average Years of Schooling (long-run)	Education	
wdi__SE.PRM.UNER.FE	Children out of school, female (% of female primary school age)	Education	
wdi__SE.PRM.UNER.MA	Children out of school, male (% of male primary school age)	Education	
wdi__SE.PRM.UNER	Children out of school, primary, by sex	Education	
wdi__SE.COM	Compulsory education, duration	Education	
wdi__SE.XPD.CPRM	Current education expenditure, primary (% of total expenditure in primary public institutions)	Education	
wdi__SE.XPD.CSEC	Current education expenditure, secondary (% of total expenditure in secondary public institutions)	Education	
wdi__SE.XPD.CTER	Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)	Education	
wdi__SE.XPD.CTOT	Current education expenditure, total (% of total expenditure in public institutions)	Education	
wdi__SE.TER.CUAT.DO.FE	Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)	Education	
wdi__SE.TER.CUAT.DO.MA	Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)	Education	
wdi__SE.TER.CUAT.DO	Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)	Education	
wdi__SE.TER.CUAT.BA.FE	Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)	Education	
wdi__SE.TER.CUAT.BA.MA	Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)	Education	
wdi__SE.TER.CUAT.BA	Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)	Education	
wdi__SE.TER.CUAT.MS.FE	Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)	Education	
wdi__SE.TER.CUAT.MS.MA	Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)	Education	
wdi__SE.TER.CUAT.MS	Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.LO.FE	Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.LO.MA	Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.LO	Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.PO.FE	Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.PO.MA	Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.PO	Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)	Education	
wdi__SE.PRM.CUAT.FE	Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)	Education	
wdi__SE.PRM.CUAT.MA	Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)	Education	
wdi__SE.PRM.CUAT	Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)	Education	
wdi__SE.TER.CUAT.ST.FE	Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)	Education	
wdi__SE.TER.CUAT.ST.MA	Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)	Education	
wdi__SE.TER.CUAT.ST	Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.UP.FE	Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.UP.MA	Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)	Education	
wdi__SE.SEC.CUAT.UP	Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)	Education	
wdi__SE.XPD.PRIM	Expenditure on primary education (% of government expenditure on education)	Education	
wdi__SE.XPD.SECO	Expenditure on secondary education (% of government expenditure on education)	Education	
wdi__SE.XPD.TERT	Expenditure on tertiary education (% of government expenditure on education)	Education	
wdi__SE.XPD.TOTL.GD	Government expenditure on education, total (% of GDP)	Education	
wdi__SE.XPD.TOTL.GB	Government expenditure on education, total (% of government expenditure)	Education	
wdi__SE.XPD.PRIM.PC	Government expenditure per student, primary (% of GDP per capita)	Education	
wdi__SE.XPD.SECO.PC	Government expenditure per student, secondary (% of GDP per capita)	Education	
wdi__SE.XPD.TERT.PC	Government expenditure per student, tertiary (% of GDP per capita)	Education	
wdi__SE.PRM.GINT.FE	Gross intake ratio in first grade of primary education, female (% of relevant age group)	Education	
wdi__SE.PRM.GINT.MA	Gross intake ratio in first grade of primary education, male (% of relevant age group)	Education	
wdi__SE.PRM.GINT	Gross intake ratio in first grade of primary education, total (% of relevant age group)	Education	
wdi__SE.LPV	Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children	Education	
wdi__SE.ADT.LITR.FE	Literacy rate, adult female (% of females ages 15 and above)	Education	
wdi__SE.ADT.LITR.MA	Literacy rate, adult male (% of males ages 15 and above)	Education	
wdi__SE.ADT.LITR	Literacy rate, adult total (% of people ages 15 and above)	Education	
wdi__SE.ADT.1524.LT.FM	Literacy rate, youth (ages 15-24), gender parity index	Education	
wdi__SE.ADT.1524.LT.FE	Literacy rate, youth female (% of females ages 15-24)	Education	
wdi__SE.ADT.1524.LT.MA	Literacy rate, youth male (% of males ages 15-24)	Education	
wdi__SE.ADT.1524.LT	Literacy rate, youth total (% of people ages 15-24)	Education	
wdi__SE.SEC.CMPT.LO.FE	Lower secondary completion rate, female (% of relevant age group)	Education	
wdi__SE.SEC.CMPT.LO.MA	Lower secondary completion rate, male (% of relevant age group)	Education	
wdi__SE.SEC.CMPT.LO	Lower secondary completion rate, total (% of relevant age group)	Education	
wdi__SE.PRM.NINT	Net intake rate in grade 1 (% of official school-age population)	Education	
wdi__SE.PRM.NINT.FE	Net intake rate in grade 1, female (% of official school-age population)	Education	
wdi__SE.PRM.NINT.MA	Net intake rate in grade 1, male (% of official school-age population)	Education	
wdi__SE.PRM.OENR	Over-age students, primary (% of enrollment)	Education	
wdi__SE.PRM.OENR.FE	Over-age students, primary, female (% of female enrollment)	Education	
wdi__SE.PRM.OENR.MA	Over-age students, primary, male (% of male enrollment)	Education	
wdi__SE.PRM.PRS5.FE	Persistence to grade 5, female (% of cohort)	Education	
wdi__SE.PRM.PRS5.MA	Persistence to grade 5, male (% of cohort)	Education	
wdi__SE.PRM.PRS5	Persistence to grade 5, total (% of cohort)	Education	
wdi__SE.PRM.PRSL.FE	Persistence to last grade of primary, female (% of cohort)	Education	
wdi__SE.PRM.PRSL.MA	Persistence to last grade of primary, male (% of cohort)	Education	
wdi__SE.PRM.PRSL	Persistence to last grade of primary, total (% of cohort)	Education	
wdi__SE.PRE	Preprimary education, duration	Education	
wdi__SE.PRM.CMPT.FE	Primary completion rate, female (% of relevant age group)	Education	
wdi__SE.PRM.CMPT.MA	Primary completion rate, male (% of relevant age group)	Education	
wdi__SE.PRM.CMPT	Primary completion rate, total (% of relevant age group)	Education	
wdi__SE.PRM	Primary education, pupils	Education	
wdi__SE.PRM.ENRL.FE	Primary education, pupils (% female)	Education	
wdi__SE.PRM.TCHR.FE	Primary education, teachers (% female)	Education	
wdi__SE.LPV.PRIM	Primary school age children out-of-school	Education	
wdi__SE.LPV.PRIM.SD	Primary school age children out-of-school, by sex	Education	
wdi__SE.SEC.PROG	Progression to secondary school	Education	
wdi__SE.SEC.PROG.FE	Progression to secondary school, female	Education	
wdi__SE.SEC.PROG.MA	Progression to secondary school, male	Education	
wdi__SE.SEC.ENRL.LO.TC	Pupil-teacher ratio, lower secondary	Education	
wdi__SE.PRE.ENRL.TC	Pupil-teacher ratio, preprimary	Education	
wdi__SE.PRM.ENRL.TC	Pupil-teacher ratio, primary	Education	
wdi__SE.SEC.ENRL.TC	Pupil-teacher ratio, secondary	Education	
wdi__SE.TER.ENRL.TC	Pupil-teacher ratio, tertiary	Education	
wdi__SE.SEC.ENRL.UP.TC	Pupil-teacher ratio, upper secondary	Education	
wdi__SE.LPV.PRIM.LD	Pupils below minimum reading proficiency at end of primary, by sex (%). Low GAML threshold	Education	
wdi__SE.PRM.REPT.FE	Repeaters, primary, female (% of female enrollment)	Education	
wdi__SE.PRM.REPT.MA	Repeaters, primary, male (% of male enrollment)	Education	
wdi__SE.PRM.REPT	Repeaters, primary, total (% of total enrollment)	Education	
wdi__SE.PRE.ENRR	School enrollment, preprimary, by sex	Education	
wdi__SE.ENR.PRIM.FM	School enrollment, primary (gross), gender parity index	Education	
wdi__SE.ENR.PRSC.FM	School enrollment, primary and secondary (gross), gender parity index	Education	
wdi__SE.PRM.ENRR	School enrollment, primary, by sex (% gross)	Education	
wdi__SE.PRM.NENR	School enrollment, primary, by sex (% net)	Education	
wdi__SE.PRM.PRIV	School enrollment, primary, private (% of total primary)	Education	
wdi__SE.ENR.SECO.FM	School enrollment, secondary (gross), gender parity index	Education	
wdi__SE.SEC.ENRR	School enrollment, secondary, by sex (% gross)	Education	
wdi__SE.SEC.NENR	School enrollment, secondary, by sex (% net)	Education	
wdi__SE.SEC.PRIV	School enrollment, secondary, private (% of total secondary)	Education	
wdi__SE.TER	School enrollment, tertiary	Education	
wdi__SE.ENR.TERT.FM	School enrollment, tertiary (gross), gender parity index	Education	
wdi__SE.TER.ENRR	School enrollment, tertiary, by sex	Education	
wdi__SE.SEC.ENRL	Secondary education, general pupils	Education	
wdi__SE.SEC.ENRL.GC.FE	Secondary education, general pupils (% female)	Education	
wdi__SE.SEC	Secondary education, pupils	Education	
wdi__SE.SEC.ENRL.FE	Secondary education, pupils (% female)	Education	
wdi__SE.SEC.TCHR.FE	Secondary education, teachers (% female)	Education	
wdi__SE.SEC.TCHR	Secondary education, teachers, female	Education	
wdi__SE.SEC.ENRL.VO.FE	Secondary education, vocational pupils (% female)	Education	
wdi__SE.TER.TCHR.FE	Tertiary education, academic staff (% female)	Education	
wdi__SE.SEC.TCAQ.LO	Trained teachers in lower secondary education (% of total teachers)	Education	
