score,matched,law_id,folder,title,jalali_date,gregorian_year,enacting_body,text_len,path,doc_type
25,تعرفه|حقوق گمرکی,ca7d94acfc34,Aeen-Nameh,آئين نامه اجراي قانون تشكيل سازمان تعاوني مصرف كادر نيروهاي انتظامي,1334/07/10,1955,هیات وزیران,6011,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئين_نامه_اجراي_قانون_تشكيل_سازمان_تعاوني_مصرف_كادر_نيروهاي_انتظامي_4306092030220726547.txt,law
25,اصل ۴۴|بورس|خصوصی‌سازی|سهام,18432ac5265a,Aeen-Nameh,آيين نامه نحوه واگذاري سهام ترجيحي,1387/11/27,2009,شورای عالی اجرای سیاستهای کلی اصل ۴۴ قانون اساسی,8815,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_نحوه_واگذاري_سهام_ترجيحي_9383271075502295722.txt,other
25,بودجه|بورس,159e999dda79,Aeen-Nameh,آيين نامه اجرايي بندهاي  الف ،  ب ،  ج ، ...  تبصره  16  قانون بودجه سال 1396 كل كشور,1396/03/10,2017,هیات وزیران,10355,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بندهاي__الف_،__ب_،__ج_،_...__تبصره__16__قانون_بودجه_سال_1396_كل_كشور_6064985975792834321.txt,law
25,صادرات|واردات|یارانه,006b94997234,Aeen-Nameh,الحاق ماده  11  مكرر به آيين نامه اجرايي قانون مقررات صادرات و واردات   مصوب 1373 -,1389/12/18,2011,-,2607,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/الحاق_ماده__11__مكرر_به_آيين_نامه_اجرايي_قانون_مقررات_صادرات_و_واردات___مصوب_1373_-_7648832121693990302.txt,law
25,بودجه|یارانه,78d061997227,Aeen-Nameh,آيين نامه  اجرايي  بند الف  تبصره  27 قانون  بودجه  سال  1380كل  كشور,1379/12/27,2001,هیات وزیران,9953,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه__اجرايي__بند_الف__تبصره__27_قانون__بودجه__سال__1380كل__كشور_1569265865843331640.txt,law
25,بودجه|یارانه,7d146990a7cb,Aeen-Nameh,آییننامه اجرایی بند (الف) تبصره (۲۷) قانون بودجه سال ۱۳۷۹ کل کشور با اصلاحات و الحاقات بعدی,1379/04/26,2000,هیات وزیران,10447,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/6835667233505007778_6835667233505007778.txt,law
25,بورس,d38fb9ca647b,Aeen-Nameh,آيين نامه اجرايي قانون حمايت از شركتها و ...  بنيان و تجاري سازي نوآوري ها و اختراعات,1391/08/21,2012,هیات وزیران,25705,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_حمايت_از_شركتها_و_...__بنيان_و_تجاري_سازي_نوآوري_ها_و_اختراعات_5168687951980075898.txt,law
25,بودجه|خصوصی‌سازی,a39b1be4f482,Aeen-Nameh,آيين نامه اجرايي بند  هـ   تبصره  7  ماده واحده قانون بودجه سال 1398 كل كشور,1398/02/22,2019,هیات وزیران,5970,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__هـ___تبصره__7__ماده_واحده_قانون_بودجه_سال_1398_كل_كشور_5764205590064556719.txt,law
25,تعرفه|عوارض|مالیات بر ارزش افزوده,cb7195602213,Divan_edalat_edari_votes,رأي شماره550 هيأت عمومي ديوان عدالت ادار ... ر خصوص وضع عوارض بر قراردادهاي پيمانكاري,1391/08/28,2012,شورای اسلامی شهر اراک در خصوص وضع عوارض بر قراردادهای پیمانک,9079,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره550_هيأت_عمومي_ديوان_عدالت_ادار_..._ر_خصوص_وضع_عوارض_بر_قراردادهاي_پيمانكاري_8636818724226445711.txt,court_ruling
25,تجارت|صنعت|معدن|هدفمند|یارانه,47320c8ce6db,Divan_edalat_edari_votes,رأي شماره 1089 هيأت عمومي ديوان عدالت اد ... 2 8 اداره صنعت، معدن و تجارت شهرستان سقز,1400/03/25,2021,اطلاعات پایه,11064,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_1089_هيأت_عمومي_ديوان_عدالت_اد_..._2_8_اداره_صنعت،_معدن_و_تجارت_شهرستان_سقز_1351620526132114580.txt,court_ruling
25,تعرفه|مالیات بر ارزش افزوده,b09987468ab4,Divan_edalat_edari_votes,راي شماره 1610 هيات عمومي ديوان عدالت اد ...  بهاي خدمات سال 1397 شوراي اسلامي شهر قم,1399/11/04,2021,اطلاعات پایه,9398,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/راي_شماره_1610_هيات_عمومي_ديوان_عدالت_اد_...__بهاي_خدمات_سال_1397_شوراي_اسلامي_شهر_قم_13353528152183653065.txt,court_ruling
25,تعرفه|عوارض|مالیات بر ارزش افزوده,ca7810dd3eef,Divan_edalat_edari_votes,رأی شماره ۱۹۶۳ هیأت عمومی دیوان عدالت اداری با موضوع ابطال ماده ۲۲ از تعرفه عوارض و بهای خدمات سال ۱۳۹۴ و ماده ۲۱ از تعرفه عوارض و بهای خدمات سال ۱۳۹۵ مصوب شورای اسلامی شهر یزد با اصلاحات و الحاقات بعدی,1397/10/25,2019,شورای اسلامی شهر یزد با اصلاحات و الحاقات بعدی,16253,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/13365888895145465528_13365888895145465528.txt,court_ruling
25,آب|تعرفه|عوارض|مالیات بر ارزش افزوده,37167d63e096,Divan_edalat_edari_votes,رأی شماره ۵۹ هیأت عمومی دیوان عدالت اداری با موضوع ابطال ماده ۳ از تعرفه عوارض و بهای خدمات ملاک عمل دهیاری روستای خیرآباد سال ۱۳۹۹ مصوب شورای اسلامی شهر فسا با اصلاحات و الحاقات بعدی,1401/01/16,2022,شورای اسلامی شهر فسا با اصلاحات و الحاقات بعدی,6697,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/5569404185816770089_5569404185816770089.txt,court_ruling
25,اصل ۴۴|برق|عوارض|مالیات بر ارزش افزوده,b8f71a32e79b,Divan_edalat_edari_votes,رأي شماره هاي 358 الي 365 هيأت عمومي ديو ... يب درخصوص تعيين و برقراري عوارض حق الارض,1395/05/26,2016,اطلاعات پایه,20797,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_هاي_358_الي_365_هيأت_عمومي_ديو_..._يب_درخصوص_تعيين_و_برقراري_عوارض_حق_الارض_15670005225234573008.txt,court_ruling
25,اعتبار|تعرفه|مالیات بر ارزش افزوده,ebd596328085,Divan_edalat_edari_votes,رأي شماره 685 هيأت عمومي ديوان عدالت ادا ... بانكها، مؤسسات مالي اعتباري و دفاتر بيمه,1396/07/25,2017,اطلاعات پایه,6983,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_685_هيأت_عمومي_ديوان_عدالت_ادا_..._بانكها،_مؤسسات_مالي_اعتباري_و_دفاتر_بيمه_16775156779996862489.txt,court_ruling
25,اصل ۴۴|عوارض|مالیات بر ارزش افزوده,9a24bee1199f,Divan_edalat_edari_votes,ابطال مصوبات موضوع كدهاي 1311 و 1  1311  ... ر در مورد وضع عوارض بر فعاليت پيمانكاران,1391/12/21,2013,اطلاعات پایه,19638,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/ابطال_مصوبات_موضوع_كدهاي_1311_و_1__1311__..._ر_در_مورد_وضع_عوارض_بر_فعاليت_پيمانكاران_5849879049618458577.txt,court_ruling
25,تعرفه|حقوق گمرکی,a7a2574f4d25,general_laws,قانون موافقتنامه بازرگاني بين دولت جمهوري اسلامي ايران و دولت سلطنتي عمان,1382/10/23,2004,مجلس شورای اسلامی,7117,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_بازرگاني_بين_دولت_جمهوري_اسلامي_ايران_و_دولت_سلطنتي_عمان_1867318506919304165.txt,law
25,بودجه,a4cc71315c8b,general_laws,قانون  بودجه  سال  1368 كل  كشور,1367/12/29,1989,مجلس شورای اسلامی,89638,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__بودجه__سال__1368_كل__كشور_2157705573082180005.txt,law
25,بورس|سهام,cdb4a87593ab,general_laws,قانون تاسيس شركت سهامي شيلات جنوب ايران,1350/01/21,1971,مجلس شورای ملی,7726,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تاسيس_شركت_سهامي_شيلات_جنوب_ايران_9861745147118655234.txt,law
25,اصلاحات ارضی|بورس,c019b232b0f6,general_laws,قانون اصلاح پاره اي از مواد و الحاق مواد جديد بقانون تاسيس صندوق توسعه كشاورزي ايران,1347/02/04,1968,مجلس شورای ملی,5059,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_پاره_اي_از_مواد_و_الحاق_مواد_جديد_بقانون_تاسيس_صندوق_توسعه_كشاورزي_ايران_13736275974544720159.txt,law
25,بورس|حقوق گمرکی,2952a2502b26,general_laws,قانون موافقتنامه بين دولت شاهنشاهي ايران ... ري فدرال المان  آلمان  درباره همكاري فني,1348/02/11,1969,مجلس شورای ملی,15322,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_بين_دولت_شاهنشاهي_ايران_..._ري_فدرال_المان__آلمان__درباره_همكاري_فني_5176685200344727533.txt,law
25,تجارت|تعرفه|حقوق گمرکی,7e288fd6cdb8,general_laws,قانون اجازه مبادله قرارداد تجارت و بحرپي ... د اقتصادي بلژيك و لوكزامبورك لوكزامبورگ,1308/04/06,1929,مجلس شورای ملی,10704,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اجازه_مبادله_قرارداد_تجارت_و_بحرپي_..._د_اقتصادي_بلژيك_و_لوكزامبورك_لوكزامبورگ__5098418789304173191.txt,law
25,ملی شدن,ba96494ba7d6,general_laws,(untitled),1375/07/15,1996,مجلس شورای اسلامی,11531,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/15429328437900799194_15429328437900799194.txt,other
25,بورس,1a38f8ae1956,general_laws,قانون حفاظت و توسعه صنايع ايران,1358/04/10,1979,شورای انقلاب جمهوری اسلامی ایران,5969,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_حفاظت_و_توسعه_صنايع_ايران_5095867420606261948.txt,law
25,تعرفه|صادرات|ملی شدن,af1bd3d63708,general_laws,قانون  صندوق  ضمانت  صادرات  ايران,1352/05/09,1973,مجلس شورای ملی,5606,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__صندوق__ضمانت__صادرات__ايران_13819868193388495592.txt,law
25,بودجه,c62f8027c577,general_laws,قانون بودجه سال 1372 كل كشور,1371/11/12,1993,مجلس شورای اسلامی,125554,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1372_كل_كشور_3078039171675850391.txt,law
25,بودجه,38fc239469b5,general_laws,قانون بودجه سال 1362 كل كشور,1361/12/26,1983,مجلس شورای اسلامی,117466,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1362_كل_كشور_16359543413699363050.txt,law
25,بودجه|بورس,bebb95fe090e,general_laws,قانون اصلاح بعضي از مقررات قانون بودجه سال 1359,1359/11/18,1981,مجلس شورای اسلامی,12928,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_بعضي_از_مقررات_قانون_بودجه_سال_1359_7175254771953625159.txt,law
25,بودجه,d9810bdf7f5b,general_laws,قانون بودجه سال 1363 كل كشور,1362/12/30,1984,مجلس شورای اسلامی,103328,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/_قانون_بودجه_سال_1363_كل_كشور_4345108776978666515.txt,law
25,بودجه,f70234d3d7cc,general_laws,قانون بودجه سال 1367 كل كشور,1366/12/18,1988,مجلس شورای اسلامی,71487,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1367_كل_كشور_434822782505970352.txt,law
25,تعرفه|حقوق گمرکی,389f64241e5c,general_laws,قانون موافقتنامه بلند مدت بازرگاني بين د ... امي ايران و دولت جمهوري اسلامي پاكستان,1382/10/23,2004,مجلس شورای اسلامی,8079,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_بلند_مدت_بازرگاني_بين_د_..._امي_ايران_و_دولت_جمهوري_اسلامي_پاكستان___1996740379359096600.txt,law
25,بودجه|بورس,f1d74a02b7f1,general_laws,قانون برنامه و بودجه كشور,1351/12/10,1973,مجلس شورای ملی,106507,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_برنامه_و_بودجه_كشور_9453652088668195327.txt,law
25,بودجه,8a3c0757369d,general_laws,لايحه بودجه سال 1365 كل كشور,1364/12/26,1986,مجلس شورای اسلامی,37263,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_بودجه_سال_1365_كل_كشور_14999855369535797407.txt,other
24,تعرفه|صنعت|عوارض|نرخ ارز,8e18d08d0b49,Aeen-Nameh,اصلاح دستورالعمل و روش اجرايي آيين نامه اخذ عوارض در مناطق آزاد تجاري - صنعتي,1395/05/27,2016,هیات وزیران,8774,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_دستورالعمل_و_روش_اجرايي_آيين_نامه_اخذ_عوارض_در_مناطق_آزاد_تجاري_-_صنعتي_2388848829031661036.txt,other
24,اصلاحات ارضی,2fb080efe212,Aeen-Nameh,افزايش  عناوين  درآمدهاي  به  شرح  جدول  ...  ماده  79 قانون  برنامه  سوم  توسعه كشور,1379/08/01,2000,هیات وزیران,5565,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/افزايش__عناوين__درآمدهاي__به__شرح__جدول__...__ماده__79_قانون__برنامه__سوم__توسعه_كشور_5293037398822642078.txt,law
24,تعرفه|هدفمند|یارانه,b0b1cc6cb89b,Aeen-Nameh,دستورالعمل تبصره  2   ماده  134   قانون برنامه پنجم توسعه جمهوري اسلامي ايران,1390/12/10,2012,هیات وزیران,3332,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_تبصره__2___ماده__134___قانون_برنامه_پنجم_توسعه_جمهوري_اسلامي_ايران_8842769083351967759.txt,law
24,یارانه,c82a73bdaac8,Aeen-Nameh,آيين نامه اجرايي تبصره ماده  14  قانون هواي پاك,1397/06/21,2018,هیات وزیران,5525,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره_ماده__14__قانون_هواي_پاك_15581182736141507772.txt,law
24,بورس|خصوصی‌سازی|سهام|قیمت‌گذاری,c97a2238776b,Aeen-Nameh,آيين نامه اجرايي افزايش ثروت خانوارهاي ا ... رش سهم بخش تعاون براساس توزيع سهام عدالت,1385/08/21,2006,هیات وزیران,4792,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_افزايش_ثروت_خانوارهاي_ا_..._رش_سهم_بخش_تعاون_براساس_توزيع_سهام_عدالت_10547452513332901300.txt,other
24,یارانه,294a5c3082fc,Aeen-Nameh,آيين نامه اجرايي گسترش بنگاههاي كوچك اقتصادي زودبازده وكارآفرين,1384/08/19,2005,هیات وزیران,6402,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_گسترش_بنگاههاي_كوچك_اقتصادي_زودبازده_وكارآفرين_11776995940881641203.txt,other
24,بودجه|بورس,7f3ddf11ee15,Aeen-Nameh,آيين نامه اجرايي بندهاي  الف ،  ب ،  ج  و  د  تبصره  5  قانون بودجه سال 1395 كل كشور,1395/06/03,2016,هیات وزیران,10979,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بندهاي__الف_،__ب_،__ج__و__د__تبصره__5__قانون_بودجه_سال_1395_كل_كشور_5662453215756629786.txt,law
24,یارانه,f428166cb5ac,Aeen-Nameh,آيين نامه اجرايي ماده  194  قانون برنامه پنجساله پنجم توسعه جمهوري اسلامي ايران,1392/01/18,2013,هیات وزیران,16922,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__194__قانون_برنامه_پنجساله_پنجم_توسعه_جمهوري_اسلامي_ايران_1145868861820619104.txt,law
24,بودجه|یارانه,9b21c32e32e8,Aeen-Nameh,آيين نامه اجرايي بندهاي  الف  و  ب  تبصره  18  قانون بودجه سال 1396 كل كشور,1396/03/28,2017,هیات وزیران,15132,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بندهاي__الف__و__ب__تبصره__18__قانون_بودجه_سال_1396_كل_كشور_4131580015833105732.txt,law
24,اصل ۴۴|بورس|خصوصی‌سازی,4f9adb982c5e,Aeen-Nameh,آيين نامه نظام اقساطي واگذاري و نحوه دريافت بهاي حقوق قابل واگذاري,1387/11/27,2009,شورای عالی اجرای سیاستهای کلی اصل ۴۴ قانون اساسی,8030,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_نظام_اقساطي_واگذاري_و_نحوه_دريافت_بهاي_حقوق_قابل_واگذاري_8401949769718835292.txt,other
24,تعرفه,24c90c50bc50,Aeen-Nameh,آيين نامه اجرايي جزء  1  بند  الف  ماده  ... دي، اجتماعي و فرهنگي جمهوري اسلامي ايران,1397/10/23,2019,هیات وزیران,6227,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_جزء__1__بند__الف__ماده__..._دي،_اجتماعي_و_فرهنگي_جمهوري_اسلامي_ايران_11373226084264524861.txt,other
24,ملی شدن|نفت,0f641d07ebd0,Aeen-Nameh,آيين نامه چگونگي قراردادهاي بيع متقابل غير نفتي,1379/11/09,2001,هیات وزیران,6378,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_چگونگي_قراردادهاي_بيع_متقابل_غير_نفتي_3800500464184805863.txt,other
24,بودجه|بورس,8e4833e2cde6,Aeen-Nameh,آیین‌نامه اجرایی بند (و) تبصره (۵) قانون بودجه سال ۱۳۹۶ کل کشور با اصلاحات و الحاقات بعدی,1396/03/21,2017,هیات وزیران,10828,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/8412463424262186520_8412463424262186520.txt,law
24,بودجه|بورس,040894b9376f,Aeen-Nameh,آيين نامه اجرايي بند  ز  تبصره  6  قانون بودجه سال 1394 كل كشور,1394/01/30,2015,هیات وزیران,9405,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__ز__تبصره__6__قانون_بودجه_سال_1394_كل_كشور_10114822313049398091.txt,law
24,بودجه|یارانه,82f4c577fb0f,Aeen-Nameh,آيين  نامه اجرايي تبصره  19  ماده واحده قانون بودجه سال 1397 كل كشور,1397/03/13,2018,هیات وزیران,10697,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين__نامه_اجرايي_تبصره__19__ماده_واحده_قانون_بودجه_سال_1397_كل_كشور_16772999439682724364.txt,law
24,اصل ۴۴|بورس|خصوصی‌سازی|سهام,d2856e0a937f,Divan_edalat_edari_votes,رأي شماره 3065 هيأت عمومي ديوان عدالت اد ... مديركل امور سهام عدالت سازمان خصوصي سازي,1398/11/01,2020,اطلاعات پایه,5726,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_3065_هيأت_عمومي_ديوان_عدالت_اد_..._مديركل_امور_سهام_عدالت_سازمان_خصوصي_سازي_14390556383995590210.txt,court_ruling
24,مالیات بر ارزش افزوده|هدفمند|گاز|یارانه,5569981ba84f,Divan_edalat_edari_votes,رأي شماره 1127 هيأت عمومي ديوان عدالت اد ... ين هزينه خدمات مستمر ماهيانه مشتركين گاز,1396/11/03,2018,اطلاعات پایه,6882,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_1127_هيأت_عمومي_ديوان_عدالت_اد_..._ين_هزينه_خدمات_مستمر_ماهيانه_مشتركين_گاز_18159386541478136186.txt,court_ruling
24,برنامه توسعه|تعرفه|عوارض|مالیات بر ارزش افزوده,cc43531bf6d1,Divan_edalat_edari_votes,رأي شماره 414 هيأت عمومي ديوان عدالت ادا ... عوارض و بهاي خدمات افتتاح ساليانه بانكها,1396/05/03,2017,اطلاعات پایه,7295,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_414_هيأت_عمومي_ديوان_عدالت_ادا_..._عوارض_و_بهاي_خدمات_افتتاح_ساليانه_بانكها_10177143627831150625.txt,court_ruling
24,برنامه توسعه|نفت|یارانه,1aa7157e92e3,Divan_edalat_edari_votes,رأي شماره 208 هيئت عمومي ديوان عدالت ادا ... 6  9  1377 شركت ملي پخش فرآورده هاي نفتي,1381/06/24,2002,اطلاعات پایه,4489,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_208_هيئت_عمومي_ديوان_عدالت_ادا_..._6__9__1377_شركت_ملي_پخش_فرآورده_هاي_نفتي_5158569916484591124.txt,court_ruling
24,برنامه توسعه|تعرفه|مالیات بر ارزش افزوده,303d4602c7dd,Divan_edalat_edari_votes,رأي شماره 355 هيأت عمومي ديوان عدالت ادا ...  درآمد مشمول ماليات هر يك از شعب بانك ها,1397/03/01,2018,اطلاعات پایه,19319,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_355_هيأت_عمومي_ديوان_عدالت_ادا_...__درآمد_مشمول_ماليات_هر_يك_از_شعب_بانك_ها_7443744638122993341.txt,court_ruling
24,تعرفه|عوارض|مالیات بر ارزش افزوده,a954e687baab,Divan_edalat_edari_votes,رأي شماره هاي 491 الي 493 هيأت عمومي ديو ...  و تعرفه عوارض محل فعاليت فعالان اقتصادي,1396/05/24,2017,اطلاعات پایه,39100,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_هاي_491_الي_493_هيأت_عمومي_ديو_...__و_تعرفه_عوارض_محل_فعاليت_فعالان_اقتصادي_10748392254565992565.txt,court_ruling
24,تعرفه|صنعت|مالیات بر ارزش افزوده,bb9265d0a6ff,Divan_edalat_edari_votes,رأي شماره 568 هيأت عمومي ديوان عدالت ادا ... ر خصوص تعيين بهاي خدمات شهري مراكز صنعتي,1396/06/14,2017,اطلاعات پایه,17692,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_568_هيأت_عمومي_ديوان_عدالت_ادا_..._ر_خصوص_تعيين_بهاي_خدمات_شهري_مراكز_صنعتي_8811463023775011588.txt,court_ruling
24,تعرفه|سوخت|عوارض|مالیات بر ارزش افزوده,d91680f43986,Divan_edalat_edari_votes,رأي شماره 1777 هيأت عمومي ديوان عدالت اد ... بروجرد در تعيين عوارض بر جايگاه هاي سوخت,1393/10/15,2015,اطلاعات پایه,5364,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_1777_هيأت_عمومي_ديوان_عدالت_اد_..._بروجرد_در_تعيين_عوارض_بر_جايگاه_هاي_سوخت_12953114663076940330.txt,court_ruling
24,برق|تعرفه|عوارض|مالیات بر ارزش افزوده,50f45fb6bc55,Divan_edalat_edari_votes,رأي شماره 682 هيأت عمومي ديوان عدالت ادا ...  مبني برقراري عوارض بر تابلوهاي تبليغاتي,1395/09/16,2016,اطلاعات پایه,7856,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_682_هيأت_عمومي_ديوان_عدالت_ادا_...__مبني_برقراري_عوارض_بر_تابلوهاي_تبليغاتي_8260397671973752566.txt,court_ruling
24,برنامه توسعه|تعرفه|عوارض|مالیات بر ارزش افزوده,49d00f047e09,Divan_edalat_edari_votes,رأي شماره 771 هيأت عمومي ديوان عدالت ادا ... شهد در ارتباط با عوارض تابلوهاي تبليغاتي,1391/10/18,2013,اطلاعات پایه,15803,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_771_هيأت_عمومي_ديوان_عدالت_ادا_..._شهد_در_ارتباط_با_عوارض_تابلوهاي_تبليغاتي_3071037621595783331.txt,court_ruling
24,تعرفه|حقوق گمرکی,452b1bc985a0,general_laws,قانون الحاق دولت جمهوري اسلامي ايران به  ... رجيحات بازرگاني بين كشورهاي در حال توسعه,1370/09/13,1991,مجلس شورای اسلامی,40893,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_الحاق_دولت_جمهوري_اسلامي_ايران_به__..._رجيحات_بازرگاني_بين_كشورهاي_در_حال_توسعه_12645640230328746823.txt,law
24,بودجه|حقوق گمرکی,423a7624a46f,general_laws,قانون بودجه سال 1315 كشوري,1314/12/19,1936,مجلس شورای ملی,9081,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1315_كشوري_5546997635111957183.txt,law
24,مالیات بر ارزش افزوده,f2bd4d6e4416,general_laws,قانون ساماندهي مبادلات مرزي,1384/07/06,2005,مجلس شورای اسلامی,7603,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_ساماندهي_مبادلات_مرزي_14619130970011260833.txt,law
24,تعرفه|حقوق گمرکی,6ef0aa6601ec,general_laws,قانون موافقتنامه بازرگاني بين دولت جمهوري اسلامي ايران و دولت جمهوري دمكراتيك خلق كره,1382/02/23,2003,مجلس شورای اسلامی,9437,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_بازرگاني_بين_دولت_جمهوري_اسلامي_ايران_و_دولت_جمهوري_دمكراتيك_خلق_كره_358129846954248905.txt,law
24,تعرفه|حقوق گمرکی,f2cc26c7c52e,general_laws,قانون موافقتنامه بازرگاني بين دولت جمهوري اسلامي ايران و دولت جمهوري فيليپين,1375/08/13,1996,مجلس شورای اسلامی,8812,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_بازرگاني_بين_دولت_جمهوري_اسلامي_ايران_و_دولت_جمهوري_فيليپين_605547703662211327.txt,law
24,تعرفه|حقوق گمرکی,218bbd9c13d4,general_laws,تصويب قرارداد بازرگاني و بحرپيمائي  منعقده دولت شاهنشاهي ايران و دولت اتحاد جماهير شوروي,1319/01/15,1940,مجلس شورای ملی,30251,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/تصويب_قرارداد_بازرگاني_و_بحرپيمائي__منعقده_دولت_شاهنشاهي_ايران_و_دولت_اتحاد_جماهير_شوروي_10419952498446557791.txt,other
24,بودجه,844e02475f87,general_laws,قانون بودجه سال 1361 كل كشور,1360/12/26,1982,مجلس شورای اسلامی,87784,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1361_كل_كشور_8534782284210221810.txt,law
