Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2015QIII	-2.1100
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2015QII	12.3217
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2015QI	-4.4730
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QIV	-0.2303
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QIII	-5.7559
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QII	7.4387
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QI	23.1979
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QIV	-9.3827
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QIII	-11.4185
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QII	-1.8957
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QI	3.6508
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QIV	-5.7753
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QIII	-14.9884
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QII	8.0595
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QI	5.5057
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QIV	0.1429
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QIII	-0.7398
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QII	5.3491
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QI	-3.0334
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QIV	-0.6276
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QIII	-7.7361
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QII	-7.3194
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QI	-9.9430
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QIV	-6.0234
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QIII	-5.1483
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QII	-5.6503
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QI	4.9364
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QIV	11.5253
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QIII	3.7876
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QII	-1.9599
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QI	-2.1050
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QIV	-4.2469
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QIII	22.4834
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QII	1.4229
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QI	4.0273
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QIV	-1.1121
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QIII	-6.7866
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QII	19.8704
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QI	2.5820
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QIV	-2.4859
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QIII	-0.7696
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QII	1.0654
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QI	2.0107
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2004QIV	5.6372
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2004QIII	-1.8149
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2004QII	4.5123
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2004QI	8.5144
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2003QIV	-7.4320
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2003QIII	2.4242
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2003QII	-1.3040
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2003QI	10.3061
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2002QIV	-6.8241
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2002QIII	-5.9116
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2002QII	15.2687
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2002QI	9.8594
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2001QIV	-16.4607
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2001QIII	10.2253
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2001QII	-1.2522
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2001QI	13.8977
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2000QIV	-1.7588
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2000QIII	8.3320
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2000QII	3.0278
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2000QI	6.8622
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1999QIV	-8.1783
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1999QIII	2.1511
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1999QII	13.9681
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1999QI	-8.5188
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1998QIV	-4.0534
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1998QIII	2.6541
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1998QII	5.0738
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1998QI	-3.3055
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1997QIV	1.8246
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1997QIII	-0.0531
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1997QII	11.3345
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1997QI	-4.8575
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1996QIV	0.6988
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1996QIII	-0.2637
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1996QII	9.6674
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1996QI	0.6027
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1995QIV	-6.8525
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1995QIII	2.1352
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1995QII	4.2457
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	1995QI	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2025QIV	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2025QIII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2025QII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2025QI	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2024QIV	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2024QIII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2024QII	12.5870
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2024QI	22.7303
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2023QIV	33.6048
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2023QIII	52.6219
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2023QII	42.3241
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2023QI	29.7058
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2022QIV	15.5294
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2022QIII	10.0808
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2022QII	15.5573
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2022QI	10.7159
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2021QIV	15.8703
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2021QIII	3.0077
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2021QII	3.1181
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2021QI	-12.9543
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2020QIV	4.0032
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2020QIII	5.0920
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2020QII	-2.4917
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2020QI	10.6153
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2019QIV	-17.5246
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2019QIII	0.9843
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2019QII	0.1983
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2019QI	13.8462
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2018QIV	29.5785
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2018QIII	0.3693
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2018QII	2.9030
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2018QI	7.7011
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2017QIV	-5.6379
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2017QIII	11.9368
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2017QII	8.6129
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2017QI	0.6714
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2016QIV	8.1398
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2016QIII	1.2452
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2016QII	1.6798
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2016QI	9.6641
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2015QIV	2.2090
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2015QIII	4.7917
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2015QII	0.8887
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2015QI	-3.4973
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2014QIV	24.4563
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2014QIII	13.0392
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2014QII	6.2473
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2014QI	-2.9836
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2013QIV	-18.3767
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2013QIII	-15.1273
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2013QII	-18.5477
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2013QI	-10.2822
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2012QIV	-8.6766
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2012QIII	-2.9406
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2012QII	13.3273
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2012QI	10.4847
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2011QIV	1.5426
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2011QIII	0.7613
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2011QII	-6.3408
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2011QI	-17.6036
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2010QIV	-23.4749
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2010QIII	-27.6301
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2010QII	-25.6003
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2010QI	-24.2604
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2009QIV	-11.7466
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2009QIII	4.7333
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2009QII	14.6002
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2009QI	19.0828
