date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
planned,1975,Government Finance,US-Iran investment program under discussion,10,billion USD,"Per Kissinger, a preliminary agreement expected by March 1975 with signature during the Shah's May visit.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 100 (Feb 7 1975), PDF p.345"
as of early 1975,1975,Foreign aid,"Iran's foreign aid as share of GNP, per the Shah (relayed by Shultz)",about 7,percent,Described by the Shah as 'a gigantic effort' he would not be able to sustain.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 100 (Feb 7 1975), PDF p.345"
negotiated Feb 1975,1975,Foreign investment,Proposed Iranian Government investment in Pan American Airlines,300,million USD,Pan Am was financially weakened by oil price increases and sought the investment to avoid bankruptcy.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 102 (Feb 11 1975), PDF p.348"
after completion (proposed terms),1975,Foreign investment,Iran's proposed resulting stake in Pan Am debt,approximately 245 million (20-30% of Pan Am debt),million USD / percent,Plus 55% of Intercontinental Hotels Corp stock and warrants for up to 13% of Pan Am equity.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 102 (Feb 11 1975), PDF p.348"
prior year (1973/74),1974,Foreign aid,"Iran loan to the IMF oil facility, last year",750,million USD,Per Amuzegar.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 104 (Feb 19 1975), PDF p.355"
"this year (1975, pledged)",1975,Foreign aid,"Iran contribution to the IMF, this year (pledged by the Shah)",1,billion USD,Per Amuzegar.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 104 (Feb 19 1975), PDF p.355"
proposed (Kissinger plan),1975,Foreign aid,Kissinger's proposed international financial safety net,25,billion USD,"Iran had no objection to the plan, per Amuzegar.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 104 (Feb 19 1975), PDF p.355"
as of Feb 1975,1975,Foreign aid,"Iran's proposed tripartite international development fund, per-party contribution",150-200 million each,million USD,"For a total fund of roughly $4 billion; contributors would be OPEC, developed, and developing countries.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 105 (Feb 19 1975), PDF p.357"
as of Feb 1975,1975,Foreign aid,"Iran's share of total OPEC aid to developing countries, per Amuzegar",50,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 105 (Feb 19 1975), PDF p.357"
Dec 1974 possible lineup,1975,Foreign investment,Proposed Uranium Enrichment Associates (UEA) ownership shares -- Japan,25-30,percent,Possible investor lineup discussed in December 1974; only Iran ultimately indicated firm willingness to invest.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 107 (March 2 1975), PDF p.362"
Dec 1974 possible lineup,1975,Foreign investment,Proposed UEA ownership shares -- Germany and France combined,about 12,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 107 (March 2 1975), PDF p.362"
"Dec 1974 possible lineup, later revised",1975,Foreign investment,Proposed UEA ownership shares -- Iran,about 10 (initial) -> offered to increase to 30,percent,Iran's 10% roughly equaled its projected reactor fueling need in the 1980s; Iran offered to raise this to 30% to break the investment impasse.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 107 (March 2 1975), PDF p.362"
next five years (from March 1975),1980,Trade,"Target total US-Iran trade, excluding oil and military goods",12.5,billion USD,Protocol target for the next five years.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364"
unstated period,1975,Foreign investment,"Sale of US dual-purpose nuclear power/desalinization plants to Iran, planned capacity and value","8,000 MW / 5-6 billion USD",megawatts / billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364"
planned,1975,Foreign investment,Iran's planned investment in the UEA uranium enrichment plant,about 1,billion USD,"For 20 percent of the financing, linked to the enriched-uranium fuel supply commitment.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364"
next five years (from March 1975),1980,Foreign investment,Planned US-Iran housing construction program,300,million USD (estimated contract totals),"20 factories to build prefabricated housing, 100,000 apartments and other units over five years.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364"
next five years (from March 1975),1980,Foreign investment,Planned US-Iran hospital construction program,300,million USD (estimated contract totals),"5 hospitals, 3,000 beds total.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364"
potential,1980,Foreign investment,Potential US company participation in Iran infrastructure (roads and ports),1.5,billion USD (potential),,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364"
potential,1980,Foreign investment,Potential US-Iran agricultural development cooperation,2,billion USD (potential),"Fertilizer/agricultural machinery production, demonstration areas, port facilities.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364"
"agreed program, March 1975",1980,Government Finance,"US-Iran non-military economic program, five-year total",12.5,billion USD,"Per Kissinger to President Ford; breaks down as $6bn nuclear development, $5bn port facilities, $2.5bn agriculture (figures as stated, sum to $13.5bn -- preserved as printed, not reconciled).",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.365"
component of $12.5bn program,1980,Foreign investment,US-Iran program component -- nuclear development,6,billion USD,"As stated by Kissinger; note this and the port/agriculture components as printed sum to $13.5bn, not $12.5bn -- discrepancy preserved, not corrected.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.365"
component of $12.5bn program,1980,Foreign investment,US-Iran program component -- port facilities,5,billion USD,As stated by Kissinger.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.365"
component of $12.5bn program,1980,Foreign investment,US-Iran program component -- agriculture,2.5,billion USD,As stated by Kissinger.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.365"
proposed,1975,Oil production & trade,"Proposed Iran oil sale to US below OPEC price, tied to military purchases","500,000-750,000",barrels/day,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.365"
1983 (target),1983,Macro / National Accounts,"Iran's targeted GNP by 1983, per Minister Ansari",193,billion USD,Slightly different figure from the $190bn cited in Document 88 -- both preserved as printed.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.367"
1983 (projected),1983,Demographics & Population,Iran's projected population by 1983,about 42,million,"Growing about 3 percent a year, per Ansari, though Iran had a family-planning program aiming to reduce this.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.367"
"population growth rate, 1975",1975,Demographics & Population,Iran's population growth rate,about 3,percent/year,Per Ansari.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.367"
45 years before 1975 vs 1975 vs 1976,1976,Trade,"Iran total imports, historical comparison per Ansari","15 million (c.1930) -> 10 billion (1975) -> 14.5 billion (1976, projected)",USD,As stated by Ansari to illustrate the scale of change.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.367"
1983 (target),1983,Trade,Planned port-handling capacity by 1983 vs 1975,80 million tons (1983 target) vs 4 million tons (1975),million tons,"Iran's four major ports, per Ansari.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.367"
since mid-1960s to 1974,1974,Macro / National Accounts,Iran's average annual real GNP growth rate since the mid-1960s,12,percent/year,GNP reached about $40 billion in 1974.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.398"
1974,1974,Macro / National Accounts,Iran's GNP level,about 40,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.398"
1974,1974,Government Finance,"Iran's oil revenues, 1974 (quadrupled)",about 20,billion USD,"Roughly half of GNP; unexpected surge of about $15 billion, of which about one-fourth went to expanded imports and less than another fourth to increased domestic development spending.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.398"
end of 1974,1975,Balance of Payments,"Iran's official reserves, end of 1974",over 8,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.398"
1975 (NIE estimate),1975,Labor & Employment,Iran's shortage of skilled and semi-skilled workers,"about 700,000",count (and rising),,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.399"
as of 1975,1975,Labor & Employment,Foreign laborers (largely East Asian) that have arrived in Iran,"20,000 (or so)",count,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.399"
1974,1974,Prices,"Iran's inflation rate, 1974",about 25,percent,Described as a serious problem in a country accustomed to nearly stable prices.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.399"
"last year (poor harvest, cited May 1975)",1975,Agriculture,Increase in food imports due to poor harvest (inadequate rainfall),at least sixfold,multiple (of prior import volume),,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.399"
next five years (from 1975),1980,Agriculture,Shah's stated expectation for agricultural imports from the US alone,10,billion USD,Over the next five years.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.399"
next five years (from 1975),1980,Military expenditure,Shah's planned average annual purchases abroad (military),about 5,billion USD/year,Military expansion expected to be largely unaffected by the broader economic slowdown.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.399"
currently (1975) vs last year,1975,Oil production & trade,"Iran's oil output, currently, vs prior year's level",10 percent below last year's 6 million barrels/day,million barrels/day,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.400"
current vs projected 1980,1980,Trade,"Iran's non-oil exports, growth projection",about 1 billion (current) -> 4 billion (1980 projection),billion USD,Still less than one-fifth of then-current oil income.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.400"
this year (1975),1975,Foreign investment,Iran's equity stake acquired in a West German machinery/construction firm,25,percent,"In keeping with judicious use of current account surpluses (e.g., Krupp steelworks).",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.400"
this year (1975),1975,Foreign investment,Iran's equity stake in a French uranium enrichment plant,10,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.400"
by 1980 (projected),1980,Foreign investment,"US investment in Iran, projected",could triple to at least 2,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.401"
by 1980 (projected),1980,Demographics & Population,US citizens likely to be in Iran by 1980,"50,000",count,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.401"
"next five years (from 1975), revised up from earlier $15bn target",1980,Trade,"US-Iran non-oil trade, five-year projection",some 25,billion USD,Revised upward from the $15 billion target mentioned in the earlier Kissinger/Ansari communiqué (see Documents 108-109).,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.401"
about 5 years before May 1975,1970,Oil production & trade,Shah's historical offer of oil at a token price,2 million barrels for $1,barrels/USD,"Per Kissinger, referencing an offer the Shah made roughly five years earlier.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 127 (May 16 1975), PDF p.428"
as of May 1975,1975,Prices,"Oil's contribution to Western inflation, per the Shah (citing 'your figure')",2,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 127 (May 16 1975), PDF p.428"
as of May 1975,1975,Prices,"Industrial-goods inflation vs prices charged to Iran, per the Shah",14 percent (industrial inflation) vs 35 percent (price rise to Iran),percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 127 (May 16 1975), PDF p.428"
first four months of 1975,1975,Military expenditure,Iran payments for Israeli-produced military equipment,over 12,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 131 (May 29 1975), PDF p.440"
Nov 1974,1974,Foreign aid,Iran oil shipment to Egypt,"600,000",tons,Sent in response to an urgent Sadat request.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 131 (May 29 1975), PDF p.440"
March 1975,1975,Foreign aid,Iran budgetary aid to Egypt,120,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 131 (May 29 1975), PDF p.440"
as of May 1975 (cumulative),1975,Foreign aid,Iran economic credits provided to Egypt,some 850,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 131 (May 29 1975), PDF p.440"
as of May 1975,1975,Foreign aid,Iran economic credits promised to Syria,150,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 131 (May 29 1975), PDF p.440"
as of June 1975,1975,Oil production & trade,Companies' present import level of Iranian oil vs proposed deal volume,"roughly 390,000 (present) vs 500,000 (proposed)",barrels/day,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 133 (June 6 1975), PDF p.445"
May 1975 vs June 1975,1975,Oil production & trade,"Shah's excess oil liftings shortfall, growth","500,000 (May 1975) -> 700,000 (by June 1975)",barrels/day,"Per Kissinger, describing the basis for the proposed Treasury-notes-for-oil barter scheme.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 134 (June 16 1975), PDF p.447"
proposed,1975,Government Finance,"Proposed non-negotiable Treasury notes to Iran, first-year total",2,billion USD,"First-year value of non-interest-bearing, non-negotiable Treasury notes under the proposed oil barter scheme.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 134 (June 16 1975), PDF p.448"
"estimate, June 1975",1975,Oil production & trade,"Cost of forgiveness feature at current interest rates, per barrel",about 1,USD/barrel,Per Charles Robinson.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 134 (June 16 1975), PDF p.448"
less than a year (to mid-1975),1975,Prices,Rental price increase in Tehran for US technician housing,250,percent,Landlords also demanding as much as a year's advance payment.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 137 (July 3 1975), PDF p.455"
1967 vs 1975 with 1978 target,1978,Military expenditure,Iranian Armed Forces (incl. Gendarmerie) size,"207,000 (1967) -> 436,000 (1975) -> planned 486,000 (end 1978)",personnel,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 142 (Sept 2 1975), PDF p.469"
over past 8 years to 1975,1975,Military expenditure,"Iran defense spending, growth and level",risen fifteen-fold to some 9.4 billion in 1975,billion USD,About 1.2 times the amount spent on economic development.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 142 (Sept 2 1975), PDF p.469"
1967-1975 avg vs current,1975,Military expenditure,Defense spending share of Iran's budget,"37 percent (1967-1975 average) vs about 41 percent (current, 1975)",percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 142 (Sept 2 1975), PDF p.469"
1967 vs 1975,1975,Military expenditure,Defense expenditures as share of Iran's GNP,6.8 percent (1967) -> 15.2 percent (1975),percent of GNP,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 142 (Sept 2 1975), PDF p.469"
past year (to Sept 1975),1975,Prices,"Iran inflation rate, past year",20-25,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 142 (Sept 2 1975), PDF p.469"
as of Sept 1975 (cumulative),1975,Military expenditure,GOI contracted purchases via US Foreign Military Sales (FMS) program,approximately 10 (of which 9.1 billion since 1972),billion USD,Roughly $8 billion of the $10 billion total was yet to be delivered as of this document.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 142 (Sept 2 1975), PDF p.469"
during price freeze to Sept 1975,1975,Prices,Decrease in Iran's purchasing power tolerated during the OPEC price freeze,about 35,percent,Per the Shah's letter regarding the freeze through end of September 1975.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 144 (Sept 11 1975), PDF p.476"
18 months prior to Sept 1975,1975,Prices,Price increase on items purchased by Iran from the US,300-400,percent,Per the Shah's letter.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 144 (Sept 11 1975), PDF p.476"
as of Sept 1975,1975,Prices,World inflation range cited by the Shah,12-27,percent,The Shah argued the 1973-74 oil price increase was responsible for only about 2 percentage points of this.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 144 (Sept 11 1975), PDF p.476"
since Sept 1975 (cumulative),1975,Military expenditure,Unexpected DOD price increases passed to Iran,1,billion USD,"Covering F-14, I-Hawk, and Spruance-class ship cost escalations.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 148 (Nov 17 1975), PDF p.485"
"increase, Nov 1975",1975,Military expenditure,F-14 procurement cost increase (50 aircraft),138,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 148 (Nov 17 1975), PDF p.485"
"increase, Nov 1975",1975,Military expenditure,"F-14 support cost increase, unexpected",197,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 148 (Nov 17 1975), PDF p.485"
"increase, Nov 1975",1975,Military expenditure,I-Hawk additional costs,200,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 148 (Nov 17 1975), PDF p.485"
"increase, Nov 1975",1975,Military expenditure,Price increase for 5 Spruance-class ships,600,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 148 (Nov 17 1975), PDF p.485"
Dec 1973 original quote vs final decision vs Nov 1975,1975,Military expenditure,Spruance-class destroyer (DD-963) per-ship price escalation,100-120 million (Dec 1973 quote) -> 238 million (at purchase decision) -> 338 million (Nov 1975),million USD/ship,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 148 (Nov 17 1975), PDF p.485"
original vs Jan 1976,1976,Military expenditure,"Spruance-class destroyer per-ship price escalation, per General Toufanian","120 million (original) -> 238 million (100% increase) -> 338 million (current, Jan 1976)",million USD/ship,Corroborates the escalation figures in Document 148.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 158 (Jan 19 1976), PDF p.509"
as of Jan 1976,1976,Military expenditure,"Grumman F-14 agents' fees paid, per Toufanian",6 (paid: 3 + 2.9) plus 28 more planned,million USD,"Toufanian stated Grumman had a no-agents'-fees contract with DOD but paid these fees anyway, in violation of ASPR.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 158 (Jan 19 1976), PDF p.512"
"cumulative, as of Jan 1976",1976,Military expenditure,Iran's prior payment to prevent Grumman bankruptcy,75,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 158 (Jan 19 1976), PDF p.513"
as of Jan 1976,1976,Oil production & trade,Shortfall in Iranian oil exports lifted vs expected level,1.5 million barrels/day (shortfall),barrels/day,"Per Toufanian; if not corrected, would force reductions in Iran's military programs.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 158 (Jan 19 1976), PDF p.513"
original vs LOA-signed vs Jan 1976,1976,Military expenditure,I-Hawk (Peace Shield) 8-battalion program price escalation,270 million (original) -> 444 million (LOA signed) -> 800 million (Jan 1976),million USD,Per Toufanian.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 158 (Jan 19 1976), PDF p.514"
at risk (Jan 1976),1976,Military expenditure,Electronics-communications program (Seek Switch/Seek Sentry) at risk of cancellation,10-15,billion USD,Per Toufanian's warning of program cuts if oil-export shortfall not resolved.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 158 (Jan 19 1976), PDF p.514"
"projected vs recent low, Feb 1976",1976,Oil production & trade,"Iran oil purchases by consortium, projected level vs recent low",4.9 million (projected) vs as low as 3.3 million (recent),barrels/day,Ansary attributed the shortfall partly to a non-competitive heavy-crude price.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 165 (Feb 16 1976), PDF p.538"
Feb 1976,1976,Oil production & trade,Planned Iranian heavy-crude price decrease to address competitiveness,9.5,cents/barrel,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 165 (Feb 16 1976), PDF p.538"
"proposed, March 1976",1976,Government Finance,Proposed US Strategic Petroleum Reserve purchase authority,1,"billion barrels (total, not per year)",New legislative authority discussed with FEA Administrator Zarb.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 166 (March 13 1976), PDF p.541"
implied by discussion,1976,Oil production & trade,Rate needed to fill 1-billion-barrel SPR,"about 500,000 barrels/day for about 1 year",barrels/day,Per Robinson's estimate in the same meeting.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 166 (March 13 1976), PDF p.541"
"discussed target, March 1976",1978,Oil production & trade,SPR storage capacity target by 1978,"150,000",barrels (in place),Per Zarb's preference for a seven-year deal structure.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 166 (March 13 1976), PDF p.544"
established earlier vs March 1976,1976,Trade,"US-Iran Joint Commission trade target, growth",15 billion (established earlier) -> 25 billion (by March 1976),billion USD,Per Ansary.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 169 (March 29 1976), PDF p.556"
a couple years before May 1976,1974,Oil production & trade,"Iran crude oil sale to independent companies, historical high price cited by Shah",35,USD/barrel,The Shah called this 'obviously an exception' when discussing future price direction.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 175 (May 16 1976), PDF p.568"
proposed maximum,1982,Oil production & trade,Proposed maximum Iran-US SPR oil purchase,"about 300 million barrels (140,000 barrels/day)",barrels / barrels-per-day,"40% heavy crude, 60% light crude, over six years to 1982.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 178 (June 5 1976), PDF p.575"
