edition_and_source_page,index_base,year_or_period,indicator,value
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Labor productivity, construction",285
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Labor productivity, construction",347
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Labor productivity, construction",368
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",60
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",138
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",184
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",203
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",243
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Labor productivity, kolkhoz/sovkhoz/other state agriculture",239
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Labor productivity, rail transport",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Labor productivity, rail transport",68
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Labor productivity, rail transport",110
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Labor productivity, rail transport",153
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Labor productivity, rail transport",199
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Labor productivity, rail transport",226
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Labor productivity, rail transport",281
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Labor productivity, rail transport",296
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,Gross social product,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,Gross social product,5.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,Gross social product,4.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,Gross social product,8.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,Gross social product,29
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,Gross social product,41
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,Gross social product,44
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,Gross social product,46
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,Gross social product,50
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,Gross social product,53
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,Gross social product,56
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,National income produced,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,National income produced,5.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,National income produced,4.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,National income produced,8.8
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,National income produced,32
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,National income produced,46
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,National income produced,49
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,National income produced,51
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,National income produced,55
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,National income produced,58
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,National income produced,61
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,"Fixed productive assets, all sectors",1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,"Fixed productive assets, all sectors",2.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,"Fixed productive assets, all sectors",2.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,"Fixed productive assets, all sectors",3.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,"Fixed productive assets, all sectors",13
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,"Fixed productive assets, all sectors",20
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,"Fixed productive assets, all sectors",21
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,"Fixed productive assets, all sectors",23
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,"Fixed productive assets, all sectors",25
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,"Fixed productive assets, all sectors",27
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,"Fixed productive assets, all sectors",30
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,"Gross output, all industry",1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,"Gross output, all industry",7.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,"Gross output, all industry",7.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,"Gross output, all industry",13
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,"Gross output, all industry",61
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,"Gross output, all industry",92
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,"Gross output, all industry",99
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,"Gross output, all industry",105
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,"Gross output, all industry",113
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,"Gross output, all industry",122
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,"Gross output, all industry",131
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,  Means of production (group A),1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,  Means of production (group A),13
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,  Means of production (group A),15
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,  Means of production (group A),27
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,  Means of production (group A),142
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,  Means of production (group A),214
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,  Means of production (group A),230
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,  Means of production (group A),246
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,  Means of production (group A),266
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,  Means of production (group A),288
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,  Means of production (group A),311
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,  Consumer goods (group B),1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,  Consumer goods (group B),4.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,  Consumer goods (group B),2.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,  Consumer goods (group B),5.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,  Consumer goods (group B),20
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,  Consumer goods (group B),30
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,  Consumer goods (group B),33
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,  Consumer goods (group B),35
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,  Consumer goods (group B),37
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,  Consumer goods (group B),39
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,  Consumer goods (group B),42
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,Gross agricultural output,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,Gross agricultural output,1.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,Gross agricultural output,0.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,Gross agricultural output,1.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,Gross agricultural output,2.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,Gross agricultural output,3.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,Gross agricultural output,3.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,Gross agricultural output,3.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,Gross agricultural output,3.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,Gross agricultural output,3.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,Gross agricultural output,3.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,  Crop production,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,  Crop production,1.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,  Crop production,0.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,  Crop production,1.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,  Crop production,2.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,  Crop production,3.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,  Crop production,3.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,  Crop production,2.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,  Crop production,3.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,  Crop production,3.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,  Crop production,2.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,  Livestock production,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,  Livestock production,1.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,  Livestock production,0.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,  Livestock production,1.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,  Livestock production,2.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,  Livestock production,3.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,  Livestock production,3.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,  Livestock production,3.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,  Livestock production,3.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,  Livestock production,3.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,  Livestock production,3.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,"Freight turnover, all transport",1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,"Freight turnover, all transport",3.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,"Freight turnover, all transport",3.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,"Freight turnover, all transport",5.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,"Freight turnover, all transport",22
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,"Freight turnover, all transport",30
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,"Freight turnover, all transport",32
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,"Freight turnover, all transport",34
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,"Freight turnover, all transport",37
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,"Freight turnover, all transport",39
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,"Freight turnover, all transport",41
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,"Freight turnover, rail",1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,"Freight turnover, rail",5.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,"Freight turnover, rail",4.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,"Freight turnover, rail",7.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,"Freight turnover, rail",26
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,"Freight turnover, rail",33
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,"Freight turnover, rail",35
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,"Freight turnover, rail",36
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,"Freight turnover, rail",39
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,"Freight turnover, rail",41
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,"Freight turnover, rail",42
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,Capital investment,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,Capital investment,5.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,Capital investment,5.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,Capital investment,11
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,Capital investment,50
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,Capital investment,72
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,Capital investment,77
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,Capital investment,82
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,Capital investment,86
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,Capital investment,92
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,Capital investment,100
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,Workers/employees in national economy,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,Workers/employees in national economy,2.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,Workers/employees in national economy,2.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,Workers/employees in national economy,3.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,Workers/employees in national economy,6.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,Workers/employees in national economy,7.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,Workers/employees in national economy,7.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,Workers/employees in national economy,7.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,Workers/employees in national economy,7.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,Workers/employees in national economy,7.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,Workers/employees in national economy,7.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,Social labor productivity,1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,Social labor productivity,4.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,Social labor productivity,5.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,Social labor productivity,8.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,Social labor productivity,25.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,Social labor productivity,35.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,Social labor productivity,37.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,Social labor productivity,38.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,Social labor productivity,40.8
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,Social labor productivity,42.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,Social labor productivity,43.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,"Labor productivity, industry",1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,"Labor productivity, industry",3.8
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,"Labor productivity, industry",4.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,"Labor productivity, industry",5.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,"Labor productivity, industry",14.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,"Labor productivity, industry",18.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,"Labor productivity, industry",19.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,"Labor productivity, industry",20.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,"Labor productivity, industry",21.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,"Labor productivity, industry",23.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,"Labor productivity, industry",24.7
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,"Labor productivity, agriculture",1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,"Labor productivity, agriculture",1.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,"Labor productivity, agriculture",1.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,"Labor productivity, agriculture",2.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,"Labor productivity, agriculture",4.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,"Labor productivity, agriculture",5.3
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,"Labor productivity, agriculture",5.4
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,"Labor productivity, agriculture",5.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,"Labor productivity, agriculture",6.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,"Labor productivity, agriculture",6.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,"Labor productivity, agriculture",5.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1913,"Labor productivity, rail transport",1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1940,"Labor productivity, rail transport",2.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1945,"Labor productivity, rail transport",2.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1950,"Labor productivity, rail transport",3.2
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1965,"Labor productivity, rail transport",8.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1970,"Labor productivity, rail transport",11.0
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1971,"Labor productivity, rail transport",11.5
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1972,"Labor productivity, rail transport",11.9
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1973,"Labor productivity, rail transport",12.6
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1974,"Labor productivity, rail transport",13.1
narodnoe-khoziaistvo-sssr_1975.pdf p.47,1913=1,1975,"Labor productivity, rail transport",13.6
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,Gross social product,100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,Gross social product,137
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,Gross social product,195
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,Gross social product,209
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,Gross social product,218
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,Gross social product,236
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,Gross social product,251
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,Gross social product,265
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,National income produced,100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,National income produced,137
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,National income produced,199
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,National income produced,210
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,National income produced,219
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,National income produced,238
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,National income produced,251
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,National income produced,262
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,National income used (consumption+accumulation),100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,National income used (consumption+accumulation),132
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,National income used (consumption+accumulation),186
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,National income used (consumption+accumulation),197
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,National income used (consumption+accumulation),204
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,National income used (consumption+accumulation),219
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,National income used (consumption+accumulation),230
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,National income used (consumption+accumulation),239
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,"Fixed productive assets, all sectors",100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,"Fixed productive assets, all sectors",159
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,"Fixed productive assets, all sectors",236
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,"Fixed productive assets, all sectors",256
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,"Fixed productive assets, all sectors",278
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,"Fixed productive assets, all sectors",303
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,"Fixed productive assets, all sectors",330
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,"Fixed productive assets, all sectors",359
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,"Gross output, all industry",100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,"Gross output, all industry",151
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,"Gross output, all industry",227
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,"Gross output, all industry",245
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,"Gross output, all industry",260
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,"Gross output, all industry",280
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,"Gross output, all industry",302
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,"Gross output, all industry",325
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,  Means of production (group A),100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,  Means of production (group A),158
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,  Means of production (group A),239
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,  Means of production (group A),258
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,  Means of production (group A),275
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,  Means of production (group A),298
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,  Means of production (group A),323
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,  Means of production (group A),348
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,  Consumer goods (group B),100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,  Consumer goods (group B),136
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,  Consumer goods (group B),203
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,  Consumer goods (group B),219
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,  Consumer goods (group B),231
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,  Consumer goods (group B),244
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,  Consumer goods (group B),261
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,  Consumer goods (group B),278
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,Gross agricultural output,100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,Gross agricultural output,112
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,Gross agricultural output,138
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,Gross agricultural output,140
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,Gross agricultural output,134
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,Gross agricultural output,155
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,Gross agricultural output,151
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,Gross agricultural output,142
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,  Crop production,100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,  Crop production,110
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,  Crop production,139
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,  Crop production,137
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,  Crop production,127
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,  Crop production,161
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,  Crop production,145
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,  Crop production,130
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,  Livestock production,100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,  Livestock production,116
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,  Livestock production,138
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,  Livestock production,143
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,  Livestock production,142
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,  Livestock production,150
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,  Livestock production,158
