census_date,source_code,country_iso3,residence,sex,age_band,population
1 XI 1956,Cdf,IRN,Urban,Male,65-74,71947
1 XI 1956,Cdf,IRN,Urban,Male,75-84,23594
1 XI 1956,Cdf,IRN,Urban,Male,85+,8356
1 XI 1956,Cdf,IRN,Urban,Male,Unknown,1232
1 XI 1966,Cdf,IRN,Urban,Male,All ages,5096654
1 XI 1966,Cdf,IRN,Urban,Male,-1,159316
1 XI 1966,Cdf,IRN,Urban,Male,1-4,633631
1 XI 1966,Cdf,IRN,Urban,Male,5-9,766450
1 XI 1966,Cdf,IRN,Urban,Male,10-14,665407
1 XI 1966,Cdf,IRN,Urban,Male,15-19,490523
1 XI 1966,Cdf,IRN,Urban,Male,20-24,404810
1 XI 1966,Cdf,IRN,Urban,Male,25-29,336565
1 XI 1966,Cdf,IRN,Urban,Male,30-34,335614
1 XI 1966,Cdf,IRN,Urban,Male,35-39,293024
1 XI 1966,Cdf,IRN,Urban,Male,40-44,279194
1 XI 1966,Cdf,IRN,Urban,Male,45-49,192939
1 XI 1966,Cdf,IRN,Urban,Male,50-54,145468
1 XI 1966,Cdf,IRN,Urban,Male,55-59,82999
1 XI 1966,Cdf,IRN,Urban,Male,60-64,130234
1 XI 1966,Cdf,IRN,Urban,Male,65-69,68826
1 XI 1966,Cdf,IRN,Urban,Male,70-74,61166
1 XI 1966,Cdf,IRN,Urban,Male,75-79,19358
1 XI 1966,Cdf,IRN,Urban,Male,80-84,18254
1 XI 1966,Cdf,IRN,Urban,Male,85+,12876
1 XI 1966,Cdf,IRN,Urban,Male,Unknown,-
1 XI 1976,Cdf,IRN,Urban,Male,All ages,8291451
1 XI 1976,Cdf,IRN,Urban,Male,-1,221482
1 XI 1976,Cdf,IRN,Urban,Male,1-4,902119
1 XI 1976,Cdf,IRN,Urban,Male,5-9,1150056
1 XI 1976,Cdf,IRN,Urban,Male,10-14,1098070
1 XI 1976,Cdf,IRN,Urban,Male,15-19,1025620
1 XI 1976,Cdf,IRN,Urban,Male,20-24,789059
1 XI 1976,Cdf,IRN,Urban,Male,25-29,569637
1 XI 1976,Cdf,IRN,Urban,Male,30-34,457098
1 XI 1976,Cdf,IRN,Urban,Male,35-39,417153
1 XI 1976,Cdf,IRN,Urban,Male,40-44,418598
1 XI 1976,Cdf,IRN,Urban,Male,45-49,338171
1 XI 1976,Cdf,IRN,Urban,Male,50-54,322880
1 XI 1976,Cdf,IRN,Urban,Male,55-59,184280
1 XI 1976,Cdf,IRN,Urban,Male,60-64,132877
1 XI 1976,Cdf,IRN,Urban,Male,65-69,76700
1 XI 1976,Cdf,IRN,Urban,Male,70-74,82291
1 XI 1976,Cdf,IRN,Urban,Male,75-79,49469
1 XI 1976,Cdf,IRN,Urban,Male,80-84,31799
1 XI 1976,Cdf,IRN,Urban,Male,85+,24092
1 XI 1976,Cdf,IRN,Urban,Male,Unknown,-
22 IX 1986,Cdf,IRN,Urban,Male,All ages,13769617
22 IX 1986,Cdf,IRN,Urban,Male,-1,468142
22 IX 1986,Cdf,IRN,Urban,Male,1-4,1942148
22 IX 1986,Cdf,IRN,Urban,Male,5-9,1947706
22 IX 1986,Cdf,IRN,Urban,Male,10-14,1518600
22 IX 1986,Cdf,IRN,Urban,Male,15-19,1438371
22 IX 1986,Cdf,IRN,Urban,Male,20-24,1230516
22 IX 1986,Cdf,IRN,Urban,Male,25-29,1142018
22 IX 1986,Cdf,IRN,Urban,Male,30-34,938232
22 IX 1986,Cdf,IRN,Urban,Male,35-39,653297
22 IX 1986,Cdf,IRN,Urban,Male,40-44,503073
22 IX 1986,Cdf,IRN,Urban,Male,45-49,462920
22 IX 1986,Cdf,IRN,Urban,Male,50-54,450235
22 IX 1986,Cdf,IRN,Urban,Male,55-59,363518
22 IX 1986,Cdf,IRN,Urban,Male,60-64,320524
22 IX 1986,Cdf,IRN,Urban,Male,65-69,156447
22 IX 1986,Cdf,IRN,Urban,Male,70-74,87093
22 IX 1986,Cdf,IRN,Urban,Male,75-79,49476
22 IX 1986,Cdf,IRN,Urban,Male,80-84,43204
22 IX 1986,Cdf,IRN,Urban,Male,85+,47301
22 IX 1986,Cdf,IRN,Urban,Male,Unknown,6796
11 IX 1991,Cdf,IRN,Urban,Male,All ages,16435244
11 IX 1991,Cdf,IRN,Urban,Male,-1,395884
11 IX 1991,Cdf,IRN,Urban,Male,1-4,1801956
11 IX 1991,Cdf,IRN,Urban,Male,5-9,2571127
11 IX 1991,Cdf,IRN,Urban,Male,10-14,2122918
11 IX 1991,Cdf,IRN,Urban,Male,15-19,1624828
11 IX 1991,Cdf,IRN,Urban,Male,20-24,1451469
11 IX 1991,Cdf,IRN,Urban,Male,25-29,1289544
11 IX 1991,Cdf,IRN,Urban,Male,30-34,1163090
11 IX 1991,Cdf,IRN,Urban,Male,35-39,968812
11 IX 1991,Cdf,IRN,Urban,Male,40-44,667714
11 IX 1991,Cdf,IRN,Urban,Male,45-49,502928
11 IX 1991,Cdf,IRN,Urban,Male,50-54,478600
11 IX 1991,Cdf,IRN,Urban,Male,55-59,436232
11 IX 1991,Cdf,IRN,Urban,Male,60-64,371316
11 IX 1991,Cdf,IRN,Urban,Male,65-69,269934
11 IX 1991,Cdf,IRN,Urban,Male,70-74,139486
11 IX 1991,Cdf,IRN,Urban,Male,75-79,55736
11 IX 1991,Cdf,IRN,Urban,Male,80-84,36772
11 IX 1991,Cdf,IRN,Urban,Male,85-89,19986
11 IX 1991,Cdf,IRN,Urban,Male,90-94,13762
11 IX 1991,Cdf,IRN,Urban,Male,95-99,5533
11 IX 1991,Cdf,IRN,Urban,Male,100+,22576
11 IX 1991,Cdf,IRN,Urban,Male,Unknown,25041
1 XI 1956,Cdf,IRN,Urban,Female,All ages,2883414
1 XI 1956,Cdf,IRN,Urban,Female,-1,86355
1 XI 1956,Cdf,IRN,Urban,Female,1-4,367932
1 XI 1956,Cdf,IRN,Urban,Female,5-9,414719
1 XI 1956,Cdf,IRN,Urban,Female,10-14,297156
1 XI 1956,Cdf,IRN,Urban,Female,15-19,255489
1 XI 1956,Cdf,IRN,Urban,Female,20-24,267160
1 XI 1956,Cdf,IRN,Urban,Female,25-34,434626
1 XI 1956,Cdf,IRN,Urban,Female,35-44,276268
1 XI 1956,Cdf,IRN,Urban,Female,45-54,233958
1 XI 1956,Cdf,IRN,Urban,Female,55-64,143652
1 XI 1956,Cdf,IRN,Urban,Female,65-74,69092
1 XI 1956,Cdf,IRN,Urban,Female,75-84,25575
1 XI 1956,Cdf,IRN,Urban,Female,85+,9760
1 XI 1956,Cdf,IRN,Urban,Female,Unknown,1672
1 XI 1966,Cdf,IRN,Urban,Female,All ages,4697592
1 XI 1966,Cdf,IRN,Urban,Female,-1,153008
1 XI 1966,Cdf,IRN,Urban,Female,1-4,605017
1 XI 1966,Cdf,IRN,Urban,Female,5-9,730385
1 XI 1966,Cdf,IRN,Urban,Female,10-14,603912
1 XI 1966,Cdf,IRN,Urban,Female,15-19,457845
1 XI 1966,Cdf,IRN,Urban,Female,20-24,368083
1 XI 1966,Cdf,IRN,Urban,Female,25-29,324326
1 XI 1966,Cdf,IRN,Urban,Female,30-34,302858
1 XI 1966,Cdf,IRN,Urban,Female,35-39,259894
1 XI 1966,Cdf,IRN,Urban,Female,40-44,218651
1 XI 1966,Cdf,IRN,Urban,Female,45-49,146754
1 XI 1966,Cdf,IRN,Urban,Female,50-54,154481
1 XI 1966,Cdf,IRN,Urban,Female,55-59,84258
1 XI 1966,Cdf,IRN,Urban,Female,60-64,124412
1 XI 1966,Cdf,IRN,Urban,Female,65-69,54676
1 XI 1966,Cdf,IRN,Urban,Female,70-74,58535
1 XI 1966,Cdf,IRN,Urban,Female,75-79,16642
1 XI 1966,Cdf,IRN,Urban,Female,80-84,19307
1 XI 1966,Cdf,IRN,Urban,Female,85+,14548
1 XI 1966,Cdf,IRN,Urban,Female,Unknown,-
1 XI 1976,Cdf,IRN,Urban,Female,All ages,7563229
1 XI 1976,Cdf,IRN,Urban,Female,-1,210320
1 XI 1976,Cdf,IRN,Urban,Female,1-4,856338
1 XI 1976,Cdf,IRN,Urban,Female,5-9,1086388
1 XI 1976,Cdf,IRN,Urban,Female,10-14,972469
1 XI 1976,Cdf,IRN,Urban,Female,15-19,889982
1 XI 1976,Cdf,IRN,Urban,Female,20-24,741150
1 XI 1976,Cdf,IRN,Urban,Female,25-29,551366
1 XI 1976,Cdf,IRN,Urban,Female,30-34,420308
1 XI 1976,Cdf,IRN,Urban,Female,35-39,377171
1 XI 1976,Cdf,IRN,Urban,Female,40-44,349750
1 XI 1976,Cdf,IRN,Urban,Female,45-49,293896
1 XI 1976,Cdf,IRN,Urban,Female,50-54,270785
1 XI 1976,Cdf,IRN,Urban,Female,55-59,149418
1 XI 1976,Cdf,IRN,Urban,Female,60-64,129337
1 XI 1976,Cdf,IRN,Urban,Female,65-69,80620
1 XI 1976,Cdf,IRN,Urban,Female,70-74,85941
1 XI 1976,Cdf,IRN,Urban,Female,75-79,41364
1 XI 1976,Cdf,IRN,Urban,Female,80-84,31100
1 XI 1976,Cdf,IRN,Urban,Female,85+,25526
1 XI 1976,Cdf,IRN,Urban,Female,Unknown,-
22 IX 1986,Cdf,IRN,Urban,Female,All ages,13074944
22 IX 1986,Cdf,IRN,Urban,Female,-1,457787
22 IX 1986,Cdf,IRN,Urban,Female,1-4,1877704
22 IX 1986,Cdf,IRN,Urban,Female,5-9,1870272
22 IX 1986,Cdf,IRN,Urban,Female,10-14,1414370
22 IX 1986,Cdf,IRN,Urban,Female,15-19,1353836
22 IX 1986,Cdf,IRN,Urban,Female,20-24,1241814
22 IX 1986,Cdf,IRN,Urban,Female,25-29,1098664
22 IX 1986,Cdf,IRN,Urban,Female,30-34,859957
22 IX 1986,Cdf,IRN,Urban,Female,35-39,617374
22 IX 1986,Cdf,IRN,Urban,Female,40-44,459461
22 IX 1986,Cdf,IRN,Urban,Female,45-49,411333
22 IX 1986,Cdf,IRN,Urban,Female,50-54,390051
22 IX 1986,Cdf,IRN,Urban,Female,55-59,333309
22 IX 1986,Cdf,IRN,Urban,Female,60-64,274386
22 IX 1986,Cdf,IRN,Urban,Female,65-69,144715
22 IX 1986,Cdf,IRN,Urban,Female,70-74,94291
22 IX 1986,Cdf,IRN,Urban,Female,75-79,62766
22 IX 1986,Cdf,IRN,Urban,Female,80-84,54968
22 IX 1986,Cdf,IRN,Urban,Female,85+,53192
22 IX 1986,Cdf,IRN,Urban,Female,Unknown,4694
11 IX 1991,Cdf,IRN,Urban,Female,All ages,15401354
11 IX 1991,Cdf,IRN,Urban,Female,-1,379015
11 IX 1991,Cdf,IRN,Urban,Female,1-4,1735265
11 IX 1991,Cdf,IRN,Urban,Female,5-9,2466600
11 IX 1991,Cdf,IRN,Urban,Female,10-14,1989545
11 IX 1991,Cdf,IRN,Urban,Female,15-19,1530524
11 IX 1991,Cdf,IRN,Urban,Female,20-24,1451319
11 IX 1991,Cdf,IRN,Urban,Female,25-29,1271650
11 IX 1991,Cdf,IRN,Urban,Female,30-34,1098757
11 IX 1991,Cdf,IRN,Urban,Female,35-39,877206
11 IX 1991,Cdf,IRN,Urban,Female,40-44,600962
11 IX 1991,Cdf,IRN,Urban,Female,45-49,454831
11 IX 1991,Cdf,IRN,Urban,Female,50-54,414714
11 IX 1991,Cdf,IRN,Urban,Female,55-59,353897
11 IX 1991,Cdf,IRN,Urban,Female,60-64,304923
11 IX 1991,Cdf,IRN,Urban,Female,65-69,199371
11 IX 1991,Cdf,IRN,Urban,Female,70-74,112178
11 IX 1991,Cdf,IRN,Urban,Female,75-79,47951
11 IX 1991,Cdf,IRN,Urban,Female,80-84,37765
11 IX 1991,Cdf,IRN,Urban,Female,85-89,21540
11 IX 1991,Cdf,IRN,Urban,Female,90-94,12986
11 IX 1991,Cdf,IRN,Urban,Female,95-99,5342
11 IX 1991,Cdf,IRN,Urban,Female,100+,21524
11 IX 1991,Cdf,IRN,Urban,Female,Unknown,13489
1 XI 1956,Cdf,IRN,Rural,Total,All ages,13001141
1 XI 1956,Cdf,IRN,Rural,Total,-1,364537
1 XI 1956,Cdf,IRN,Rural,Total,1-4,2057564
1 XI 1956,Cdf,IRN,Rural,Total,5-9,1981890
1 XI 1956,Cdf,IRN,Rural,Total,10-14,1193787
1 XI 1956,Cdf,IRN,Rural,Total,15-19,897950
1 XI 1956,Cdf,IRN,Rural,Total,20-24,941351
1 XI 1956,Cdf,IRN,Rural,Total,25-34,2009616
1 XI 1956,Cdf,IRN,Rural,Total,35-44,1342383
1 XI 1956,Cdf,IRN,Rural,Total,45-54,979265
1 XI 1956,Cdf,IRN,Rural,Total,55-64,685356
1 XI 1956,Cdf,IRN,Rural,Total,65-74,358620
1 XI 1956,Cdf,IRN,Rural,Total,75-84,132845
1 XI 1956,Cdf,IRN,Rural,Total,85+,51818
1 XI 1956,Cdf,IRN,Rural,Total,Unknown,4159
1 XI 1966,Cdf,IRN,Rural,Total,All ages,15284677
1 XI 1966,Cdf,IRN,Rural,Total,-1,504810
1 XI 1966,Cdf,IRN,Rural,Total,1-4,2381139
1 XI 1966,Cdf,IRN,Rural,Total,5-9,2609323
1 XI 1966,Cdf,IRN,Rural,Total,10-14,1747931
1 XI 1966,Cdf,IRN,Rural,Total,15-19,1180668
1 XI 1966,Cdf,IRN,Rural,Total,20-24,909268
1 XI 1966,Cdf,IRN,Rural,Total,25-29,988781
1 XI 1966,Cdf,IRN,Rural,Total,30-34,1029574
1 XI 1966,Cdf,IRN,Rural,Total,35-39,865321
1 XI 1966,Cdf,IRN,Rural,Total,40-44,823205
1 XI 1966,Cdf,IRN,Rural,Total,45-49,503915
1 XI 1966,Cdf,IRN,Rural,Total,50-54,440890
1 XI 1966,Cdf,IRN,Rural,Total,55-59,260644
1 XI 1966,Cdf,IRN,Rural,Total,60-64,415291
1 XI 1966,Cdf,IRN,Rural,Total,65-69,222520
1 XI 1966,Cdf,IRN,Rural,Total,70-74,221054
1 XI 1966,Cdf,IRN,Rural,Total,75-79,68177
1 XI 1966,Cdf,IRN,Rural,Total,80-84,67621
1 XI 1966,Cdf,IRN,Rural,Total,85+,44545
1 XI 1966,Cdf,IRN,Rural,Total,Unknown,-
1 XI 1976,Cdf,IRN,Rural,Total,All ages,17854064
1 XI 1976,Cdf,IRN,Rural,Total,-1,546331
1 XI 1976,Cdf,IRN,Rural,Total,1-4,2693122
1 XI 1976,Cdf,IRN,Rural,Total,5-9,3040089
1 XI 1976,Cdf,IRN,Rural,Total,10-14,2232579
1 XI 1976,Cdf,IRN,Rural,Total,15-19,1684663
1 XI 1976,Cdf,IRN,Rural,Total,20-24,1262006
1 XI 1976,Cdf,IRN,Rural,Total,25-29,990582
1 XI 1976,Cdf,IRN,Rural,Total,30-34,829591
1 XI 1976,Cdf,IRN,Rural,Total,35-39,832295
1 XI 1976,Cdf,IRN,Rural,Total,40-44,900337
1 XI 1976,Cdf,IRN,Rural,Total,45-49,757398
1 XI 1976,Cdf,IRN,Rural,Total,50-54,735384
1 XI 1976,Cdf,IRN,Rural,Total,55-59,370189
1 XI 1976,Cdf,IRN,Rural,Total,60-64,321930
1 XI 1976,Cdf,IRN,Rural,Total,65-69,189918
1 XI 1976,Cdf,IRN,Rural,Total,70-74,211932
1 XI 1976,Cdf,IRN,Rural,Total,75-79,113264
1 XI 1976,Cdf,IRN,Rural,Total,80-84,82779
1 XI 1976,Cdf,IRN,Rural,Total,85+,59675
1 XI 1976,Cdf,IRN,Rural,Total,Unknown,-
22 IX 1986,Cdf,IRN,Rural,Total,All ages,22349351
22 IX 1986,Cdf,IRN,Rural,Total,-1,832941
22 IX 1986,Cdf,IRN,Rural,Total,1-4,3416735
22 IX 1986,Cdf,IRN,Rural,Total,5-9,3661893
22 IX 1986,Cdf,IRN,Rural,Total,10-14,2937811
22 IX 1986,Cdf,IRN,Rural,Total,15-19,2376295
22 IX 1986,Cdf,IRN,Rural,Total,20-24,1706021
22 IX 1986,Cdf,IRN,Rural,Total,25-29,1397319
22 IX 1986,Cdf,IRN,Rural,Total,30-34,1116981
22 IX 1986,Cdf,IRN,Rural,Total,35-39,836177
22 IX 1986,Cdf,IRN,Rural,Total,40-44,684178
22 IX 1986,Cdf,IRN,Rural,Total,45-49,703343
22 IX 1986,Cdf,IRN,Rural,Total,50-54,749701
22 IX 1986,Cdf,IRN,Rural,Total,55-59,634326
22 IX 1986,Cdf,IRN,Rural,Total,60-64,582819
22 IX 1986,Cdf,IRN,Rural,Total,65-69,269995
22 IX 1986,Cdf,IRN,Rural,Total,70-74,158562
22 IX 1986,Cdf,IRN,Rural,Total,75-79,96422
22 IX 1986,Cdf,IRN,Rural,Total,80-84,84601
22 IX 1986,Cdf,IRN,Rural,Total,85+,91351
22 IX 1986,Cdf,IRN,Rural,Total,Unknown,11880
11 IX 1991,Cdf,IRN,Rural,Total,All ages,24000565
11 IX 1991,Cdf,IRN,Rural,Total,-1,688635
11 IX 1991,Cdf,IRN,Rural,Total,1-4,3140530
11 IX 1991,Cdf,IRN,Rural,Total,5-9,3997731
11 IX 1991,Cdf,IRN,Rural,Total,10-14,3434668
11 IX 1991,Cdf,IRN,Rural,Total,15-19,2753551
11 IX 1991,Cdf,IRN,Rural,Total,20-24,2044472
11 IX 1991,Cdf,IRN,Rural,Total,25-29,1444084
11 IX 1991,Cdf,IRN,Rural,Total,30-34,1242373
11 IX 1991,Cdf,IRN,Rural,Total,35-39,1020651
11 IX 1991,Cdf,IRN,Rural,Total,40-44,768801
11 IX 1991,Cdf,IRN,Rural,Total,45-49,620224
11 IX 1991,Cdf,IRN,Rural,Total,50-54,677308
11 IX 1991,Cdf,IRN,Rural,Total,55-59,652800
11 IX 1991,Cdf,IRN,Rural,Total,60-64,627151
11 IX 1991,Cdf,IRN,Rural,Total,65-69,415772
11 IX 1991,Cdf,IRN,Rural,Total,70-74,213503
11 IX 1991,Cdf,IRN,Rural,Total,75-79,82306
11 IX 1991,Cdf,IRN,Rural,Total,80-84,65244
11 IX 1991,Cdf,IRN,Rural,Total,85-89,34361
11 IX 1991,Cdf,IRN,Rural,Total,90-94,25210
11 IX 1991,Cdf,IRN,Rural,Total,95-99,9710
11 IX 1991,Cdf,IRN,Rural,Total,100+,21645
11 IX 1991,Cdf,IRN,Rural,Total,Unknown,19835
1 XI 1956,Cdf,IRN,Rural,Male,All ages,6574795
1 XI 1956,Cdf,IRN,Rural,Male,-1,194616
1 XI 1956,Cdf,IRN,Rural,Male,1-4,1017787
1 XI 1956,Cdf,IRN,Rural,Male,5-9,992684
1 XI 1956,Cdf,IRN,Rural,Male,10-14,643246
1 XI 1956,Cdf,IRN,Rural,Male,15-19,442944
1 XI 1956,Cdf,IRN,Rural,Male,20-24,410702
1 XI 1956,Cdf,IRN,Rural,Male,25-34,980996
1 XI 1956,Cdf,IRN,Rural,Male,35-44,727920
1 XI 1956,Cdf,IRN,Rural,Male,45-54,508981
1 XI 1956,Cdf,IRN,Rural,Male,55-64,365184
1 XI 1956,Cdf,IRN,Rural,Male,65-74,191104
1 XI 1956,Cdf,IRN,Rural,Male,75-84,68503
1 XI 1956,Cdf,IRN,Rural,Male,85+,28574
1 XI 1956,Cdf,IRN,Rural,Male,Unknown,1554
1 XI 1966,Cdf,IRN,Rural,Male,All ages,7885011
1 XI 1966,Cdf,IRN,Rural,Male,-1,270136
1 XI 1966,Cdf,IRN,Rural,Male,1-4,1244640
1 XI 1966,Cdf,IRN,Rural,Male,5-9,1361254
1 XI 1966,Cdf,IRN,Rural,Male,10-14,928428
1 XI 1966,Cdf,IRN,Rural,Male,15-19,569506
1 XI 1966,Cdf,IRN,Rural,Male,20-24,388086
1 XI 1966,Cdf,IRN,Rural,Male,25-29,465100
1 XI 1966,Cdf,IRN,Rural,Male,30-34,527702
1 XI 1966,Cdf,IRN,Rural,Male,35-39,470839
1 XI 1966,Cdf,IRN,Rural,Male,40-44,458651
1 XI 1966,Cdf,IRN,Rural,Male,45-49,286456
1 XI 1966,Cdf,IRN,Rural,Male,50-54,225001
1 XI 1966,Cdf,IRN,Rural,Male,55-59,140540
1 XI 1966,Cdf,IRN,Rural,Male,60-64,213964
1 XI 1966,Cdf,IRN,Rural,Male,65-69,120092
1 XI 1966,Cdf,IRN,Rural,Male,70-74,116748
1 XI 1966,Cdf,IRN,Rural,Male,75-79,38499
1 XI 1966,Cdf,IRN,Rural,Male,80-84,35344
1 XI 1966,Cdf,IRN,Rural,Male,85+,24025
1 XI 1966,Cdf,IRN,Rural,Male,Unknown,-
1 XI 1976,Cdf,IRN,Rural,Male,All ages,9064896
1 XI 1976,Cdf,IRN,Rural,Male,-1,288113
1 XI 1976,Cdf,IRN,Rural,Male,1-4,1413229
1 XI 1976,Cdf,IRN,Rural,Male,5-9,1584934
1 XI 1976,Cdf,IRN,Rural,Male,10-14,1160565
1 XI 1976,Cdf,IRN,Rural,Male,15-19,792919
1 XI 1976,Cdf,IRN,Rural,Male,20-24,551799
1 XI 1976,Cdf,IRN,Rural,Male,25-29,440558
1 XI 1976,Cdf,IRN,Rural,Male,30-34,385355
1 XI 1976,Cdf,IRN,Rural,Male,35-39,408187
1 XI 1976,Cdf,IRN,Rural,Male,40-44,476603
1 XI 1976,Cdf,IRN,Rural,Male,45-49,412855
1 XI 1976,Cdf,IRN,Rural,Male,50-54,408793
1 XI 1976,Cdf,IRN,Rural,Male,55-59,212425
1 XI 1976,Cdf,IRN,Rural,Male,60-64,168525
1 XI 1976,Cdf,IRN,Rural,Male,65-69,104844
1 XI 1976,Cdf,IRN,Rural,Male,70-74,110804
1 XI 1976,Cdf,IRN,Rural,Male,75-79,64828
1 XI 1976,Cdf,IRN,Rural,Male,80-84,46138
1 XI 1976,Cdf,IRN,Rural,Male,85+,33422
1 XI 1976,Cdf,IRN,Rural,Male,Unknown,-
22 IX 1986,Cdf,IRN,Rural,Male,All ages,11384483
22 IX 1986,Cdf,IRN,Rural,Male,-1,426112
22 IX 1986,Cdf,IRN,Rural,Male,1-4,1734826
22 IX 1986,Cdf,IRN,Rural,Male,5-9,1872867
22 IX 1986,Cdf,IRN,Rural,Male,10-14,1518508
22 IX 1986,Cdf,IRN,Rural,Male,15-19,1210345
22 IX 1986,Cdf,IRN,Rural,Male,20-24,866094
22 IX 1986,Cdf,IRN,Rural,Male,25-29,691055
22 IX 1986,Cdf,IRN,Rural,Male,30-34,537190
22 IX 1986,Cdf,IRN,Rural,Male,35-39,385459
22 IX 1986,Cdf,IRN,Rural,Male,40-44,326287
22 IX 1986,Cdf,IRN,Rural,Male,45-49,352128
22 IX 1986,Cdf,IRN,Rural,Male,50-54,401373
22 IX 1986,Cdf,IRN,Rural,Male,55-59,347892
22 IX 1986,Cdf,IRN,Rural,Male,60-64,327181
22 IX 1986,Cdf,IRN,Rural,Male,65-69,151455
22 IX 1986,Cdf,IRN,Rural,Male,70-74,86465
22 IX 1986,Cdf,IRN,Rural,Male,75-79,52234
22 IX 1986,Cdf,IRN,Rural,Male,80-84,42294
22 IX 1986,Cdf,IRN,Rural,Male,85+,47675
22 IX 1986,Cdf,IRN,Rural,Male,Unknown,7043
11 IX 1991,Cdf,IRN,Rural,Male,All ages,12333206
11 IX 1991,Cdf,IRN,Rural,Male,-1,354101
11 IX 1991,Cdf,IRN,Rural,Male,1-4,1604350
11 IX 1991,Cdf,IRN,Rural,Male,5-9,2041022
11 IX 1991,Cdf,IRN,Rural,Male,10-14,1778540
11 IX 1991,Cdf,IRN,Rural,Male,15-19,1432781
11 IX 1991,Cdf,IRN,Rural,Male,20-24,1068843
11 IX 1991,Cdf,IRN,Rural,Male,25-29,722949
11 IX 1991,Cdf,IRN,Rural,Male,30-34,616842
11 IX 1991,Cdf,IRN,Rural,Male,35-39,493526
11 IX 1991,Cdf,IRN,Rural,Male,40-44,359745
11 IX 1991,Cdf,IRN,Rural,Male,45-49,295371
11 IX 1991,Cdf,IRN,Rural,Male,50-54,342999
11 IX 1991,Cdf,IRN,Rural,Male,55-59,357051
11 IX 1991,Cdf,IRN,Rural,Male,60-64,352002
11 IX 1991,Cdf,IRN,Rural,Male,65-69,244080
11 IX 1991,Cdf,IRN,Rural,Male,70-74,124954
11 IX 1991,Cdf,IRN,Rural,Male,75-79,47707
11 IX 1991,Cdf,IRN,Rural,Male,80-84,36575
11 IX 1991,Cdf,IRN,Rural,Male,85-89,17973
11 IX 1991,Cdf,IRN,Rural,Male,90-94,13795
11 IX 1991,Cdf,IRN,Rural,Male,95-99,5494
11 IX 1991,Cdf,IRN,Rural,Male,100+,11390
11 IX 1991,Cdf,IRN,Rural,Male,Unknown,11116
1 XI 1956,Cdf,IRN,Rural,Female,All ages,6426346
1 XI 1956,Cdf,IRN,Rural,Female,-1,169921
1 XI 1956,Cdf,IRN,Rural,Female,1-4,1039777
1 XI 1956,Cdf,IRN,Rural,Female,5-9,989206
1 XI 1956,Cdf,IRN,Rural,Female,10-14,550541
1 XI 1956,Cdf,IRN,Rural,Female,15-19,455006
1 XI 1956,Cdf,IRN,Rural,Female,20-24,530649
1 XI 1956,Cdf,IRN,Rural,Female,25-34,1028620
1 XI 1956,Cdf,IRN,Rural,Female,35-44,614463
1 XI 1956,Cdf,IRN,Rural,Female,45-54,470284
1 XI 1956,Cdf,IRN,Rural,Female,55-64,320172
1 XI 1956,Cdf,IRN,Rural,Female,65-74,167516
1 XI 1956,Cdf,IRN,Rural,Female,75-84,64342
1 XI 1956,Cdf,IRN,Rural,Female,85+,23244
1 XI 1956,Cdf,IRN,Rural,Female,Unknown,2605
1 XI 1966,Cdf,IRN,Rural,Female,All ages,7399666
1 XI 1966,Cdf,IRN,Rural,Female,-1,234674
1 XI 1966,Cdf,IRN,Rural,Female,1-4,1136499
1 XI 1966,Cdf,IRN,Rural,Female,5-9,1248069
1 XI 1966,Cdf,IRN,Rural,Female,10-14,819503
1 XI 1966,Cdf,IRN,Rural,Female,15-19,611162
1 XI 1966,Cdf,IRN,Rural,Female,20-24,521182
1 XI 1966,Cdf,IRN,Rural,Female,25-29,523681
1 XI 1966,Cdf,IRN,Rural,Female,30-34,501872
1 XI 1966,Cdf,IRN,Rural,Female,35-39,394482
1 XI 1966,Cdf,IRN,Rural,Female,40-44,364554
1 XI 1966,Cdf,IRN,Rural,Female,45-49,217459
1 XI 1966,Cdf,IRN,Rural,Female,50-54,215889
1 XI 1966,Cdf,IRN,Rural,Female,55-59,120104
1 XI 1966,Cdf,IRN,Rural,Female,60-64,201327
1 XI 1966,Cdf,IRN,Rural,Female,65-69,102428
1 XI 1966,Cdf,IRN,Rural,Female,70-74,104306
1 XI 1966,Cdf,IRN,Rural,Female,75-79,29678
1 XI 1966,Cdf,IRN,Rural,Female,80-84,32277
1 XI 1966,Cdf,IRN,Rural,Female,85+,20520
1 XI 1966,Cdf,IRN,Rural,Female,Unknown,-
1 XI 1976,Cdf,IRN,Rural,Female,All ages,8789168
1 XI 1976,Cdf,IRN,Rural,Female,-1,258218
1 XI 1976,Cdf,IRN,Rural,Female,1-4,1279893
1 XI 1976,Cdf,IRN,Rural,Female,5-9,1455155
1 XI 1976,Cdf,IRN,Rural,Female,10-14,1072014
1 XI 1976,Cdf,IRN,Rural,Female,15-19,891744
1 XI 1976,Cdf,IRN,Rural,Female,20-24,710207
1 XI 1976,Cdf,IRN,Rural,Female,25-29,550024
1 XI 1976,Cdf,IRN,Rural,Female,30-34,444236
1 XI 1976,Cdf,IRN,Rural,Female,35-39,424108
1 XI 1976,Cdf,IRN,Rural,Female,40-44,423734
1 XI 1976,Cdf,IRN,Rural,Female,45-49,344543
1 XI 1976,Cdf,IRN,Rural,Female,50-54,326591
1 XI 1976,Cdf,IRN,Rural,Female,55-59,157764
1 XI 1976,Cdf,IRN,Rural,Female,60-64,153405
