area,source_table,metric,iranian_solar_year,gregorian_start_year,value_thousand_rials
rural,21.10_nonfood_by_item,non_durable_household_goods,1395,2016,3670
rural,21.10_nonfood_by_item,non_durable_household_goods,1396,2017,4033
rural,21.10_nonfood_by_item,non_durable_household_goods,1397,2018,5665
rural,21.10_nonfood_by_item,non_durable_household_goods,1398,2019,8001
rural,21.10_nonfood_by_item,non_durable_household_goods,1399,2020,11356
rural,21.10_nonfood_by_item,household_services,1380,2001,3
rural,21.10_nonfood_by_item,household_services,1385,2006,25
rural,21.10_nonfood_by_item,household_services,1390,2011,54
rural,21.10_nonfood_by_item,household_services,1395,2016,48
rural,21.10_nonfood_by_item,household_services,1396,2017,65
rural,21.10_nonfood_by_item,household_services,1397,2018,83
rural,21.10_nonfood_by_item,household_services,1398,2019,88
rural,21.10_nonfood_by_item,household_services,1399,2020,108
rural,21.10_nonfood_by_item,medical_care_and_health_services,1380,2001,1073
rural,21.10_nonfood_by_item,medical_care_and_health_services,1385,2006,3584
rural,21.10_nonfood_by_item,medical_care_and_health_services,1390,2011,6797
rural,21.10_nonfood_by_item,medical_care_and_health_services,1395,2016,15183
rural,21.10_nonfood_by_item,medical_care_and_health_services,1396,2017,18389
rural,21.10_nonfood_by_item,medical_care_and_health_services,1397,2018,24120
rural,21.10_nonfood_by_item,medical_care_and_health_services,1398,2019,26374
rural,21.10_nonfood_by_item,medical_care_and_health_services,1399,2020,32288
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1380,2001,929
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1385,2006,2762
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1390,2011,5297
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1395,2016,10823
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1396,2017,13639
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1397,2018,18677
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1398,2019,19729
rural,21.10_nonfood_by_item,medical_care_and_health_expenses,1399,2020,23481
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1380,2001,144
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1385,2006,822
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1390,2011,1501
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1395,2016,4360
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1396,2017,4750
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1397,2018,5443
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1398,2019,6645
rural,21.10_nonfood_by_item,health_and_social_insurance_charges,1399,2020,8807
rural,21.10_nonfood_by_item,transport_and_communications,1380,2001,1234
rural,21.10_nonfood_by_item,transport_and_communications,1385,2006,5207
rural,21.10_nonfood_by_item,transport_and_communications,1390,2011,10678
rural,21.10_nonfood_by_item,transport_and_communications,1395,2016,18814
rural,21.10_nonfood_by_item,transport_and_communications,1396,2017,22426
rural,21.10_nonfood_by_item,transport_and_communications,1397,2018,26557
rural,21.10_nonfood_by_item,transport_and_communications,1398,2019,30548
rural,21.10_nonfood_by_item,transport_and_communications,1399,2020,40650
rural,21.10_nonfood_by_item,transport,1380,2001,1025
rural,21.10_nonfood_by_item,transport,1385,2006,3993
rural,21.10_nonfood_by_item,transport,1390,2011,7825
rural,21.10_nonfood_by_item,transport,1395,2016,14651
rural,21.10_nonfood_by_item,transport,1396,2017,17860
rural,21.10_nonfood_by_item,transport,1397,2018,21544
rural,21.10_nonfood_by_item,transport,1398,2019,24589
rural,21.10_nonfood_by_item,transport,1399,2020,31470
rural,21.10_nonfood_by_item,communications,1380,2001,209
rural,21.10_nonfood_by_item,communications,1385,2006,1214
rural,21.10_nonfood_by_item,communications,1390,2011,2853
rural,21.10_nonfood_by_item,communications,1395,2016,4163
rural,21.10_nonfood_by_item,communications,1396,2017,4566
rural,21.10_nonfood_by_item,communications,1397,2018,5013
rural,21.10_nonfood_by_item,communications,1398,2019,5959
rural,21.10_nonfood_by_item,communications,1399,2020,9181
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1380,2001,423
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1385,2006,956
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1390,2011,1591
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1395,2016,3016
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1396,2017,3500
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1397,2018,3780
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1398,2019,4191
rural,21.10_nonfood_by_item,recreation_entertainment_cultural_services,1399,2020,4455
rural,21.10_nonfood_by_item,recreation_and_entertainment,1380,2001,225
rural,21.10_nonfood_by_item,recreation_and_entertainment,1385,2006,472
rural,21.10_nonfood_by_item,recreation_and_entertainment,1390,2011,450
rural,21.10_nonfood_by_item,recreation_and_entertainment,1395,2016,984
rural,21.10_nonfood_by_item,recreation_and_entertainment,1396,2017,1318
rural,21.10_nonfood_by_item,recreation_and_entertainment,1397,2018,1418
rural,21.10_nonfood_by_item,recreation_and_entertainment,1398,2019,1338
rural,21.10_nonfood_by_item,recreation_and_entertainment,1399,2020,1364
rural,21.10_nonfood_by_item,education_and_training,1380,2001,198
rural,21.10_nonfood_by_item,education_and_training,1385,2006,483
rural,21.10_nonfood_by_item,education_and_training,1390,2011,1141
rural,21.10_nonfood_by_item,education_and_training,1395,2016,2032
rural,21.10_nonfood_by_item,education_and_training,1396,2017,2182
rural,21.10_nonfood_by_item,education_and_training,1397,2018,2363
rural,21.10_nonfood_by_item,education_and_training,1398,2019,2854
rural,21.10_nonfood_by_item,education_and_training,1399,2020,3091
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1380,2001,1529
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1385,2006,3673
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1390,2011,6830
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1395,2016,13661
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1396,2017,15906
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1397,2018,18683
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1398,2019,21982
rural,21.10_nonfood_by_item,misc_household_goods_and_services,1399,2020,24845
rural,21.10_nonfood_by_item,personal_care_and_effects,1380,2001,226
rural,21.10_nonfood_by_item,personal_care_and_effects,1385,2006,557
rural,21.10_nonfood_by_item,personal_care_and_effects,1390,2011,1187
rural,21.10_nonfood_by_item,personal_care_and_effects,1395,2016,2665
rural,21.10_nonfood_by_item,personal_care_and_effects,1396,2017,3035
rural,21.10_nonfood_by_item,personal_care_and_effects,1397,2018,3617
rural,21.10_nonfood_by_item,personal_care_and_effects,1398,2019,4369
rural,21.10_nonfood_by_item,personal_care_and_effects,1399,2020,5611
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1380,2001,159
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1385,2006,529
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1390,2011,676
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1395,2016,1009
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1396,2017,1153
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1397,2018,651
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1398,2019,947
rural,21.10_nonfood_by_item,jewellery_watches_other_personal_goods,1399,2020,130
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1380,2001,120
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1385,2006,317
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1390,2011,587
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1395,2016,610
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1396,2017,876
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1397,2018,1229
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1398,2019,1095
rural,21.10_nonfood_by_item,restaurants_inns_hotels_package_tours,1399,2020,178
rural,21.10_nonfood_by_item,financial_and_legal_services,1380,2001,31
rural,21.10_nonfood_by_item,financial_and_legal_services,1385,2006,126
rural,21.10_nonfood_by_item,financial_and_legal_services,1390,2011,303
rural,21.10_nonfood_by_item,financial_and_legal_services,1395,2016,359
rural,21.10_nonfood_by_item,financial_and_legal_services,1396,2017,441
rural,21.10_nonfood_by_item,financial_and_legal_services,1397,2018,553
rural,21.10_nonfood_by_item,financial_and_legal_services,1398,2019,587
rural,21.10_nonfood_by_item,financial_and_legal_services,1399,2020,721
rural,21.10_nonfood_by_item,religious_contributions,1380,2001,121
rural,21.10_nonfood_by_item,religious_contributions,1385,2006,412
rural,21.10_nonfood_by_item,religious_contributions,1390,2011,696
rural,21.10_nonfood_by_item,religious_contributions,1395,2016,1154
rural,21.10_nonfood_by_item,religious_contributions,1396,2017,1247
rural,21.10_nonfood_by_item,religious_contributions,1397,2018,1341
rural,21.10_nonfood_by_item,religious_contributions,1398,2019,1426
rural,21.10_nonfood_by_item,religious_contributions,1399,2020,1383
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1380,2001,872
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1385,2006,1733
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1390,2011,3380
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1395,2016,7865
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1396,2017,9154
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1397,2018,11292
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1398,2019,13559
rural,21.10_nonfood_by_item,miscellaneous_expenditures,1399,2020,16822
urban,21.3_food_by_item,total,1380,2001,7166
urban,21.3_food_by_item,total,1385,2006,15188
urban,21.3_food_by_item,total,1390,2011,32752
urban,21.3_food_by_item,total,1395,2016,66636
urban,21.3_food_by_item,total,1396,2017,76750
urban,21.3_food_by_item,total,1397,2018,94505
urban,21.3_food_by_item,total,1398,2019,117529
urban,21.3_food_by_item,total,1399,2020,161094
urban,21.3_food_by_item,cereals_and_cereal_products,1380,2001,1393
urban,21.3_food_by_item,cereals_and_cereal_products,1385,2006,2365
urban,21.3_food_by_item,cereals_and_cereal_products,1390,2011,7519
urban,21.3_food_by_item,cereals_and_cereal_products,1395,2016,14583
urban,21.3_food_by_item,cereals_and_cereal_products,1396,2017,16937
urban,21.3_food_by_item,cereals_and_cereal_products,1397,2018,19001
urban,21.3_food_by_item,cereals_and_cereal_products,1398,2019,22725
urban,21.3_food_by_item,cereals_and_cereal_products,1399,2020,33298
urban,21.3_food_by_item,flour_macaroni_and_similar,1380,2001,112
urban,21.3_food_by_item,flour_macaroni_and_similar,1385,2006,196
urban,21.3_food_by_item,flour_macaroni_and_similar,1390,2011,409
urban,21.3_food_by_item,flour_macaroni_and_similar,1395,2016,858
urban,21.3_food_by_item,flour_macaroni_and_similar,1396,2017,910
urban,21.3_food_by_item,flour_macaroni_and_similar,1397,2018,1040
urban,21.3_food_by_item,flour_macaroni_and_similar,1398,2019,1626
urban,21.3_food_by_item,flour_macaroni_and_similar,1399,2020,2461
urban,21.3_food_by_item,cereals,1380,2001,880
urban,21.3_food_by_item,cereals,1385,2006,1499
urban,21.3_food_by_item,cereals,1390,2011,3192
urban,21.3_food_by_item,cereals,1395,2016,7345
urban,21.3_food_by_item,cereals,1396,2017,9328
urban,21.3_food_by_item,cereals,1397,2018,10409
urban,21.3_food_by_item,cereals,1398,2019,12134
urban,21.3_food_by_item,cereals,1399,2020,19797
urban,21.3_food_by_item,breads,1380,2001,370
urban,21.3_food_by_item,breads,1385,2006,562
urban,21.3_food_by_item,breads,1390,2011,3664
urban,21.3_food_by_item,breads,1395,2016,5741
urban,21.3_food_by_item,breads,1396,2017,5925
urban,21.3_food_by_item,breads,1397,2018,6482
urban,21.3_food_by_item,breads,1398,2019,7591
urban,21.3_food_by_item,breads,1399,2020,9341
urban,21.3_food_by_item,biscuits_cake_bakery_products,1380,2001,32
urban,21.3_food_by_item,biscuits_cake_bakery_products,1385,2006,108
urban,21.3_food_by_item,biscuits_cake_bakery_products,1390,2011,253
urban,21.3_food_by_item,biscuits_cake_bakery_products,1395,2016,640
urban,21.3_food_by_item,biscuits_cake_bakery_products,1396,2017,775
urban,21.3_food_by_item,biscuits_cake_bakery_products,1397,2018,1070
urban,21.3_food_by_item,biscuits_cake_bakery_products,1398,2019,1375
urban,21.3_food_by_item,biscuits_cake_bakery_products,1399,2020,1699
urban,21.3_food_by_item,meats_total,1380,2001,1841
urban,21.3_food_by_item,meats_total,1385,2006,3823
urban,21.3_food_by_item,meats_total,1390,2011,7758
urban,21.3_food_by_item,meats_total,1395,2016,14077
urban,21.3_food_by_item,meats_total,1396,2017,15689
urban,21.3_food_by_item,meats_total,1397,2018,19669
urban,21.3_food_by_item,meats_total,1398,2019,25377
urban,21.3_food_by_item,meats_total,1399,2020,34385
urban,21.3_food_by_item,meats_livestock,1380,2001,1075
urban,21.3_food_by_item,meats_livestock,1385,2006,2126
urban,21.3_food_by_item,meats_livestock,1390,2011,4279
urban,21.3_food_by_item,meats_livestock,1395,2016,7490
urban,21.3_food_by_item,meats_livestock,1396,2017,8656
urban,21.3_food_by_item,meats_livestock,1397,2018,10740
urban,21.3_food_by_item,meats_livestock,1398,2019,14183
urban,21.3_food_by_item,meats_livestock,1399,2020,18813
urban,21.3_food_by_item,meats_poultry,1380,2001,582
urban,21.3_food_by_item,meats_poultry,1385,2006,1188
urban,21.3_food_by_item,meats_poultry,1390,2011,2522
urban,21.3_food_by_item,meats_poultry,1395,2016,4657
urban,21.3_food_by_item,meats_poultry,1396,2017,4951
urban,21.3_food_by_item,meats_poultry,1397,2018,6666
urban,21.3_food_by_item,meats_poultry,1398,2019,8271
urban,21.3_food_by_item,meats_poultry,1399,2020,11883
urban,21.3_food_by_item,fish_and_shrimp,1380,2001,185
urban,21.3_food_by_item,fish_and_shrimp,1385,2006,509
urban,21.3_food_by_item,fish_and_shrimp,1390,2011,956
urban,21.3_food_by_item,fish_and_shrimp,1395,2016,1930
urban,21.3_food_by_item,fish_and_shrimp,1396,2017,2082
urban,21.3_food_by_item,fish_and_shrimp,1397,2018,2263
urban,21.3_food_by_item,fish_and_shrimp,1398,2019,2924
urban,21.3_food_by_item,fish_and_shrimp,1399,2020,3690
urban,21.3_food_by_item,milk_milk_products_eggs_total,1380,2001,774
urban,21.3_food_by_item,milk_milk_products_eggs_total,1385,2006,1721
urban,21.3_food_by_item,milk_milk_products_eggs_total,1390,2011,3474
urban,21.3_food_by_item,milk_milk_products_eggs_total,1395,2016,7422
urban,21.3_food_by_item,milk_milk_products_eggs_total,1396,2017,8234
urban,21.3_food_by_item,milk_milk_products_eggs_total,1397,2018,10310
urban,21.3_food_by_item,milk_milk_products_eggs_total,1398,2019,12651
urban,21.3_food_by_item,milk_milk_products_eggs_total,1399,2020,17540
urban,21.3_food_by_item,milks,1380,2001,163
urban,21.3_food_by_item,milks,1385,2006,469
urban,21.3_food_by_item,milks,1390,2011,917
urban,21.3_food_by_item,milks,1395,2016,1993
urban,21.3_food_by_item,milks,1396,2017,2109
urban,21.3_food_by_item,milks,1397,2018,2726
urban,21.3_food_by_item,milks,1398,2019,3297
urban,21.3_food_by_item,milks,1399,2020,4126
urban,21.3_food_by_item,milk_products,1380,2001,452
urban,21.3_food_by_item,milk_products,1385,2006,977
urban,21.3_food_by_item,milk_products,1390,2011,1839
urban,21.3_food_by_item,milk_products,1395,2016,4328
urban,21.3_food_by_item,milk_products,1396,2017,4744
urban,21.3_food_by_item,milk_products,1397,2018,5655
urban,21.3_food_by_item,milk_products,1398,2019,7308
urban,21.3_food_by_item,milk_products,1399,2020,9876
urban,21.3_food_by_item,eggs,1380,2001,158
urban,21.3_food_by_item,eggs,1385,2006,275
urban,21.3_food_by_item,eggs,1390,2011,718
urban,21.3_food_by_item,eggs,1395,2016,1101
urban,21.3_food_by_item,eggs,1396,2017,1381
urban,21.3_food_by_item,eggs,1397,2018,1930
urban,21.3_food_by_item,eggs,1398,2019,2045
urban,21.3_food_by_item,eggs,1399,2020,3538
urban,21.3_food_by_item,oil_and_fats_total,1380,2001,266
urban,21.3_food_by_item,oil_and_fats_total,1385,2006,489
urban,21.3_food_by_item,oil_and_fats_total,1390,2011,1226
urban,21.3_food_by_item,oil_and_fats_total,1395,2016,2377
urban,21.3_food_by_item,oil_and_fats_total,1396,2017,2561
urban,21.3_food_by_item,oil_and_fats_total,1397,2018,3121
urban,21.3_food_by_item,oil_and_fats_total,1398,2019,3894
urban,21.3_food_by_item,oil_and_fats_total,1399,2020,5293
urban,21.3_food_by_item,animal_oils_fats,1380,2001,11
urban,21.3_food_by_item,animal_oils_fats,1385,2006,29
urban,21.3_food_by_item,animal_oils_fats,1390,2011,53
urban,21.3_food_by_item,animal_oils_fats,1395,2016,164
urban,21.3_food_by_item,animal_oils_fats,1396,2017,224
urban,21.3_food_by_item,animal_oils_fats,1397,2018,247
urban,21.3_food_by_item,animal_oils_fats,1398,2019,287
urban,21.3_food_by_item,animal_oils_fats,1399,2020,475
urban,21.3_food_by_item,vegetable_oils,1380,2001,255
urban,21.3_food_by_item,vegetable_oils,1385,2006,460
urban,21.3_food_by_item,vegetable_oils,1390,2011,1173
urban,21.3_food_by_item,vegetable_oils,1395,2016,2212
urban,21.3_food_by_item,vegetable_oils,1396,2017,2337
urban,21.3_food_by_item,vegetable_oils,1397,2018,2874
urban,21.3_food_by_item,vegetable_oils,1398,2019,3607
urban,21.3_food_by_item,vegetable_oils,1399,2020,4818
urban,21.3_food_by_item,fruits_and_vegetables_total,1380,2001,1098
urban,21.3_food_by_item,fruits_and_vegetables_total,1385,2006,2950
urban,21.3_food_by_item,fruits_and_vegetables_total,1390,2011,5463
urban,21.3_food_by_item,fruits_and_vegetables_total,1395,2016,11344
urban,21.3_food_by_item,fruits_and_vegetables_total,1396,2017,12982
urban,21.3_food_by_item,fruits_and_vegetables_total,1397,2018,17638
urban,21.3_food_by_item,fruits_and_vegetables_total,1398,2019,23000
urban,21.3_food_by_item,fruits_and_vegetables_total,1399,2020,30362
urban,21.3_food_by_item,fruits,1380,2001,528
urban,21.3_food_by_item,fruits,1385,2006,1471
urban,21.3_food_by_item,fruits,1390,2011,2831
urban,21.3_food_by_item,fruits,1395,2016,5966
urban,21.3_food_by_item,fruits,1396,2017,6235
urban,21.3_food_by_item,fruits,1397,2018,8589
urban,21.3_food_by_item,fruits,1398,2019,10088
urban,21.3_food_by_item,fruits,1399,2020,15047
urban,21.3_food_by_item,vegetables,1380,2001,559
urban,21.3_food_by_item,vegetables,1385,2006,1455
urban,21.3_food_by_item,vegetables,1390,2011,2599
urban,21.3_food_by_item,vegetables,1395,2016,5326
urban,21.3_food_by_item,vegetables,1396,2017,6681
urban,21.3_food_by_item,vegetables,1397,2018,8956
urban,21.3_food_by_item,vegetables,1398,2019,12807
urban,21.3_food_by_item,vegetables,1399,2020,15128
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1380,2001,11
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1385,2006,24
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1390,2011,33
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1395,2016,51
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1396,2017,66
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1397,2018,92
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1398,2019,105
urban,21.3_food_by_item,prepared_fruits_vegetables_home,1399,2020,188
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1380,2001,317
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1385,2006,820
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1390,2011,1632
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1395,2016,4008
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1396,2017,4967
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1397,2018,5141
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1398,2019,6010
urban,21.3_food_by_item,nuts_dried_fruits_pulses_total,1399,2020,10481
urban,21.3_food_by_item,nuts_and_dried_fruits,1380,2001,157
urban,21.3_food_by_item,nuts_and_dried_fruits,1385,2006,511
urban,21.3_food_by_item,nuts_and_dried_fruits,1390,2011,1022
urban,21.3_food_by_item,nuts_and_dried_fruits,1395,2016,2524
urban,21.3_food_by_item,nuts_and_dried_fruits,1396,2017,3092
urban,21.3_food_by_item,nuts_and_dried_fruits,1397,2018,3237
urban,21.3_food_by_item,nuts_and_dried_fruits,1398,2019,3764
urban,21.3_food_by_item,nuts_and_dried_fruits,1399,2020,5762
urban,21.3_food_by_item,pulses,1380,2001,159
urban,21.3_food_by_item,pulses,1385,2006,309
urban,21.3_food_by_item,pulses,1390,2011,610
urban,21.3_food_by_item,pulses,1395,2016,1483
urban,21.3_food_by_item,pulses,1396,2017,1876
urban,21.3_food_by_item,pulses,1397,2018,1904
urban,21.3_food_by_item,pulses,1398,2019,2246
urban,21.3_food_by_item,pulses,1399,2020,4719
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1380,2001,607
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1385,2006,1058
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1390,2011,2292
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1395,2016,5173
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1396,2017,6113
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1397,2018,7291
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1398,2019,9477
urban,21.3_food_by_item,sugar_confectionary_tea_coffee_cocoa_total,1399,2020,13572
urban,21.3_food_by_item,sugar,1380,2001,160
urban,21.3_food_by_item,sugar,1385,2006,278
urban,21.3_food_by_item,sugar,1390,2011,750
urban,21.3_food_by_item,sugar,1395,2016,1218
urban,21.3_food_by_item,sugar,1396,2017,1277
urban,21.3_food_by_item,sugar,1397,2018,1434
urban,21.3_food_by_item,sugar,1398,2019,2136
urban,21.3_food_by_item,sugar,1399,2020,3085
urban,21.3_food_by_item,confectionary_honey_jam,1380,2001,200
urban,21.3_food_by_item,confectionary_honey_jam,1385,2006,463
urban,21.3_food_by_item,confectionary_honey_jam,1390,2011,977
urban,21.3_food_by_item,confectionary_honey_jam,1395,2016,2461
urban,21.3_food_by_item,confectionary_honey_jam,1396,2017,3075
urban,21.3_food_by_item,confectionary_honey_jam,1397,2018,3647
urban,21.3_food_by_item,confectionary_honey_jam,1398,2019,3863
urban,21.3_food_by_item,confectionary_honey_jam,1399,2020,5380
urban,21.3_food_by_item,tea_coffee_cocoa,1380,2001,247
urban,21.3_food_by_item,tea_coffee_cocoa,1385,2006,317
urban,21.3_food_by_item,tea_coffee_cocoa,1390,2011,565
urban,21.3_food_by_item,tea_coffee_cocoa,1395,2016,1495
urban,21.3_food_by_item,tea_coffee_cocoa,1396,2017,1761
urban,21.3_food_by_item,tea_coffee_cocoa,1397,2018,2210
urban,21.3_food_by_item,tea_coffee_cocoa,1398,2019,3478
urban,21.3_food_by_item,tea_coffee_cocoa,1399,2020,5107
urban,21.3_food_by_item,spices_seasonings_pickles_total,1380,2001,225
urban,21.3_food_by_item,spices_seasonings_pickles_total,1385,2006,451
urban,21.3_food_by_item,spices_seasonings_pickles_total,1390,2011,910
urban,21.3_food_by_item,spices_seasonings_pickles_total,1395,2016,2209
urban,21.3_food_by_item,spices_seasonings_pickles_total,1396,2017,2626
urban,21.3_food_by_item,spices_seasonings_pickles_total,1397,2018,3694
urban,21.3_food_by_item,spices_seasonings_pickles_total,1398,2019,4634
urban,21.3_food_by_item,spices_seasonings_pickles_total,1399,2020,5760
urban,21.3_food_by_item,spices,1380,2001,80
urban,21.3_food_by_item,spices,1385,2006,139
urban,21.3_food_by_item,spices,1390,2011,261
urban,21.3_food_by_item,spices,1395,2016,680
urban,21.3_food_by_item,spices,1396,2017,839
urban,21.3_food_by_item,spices,1397,2018,970
urban,21.3_food_by_item,spices,1398,2019,1297
urban,21.3_food_by_item,spices,1399,2020,1980
urban,21.3_food_by_item,seasonings_and_pickles,1380,2001,146
urban,21.3_food_by_item,seasonings_and_pickles,1385,2006,312
urban,21.3_food_by_item,seasonings_and_pickles,1390,2011,650
urban,21.3_food_by_item,seasonings_and_pickles,1395,2016,1529
urban,21.3_food_by_item,seasonings_and_pickles,1396,2017,1787
urban,21.3_food_by_item,seasonings_and_pickles,1397,2018,2724
urban,21.3_food_by_item,seasonings_and_pickles,1398,2019,3338
urban,21.3_food_by_item,seasonings_and_pickles,1399,2020,3780
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1380,2001,645
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1385,2006,1510
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1390,2011,2478
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1395,2016,5442
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1396,2017,6640
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1397,2018,8640
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1398,2019,9761
urban,21.3_food_by_item,beverages_prepared_foods_tobacco_total,1399,2020,10402
urban,21.3_food_by_item,beverages,1380,2001,99
urban,21.3_food_by_item,beverages,1385,2006,287
urban,21.3_food_by_item,beverages,1390,2011,714
urban,21.3_food_by_item,beverages,1395,2016,1511
urban,21.3_food_by_item,beverages,1396,2017,1790
urban,21.3_food_by_item,beverages,1397,2018,2065
urban,21.3_food_by_item,beverages,1398,2019,2484
urban,21.3_food_by_item,beverages,1399,2020,3373
urban,21.3_food_by_item,prepared_foods,1380,2001,332
urban,21.3_food_by_item,prepared_foods,1385,2006,862
urban,21.3_food_by_item,prepared_foods,1390,2011,1198
urban,21.3_food_by_item,prepared_foods,1395,2016,2667
urban,21.3_food_by_item,prepared_foods,1396,2017,3307
urban,21.3_food_by_item,prepared_foods,1397,2018,4213
urban,21.3_food_by_item,prepared_foods,1398,2019,4233
urban,21.3_food_by_item,prepared_foods,1399,2020,3482
urban,21.3_food_by_item,tobacco,1380,2001,214
urban,21.3_food_by_item,tobacco,1385,2006,361
urban,21.3_food_by_item,tobacco,1390,2011,566
urban,21.3_food_by_item,tobacco,1395,2016,1264
urban,21.3_food_by_item,tobacco,1396,2017,1544
urban,21.3_food_by_item,tobacco,1397,2018,2361
urban,21.3_food_by_item,tobacco,1398,2019,3043
urban,21.3_food_by_item,tobacco,1399,2020,3547
rural,21.11_food_by_item,total,1380,2001,7070
rural,21.11_food_by_item,total,1385,2006,15513
rural,21.11_food_by_item,total,1390,2011,32940
rural,21.11_food_by_item,total,1395,2016,59769
rural,21.11_food_by_item,total,1396,2017,66504
rural,21.11_food_by_item,total,1397,2018,80246
rural,21.11_food_by_item,total,1398,2019,102664
rural,21.11_food_by_item,total,1399,2020,136442
rural,21.11_food_by_item,cereals_and_cereal_products,1380,2001,1728
rural,21.11_food_by_item,cereals_and_cereal_products,1385,2006,3123
rural,21.11_food_by_item,cereals_and_cereal_products,1390,2011,8786
rural,21.11_food_by_item,cereals_and_cereal_products,1395,2016,15213
rural,21.11_food_by_item,cereals_and_cereal_products,1396,2017,16765
rural,21.11_food_by_item,cereals_and_cereal_products,1397,2018,19027
rural,21.11_food_by_item,cereals_and_cereal_products,1398,2019,22662
rural,21.11_food_by_item,cereals_and_cereal_products,1399,2020,33543
