year,month,metric,value,unit,source_issue
1961,,wholesale_price_index_1958base,107,1958=100,ifs_1964-12
1962,,wholesale_price_index_1958base,107,1958=100,ifs_1964-12
1963,,wholesale_price_index_1958base,107,1958=100,ifs_1964-12
1958,,reserve_money,33.47,Billions Rials,ifs_1964-12
1959,,reserve_money,35.32,Billions Rials,ifs_1964-12
1961,,reserve_money,26.22,Billions Rials,ifs_1964-12
1962,,reserve_money,28.55,Billions Rials,ifs_1964-12
1963,,reserve_money,33.56,Billions Rials,ifs_1964-12
1958,,central_bank_claims_on_government,14.73,Billions Rials,ifs_1964-12
1959,,central_bank_claims_on_government,13.33,Billions Rials,ifs_1964-12
1960,,central_bank_claims_on_government,16.64,Billions Rials,ifs_1964-12
1961,,central_bank_claims_on_government,15.17,Billions Rials,ifs_1964-12
1962,,central_bank_claims_on_government,14.95,Billions Rials,ifs_1964-12
1963,,central_bank_claims_on_government,15.93,Billions Rials,ifs_1964-12
1958,,exports_value_rials_year_ending_mar,56.13,Billions Rials,ifs_1964-12
1959,,exports_value_rials_year_ending_mar,58.17,Billions Rials,ifs_1964-12
1960,,exports_value_rials_year_ending_mar,64.0,Billions Rials,ifs_1964-12
1961,,exports_value_rials_year_ending_mar,64.32,Billions Rials,ifs_1964-12
1962,,exports_value_rials_year_ending_mar,74.43,Billions Rials,ifs_1964-12
1963,,exports_value_rials_year_ending_mar,70.66,Billions Rials,ifs_1964-12
1961,,imports_value_rials_year_ending_mar,52.0,Billions Rials,ifs_1964-12
1962,,imports_value_rials_year_ending_mar,40.28,Billions Rials,ifs_1964-12
1963,,imports_value_rials_year_ending_mar,39.64,Billions Rials,ifs_1964-12
1964,,bank_melli_gold_fx_total,199,Millions USD,ifs_1965-11
1964,,bank_melli_gold_reserves,141,Millions USD,ifs_1965-11
1964,,bank_melli_fx_reserves,58,Millions USD,ifs_1965-11
1964,,short_term_assets_in_us,23,Millions USD,ifs_1965-11
1964,,reserve_money,36.0,Billions Rials,ifs_1965-11
1964,,central_bank_claims_on_government,20.63,Billions Rials,ifs_1965-11
1964,,monetary_survey_domestic_credit_total,102.74,Billions Rials,ifs_1965-11
1964,,monetary_survey_claims_on_private_sector,85.16,Billions Rials,ifs_1965-11
1964,,money_supply_m1,50.56,Billions Rials,ifs_1965-11
1964,,quasi_money,37.65,Billions Rials,ifs_1965-11
1964,,wholesale_price_index_1958base,112,1958=100,ifs_1965-11
1964,,discount_rate,4.0,Per Cent,ifs_1965-11
1964,,exports_value_rials_year_ending_mar,94.96,Billions Rials,ifs_1965-11
1964,,imports_value_rials_year_ending_mar,50.96,Billions Rials,ifs_1965-11
1958,,export_price_index_1958base,100,1958=100,ifs_1965-11
1960,,export_price_index_1958base,94,1958=100,ifs_1965-11
1961,,export_price_index_1958base,94,1958=100,ifs_1965-11
1962,,export_price_index_1958base,94,1958=100,ifs_1965-11
1963,,export_price_index_1958base,95,1958=100,ifs_1965-11
1964,,export_price_index_1958base,97,1958=100,ifs_1965-11
1958,,import_price_index_1958base,100,1958=100,ifs_1965-11
1960,,import_price_index_1958base,104,1958=100,ifs_1965-11
1961,,import_price_index_1958base,107,1958=100,ifs_1965-11
1962,,import_price_index_1958base,110,1958=100,ifs_1965-11
1963,,import_price_index_1958base,112,1958=100,ifs_1965-11
1964,,import_price_index_1958base,114,1958=100,ifs_1965-11
1965,,bank_melli_gold_fx_total,236,Millions USD,ifs_1966-12
1965,,bank_melli_gold_reserves,146,Millions USD,ifs_1966-12
1965,,bank_melli_fx_reserves,87,Millions USD,ifs_1966-12
1965,,short_term_assets_in_us,67,Millions USD,ifs_1966-12
1965,,reserve_money,43.64,Billions Rials,ifs_1966-12
1965,,central_bank_claims_on_government,23.74,Billions Rials,ifs_1966-12
1965,,monetary_survey_domestic_credit_total,111.84,Billions Rials,ifs_1966-12
1965,,monetary_survey_claims_on_private_sector,97.11,Billions Rials,ifs_1966-12
1965,,money_supply_m1,56.95,Billions Rials,ifs_1966-12
1965,,quasi_money,42.95,Billions Rials,ifs_1966-12
1965,,wholesale_price_index_1958base,114,1958=100,ifs_1966-12
1965,,discount_rate,4.0,Per Cent,ifs_1966-12
1965,,exports_value_rials_year_ending_mar,98.71,Billions Rials,ifs_1966-12
1965,,imports_value_rials_year_ending_mar,65.15,Billions Rials,ifs_1966-12
1965,,export_price_index_1958base,98,1958=100,ifs_1966-12
1965,,import_price_index_1958base,113,1958=100,ifs_1966-12
1961,,national_accounts_exports_goods_services,72.6,Billions Rials,ifs_1968-12
1962,,national_accounts_exports_goods_services,77.6,Billions Rials,ifs_1968-12
1963,,national_accounts_exports_goods_services,84.6,Billions Rials,ifs_1968-12
1964,,national_accounts_exports_goods_services,89.0,Billions Rials,ifs_1968-12
1965,,national_accounts_exports_goods_services,103.2,Billions Rials,ifs_1968-12
1966,,national_accounts_exports_goods_services,113.9,Billions Rials,ifs_1968-12
1967,,national_accounts_exports_goods_services,139.5,Billions Rials,ifs_1968-12
1961,,government_consumption,33.8,Billions Rials,ifs_1968-12
1962,,government_consumption,34.8,Billions Rials,ifs_1968-12
1963,,government_consumption,39.3,Billions Rials,ifs_1968-12
1964,,government_consumption,47.6,Billions Rials,ifs_1968-12
1965,,government_consumption,65.5,Billions Rials,ifs_1968-12
1966,,government_consumption,73.5,Billions Rials,ifs_1968-12
1967,,government_consumption,84.4,Billions Rials,ifs_1968-12
1961,,gross_fixed_capital_formation,55.2,Billions Rials,ifs_1968-12
1962,,gross_fixed_capital_formation,43.7,Billions Rials,ifs_1968-12
1963,,gross_fixed_capital_formation,49.4,Billions Rials,ifs_1968-12
1964,,gross_fixed_capital_formation,63.9,Billions Rials,ifs_1968-12
1965,,gross_fixed_capital_formation,77.4,Billions Rials,ifs_1968-12
1966,,gross_fixed_capital_formation,86.5,Billions Rials,ifs_1968-12
1967,,gross_fixed_capital_formation,107.1,Billions Rials,ifs_1968-12
1961,,private_consumption_incl_stocks,244.8,Billions Rials,ifs_1968-12
1962,,private_consumption_incl_stocks,258.9,Billions Rials,ifs_1968-12
1963,,private_consumption_incl_stocks,269.4,Billions Rials,ifs_1968-12
1964,,private_consumption_incl_stocks,289.4,Billions Rials,ifs_1968-12
1965,,private_consumption_incl_stocks,327.6,Billions Rials,ifs_1968-12
1966,,private_consumption_incl_stocks,346.5,Billions Rials,ifs_1968-12
1967,,private_consumption_incl_stocks,377.0,Billions Rials,ifs_1968-12
1961,,less_imports_national_accounts,-49.7,Billions Rials,ifs_1968-12
1962,,less_imports_national_accounts,-45.8,Billions Rials,ifs_1968-12
1963,,less_imports_national_accounts,-44.3,Billions Rials,ifs_1968-12
1964,,less_imports_national_accounts,-62.7,Billions Rials,ifs_1968-12
1965,,less_imports_national_accounts,-70.1,Billions Rials,ifs_1968-12
1966,,less_imports_national_accounts,-77.6,Billions Rials,ifs_1968-12
1967,,less_imports_national_accounts,-96.6,Billions Rials,ifs_1968-12
1961,,less_net_factor_payments_abroad,-24.3,Billions Rials,ifs_1968-12
1962,,less_net_factor_payments_abroad,-27.4,Billions Rials,ifs_1968-12
1963,,less_net_factor_payments_abroad,-32.1,Billions Rials,ifs_1968-12
1964,,less_net_factor_payments_abroad,-28.6,Billions Rials,ifs_1968-12
1965,,less_net_factor_payments_abroad,-36.1,Billions Rials,ifs_1968-12
1966,,less_net_factor_payments_abroad,-39.5,Billions Rials,ifs_1968-12
1967,,less_net_factor_payments_abroad,-47.9,Billions Rials,ifs_1968-12
1961,,gross_national_expenditure_gnp,332.5,Billions Rials,ifs_1968-12
1962,,gross_national_expenditure_gnp,341.8,Billions Rials,ifs_1968-12
1963,,gross_national_expenditure_gnp,366.2,Billions Rials,ifs_1968-12
1964,,gross_national_expenditure_gnp,398.6,Billions Rials,ifs_1968-12
1965,,gross_national_expenditure_gnp,467.6,Billions Rials,ifs_1968-12
1966,,gross_national_expenditure_gnp,503.4,Billions Rials,ifs_1968-12
1967,,gross_national_expenditure_gnp,563.5,Billions Rials,ifs_1968-12
1961,,gross_domestic_product,356.8,Billions Rials,ifs_1968-12
1962,,gross_domestic_product,369.2,Billions Rials,ifs_1968-12
1963,,gross_domestic_product,398.3,Billions Rials,ifs_1968-12
1964,,gross_domestic_product,427.1,Billions Rials,ifs_1968-12
1965,,gross_domestic_product,503.7,Billions Rials,ifs_1968-12
1966,,gross_domestic_product,542.9,Billions Rials,ifs_1968-12
1967,,gross_domestic_product,611.4,Billions Rials,ifs_1968-12
1961,,national_income,288.7,Billions Rials,ifs_1968-12
1962,,national_income,297.3,Billions Rials,ifs_1968-12
1963,,national_income,317.2,Billions Rials,ifs_1968-12
1964,,national_income,346.4,Billions Rials,ifs_1968-12
1965,,national_income,406.0,Billions Rials,ifs_1968-12
1966,,national_income,432.0,Billions Rials,ifs_1968-12
1967,,national_income,484.0,Billions Rials,ifs_1968-12
1966,,bank_melli_gold_fx_total,255,Millions USD,ifs_1968-12
1967,,bank_melli_gold_fx_total,305,Millions USD,ifs_1968-12
1966,,bank_melli_gold_reserves,130,Millions USD,ifs_1968-12
1967,,bank_melli_gold_reserves,144,Millions USD,ifs_1968-12
1966,,bank_melli_fx_reserves,108,Millions USD,ifs_1968-12
1967,,bank_melli_fx_reserves,130,Millions USD,ifs_1968-12
1966,,short_term_assets_in_us,37,Millions USD,ifs_1968-12
1967,,short_term_assets_in_us,50,Millions USD,ifs_1968-12
1966,,reserve_money,44.72,Billions Rials,ifs_1968-12
1967,,reserve_money,53.31,Billions Rials,ifs_1968-12
1966,,central_bank_claims_on_government,23.68,Billions Rials,ifs_1968-12
1967,,central_bank_claims_on_government,26.9,Billions Rials,ifs_1968-12
1966,,monetary_survey_domestic_credit_total,128.68,Billions Rials,ifs_1968-12
1967,,monetary_survey_domestic_credit_total,154.89,Billions Rials,ifs_1968-12
1966,,monetary_survey_claims_on_private_sector,115.69,Billions Rials,ifs_1968-12
1967,,monetary_survey_claims_on_private_sector,132.54,Billions Rials,ifs_1968-12
1966,,money_supply_m1,62.19,Billions Rials,ifs_1968-12
1967,,money_supply_m1,71.33,Billions Rials,ifs_1968-12
1966,,quasi_money,49.96,Billions Rials,ifs_1968-12
1967,,quasi_money,61.57,Billions Rials,ifs_1968-12
1966,,discount_rate,5.0,Per Cent,ifs_1968-12
1967,,discount_rate,5.0,Per Cent,ifs_1968-12
1966,,exports_value_rials_year_ending_mar,99.18,Billions Rials,ifs_1968-12
1967,,exports_value_rials_year_ending_mar,146.17,Billions Rials,ifs_1968-12
1966,,imports_value_rials_year_ending_mar,70.42,Billions Rials,ifs_1968-12
1967,,imports_value_rials_year_ending_mar,85.34,Billions Rials,ifs_1968-12
1961,,wholesale_price_index_1963base,99,1963=100,ifs_1968-12
1962,,wholesale_price_index_1963base,100,1963=100,ifs_1968-12
1963,,wholesale_price_index_1963base,100,1963=100,ifs_1968-12
1964,,wholesale_price_index_1963base,104,1963=100,ifs_1968-12
1965,,wholesale_price_index_1963base,107,1963=100,ifs_1968-12
1966,,wholesale_price_index_1963base,106,1963=100,ifs_1968-12
1967,,wholesale_price_index_1963base,106,1963=100,ifs_1968-12
1961,,export_price_index_1963base,99,1963=100,ifs_1968-12
1962,,export_price_index_1963base,99,1963=100,ifs_1968-12
1963,,export_price_index_1963base,100,1963=100,ifs_1968-12
1964,,export_price_index_1963base,103,1963=100,ifs_1968-12
1965,,export_price_index_1963base,103,1963=100,ifs_1968-12
1966,,export_price_index_1963base,103,1963=100,ifs_1968-12
1967,,export_price_index_1963base,104,1963=100,ifs_1968-12
1961,,import_price_index_1963base,96,1963=100,ifs_1968-12
1962,,import_price_index_1963base,98,1963=100,ifs_1968-12
1963,,import_price_index_1963base,100,1963=100,ifs_1968-12
1964,,import_price_index_1963base,101,1963=100,ifs_1968-12
1965,,import_price_index_1963base,102,1963=100,ifs_1968-12
1966,,import_price_index_1963base,103,1963=100,ifs_1968-12
1967,,import_price_index_1963base,104,1963=100,ifs_1968-12
1968,,bank_melli_gold_fx_total,292,Millions USD,ifs_1969-12
1968,,bank_melli_gold_reserves,158,Millions USD,ifs_1969-12
1968,,bank_melli_fx_reserves,134,Millions USD,ifs_1969-12
1968,,short_term_assets_in_us,41,Millions USD,ifs_1969-12
1968,,reserve_money,62.77,Billions Rials,ifs_1969-12
1968,,central_bank_claims_on_government,41.22,Billions Rials,ifs_1969-12
1968,,monetary_survey_domestic_credit_total,196.81,Billions Rials,ifs_1969-12
1968,,monetary_survey_claims_on_private_sector,159.96,Billions Rials,ifs_1969-12
1968,,money_supply_m1,81.61,Billions Rials,ifs_1969-12
1968,,quasi_money,78.22,Billions Rials,ifs_1969-12
1968,,discount_rate,7.0,Per Cent,ifs_1969-12
1968,,wholesale_price_index_1963base,106,1963=100,ifs_1969-12
1968,,exports_value_rials_year_ending_mar,142.37,Billions Rials,ifs_1969-12
1968,,imports_value_rials_year_ending_mar,105.03,Billions Rials,ifs_1969-12
1968,,export_price_index_1963base,105,1963=100,ifs_1969-12
1968,,import_price_index_1963base,104,1963=100,ifs_1969-12
1969,,bank_melli_gold_fx_total,311,Millions USD,ifs_1970-12
1969,,bank_melli_gold_reserves,158,Millions USD,ifs_1970-12
1969,,bank_melli_fx_reserves,154,Millions USD,ifs_1970-12
1969,,short_term_assets_in_us,35,Millions USD,ifs_1970-12
1969,,reserve_money,71.48,Billions Rials,ifs_1970-12
1969,,central_bank_claims_on_government,42.7,Billions Rials,ifs_1970-12
1969,,monetary_survey_domestic_credit_total,238.93,Billions Rials,ifs_1970-12
1969,,monetary_survey_claims_on_private_sector,182.22,Billions Rials,ifs_1970-12
1969,,money_supply_m1,83.16,Billions Rials,ifs_1970-12
1969,,quasi_money,103.79,Billions Rials,ifs_1970-12
1969,,discount_rate,8.0,Per Cent,ifs_1970-12
1969,,wholesale_price_index_1963base,107,1963=100,ifs_1970-12
1969,,exports_value_rials_year_ending_mar,159.03,Billions Rials,ifs_1970-12
1969,,imports_value_rials_year_ending_mar,104.83,Billions Rials,ifs_1970-12
1969,,export_price_index_1963base,106,1963=100,ifs_1970-12
1969,,import_price_index_1963base,108,1963=100,ifs_1970-12
1968,,national_accounts_exports_goods_services,146.0,Billions Rials,ifs_1970-12
1968,,government_consumption,85.4,Billions Rials,ifs_1970-12
1968,,gross_fixed_capital_formation,115.0,Billions Rials,ifs_1970-12
1968,,private_consumption_incl_stocks,407.6,Billions Rials,ifs_1970-12
1968,,less_imports_national_accounts,-117.8,Billions Rials,ifs_1970-12
1968,,less_net_factor_payments_abroad,-52.3,Billions Rials,ifs_1970-12
1968,,gross_national_expenditure_gnp,603.0,Billions Rials,ifs_1970-12
1968,,gross_domestic_product,655.3,Billions Rials,ifs_1970-12
1968,,national_income,516.0,Billions Rials,ifs_1970-12
1963,,population,23.43,Millions,ifs_1970-12
1964,,population,24.08,Millions,ifs_1970-12
1965,,population,24.81,Millions,ifs_1970-12
1966,,population,25.54,Millions,ifs_1970-12
1967,,population,26.3,Millions,ifs_1970-12
1968,,population,27.08,Millions,ifs_1970-12
1969,,population,27.89,Millions,ifs_1970-12
1970,,bank_melli_gold_fx_total,208,Millions USD,ifs_1972-12
1971,,bank_melli_gold_fx_total,612,Millions USD,ifs_1972-12
1970,,bank_melli_gold_reserves,131,Millions USD,ifs_1972-12
1971,,bank_melli_gold_reserves,142,Millions USD,ifs_1972-12
1970,,bank_melli_fx_reserves,76,Millions USD,ifs_1972-12
1971,,bank_melli_fx_reserves,469,Millions USD,ifs_1972-12
1970,,short_term_assets_in_us,32,Millions USD,ifs_1972-12
1971,,short_term_assets_in_us,59,Millions USD,ifs_1972-12
1970,,reserve_money,105.87,Billions Rials,ifs_1972-12
1971,,reserve_money,131.26,Billions Rials,ifs_1972-12
1970,,central_bank_claims_on_government,117.95,Billions Rials,ifs_1972-12
1971,,central_bank_claims_on_government,140.57,Billions Rials,ifs_1972-12
1970,,monetary_survey_domestic_credit_total,304.68,Billions Rials,ifs_1972-12
1971,,monetary_survey_domestic_credit_total,349.4,Billions Rials,ifs_1972-12
1970,,monetary_survey_claims_on_private_sector,174.44,Billions Rials,ifs_1972-12
1971,,monetary_survey_claims_on_private_sector,204.62,Billions Rials,ifs_1972-12
1970,,money_supply_m1,128.34,Billions Rials,ifs_1972-12
1971,,money_supply_m1,154.93,Billions Rials,ifs_1972-12
1970,,quasi_money,121.35,Billions Rials,ifs_1972-12
1971,,quasi_money,154.68,Billions Rials,ifs_1972-12
1970,,discount_rate,8.0,Per Cent,ifs_1972-12
1971,,discount_rate,7.0,Per Cent,ifs_1972-12
1970,,wholesale_price_index_1963base,112.9,1963=100,ifs_1972-12
1971,,wholesale_price_index_1963base,119.6,1963=100,ifs_1972-12
1970,,exports_value_rials_year_ending_mar,178.37,Billions Rials,ifs_1972-12
1971,,exports_value_rials_year_ending_mar,200.12,Billions Rials,ifs_1972-12
1970,,imports_value_rials_year_ending_mar,125.63,Billions Rials,ifs_1972-12
1971,,imports_value_rials_year_ending_mar,141.75,Billions Rials,ifs_1972-12
1970,,export_price_index_1963base,107.8,1963=100,ifs_1972-12
1970,,import_price_index_1963base,112.0,1963=100,ifs_1972-12
1971,,import_price_index_1963base,114.2,1963=100,ifs_1972-12
1969,,government_consumption,117.6,Billions Rials,ifs_1972-12
1970,,government_consumption,141.2,Billions Rials,ifs_1972-12
1969,,gross_fixed_capital_formation,154.2,Billions Rials,ifs_1972-12
1970,,gross_fixed_capital_formation,175.3,Billions Rials,ifs_1972-12
1969,,private_consumption_incl_stocks,456.1,Billions Rials,ifs_1972-12
1970,,private_consumption_incl_stocks,490.7,Billions Rials,ifs_1972-12
1969,,gross_domestic_product,772.5,Billions Rials,ifs_1972-12
1970,,gross_domestic_product,852.1,Billions Rials,ifs_1972-12
1970,,population,28.66,Millions,ifs_1972-12
1971,,population,29.78,Millions,ifs_1972-12
