Type of data	Overall and by COICOP group	Period	Total
Monthly change	Overall index	1964M04	0.4
Monthly change	Overall index	1964M03	0.3
Monthly change	Overall index	1964M02	0.1
Monthly change	Overall index	1964M01	-0.2
Monthly change	Overall index	1963M12	0.4
Monthly change	Overall index	1963M11	1.3
Monthly change	Overall index	1963M10	0.3
Monthly change	Overall index	1963M09	-0.2
Monthly change	Overall index	1963M08	1.0
Monthly change	Overall index	1963M07	1.1
Monthly change	Overall index	1963M06	-1.8
Monthly change	Overall index	1963M05	0.6
Monthly change	Overall index	1963M04	-0.1
Monthly change	Overall index	1963M03	1.9
Monthly change	Overall index	1963M02	0.8
Monthly change	Overall index	1963M01	0.2
Monthly change	Overall index	1962M12	1.3
Monthly change	Overall index	1962M11	2.6
Monthly change	Overall index	1962M10	1.0
Monthly change	Overall index	1962M09	0.6
Monthly change	Overall index	1962M08	-0.2
Monthly change	Overall index	1962M07	0.0
Monthly change	Overall index	1962M06	0.5
Monthly change	Overall index	1962M05	1.3
Monthly change	Overall index	1962M04	1.4
Monthly change	Overall index	1962M03	0.9
Monthly change	Overall index	1962M02	0.5
Monthly change	Overall index	1962M01	-0.2
Monthly change	Overall index	1961M12	0.2
Monthly change	Overall index	1961M11	1.6
Monthly change	Overall index	1961M10	0.4
Monthly change	Overall index	1961M09	0.1
Monthly change	Overall index	1961M08	0.2
Monthly change	Overall index	1961M07	0.0
Monthly change	Overall index	1961M06	-0.5
Monthly change	Overall index	1961M05	-0.3
Monthly change	Overall index	1961M04	0.3
Monthly change	Overall index	1961M03	-0.4
Monthly change	Overall index	1961M02	-0.8
Monthly change	Overall index	1961M01	""
Annual change	Overall index	2021M12	6.5
Annual change	Overall index	2021M11	5.5
Annual change	Overall index	2021M10	5.4
Annual change	Overall index	2021M09	4.0
Annual change	Overall index	2021M08	3.3
Annual change	Overall index	2021M07	2.9
Annual change	Overall index	2021M06	2.7
Annual change	Overall index	2021M05	2.7
Annual change	Overall index	2021M04	2.2
Annual change	Overall index	2021M03	1.3
Annual change	Overall index	2021M02	0.0
Annual change	Overall index	2021M01	0.5
Annual change	Overall index	2020M12	-0.5
Annual change	Overall index	2020M11	-0.8
Annual change	Overall index	2020M10	-0.8
Annual change	Overall index	2020M09	-0.4
Annual change	Overall index	2020M08	-0.5
Annual change	Overall index	2020M07	-0.6
Annual change	Overall index	2020M06	-0.3
Annual change	Overall index	2020M05	-0.9
Annual change	Overall index	2020M04	-0.7
Annual change	Overall index	2020M03	0.0
Annual change	Overall index	2020M02	0.7
Annual change	Overall index	2020M01	1.1
Annual change	Overall index	2019M12	0.8
Annual change	Overall index	2019M11	0.4
Annual change	Overall index	2019M10	0.1
Annual change	Overall index	2019M09	0.1
Annual change	Overall index	2019M08	0.3
Annual change	Overall index	2019M07	0.5
Annual change	Overall index	2019M06	0.4
Annual change	Overall index	2019M05	0.8
Annual change	Overall index	2019M04	1.5
Annual change	Overall index	2019M03	1.3
Annual change	Overall index	2019M02	1.1
Annual change	Overall index	2019M01	1.0
Annual change	Overall index	2018M12	1.2
Annual change	Overall index	2018M11	1.7
Annual change	Overall index	2018M10	2.3
Annual change	Overall index	2018M09	2.3
Annual change	Overall index	2018M08	2.2
Annual change	Overall index	2018M07	2.2
Annual change	Overall index	2018M06	2.3
Annual change	Overall index	2018M05	2.1
Annual change	Overall index	2018M04	1.1
Annual change	Overall index	2018M03	1.2
Annual change	Overall index	2018M02	1.1
Annual change	Overall index	2018M01	0.6
Annual change	Overall index	2017M12	1.1
Annual change	Overall index	2017M11	1.7
Annual change	Overall index	2017M10	1.6
Annual change	Overall index	2017M09	1.8
Annual change	Overall index	2017M08	1.6
Annual change	Overall index	2017M07	1.5
Annual change	Overall index	2017M06	1.5
Annual change	Overall index	2017M05	1.9
Annual change	Overall index	2017M04	2.6
Annual change	Overall index	2017M03	2.3
Annual change	Overall index	2017M02	3.0
Annual change	Overall index	2017M01	3.0
Annual change	Overall index	2016M12	1.6
Annual change	Overall index	2016M11	0.7
Annual change	Overall index	2016M10	0.7
Annual change	Overall index	2016M09	0.2
Annual change	Overall index	2016M08	-0.1
Annual change	Overall index	2016M07	-0.6
Annual change	Overall index	2016M06	-0.8
Annual change	Overall index	2016M05	-1.0
Annual change	Overall index	2016M04	-1.1
Annual change	Overall index	2016M03	-0.8
Annual change	Overall index	2016M02	-0.8
Annual change	Overall index	2016M01	-0.3
Annual change	Overall index	2015M12	0.0
Annual change	Overall index	2015M11	-0.3
Annual change	Overall index	2015M10	-0.7
Annual change	Overall index	2015M09	-0.9
Annual change	Overall index	2015M08	-0.4
Annual change	Overall index	2015M07	0.1
Annual change	Overall index	2015M06	0.1
Annual change	Overall index	2015M05	-0.2
Annual change	Overall index	2015M04	-0.6
Annual change	Overall index	2015M03	-0.7
Annual change	Overall index	2015M02	-1.1
Annual change	Overall index	2015M01	-1.3
Annual change	Overall index	2014M12	-1.0
Annual change	Overall index	2014M11	-0.4
Annual change	Overall index	2014M10	-0.1
Annual change	Overall index	2014M09	-0.2
Annual change	Overall index	2014M08	-0.5
Annual change	Overall index	2014M07	-0.3
Annual change	Overall index	2014M06	0.1
Annual change	Overall index	2014M05	0.2
Annual change	Overall index	2014M04	0.4
Annual change	Overall index	2014M03	-0.1
Annual change	Overall index	2014M02	0.0
Annual change	Overall index	2014M01	0.2
Annual change	Overall index	2013M12	0.3
Annual change	Overall index	2013M11	0.2
Annual change	Overall index	2013M10	-0.1
Annual change	Overall index	2013M09	0.3
Annual change	Overall index	2013M08	1.5
Annual change	Overall index	2013M07	1.8
Annual change	Overall index	2013M06	2.1
Annual change	Overall index	2013M05	1.7
Annual change	Overall index	2013M04	1.4
Annual change	Overall index	2013M03	2.4
Annual change	Overall index	2013M02	2.8
Annual change	Overall index	2013M01	2.7
Annual change	Overall index	2012M12	2.9
Annual change	Overall index	2012M11	2.9
Annual change	Overall index	2012M10	3.5
Annual change	Overall index	2012M09	3.4
Annual change	Overall index	2012M08	2.7
Annual change	Overall index	2012M07	2.2
Annual change	Overall index	2012M06	1.9
Annual change	Overall index	2012M05	1.9
Annual change	Overall index	2012M04	2.1
Annual change	Overall index	2012M03	1.9
Annual change	Overall index	2012M02	2.0
Annual change	Overall index	2012M01	2.0
Annual change	Overall index	2011M12	2.4
Annual change	Overall index	2011M11	2.9
Annual change	Overall index	2011M10	3.0
Annual change	Overall index	2011M09	3.1
Annual change	Overall index	2011M08	3.0
Annual change	Overall index	2011M07	3.1
Annual change	Overall index	2011M06	3.2
Annual change	Overall index	2011M05	3.5
Annual change	Overall index	2011M04	3.8
Annual change	Overall index	2011M03	3.6
Annual change	Overall index	2011M02	3.6
Annual change	Overall index	2011M01	3.3
Annual change	Overall index	2010M12	3.0
Annual change	Overall index	2010M11	2.3
Annual change	Overall index	2010M10	2.3
Annual change	Overall index	2010M09	2.1
Annual change	Overall index	2010M08	1.8
Annual change	Overall index	2010M07	1.9
Annual change	Overall index	2010M06	1.5
Annual change	Overall index	2010M05	1.8
Annual change	Overall index	2010M04	1.5
Annual change	Overall index	2010M03	1.4
Annual change	Overall index	2010M02	0.8
Annual change	Overall index	2010M01	1.0
Annual change	Overall index	2009M12	0.8
Annual change	Overall index	2009M11	0.3
Annual change	Overall index	2009M10	-0.7
Annual change	Overall index	2009M09	-1.0
Annual change	Overall index	2009M08	-0.8
Annual change	Overall index	2009M07	-1.4
Annual change	Overall index	2009M06	-1.0
Annual change	Overall index	2009M05	-0.9
Annual change	Overall index	2009M04	-0.2
Annual change	Overall index	2009M03	-0.1
Annual change	Overall index	2009M02	0.7
Annual change	Overall index	2009M01	0.8
Annual change	Overall index	2008M12	1.4
Annual change	Overall index	2008M11	2.4
Annual change	Overall index	2008M10	3.6
Annual change	Overall index	2008M09	4.5
Annual change	Overall index	2008M08	4.9
Annual change	Overall index	2008M07	5.3
Annual change	Overall index	2008M06	5.0
Annual change	Overall index	2008M05	4.6
Annual change	Overall index	2008M04	4.2
Annual change	Overall index	2008M03	4.5
Annual change	Overall index	2008M02	4.4
Annual change	Overall index	2008M01	4.3
Annual change	Overall index	2007M12	4.2
Annual change	Overall index	2007M11	4.1
Annual change	Overall index	2007M10	3.6
Annual change	Overall index	2007M09	2.7
Annual change	Overall index	2007M08	2.2
Annual change	Overall index	2007M07	2.2
Annual change	Overall index	2007M06	2.4
Annual change	Overall index	2007M05	2.3
Annual change	Overall index	2007M04	2.4
Annual change	Overall index	2007M03	2.5
Annual change	Overall index	2007M02	2.4
Annual change	Overall index	2007M01	2.4
Annual change	Overall index	2006M12	2.7
Annual change	Overall index	2006M11	2.6
Annual change	Overall index	2006M10	2.5
Annual change	Overall index	2006M09	2.9
Annual change	Overall index	2006M08	3.7
Annual change	Overall index	2006M07	4.0
Annual change	Overall index	2006M06	3.9
Annual change	Overall index	2006M05	4.0
Annual change	Overall index	2006M04	3.9
Annual change	Overall index	2006M03	3.9
Annual change	Overall index	2006M02	4.0
Annual change	Overall index	2006M01	4.2
Annual change	Overall index	2005M12	3.7
Annual change	Overall index	2005M11	3.4
Annual change	Overall index	2005M10	3.5
Annual change	Overall index	2005M09	3.7
Annual change	Overall index	2005M08	3.3
Annual change	Overall index	2005M07	3.3
Annual change	Overall index	2005M06	3.1
Annual change	Overall index	2005M05	3.1
Annual change	Overall index	2005M04	3.5
Annual change	Overall index	2005M03	3.4
Annual change	Overall index	2005M02	3.3
Annual change	Overall index	2005M01	3.1
Annual change	Overall index	2004M12	3.2
Annual change	Overall index	2004M11	3.5
Annual change	Overall index	2004M10	3.6
Annual change	Overall index	2004M09	3.2
Annual change	Overall index	2004M08	3.3
Annual change	Overall index	2004M07	3.4
Annual change	Overall index	2004M06	3.5
Annual change	Overall index	2004M05	3.4
Annual change	Overall index	2004M04	2.7
Annual change	Overall index	2004M03	2.1
Annual change	Overall index	2004M02	2.1
Annual change	Overall index	2004M01	2.3
Annual change	Overall index	2003M12	2.6
Annual change	Overall index	2003M11	2.8
Annual change	Overall index	2003M10	2.6
Annual change	Overall index	2003M09	2.9
Annual change	Overall index	2003M08	3.0
Annual change	Overall index	2003M07	2.8
Annual change	Overall index	2003M06	2.7
Annual change	Overall index	2003M05	2.7
Annual change	Overall index	2003M04	3.1
Annual change	Overall index	2003M03	3.7
Annual change	Overall index	2003M02	3.8
Annual change	Overall index	2003M01	3.7
Annual change	Overall index	2002M12	4.0
Annual change	Overall index	2002M11	3.9
Annual change	Overall index	2002M10	4.0
Annual change	Overall index	2002M09	3.5
Annual change	Overall index	2002M08	3.6
Annual change	Overall index	2002M07	3.4
Annual change	Overall index	2002M06	3.4
Annual change	Overall index	2002M05	3.6
Annual change	Overall index	2002M04	3.6
Annual change	Overall index	2002M03	3.1
Annual change	Overall index	2002M02	3.1
Annual change	Overall index	2002M01	3.1
Annual change	Overall index	2001M12	2.7
Annual change	Overall index	2001M11	2.7
Annual change	Overall index	2001M10	3.0
Annual change	Overall index	2001M09	3.4
Annual change	Overall index	2001M08	3.7
Annual change	Overall index	2001M07	3.9
Annual change	Overall index	2001M06	4.2
Annual change	Overall index	2001M05	4.2
Annual change	Overall index	2001M04	4.0
Annual change	Overall index	2001M03	3.9
Annual change	Overall index	2001M02	3.8
Annual change	Overall index	2001M01	3.7
Annual change	Overall index	2000M12	4.0
Annual change	Overall index	2000M11	4.1
Annual change	Overall index	2000M10	4.0
Annual change	Overall index	2000M09	3.7
Annual change	Overall index	2000M08	3.6
Annual change	Overall index	2000M07	3.6
Annual change	Overall index	2000M06	3.4
Annual change	Overall index	2000M05	3.1
Annual change	Overall index	2000M04	3.0
Annual change	Overall index	2000M03	2.9
Annual change	Overall index	2000M02	3.0
Annual change	Overall index	2000M01	2.9
Annual change	Overall index	1999M12	2.9
Annual change	Overall index	1999M11	2.7
Annual change	Overall index	1999M10	2.5
Annual change	Overall index	1999M09	2.5
Annual change	Overall index	1999M08	2.4
Annual change	Overall index	1999M07	2.2
Annual change	Overall index	1999M06	2.2
Annual change	Overall index	1999M05	2.2
Annual change	Overall index	1999M04	2.4
Annual change	Overall index	1999M03	2.2
Annual change	Overall index	1999M02	1.8
Annual change	Overall index	1999M01	1.5
Annual change	Overall index	1998M12	1.4
Annual change	Overall index	1998M11	1.4
Annual change	Overall index	1998M10	1.7
Annual change	Overall index	1998M09	1.6
Annual change	Overall index	1998M08	2.1
Annual change	Overall index	1998M07	2.2
Annual change	Overall index	1998M06	2.1
Annual change	Overall index	1998M05	2.0
Annual change	Overall index	1998M04	2.0
Annual change	Overall index	1998M03	1.8
Annual change	Overall index	1998M02	1.8
Annual change	Overall index	1998M01	2.0
Annual change	Overall index	1997M12	2.0
Annual change	Overall index	1997M11	2.0
Annual change	Overall index	1997M10	1.9
Annual change	Overall index	1997M09	2.0
Annual change	Overall index	1997M08	1.8
Annual change	Overall index	1997M07	1.6
Annual change	Overall index	1997M06	1.6
Annual change	Overall index	1997M05	1.5
Annual change	Overall index	1997M04	1.7
Annual change	Overall index	1997M03	2.2
Annual change	Overall index	1997M02	2.5
Annual change	Overall index	1997M01	2.9
Annual change	Overall index	1996M12	3.2
Annual change	Overall index	1996M11	3.2
Annual change	Overall index	1996M10	3.5
Annual change	Overall index	1996M09	3.6
Annual change	Overall index	1996M08	3.7
Annual change	Overall index	1996M07	3.7
Annual change	Overall index	1996M06	3.6
Annual change	Overall index	1996M05	3.8
Annual change	Overall index	1996M04	3.5
Annual change	Overall index	1996M03	3.4
Annual change	Overall index	1996M02	3.7
Annual change	Overall index	1996M01	3.9
Annual change	Overall index	1995M12	4.3
Annual change	Overall index	1995M11	4.4
Annual change	Overall index	1995M10	4.3
Annual change	Overall index	1995M09	4.4
Annual change	Overall index	1995M08	4.3
Annual change	Overall index	1995M07	4.7
Annual change	Overall index	1995M06	5.1
Annual change	Overall index	1995M05	5.1
Annual change	Overall index	1995M04	5.2
Annual change	Overall index	1995M03	5.1
Annual change	Overall index	1995M02	4.8
Annual change	Overall index	1995M01	4.4
Annual change	Overall index	1994M12	4.3
Annual change	Overall index	1994M11	4.4
Annual change	Overall index	1994M10	4.4
Annual change	Overall index	1994M09	4.5
Annual change	Overall index	1994M08	4.8
Annual change	Overall index	1994M07	4.8
Annual change	Overall index	1994M06	4.7
Annual change	Overall index	1994M05	4.9
Annual change	Overall index	1994M04	4.9
Annual change	Overall index	1994M03	5.0
Annual change	Overall index	1994M02	5.0
Annual change	Overall index	1994M01	5.0
Annual change	Overall index	1993M12	4.9
Annual change	Overall index	1993M11	4.7
Annual change	Overall index	1993M10	4.6
Annual change	Overall index	1993M09	4.3
Annual change	Overall index	1993M08	4.6
Annual change	Overall index	1993M07	4.9
Annual change	Overall index	1993M06	4.9
Annual change	Overall index	1993M05	4.6
Annual change	Overall index	1993M04	4.6
Annual change	Overall index	1993M03	4.0
Annual change	Overall index	1993M02	4.0
Annual change	Overall index	1993M01	4.7
Annual change	Overall index	1992M12	5.3
Annual change	Overall index	1992M11	5.1
Annual change	Overall index	1992M10	5.2
Annual change	Overall index	1992M09	5.8
Annual change	Overall index	1992M08	5.8
Annual change	Overall index	1992M07	5.2
Annual change	Overall index	1992M06	6.2
Annual change	Overall index	1992M05	6.5
Annual change	Overall index	1992M04	6.5
Annual change	Overall index	1992M03	6.9
Annual change	Overall index	1992M02	6.8
Annual change	Overall index	1992M01	6.0
Annual change	Overall index	1991M12	5.5
Annual change	Overall index	1991M11	5.7
Annual change	Overall index	1991M10	5.5
Annual change	Overall index	1991M09	5.7
Annual change	Overall index	1991M08	6.0
Annual change	Overall index	1991M07	6.1
Annual change	Overall index	1991M06	6.2
Annual change	Overall index	1991M05	6.2
Annual change	Overall index	1991M04	5.9
Annual change	Overall index	1991M03	5.9
Annual change	Overall index	1991M02	5.9
Annual change	Overall index	1991M01	6.7
Annual change	Overall index	1990M12	6.5
Annual change	Overall index	1990M11	6.7
Annual change	Overall index	1990M10	7.0
Annual change	Overall index	1990M09	6.5
Annual change	Overall index	1990M08	6.5
Annual change	Overall index	1990M07	6.3
Annual change	Overall index	1990M06	6.5
Annual change	Overall index	1990M05	6.8
Annual change	Overall index	1990M04	7.0
Annual change	Overall index	1990M03	7.0
Annual change	Overall index	1990M02	7.3
Annual change	Overall index	1990M01	6.7
Annual change	Overall index	1989M12	6.9
Annual change	Overall index	1989M11	7.3
Annual change	Overall index	1989M10	7.1
Annual change	Overall index	1989M09	6.8
Annual change	Overall index	1989M08	6.6
Annual change	Overall index	1989M07	7.4
Annual change	Overall index	1989M06	7.1
Annual change	Overall index	1989M05	6.9
Annual change	Overall index	1989M04	6.7
Annual change	Overall index	1989M03	6.1
Annual change	Overall index	1989M02	6.2
Annual change	Overall index	1989M01	6.4
Annual change	Overall index	1988M12	5.8
Annual change	Overall index	1988M11	5.4
Annual change	Overall index	1988M10	5.2
Annual change	Overall index	1988M09	5.7
Annual change	Overall index	1988M08	5.8
Annual change	Overall index	1988M07	4.7
Annual change	Overall index	1988M06	4.4
Annual change	Overall index	1988M05	4.0
Annual change	Overall index	1988M04	3.9
Annual change	Overall index	1988M03	4.5
Annual change	Overall index	1988M02	4.3
Annual change	Overall index	1988M01	4.5
Annual change	Overall index	1987M12	4.6
Annual change	Overall index	1987M11	4.7
Annual change	Overall index	1987M10	4.7
Annual change	Overall index	1987M09	4.4
Annual change	Overall index	1987M08	4.6
Annual change	Overall index	1987M07	4.9
Annual change	Overall index	1987M06	4.9
Annual change	Overall index	1987M05	5.8
Annual change	Overall index	1987M04	6.3
Annual change	Overall index	1987M03	6.3
Annual change	Overall index	1987M02	6.0
Annual change	Overall index	1987M01	6.0
Annual change	Overall index	1986M12	8.3
Annual change	Overall index	1986M11	8.2
Annual change	Overall index	1986M10	9.3
Annual change	Overall index	1986M09	9.5
Annual change	Overall index	1986M08	9.5
Annual change	Overall index	1986M07	9.4
Annual change	Overall index	1986M06	8.9
Annual change	Overall index	1986M05	7.8
Annual change	Overall index	1986M04	7.8
Annual change	Overall index	1986M03	8.6
Annual change	Overall index	1986M02	9.0
Annual change	Overall index	1986M01	9.3
Annual change	Overall index	1985M12	8.2
Annual change	Overall index	1985M11	8.5
Annual change	Overall index	1985M10	8.2
Annual change	Overall index	1985M09	8.3
Annual change	Overall index	1985M08	7.3
Annual change	Overall index	1985M07	7.9
Annual change	Overall index	1985M06	8.9
Annual change	Overall index	1985M05	9.9
Annual change	Overall index	1985M04	10.2
Annual change	Overall index	1985M03	9.5
Annual change	Overall index	1985M02	9.7
Annual change	Overall index	1985M01	9.4
Annual change	Overall index	1984M12	9.0
Annual change	Overall index	1984M11	10.0
Annual change	Overall index	1984M10	10.5
Annual change	Overall index	1984M09	11.4
Annual change	Overall index	1984M08	12.0
Annual change	Overall index	1984M07	12.7
Annual change	Overall index	1984M06	11.4
Annual change	Overall index	1984M05	11.3
Annual change	Overall index	1984M04	11.2
Annual change	Overall index	1984M03	12.2
Annual change	Overall index	1984M02	11.9
Annual change	Overall index	1984M01	12.1
Annual change	Overall index	1983M12	12.2
Annual change	Overall index	1983M11	13.0
Annual change	Overall index	1983M10	12.2
Annual change	Overall index	1983M09	11.8
Annual change	Overall index	1983M08	11.0
Annual change	Overall index	1983M07	10.3
Annual change	Overall index	1983M06	11.3
Annual change	Overall index	1983M05	11.8
Annual change	Overall index	1983M04	12.9
Annual change	Overall index	1983M03	12.8
Annual change	Overall index	1983M02	13.3
Annual change	Overall index	1983M01	13.6
Annual change	Overall index	1982M12	14.0
Annual change	Overall index	1982M11	13.2
Annual change	Overall index	1982M10	13.8
Annual change	Overall index	1982M09	14.0
Annual change	Overall index	1982M08	14.7
Annual change	Overall index	1982M07	15.3
Annual change	Overall index	1982M06	16.1
Annual change	Overall index	1982M05	15.1
Annual change	Overall index	1982M04	14.0
Annual change	Overall index	1982M03	13.6
Annual change	Overall index	1982M02	14.8
Annual change	Overall index	1982M01	14.5
Annual change	Overall index	1981M12	14.4
Annual change	Overall index	1981M11	14.3
Annual change	Overall index	1981M10	14.4
Annual change	Overall index	1981M09	14.1
Annual change	Overall index	1981M08	14.4
Annual change	Overall index	1981M07	14.3
Annual change	Overall index	1981M06	13.7
Annual change	Overall index	1981M05	15.4
Annual change	Overall index	1981M04	15.6
Annual change	Overall index	1981M03	15.6
Annual change	Overall index	1981M02	14.0
Annual change	Overall index	1981M01	14.4
Annual change	Overall index	1980M12	15.2
Annual change	Overall index	1980M11	15.3
Annual change	Overall index	1980M10	14.4
Annual change	Overall index	1980M09	15.0
Annual change	Overall index	1980M08	15.3
Annual change	Overall index	1980M07	15.1
Annual change	Overall index	1980M06	15.9
Annual change	Overall index	1980M05	15.2
Annual change	Overall index	1980M04	15.7
Annual change	Overall index	1980M03	16.3
Annual change	Overall index	1980M02	16.9
Annual change	Overall index	1980M01	16.8
Annual change	Overall index	1979M12	15.6
Annual change	Overall index	1979M11	15.5
Annual change	Overall index	1979M10	15.7
Annual change	Overall index	1979M09	15.2
Annual change	Overall index	1979M08	14.7
Annual change	Overall index	1979M07	15.5
Annual change	Overall index	1979M06	15.5
Annual change	Overall index	1979M05	15.7
Annual change	Overall index	1979M04	15.5
Annual change	Overall index	1979M03	16.2
Annual change	Overall index	1979M02	16.4
Annual change	Overall index	1979M01	16.7
Annual change	Overall index	1978M12	16.5
Annual change	Overall index	1978M11	15.9
Annual change	Overall index	1978M10	16.3
Annual change	Overall index	1978M09	17.1
Annual change	Overall index	1978M08	17.7
Annual change	Overall index	1978M07	19.5
Annual change	Overall index	1978M06	20.8
Annual change	Overall index	1978M05	22.9
Annual change	Overall index	1978M04	22.7
Annual change	Overall index	1978M03	22.4
Annual change	Overall index	1978M02	23.7
Annual change	Overall index	1978M01	24.4
Annual change	Overall index	1977M12	26.4
Annual change	Overall index	1977M11	26.7
Annual change	Overall index	1977M10	28.0
Annual change	Overall index	1977M09	27.8
Annual change	Overall index	1977M08	28.4
Annual change	Overall index	1977M07	25.4
Annual change	Overall index	1977M06	22.2
Annual change	Overall index	1977M05	18.2
Annual change	Overall index	1977M04	22.5
Annual change	Overall index	1977M03	22.8
Annual change	Overall index	1977M02	22.7
Annual change	Overall index	1977M01	22.2
Annual change	Overall index	1976M12	19.8
Annual change	Overall index	1976M11	20.5
Annual change	Overall index	1976M10	19.0
Annual change	Overall index	1976M09	17.4
Annual change	Overall index	1976M08	17.1
Annual change	Overall index	1976M07	17.9
Annual change	Overall index	1976M06	19.0
Annual change	Overall index	1976M05	20.1
Annual change	Overall index	1976M04	16.2
Annual change	Overall index	1976M03	15.9
Annual change	Overall index	1976M02	14.1
Annual change	Overall index	1976M01	13.9
Annual change	Overall index	1975M12	14.1
Annual change	Overall index	1975M11	13.8
Annual change	Overall index	1975M10	16.2
Annual change	Overall index	1975M09	17.5
Annual change	Overall index	1975M08	17.4
Annual change	Overall index	1975M07	17.5
Annual change	Overall index	1975M06	17.1
Annual change	Overall index	1975M05	17.2
Annual change	Overall index	1975M04	17.3
Annual change	Overall index	1975M03	17.8
Annual change	Overall index	1975M02	19.6
Annual change	Overall index	1975M01	18.8
Annual change	Overall index	1974M12	17.9
Annual change	Overall index	1974M11	17.5
Annual change	Overall index	1974M10	14.5
Annual change	Overall index	1974M09	15.1
Annual change	Overall index	1974M08	15.3
Annual change	Overall index	1974M07	15.3
Annual change	Overall index	1974M06	15.2
Annual change	Overall index	1974M05	16.4
Annual change	Overall index	1974M04	16.6
Annual change	Overall index	1974M03	15.8
Annual change	Overall index	1974M02	14.2
Annual change	Overall index	1974M01	14.0
Annual change	Overall index	1973M12	14.2
Annual change	Overall index	1973M11	13.8
Annual change	Overall index	1973M10	13.9
Annual change	Overall index	1973M09	12.9
Annual change	Overall index	1973M08	12.5
Annual change	Overall index	1973M07	11.9
Annual change	Overall index	1973M06	12.2
Annual change	Overall index	1973M05	10.8
Annual change	Overall index	1973M04	9.7
Annual change	Overall index	1973M03	8.2
Annual change	Overall index	1973M02	8.3
Annual change	Overall index	1973M01	8.1
Annual change	Overall index	1972M12	7.3
Annual change	Overall index	1972M11	7.9
Annual change	Overall index	1972M10	9.2
Annual change	Overall index	1972M09	9.7
Annual change	Overall index	1972M08	9.4
Annual change	Overall index	1972M07	8.5
Annual change	Overall index	1972M06	7.0
Annual change	Overall index	1972M05	7.2
Annual change	Overall index	1972M04	7.4
Annual change	Overall index	1972M03	8.5
Annual change	Overall index	1972M02	8.6
Annual change	Overall index	1972M01	8.6
Annual change	Overall index	1971M12	9.6
Annual change	Overall index	1971M11	8.5
Annual change	Overall index	1971M10	7.4
Annual change	Overall index	1971M09	7.3
Annual change	Overall index	1971M08	6.5
Annual change	Overall index	1971M07	8.0
Annual change	Overall index	1971M06	10.0
Annual change	Overall index	1971M05	10.0
Annual change	Overall index	1971M04	8.6
Annual change	Overall index	1971M03	8.0
Annual change	Overall index	1971M02	7.7
Annual change	Overall index	1971M01	7.4
Annual change	Overall index	1970M12	6.8
Annual change	Overall index	1970M11	7.6
Annual change	Overall index	1970M10	8.3
Annual change	Overall index	1970M09	7.6
Annual change	Overall index	1970M08	7.3
Annual change	Overall index	1970M07	6.0
Annual change	Overall index	1970M06	4.8
Annual change	Overall index	1970M05	3.2
Annual change	Overall index	1970M04	3.9
Annual change	Overall index	1970M03	4.6
Annual change	Overall index	1970M02	4.4
Annual change	Overall index	1970M01	4.2
Annual change	Overall index	1969M12	3.4
Annual change	Overall index	1969M11	3.0
Annual change	Overall index	1969M10	2.8
Annual change	Overall index	1969M09	2.7
Annual change	Overall index	1969M08	2.4
Annual change	Overall index	1969M07	2.1
Annual change	Overall index	1969M06	0.5
Annual change	Overall index	1969M05	2.0
Annual change	Overall index	1969M04	1.6
Annual change	Overall index	1969M03	1.3
Annual change	Overall index	1969M02	1.7
Annual change	Overall index	1969M01	2.4
Annual change	Overall index	1968M12	2.9
Annual change	Overall index	1968M11	2.2
Annual change	Overall index	1968M10	3.6
Annual change	Overall index	1968M09	3.7
Annual change	Overall index	1968M08	4.2
Annual change	Overall index	1968M07	5.6
Annual change	Overall index	1968M06	6.6
Annual change	Overall index	1968M05	5.4
Annual change	Overall index	1968M04	6.1
Annual change	Overall index	1968M03	6.6
Annual change	Overall index	1968M02	6.0
Annual change	Overall index	1968M01	6.8
Annual change	Overall index	1967M12	6.6
Annual change	Overall index	1967M11	7.3
Annual change	Overall index	1967M10	6.9
Annual change	Overall index	1967M09	7.1
Annual change	Overall index	1967M08	6.5
Annual change	Overall index	1967M07	5.1
Annual change	Overall index	1967M06	5.0
Annual change	Overall index	1967M05	6.1
Annual change	Overall index	1967M04	7.3
Annual change	Overall index	1967M03	6.9
Annual change	Overall index	1967M02	6.4
Annual change	Overall index	1967M01	5.5
Annual change	Overall index	1966M12	5.3
Annual change	Overall index	1966M11	5.2
Annual change	Overall index	1966M10	5.6
Annual change	Overall index	1966M09	5.5
Annual change	Overall index	1966M08	6.9
Annual change	Overall index	1966M07	7.2
Annual change	Overall index	1966M06	7.4
Annual change	Overall index	1966M05	6.7
Annual change	Overall index	1966M04	5.6
Annual change	Overall index	1966M03	5.4
Annual change	Overall index	1966M02	6.2
Annual change	Overall index	1966M01	8.1
Annual change	Overall index	1965M12	9.4
Annual change	Overall index	1965M11	10.0
Annual change	Overall index	1965M10	10.2
Annual change	Overall index	1965M09	11.4
Annual change	Overall index	1965M08	11.4
Annual change	Overall index	1965M07	12.6
Annual change	Overall index	1965M06	14.9
Annual change	Overall index	1965M05	17.0
Annual change	Overall index	1965M04	16.8
Annual change	Overall index	1965M03	16.4
Annual change	Overall index	1965M02	15.8
Annual change	Overall index	1965M01	14.0
Annual change	Overall index	1964M12	12.7
Annual change	Overall index	1964M11	11.8
Annual change	Overall index	1964M10	10.6
Annual change	Overall index	1964M09	9.1
Annual change	Overall index	1964M08	7.8
Annual change	Overall index	1964M07	7.3
