chart_id,title,category,primary_source,alt_sources,n_unit_variants_merged,underlying_codes,status
wdi__GC.XPN.INTP.RV,Interest payments (% of revenue),Government Finance,wdi,,1,GC.XPN.INTP.RV.ZS,new
wdi__NE.TRD.GNFS,Trade (% of GDP),Macro / Expenditure & Trade Aggregates,wdi,,1,NE.TRD.GNFS.ZS,new
wdi__TM.VAL.MRCH.R5,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Trade (Imports),wdi,,1,TM.VAL.MRCH.R5.ZS,new
wdi__IT.MLT,Fixed telephone subscriptions,Infrastructure & Technology,wdi,,1,IT.MLT.MAIN,new
wdi__EN.GHG.CO2.LU.MT.CE,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Environment,wdi,,1,EN.GHG.CO2.LU.MT.CE.AR5,new
wdi__SH.STA.WAST.MA,"Prevalence of wasting, weight for height, male (% of children under 5)",Health,wdi,,1,SH.STA.WAST.MA.ZS,new
wdi__SE.TER.CUAT.BA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Education,wdi,,1,SE.TER.CUAT.BA.ZS,new
wdi__SE.ADT.LITR.MA,"Literacy rate, adult male (% of males ages 15 and above)",Education,wdi,,1,SE.ADT.LITR.MA.ZS,new
wdi__GC.TAX.TOTL,Tax revenue (current LCU),Government Finance,wdi,,1,GC.TAX.TOTL.CN,new
wdi__SP.REG.BRTH,Completeness of birth registration (%),Demographics & Population,wdi,,1,SP.REG.BRTH.ZS,new
wdi__BX.GSR.CMCP,"Communications, computer, etc. (% of service exports, BoP)",Balance of Payments (Receipts),wdi,,1,BX.GSR.CMCP.ZS,new
wdi__per_sa_allsa.cov_q4_tot,Coverage of social safety net programs in 4th quintile (% of population),Other (per),wdi,,1,per_sa_allsa.cov_q4_tot,new
wdi__BN.GSR.FCTY,"Net primary income (BoP, current US$)",Balance of Payments (Net),wdi,,1,BN.GSR.FCTY.CD,new
wdi__NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita growth (annual %),Macro / Expenditure & Trade Aggregates,wdi,,1,NE.CON.PRVT.PC.KD.ZG,new
wdi__SE.PRM.CMPT.MA,"Primary completion rate, male (% of relevant age group)",Education,wdi,,1,SE.PRM.CMPT.MA.ZS,new
wdi__SP.POP.3034.FE,"Population ages 30-34, female (% of female population)",Demographics & Population,wdi,,1,SP.POP.3034.FE.5Y,new
wdi__SH.STA.TRAF,"Mortality caused by road traffic injury (per 100,000 population)",Health,wdi,,1,SH.STA.TRAF.P5,new
wdi__SL.AGR.EMPL,Employment in agriculture (% of total employment) (modeled ILO estimate),Labor & Employment,wdi,,1,SL.AGR.EMPL.ZS,new
wdi__CM.MKT.TRAD.GD,"Stocks traded, total value (% of GDP)",Capital Markets,wdi,,1,CM.MKT.TRAD.GD.ZS,new
wdi__SE.TER.CUAT.ST.FE,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",Education,wdi,,1,SE.TER.CUAT.ST.FE.ZS,new
wdi__IS.SHP.GOOD,Container port traffic (TEU: 20 foot equivalent units),Infrastructure (Transport),wdi,,1,IS.SHP.GOOD.TU,new
wdi__SL.EMP.1524.SP.FE.NE,"Employment to population ratio, ages 15-24, female (%) (national estimate)",Labor & Employment,wdi,,1,SL.EMP.1524.SP.FE.NE.ZS,new
wdi__EN.GHG.CO2.LU.FL.MT.CE,Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Environment,wdi,,1,EN.GHG.CO2.LU.FL.MT.CE.AR5,new
wdi__TM.TAX.MRCH.SM.FN,"Tariff rate, most favored nation, simple mean, all products (%)",Trade (Imports),wdi,,1,TM.TAX.MRCH.SM.FN.ZS,new
wdi__SH.PRG,Prevalence of anemia among pregnant women (%),Health,wdi,,1,SH.PRG.ANEM,new
wdi__NY.GNP.PCAP.KD,GNI per capita growth (annual %),Macro / National Accounts,wdi,,1,NY.GNP.PCAP.KD.ZG,new
wdi__GC.LBL.TOTL,"Net incurrence of liabilities, total (current LCU)",Government Finance,wdi,,1,GC.LBL.TOTL.CN,new
wdi__EG.ELC.ACCS.UR,"Access to electricity, urban (% of urban population)",Energy,wdi,,1,EG.ELC.ACCS.UR.ZS,new
wdi__AG.LND.PRCP,Average precipitation in depth (mm per year),Agriculture & Rural Development,wdi,,1,AG.LND.PRCP.MM,new
wdi__SL.TLF.PART.FE,"Part time employment, female (% of total female employment)",Labor & Employment,wdi,,1,SL.TLF.PART.FE.ZS,new
wdi__SL.TLF.ACTI.1524.NE,"Labor force participation rate for ages 15-24, total (%) (national estimate)",Labor & Employment,wdi,,1,SL.TLF.ACTI.1524.NE.ZS,new
wdi__FX.OWN.TOTL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Exchange Rates,wdi,,1,FX.OWN.TOTL.ZS,new
wdi__DT.ODA.ODAT.GI,Net ODA received (% of gross capital formation),External Debt,wdi,,1,DT.ODA.ODAT.GI.ZS,new
wdi__SH.STA.POIS,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",Health,wdi,,1,SH.STA.POIS.P5,new
wdi__SP.POP.7579.MA,"Population ages 75-79, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.7579.MA.5Y,new
wdi__SL.UEM.NEET.FE,"Share of youth not in education, employment or training, female (% of female youth population)",Labor & Employment,wdi,,1,SL.UEM.NEET.FE.ZS,new
wdi__DC.DAC.HUNL,"Net bilateral aid flows from DAC donors, Hungary (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.HUNL.CD,new
wdi__SH.STA.MALN.MA,"Prevalence of underweight, weight for age, male (% of children under 5)",Health,wdi,,1,SH.STA.MALN.MA.ZS,new
wdi__NY.GNP.PCAP.PP,"GNI per capita, PPP (current international $)",Macro / National Accounts,wdi,,2,NY.GNP.PCAP.PP.KD|NY.GNP.PCAP.PP.CD,new
wdi__EN.GHG.N2O.IP.MT.CE,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),Environment,wdi,,1,EN.GHG.N2O.IP.MT.CE.AR5,new
wdi__SP.POP.3539.FE,"Population ages 35-39, female (% of female population)",Demographics & Population,wdi,,1,SP.POP.3539.FE.5Y,new
wdi__SL.EMP.SMGT.FE,Female share of employment in senior and middle management (%),Labor & Employment,wdi,,1,SL.EMP.SMGT.FE.ZS,new
wdi__SP.REG.BRTH.RU,"Completeness of birth registration, rural (%)",Demographics & Population,wdi,,1,SP.REG.BRTH.RU.ZS,new
wdi__SE.PRE.ENRR,"School enrollment, preprimary, male (% gross)",Education,wdi,,2,SE.PRE.ENRR.MA|SE.PRE.ENRR.FE,new
wdi__EG.CFT.ACCS,Access to clean fuels and technologies for cooking (% of population),Energy,wdi,,1,EG.CFT.ACCS.ZS,new
wdi__SP.POP.80UP.FE,"Population ages 80 and above, female (% of female population)",Demographics & Population,wdi,,1,SP.POP.80UP.FE.5Y,new
wdi__TM.TAX.TCOM.SM.FN,"Tariff rate, most favored nation, simple mean, primary products (%)",Trade (Imports),wdi,,1,TM.TAX.TCOM.SM.FN.ZS,new
wdi__GOV_WGI_RQ,Regulatory Quality - Governance score (0-100),Governance (WGI),wdi,,2,GOV_WGI_RQ_EST|GOV_WGI_RQ_SC,new
wdi__FM.LBL.BMNY,Broad money (current LCU),Financial Sector (Monetary),wdi,,2,FM.LBL.BMNY.ZG|FM.LBL.BMNY.CN,new
wdi__SH.STA.ODFC,People practicing open defecation (% of population),Health,wdi,,1,SH.STA.ODFC.ZS,new
wdi__SP.REG.BRTH.UR,"Completeness of birth registration, urban (%)",Demographics & Population,wdi,,1,SP.REG.BRTH.UR.ZS,new
wdi__NY.GDP.MKTP,GDP (current US$),Macro / National Accounts,wdi,,4,NY.GDP.MKTP.CD|NY.GDP.MKTP.KD|NY.GDP.MKTP.CN|NY.GDP.MKTP.KN,new
wdi__NY.GNP.MKTP.CN,GNI: linked series (current LCU),Macro / National Accounts,wdi,,1,NY.GNP.MKTP.CN.AD,new
wdi__SP.POP.TOTL.FE,"Population, female",Demographics & Population,wdi,,2,SP.POP.TOTL.FE.ZS|SP.POP.TOTL.FE.IN,new
wdi__SE.PRM.NINT,Net intake rate in grade 1 (% of official school-age population),Education,wdi,,1,SE.PRM.NINT.ZS,new
wdi__SP.POP.1014.MA,"Population ages 10-14, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.1014.MA.5Y,new
wdi__EG.ELC.ACCS.RU,"Access to electricity, rural (% of rural population)",Energy,wdi,,1,EG.ELC.ACCS.RU.ZS,new
wdi__SL.EMP.SELF.MA,"Self-employed, male (% of male employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.SELF.MA.ZS,new
wdi__EG.ELC.NGAS,Electricity production from natural gas sources (% of total),Energy,wdi,,1,EG.ELC.NGAS.ZS,new
wdi__IP.JRN.ARTC,Scientific and technical journal articles,Intellectual Property,wdi,,1,IP.JRN.ARTC.SC,new
wdi__AG.LND.ARBL,Arable land (hectares),Agriculture & Rural Development,wdi,,2,AG.LND.ARBL.HA|AG.LND.ARBL.ZS,new
wdi__SL.EMP.WORK.MA,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.WORK.MA.ZS,new
wdi__TX.VAL.TRAN.ZS,Transport services (% of commercial service exports),Trade (Exports),wdi,,1,TX.VAL.TRAN.ZS.WT,new
wdi__AG.LND.AGRI,Agricultural land (sq. km),Agriculture & Rural Development,wdi,,2,AG.LND.AGRI.ZS|AG.LND.AGRI.K2,new
wdi__SE.SEC.CMPT.LO,"Lower secondary completion rate, total (% of relevant age group)",Education,wdi,,1,SE.SEC.CMPT.LO.ZS,new
wdi__DT.NFL.NIFC,"IFC, private nonguaranteed (NFL, US$)",External Debt,wdi,,1,DT.NFL.NIFC.CD,new
wdi__SL.UEM.TOTL.FE.NE,"Unemployment, female (% of female labor force) (national estimate)",Labor & Employment,wdi,,1,SL.UEM.TOTL.FE.NE.ZS,new
wdi__SH_UHC_FH40,Proportion of population facing large (but non-impoverishing) out-of-pocket health expenditure (%),Health,wdi,,4,SH_UHC_FH40_PUSHED|SH_UHC_FH40_FURTHER|SH_UHC_FH40_LARGE|SH_UHC_FH40_IMPOV,new
wdi__BX.GSR.GNFS,"Exports of goods and services (BoP, current US$)",Balance of Payments (Receipts),wdi,,1,BX.GSR.GNFS.CD,new
wdi__TM.TAX.TCOM.SM.AR,"Tariff rate, applied, simple mean, primary products (%)",Trade (Imports),wdi,,1,TM.TAX.TCOM.SM.AR.ZS,new
wdi__EN.GHG.CH4.BU.MT.CE,Methane (CH4) emissions from Building (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CH4.BU.MT.CE.AR5,new
wdi__BX.GRT.TECH.CD,"Technical cooperation grants (BoP, current US$)",Balance of Payments (Receipts),wdi,,1,BX.GRT.TECH.CD.WD,new
wdi__SH.XPD.PVTD.CH,Domestic private health expenditure (% of current health expenditure),Health,wdi,,1,SH.XPD.PVTD.CH.ZS,new
wdi__ST.INT.TRNX,"International tourism, expenditures for passenger transport items (current US$)",Tourism & Trade Services,wdi,,1,ST.INT.TRNX.CD,new
wdi__SH.SGR.IRSK,Risk of impoverishing expenditure for surgical care (% of people at risk),Health,wdi,,1,SH.SGR.IRSK.ZS,new
wdi__DC.DAC.FRAL,"Net bilateral aid flows from DAC donors, France (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.FRAL.CD,new
wdi__SH.STA.BASS.RU,"People using at least basic sanitation services, rural (% of rural population)",Health,wdi,,1,SH.STA.BASS.RU.ZS,new
wdi__DC.DAC.TOTL,"Net bilateral aid flows from DAC donors, Total (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.TOTL.CD,new
wdi__AG.CON.FERT,Fertilizer consumption (kilograms per hectare of arable land),Agriculture & Rural Development,wdi,,1,AG.CON.FERT.ZS,new
wdi__NV.MNF.TECH.ZS,Medium and high-tech manufacturing value added (% manufacturing value added),Industry / Value Added by Sector,wdi,,1,NV.MNF.TECH.ZS.UN,new
wdi__MS.MIL.XPND,Military expenditure (current LCU),Military Expenditure,wdi,,3,MS.MIL.XPND.ZS|MS.MIL.XPND.CN|MS.MIL.XPND.CD,new
wdi__SL.UEM.NEET,"Share of youth not in education, employment or training, total (% of youth population)",Labor & Employment,wdi,,1,SL.UEM.NEET.ZS,new
wdi__EN.GHG.ALL.MT.CE,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Environment,wdi,,1,EN.GHG.ALL.MT.CE.AR5,new
wdi__TX.VAL.MRCH.AL,Merchandise exports to economies in the Arab World (% of total merchandise exports),Trade (Exports),wdi,,1,TX.VAL.MRCH.AL.ZS,new
wdi__DC.DAC.NORL,"Net bilateral aid flows from DAC donors, Norway (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.NORL.CD,new
wdi__SL.EMP.MPYR.MA,"Employers, male (% of male employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.MPYR.MA.ZS,new
wdi__TM.TAX.MRCH.SM.AR,"Tariff rate, applied, simple mean, all products (%)",Trade (Imports),wdi,,1,TM.TAX.MRCH.SM.AR.ZS,new
wdi__SH.DYN.NCOM.FE,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",Health,wdi,,1,SH.DYN.NCOM.FE.ZS,new
wdi__NV.IND.TOTL.KD,"Industry (including construction), value added (annual % growth)",Industry / Value Added by Sector,wdi,,1,NV.IND.TOTL.KD.ZG,new
wdi__SE.XPD.TERT,Expenditure on tertiary education (% of government expenditure on education),Education,wdi,,1,SE.XPD.TERT.ZS,new
wdi__NY.ADJ.SVNX,"Adjusted net savings, excluding particulate emission damage (current US$)",Macro / National Accounts,wdi,,1,NY.ADJ.SVNX.CD,new
wdi__DC.DAC.JPNL,"Net bilateral aid flows from DAC donors, Japan (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.JPNL.CD,new
wdi__SL.EMP.VULN,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.VULN.ZS,new
wdi__SH.STA.MALN,"Prevalence of underweight, weight for age (% of children under 5)",Health,wdi,,1,SH.STA.MALN.ZS,new
wdi__EG.USE.COMM.FO,Fossil fuel energy consumption (% of total),Energy,wdi,,1,EG.USE.COMM.FO.ZS,new
wdi__TM.VAL.MRCH.R2,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Trade (Imports),wdi,,1,TM.VAL.MRCH.R2.ZS,new
wdi__HD_HCIP_OVRL,"Human capital index plus (HCI+): overall score, male (scale 0–325)",Human Capital,wdi,,3,HD_HCIP_OVRL_FE|HD_HCIP_OVRL_TO|HD_HCIP_OVRL_MA,new
wdi__SL.UEM.ADVN,Unemployment with advanced education (% of total labor force with advanced education),Labor & Employment,wdi,,1,SL.UEM.ADVN.ZS,new
wdi__EN.CLC.MDAT,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Environment,wdi,,1,EN.CLC.MDAT.ZS,new
wdi__DC.DAC.IRLL,"Net bilateral aid flows from DAC donors, Ireland (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.IRLL.CD,new
wdi__DT.DOD.DSTC.IR,Short-term debt (% of total reserves),External Debt,wdi,,1,DT.DOD.DSTC.IR.ZS,new
wdi__VC.IDP,"Internally displaced persons, new displacement associated with disasters (number of cases)",Conflict & Violence,wdi,,1,VC.IDP.NWDS,new
wdi__SL.TLF.CACT.FE.NE,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",Labor & Employment,wdi,,1,SL.TLF.CACT.FE.NE.ZS,new
wdi__SH.STA.DIAB,Diabetes prevalence (% of population ages 20 to 79),Health,wdi,,1,SH.STA.DIAB.ZS,new
wdi__SE.PRM.PRSL.MA,"Persistence to last grade of primary, male (% of cohort)",Education,wdi,,1,SE.PRM.PRSL.MA.ZS,new
wdi__TX.VAL.MANF.ZS,Manufactures exports (% of merchandise exports),Trade (Exports),wdi,,1,TX.VAL.MANF.ZS.UN,new
wdi__AG.PRD.CROP,Crop production index (2014-2016 = 100),Agriculture & Rural Development,wdi,,1,AG.PRD.CROP.XD,new
wdi__DT.TDS.DPPG,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",External Debt,wdi,,1,DT.TDS.DPPG.CD,new
wdi__EG.USE.ELEC.KH,Electric power consumption (kWh per capita),Energy,wdi,,1,EG.USE.ELEC.KH.PC,new
wdi__SP.POP.0004.MA,"Population ages 00-04, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.0004.MA.5Y,new
wdi__SH.MED.PHYS,"Physicians (per 1,000 people)",Health,wdi,,1,SH.MED.PHYS.ZS,new
wdi__SH.STA.SMSS.UR,"People using safely managed sanitation services, urban (% of urban population)",Health,wdi,,1,SH.STA.SMSS.UR.ZS,new
wdi__SE.TER.CUAT.MS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Education,wdi,,1,SE.TER.CUAT.MS.ZS,new
wdi__BM.GSR.GNFS,"Imports of goods and services (BoP, current US$)",Balance of Payments (Payments),wdi,,1,BM.GSR.GNFS.CD,new
wdi__NY.TRF.NCTR,Net secondary income (Net current transfers from abroad) (current LCU),Macro / National Accounts,wdi,,3,NY.TRF.NCTR.KN|NY.TRF.NCTR.CN|NY.TRF.NCTR.CD,new
wdi__NY.TAX.NIND,Taxes less subsidies on products (current LCU),Macro / National Accounts,wdi,,3,NY.TAX.NIND.CN|NY.TAX.NIND.KN|NY.TAX.NIND.CD,new
wdi__TX.VAL.AGRI.ZS,Agricultural raw materials exports (% of merchandise exports),Trade (Exports),wdi,,1,TX.VAL.AGRI.ZS.UN,new
wdi__NY.GDP.COAL.RT,Coal rents (% of GDP),Macro / National Accounts,wdi,,1,NY.GDP.COAL.RT.ZS,new
wdi__EN.GHG.N2O.TR.MT.CE,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.N2O.TR.MT.CE.AR5,new
wdi__NY.ADJ.DPEM.GN,Adjusted savings: particulate emission damage (% of GNI),Macro / National Accounts,wdi,,1,NY.ADJ.DPEM.GN.ZS,new
wdi__TX.UVI.MRCH.XD,Export unit value index (2015 = 100),Trade (Exports),wdi,,1,TX.UVI.MRCH.XD.WD,new
wdi__SH.ALC.PCAP.FE,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",Health,wdi,,1,SH.ALC.PCAP.FE.LI,new
wdi__NY.ADJ.SVNG,"Adjusted net savings, including particulate emission damage (current US$)",Macro / National Accounts,wdi,,1,NY.ADJ.SVNG.CD,new
wdi__SE.SEC.CMPT.LO.MA,"Lower secondary completion rate, male (% of relevant age group)",Education,wdi,,1,SE.SEC.CMPT.LO.MA.ZS,new
wdi__DT.NFL.UNCF,"Net official flows from UN agencies, UNICEF (current US$)",External Debt,wdi,,1,DT.NFL.UNCF.CD,new
wdi__FM.AST.PRVT.GD,Monetary Sector credit to private sector (% GDP),Financial Sector (Monetary),wdi,,1,FM.AST.PRVT.GD.ZS,new
wdi__SL.TLF.INTM.MA,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",Labor & Employment,wdi,,1,SL.TLF.INTM.MA.ZS,new
wdi__per_allsp.ben_q1_tot,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),Other (per),wdi,,1,per_allsp.ben_q1_tot,new
wdi__TM.TAX.MANF.WM.FN,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",Trade (Imports),wdi,,1,TM.TAX.MANF.WM.FN.ZS,new
wdi__SL.UEM.1524.FE,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.UEM.1524.FE.ZS,new
wdi__TX.VAL.MRCH.XD,Export value index (2015 = 100),Trade (Exports),wdi,,1,TX.VAL.MRCH.XD.WD,new
wdi__AG.PRD.LVSK,Livestock production index (2014-2016 = 100),Agriculture & Rural Development,wdi,,1,AG.PRD.LVSK.XD,new
wdi__SP.POP.4549.MA,"Population ages 45-49, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.4549.MA.5Y,new
wdi__NY.GDP.NGAS.RT,Natural gas rents (% of GDP),Macro / National Accounts,wdi,,1,NY.GDP.NGAS.RT.ZS,new
wdi__IC.BUS,New businesses registered (number),Business & Investment Climate,wdi,,1,IC.BUS.NREG,new
wdi__SH.TBS.CURE,Tuberculosis treatment success rate (% of new cases),Health,wdi,,1,SH.TBS.CURE.ZS,new
wdi__NE.CON.PRVT,Households and NPISHs final consumption expenditure (% of GDP),Macro / Expenditure & Trade Aggregates,wdi,,5,NE.CON.PRVT.CD|NE.CON.PRVT.KN|NE.CON.PRVT.KD|NE.CON.PRVT.CN|NE.CON.PRVT.ZS,new
wdi__SE.SEC.UNER.LO,Adolescents out of school (% of lower secondary school age),Education,wdi,,1,SE.SEC.UNER.LO.ZS,new
wdi__NY.ADJ.DNGY.GN,Adjusted savings: energy depletion (% of GNI),Macro / National Accounts,wdi,,1,NY.ADJ.DNGY.GN.ZS,new
wdi__SL.EMP.WORK.FE,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.WORK.FE.ZS,new
wdi__SL.EMP.TOTL.SP.FE.NE,"Employment to population ratio, 15+, female (%) (national estimate)",Labor & Employment,wdi,,1,SL.EMP.TOTL.SP.FE.NE.ZS,new
wdi__SH.H2O.SMDW.RU,"People using safely managed drinking water services, rural (% of rural population)",Health,wdi,,1,SH.H2O.SMDW.RU.ZS,new
wdi__SP.POP.6569.MA,"Population ages 65-69, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.6569.MA.5Y,new
wdi__GOV_WGI_VA,Voice and Accountability - Governance score (0-100),Governance (WGI),wdi,,2,GOV_WGI_VA_SC|GOV_WGI_VA_EST,new
wdi__DT.ODA.ODAT,Net official development assistance received (current US$),External Debt,wdi,,2,DT.ODA.ODAT.KD|DT.ODA.ODAT.CD,new
wdi__SL.EMP.TOTL.SP.FE,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.TOTL.SP.FE.ZS,new
wdi__SI.DST.02ND,Income share held by second 20%,Poverty & Inequality,wdi,,1,SI.DST.02ND.20,new
wdi__SH.DTH.NCOM,"Cause of death, by non-communicable diseases (% of total)",Health,wdi,,1,SH.DTH.NCOM.ZS,new
wdi__SH_UHC,UHC service coverage index,Health,wdi,,2,SH_UHC_SCI|SH_UHC_FH40,new
wdi__DT.NFL.MLAT,"Net financial flows, multilateral (NFL, current US$)",External Debt,wdi,,1,DT.NFL.MLAT.CD,new
wdi__EG.CFT.ACCS.RU,"Access to clean fuels and technologies for cooking, rural (% of rural population)",Energy,wdi,,1,EG.CFT.ACCS.RU.ZS,new
wdi__EN.GHG.CH4.PI.MT.CE,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CH4.PI.MT.CE.AR5,new
wdi__SL.UEM.TOTL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.UEM.TOTL.ZS,new
wdi__SE.XPD.TERT.PC,"Government expenditure per student, tertiary (% of GDP per capita)",Education,wdi,,1,SE.XPD.TERT.PC.ZS,new
wdi__SE.SEC.ENRR,"School enrollment, secondary, male (% gross)",Education,wdi,,2,SE.SEC.ENRR.FE|SE.SEC.ENRR.MA,new
wdi__DC.DAC.AUTL,"Net bilateral aid flows from DAC donors, Austria (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.AUTL.CD,new
wdi__DC.DAC.KORL,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.KORL.CD,new
wdi__AG.SRF.TOTL,Surface area (sq. km),Agriculture & Rural Development,wdi,,1,AG.SRF.TOTL.K2,new
wdi__SE.XPD.PRIM.PC,"Government expenditure per student, primary (% of GDP per capita)",Education,wdi,,1,SE.XPD.PRIM.PC.ZS,new
wdi__FP.CPI,Consumer price index (2010 = 100),Prices & Inflation,wdi,,1,FP.CPI.TOTL,new
wdi__SE.XPD.CSEC,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",Education,wdi,,1,SE.XPD.CSEC.ZS,new
wdi__ST.INT.XPND,"International tourism, expenditures (current US$)",Tourism & Trade Services,wdi,,1,ST.INT.XPND.CD,new
wdi__TM.VAL.MRCH.OR,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Trade (Imports),wdi,,1,TM.VAL.MRCH.OR.ZS,new
wdi__EN.GHG.CH4.IC.MT.CE,Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CH4.IC.MT.CE.AR5,new
wdi__DC.DAC.NZLL,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.NZLL.CD,new
wdi__NY.GDY.TOTL,Gross domestic income (constant LCU),Macro / National Accounts,wdi,,1,NY.GDY.TOTL.KN,new
wdi__BN.CAB.XOKA.GD,Current account balance (% of GDP),Balance of Payments (Net),wdi,,1,BN.CAB.XOKA.GD.ZS,new
wdi__NE.IMP.GNFS.KD,Imports of goods and services (annual % growth),Macro / Expenditure & Trade Aggregates,wdi,,1,NE.IMP.GNFS.KD.ZG,new
wdi__SE.ENR.TERT.FM,"School enrollment, tertiary (gross), gender parity index (GPI)",Education,wdi,,1,SE.ENR.TERT.FM.ZS,new
wdi__SL.UEM.INTM,Unemployment with intermediate education (% of total labor force with intermediate education),Labor & Employment,wdi,,1,SL.UEM.INTM.ZS,new
wdi__SP.POP.0014.TO,Population ages 0-14 (% of total population),Demographics & Population,wdi,,1,SP.POP.0014.TO.ZS,new
wdi__NE.CON.TOTL.KD,Final consumption expenditure (annual % growth),Macro / Expenditure & Trade Aggregates,wdi,,1,NE.CON.TOTL.KD.ZG,new
wdi__SL.UEM.1524,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.UEM.1524.ZS,new
wdi__NY.GDP.TOTL.RT,Total natural resources rents (% of GDP),Macro / National Accounts,wdi,,1,NY.GDP.TOTL.RT.ZS,new
wdi__EN.GHG.CH4.TR.MT.CE,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CH4.TR.MT.CE.AR5,new
wdi__SH.SGR.CRSK,Risk of catastrophic expenditure for surgical care (% of people at risk),Health,wdi,,1,SH.SGR.CRSK.ZS,new
wdi__SH.XPD.GHED.GD,Domestic general government health expenditure (% of GDP),Health,wdi,,1,SH.XPD.GHED.GD.ZS,new
wdi__per_sa_allsa.cov_q3_tot,Coverage of social safety net programs in 3rd quintile (% of population),Other (per),wdi,,1,per_sa_allsa.cov_q3_tot,new
wdi__AG.PRD.CREL,Cereal production (metric tons),Agriculture & Rural Development,wdi,,1,AG.PRD.CREL.MT,new
wdi__SP.DYN.TO65.FE,"Survival to age 65, female (% of cohort)",Demographics & Population,wdi,,1,SP.DYN.TO65.FE.ZS,new
wdi__DT.DOD.DIMF,"Use of IMF credit (DOD, current US$)",External Debt,wdi,,1,DT.DOD.DIMF.CD,new
wdi__LP.LPI.LOGS,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),Logistics Performance,wdi,,1,LP.LPI.LOGS.XQ,new
wdi__CM.MKT,"Stocks traded, turnover ratio of domestic shares (%)",Capital Markets,wdi,,1,CM.MKT.TRNR,new
wdi__SP.REG.DTHS,Completeness of death registration with cause-of-death information (%),Demographics & Population,wdi,,1,SP.REG.DTHS.ZS,new
