"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,

"2. Population by sex, residence, and intercensal rates of increase for total population, each census: 1948-1997",,,,,,,,,,,,,,,,,,
"Population selon le sexe, résidence et taux d'accroissement intercensitaire pour la population totale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,

"Continent, country or area and date",,,Source[a],Enumerated population,,,,,,Annual rate,,Urban population,,,,Rural population,,
,Aruba,,,,,,,,,,,,,,,,,
,,1 II 1981,Cdj,60312,,29340,,30972,,[...],,[...],,[...],,[...],,[...] 
,,6 X 1991,Cdj,66687,,32821,,33866,,1,,[...],,[...],,[...],,[...] 
,Bahamas,,,,,,,,,,,,,,,,,
,,6 XII 1953,Cdf,84841,,39338,,45503,,[...],,[...],,[...],,[...],,[...] 
,,15 XI 1963,Cdf,136368,,[...],,[...],,4.7,,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,175192,,87433,,87759,,3.6,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,223455,,108976,,114479,,2.4,,[...],,[...],,[...],,[...] 
,,1 V 1990,Cdf,255095,,124992,,130103,,1.3,,213094,,83.5,,42001,,16.5
,Barbados - Barbade,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdj,232327,,105519,,126808,,[...],,11452,,4.9,,220875,,95.1
,,7 IV 1970,Cdf,237701,,112034,,125667,,[...],,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,252029,,119665,,132364,,0.6,,[...],,[...],,[...],,[...] 
,,2 V 1990,Cdf,257082,,[...],,[...],,0.2,,[...],,[...],,[...],,[...] 
,Belize,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,90121,,44463,,45658,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,120936,,60737,,60199,,2.9,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,145353,,73617,,71736,,1.8,,75152,,51.7,,70201,,48.3
,,12 V 1991,Cdf,189774,,96289,,93485,,2.4,,89761,,47.3,,100013,,52.7
,Bermuda - Bermudes,,,,,,,,,,,,,,,,,
,,22 X 1950,Cdf,38530,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,23 X 1960,Cdj,42640,,21233,,21407,,[...],,[...],,[...],,[...],,[...] 
,,29 X 1970,Cdf,58525,,29430,,29095,,[...],,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,67761,,33621,,34140,,1.5,,[...],,[...],,[...],,[...] 
,,20 V 1991,Cdf,74837,,[...],,[...],,0.9,,[...],,[...],,[...],,[...] 
,British Virgin Islands - Iles Vierges britanniques,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,7340,,3554,,3786,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,10030,,5316,,4714,,3.1,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,11697,,[...],,[...],,1.5,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,17809,,[...],,[...],,3.8,,[...],,[...],,[...],,[...] 
,Canada,,,,,,,,,,,,,,,,,
,,1 VI 1951,Cdj,14009429,,7088873,,6920556,,[...],,8817637,,62.9,,5191792,,37.1
,,1 VI 1956,Cdj,16080791,,8151879,,7928912,,2.8,,10714855,,66.6,,5365936,,33.4
,,1 VI 1961,Cdj,18238247,,9218893,,9019354,,2.5,,12700390,,69.6,,5537857,,30.4
,,1 VI 1966,Cdj,20014880,,10054344,,9960536,,1.9,,14726759,,73.6,,5288121,,26.4
,,1 VI 1971,Cdj,21568310,,10795370,,10772940,,1.5,,16410785,,76.1,,5157525,,23.9
,,1 VI 1976,Cdj,22992605,,11449525,,11543080,,1.3,,17366970,,75.5,,5625635,,24.5
,,3 VI 1981,Cdj,24343180,,12068290,,12274890,,1.1,,18435925,,75.7,,5907255,,24.3
,,3 VI 1986,Cdj,25309330,,12485650,,12823680,,0.8,,19352085,,76.5,,5957245,,23.5
,,4 VI 1991,Cdj,27296860,,13454580,,13842280,,1.5,,20906875,,76.6,,6389985,,23.4
,,14 V 1996,Cdj,28846760,,14170025,,14676735,,1.1,,[...],,[...],,[...],,[...] 
,Cayman Islands - Iles Caïmanes [22],,,,,,,,,,,,,,,,,
,,IV 1954,Sdf,7503,,2971,,4532,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1960,Cdf,7622,,3133,,4489,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,10460,,4973,,5487,,3.2,,[...],,[...],,[...],,[...] 
,,8 X 1979,Cdf,16677,,8113,,8564,,5.2,,[...],,[...],,[...],,[...] 
,,15 X 1989,Cdf,25355,,12372,,12983,,4.2,,[...],,[...],,[...],,[...] 
,Costa Rica [23],,,,,,,,,,,,,,,,,
,,22 V 1950,Cdj,856220,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 IV 1963,Cdj,1336274,,668957,,667317,,3.4,,460543,,34.5,,875731,,65.5
,,14 V 1973,Cdj,1871780,,938535,,933245,,3.4,,760079,,40.6,,1111701,,59.4
,,10 VI 1984,Cdj,2416809,,1208216,,1208593,,2.3,,1075254,,44.5,,1341555,,55.5
,Cuba,,,,,,,,,,,,,,,,,
,,28 I 1953,Cdf,5829029,,2985155,,2843874,,[...],,3324628,,57,,2504401,,43
,,6 IX 1970,Cdf,8569121,,4392970,,4176151,,2.3,,5169420,,60.3,,3399701,,39.7
,,11 IX 1981,Cdf,9723605,,4914873,,4808732,,1.1,,6712030,,69,,3011575,,31
,Dominica - Dominique,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,59916,,28167,,31749,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,70513,,33581,,36932,,1.6,,[...],,[...],,[...],,[...] 
,,7 IV 1981,Cdf,74625,,[...],,[...],,0.5,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,71794,,35927,,35867,,-0.4,,[...],,[...],,[...],,[...] 
,Dominican Republic - République dominicaine,,,,,,,,,,,,,,,,,
,,6 VIII 1950,Cdf,2135872,,1070742,,1065130,,[...],,508408,,23.8,,1627464,,76.2
,,7 VIII 1960,Cdf,3047070,,1535820,,1511250,,3.6,,922090,,30.3,,2124980,,69.7
,,9 I 1970,Cdf,4006405,,1998990,,2007415,,2.7,,1593235,,39.8,,2413170,,60.2
,,12 XII 1981,Cdf,5545741,,2793884,,2751857,,3,,2881879,,52,,2663862,,48
,,24 IX 1993,Cdf,7293390,,[...],,[...],,2.3,,[...],,[...],,[...],,[...] 
,El Salvador,,,,,,,,,,,,,,,,,
,,13 VI 1950,Cdf,1855917,,918469,,937448,,[...],,677167,,36.5,,1178750,,63.5
,,2 V 1961,Cdf,2510984,,1236728,,1274256,,2.7,,979970,,39,,1531014,,61
,,28 VI 1971,Cdf,3554648,,1763190,,1791458,,3.5,,1405532,,39.5,,2149116,,60.5
,,27 IX 1992,Cdf,5118599,,2485613,,2632986,,1.7,,2581834,,50.4,,2536765,,49.6
,Greenland - Groenland,,,,,,,,,,,,,,,,,
,,31 XII 1951,Cdj,24118,,11825,,12293,,[...],,[...],,[...],,[...],,[...] 
,,31 XII 1955,Cdj,26933,,13473,,13460,,2.8,,[...],,[...],,[...],,[...] 
,,31 XII 1960,Cdj,33140,,16780,,16360,,4.1,,24784,,74.8,,8356,,25.2
,,31 XII 1965,Cdj,39600,,20354,,19246,,3.6,,26469,,66.8,,13131,,33.2
,,31 XII 1970,Cdj,46531,,24416,,22115,,3.2,,34103,,73.3,,12428,,26.7
,,26 X 1976,Cdj,49630,,26856,,22774,,1.1,,37061,,74.7,,12569,,25.3
,Grenada - Grenade,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,88677,,40660,,48017,,[...],,13098,,14.8,,75579,,85.2
,,7 IV 1970,Cdf,92775,,[...],,[...],,0.5,,[...],,[...],,[...],,[...] 
,,30 IV 1981,Cdf,89088,,42943,,46145,,-0.4,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,85123,,41893,,43230,,-0.5,,[...],,[...],,[...],,[...] 
,Guadeloupe,,,,,,,,,,,,,,,,,
,,9 X 1961,Cdj,283223,,138436,,144787,,[...],,90712,,32,,192511,,68
,,16 X 1967,Cdj,312724,,153462,,159262,,1.7,,[...],,[...],,[...],,[...] 
,,16 X 1974,Cdj,323786,,158377,,165409,,0.5,,[...],,[...],,[...],,[...] 
,,9 III 1982,Cdj,327002,,160112,,166890,,0.1,,[...],,[...],,[...],,[...] 
,,15 III 1990,Cdj,387034,,189187,,197847,,2.1,,[...],,[...],,[...],,[...] 
,Guatemala,,,,,,,,,,,,,,,,,
,,18 IV 1950,Cdf,2790868,,1410775,,1380093,,[...],,696458,,25,,2094410,,75
,,18 IV 1964,Cdf,4287997,,2172456,,2115541,,3.1,,1441711,,33.6,,2846286,,66.4
,,26 III 1973,Cdj,5160221,,2589264,,2570957,,[...],,1878191,,36.4,,3282030,,63.6
,,23 III 1981,Cdj,6054227,,3015826,,3038401,,2,,1980533,,32.7,,4073694,,67.3
,,17 IV 1994,Cdj,8322051,,[...],,[...],,2.4,,[...],,[...],,[...],,[...] 
,Haiti - Haïti [24],,,,,,,,,,,,,,,,,
,,7 VIII 1950,Cdj,3097304,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,31 VIII 1971,Cdj,4329991,,2089845,,2240146,,1.6,,880551,,20.3,,3449440,,79.7
,,30 VIII 1982,Cdj,5053792,,2448370,,2605422,,1.4,,1241940,,24.6,,3811852,,75.4
,Honduras,,,,,,,,,,,,,,,,,
,,18 VI 1950,Cdf,1368605,,685935,,682670,,[...],,424453,,31,,944152,,69
,,17 IV 1961,Cdf,1884765,,939029,,945736,,2.9,,437818,,23.2,,1446947,,76.8
,,6 III 1974,Cdf,2656948,,1317307,,1339641,,2.6,,833179,,31.4,,1823769,,68.6
,,V 1988,Cdf,4248561,,2110106,,2138455,,3.4,,1674944,,39.4,,2573617,,60.6
,Jamaica - Jamaïque [25],,,,,,,,,,,,,,,,,
,,X 1953,Sdf,1486723,,726550,,760173,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1960,Cdj,1609814,,773439,,836375,,[...],,376520,,23.4,,1233294,,76.6
,,7 IV 1970,Cdj,1813594,,885878,,927716,,1.2,,750951,,41.4,,1062643,,58.6
,,8 VI 1982,Cdf,2205507,,1079640,,1125867,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1991,Cdf,2314479,,1134386,,1180093,,0.5,,1148191,,49.6,,1166288,,50.4
,Martinique,,,,,,,,,,,,,,,,,
,,1 VII 1954,Cdj,239130,,114743,,124387,,[...],,77562,,32.4,,161568,,67.6
,,9 X 1961,Cdj,290679,,140011,,150668,,2.8,,[...],,[...],,[...],,[...] 
,,16 X 1967,Cdj,320030,,155212,,164818,,1.6,,[...],,[...],,[...],,[...] 
,,16 X 1974,Cdj,323790,,156821,,166969,,0.2,,[...],,[...],,[...],,[...] 
,,9 III 1982,Cdj,326717,,158415,,168302,,0.1,,[...],,[...],,[...],,[...] 
,,15 III 1990,Cdj,359579,,173878,,185701,,1.2,,[...],,[...],,[...],,[...] 
,Mexico - Mexique [16],,,,,,,,,,,,,,,,,
,,6 VI 1950,Cdj,25791017,,12696935,,13094082,,[...],,10983483,,42.6,,14807534,,57.4
,,8 VI 1960,Cdj,34923129,,17415320,,17507809,,3,,17705118,,50.7,,17218011,,49.3
,,28 I 1970,Cdj,48225238,,24065614,,24159624,,3.2,,28308556,,58.7,,19916682,,41.3
,,4 VI 1980,Cdj,66846833,,33039307,,33807526,,3.3,,44299729,,66.3,,22547104,,33.7
,,12 III 1990,Cdj,81249645,,39893969,,41355676,,2,,57959721,,71.3,,23289924,,28.7
,Montserrat,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,12108,,5378,,6730,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,11606,,5582,,6024,,-0.4,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,11932,,[...],,[...],,0.3,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,10639,,5290,,5349,,-1,,[...],,[...],,[...],,[...] 
,"Netherlands Antilles - Antilles néerlandaises [16], [26]",,,,,,,,,,,,,,,,,
,,27 VI 1960,Cdj,188914,,92934,,95980,,[...],,[...],,[...],,[...],,[...] 
,,31 XII 1971,Cdj,218390,,106644,,111746,,1.3,,[...],,[...],,[...],,[...] 
,,1 II 1981,Cdj,171620,,82808,,88812,,-2.4,,[...],,[...],,[...],,[...] 
,,27 I 1992,Cdj,189474,,90707,,98767,,0.9,,[...],,[...],,[...],,[...] 
,Nicaragua,,,,,,,,,,,,,,,,,
,,31 V 1950,Cdj,1057023,,520448,,536575,,[...],,369249,,34.9,,687774,,65.1
,,25 IV 1963,Cdj,1535588,,757922,,777666,,2.9,,627292,,40.9,,908296,,59.1
,,20 IV 1971,Cdj,1877952,,921543,,956409,,2.5,,896378,,47.7,,981574,,52.3
,,25 IV 1995,Cdj,4357099,,2147105,,2209994,,3.5,,2370810,,54.4,,1986289,,45.6
,Panama [27],,,,,,,,,,,,,,,,,
,,10 XII 1950,Cdf,805285,,409590,,395695,,[...],,289697,,36,,515588,,64
,,11 XII 1960,Cdf,1075541,,545774,,529767,,2.9,,446213,,41.5,,629328,,58.5
,,10 V 1970,Cdf,1428082,,723749,,704333,,2.8,,679446,,47.6,,748636,,52.4
,,11 V 1980,Cdf,1831399,,928285,,903114,,2.5,,910580,,49.7,,920819,,50.3
,,13 V 1990,Cdf,2329329,,1178790,,1150539,,2.4,,1251555,,53.7,,1077774,,46.3
,Panama: Former Canal Zone - Panama: Ancienne Zone du Canal [28],,,,,,,,,,,,,,,,,
,,1 IV 1950,Cdj,52822,,30729,,22093,,[...],,[...],,[...],,[...],,[...] 
,,1 IV 1960,Cdj,42122,,23278,,18844,,-2.3,,13429,,31.9,,28693,,68.1
,,1 IV 1970,Cdj,44198,,24254,,19944,,0.5,,2569,,5.8,,41629,,94.2
,Puerto Rico - Porto Rico [28],,,,,,,,,,,,,,,,,
,,1 IV 1950,Cdj,2210703,,1110946,,1099757,,[...],,894813,,40.5,,1315890,,59.5
,,1 IV 1960,Cdj,2349544,,1162764,,1186780,,0.6,,1037276,,44.1,,1312268,,55.9
,,1 IV 1970,Cdj,2712033,,1329949,,1382084,,1.4,,1531642,,56.5,,1180391,,43.5
,,1 IV 1980,Cdj,3196520,,1556727,,1639793,,1.6,,2134365,,66.8,,1062155,,33.2
,,1 IV 1990,Cdj,3522037,,1705642,,1816395,,1,,2508346,,71.2,,1013691,,28.8
,Saint Kitts-Nevis - Saint-Kitts-et-Nevis [29],,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdj,56693,,26149,,30544,,[...],,15579,,27.5,,41114,,72.5
,,7 IV 1970,Cdf,45608,,21446,,24162,,[...],,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,44224,,[...],,[...],,-0.3,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,40618,,19933,,20685,,-0.8,,[...],,[...],,[...],,[...] 
,"Saint Lucia - Sainte-Lucie [30], [31]",,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,86108,,40693,,45415,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,100893,,47763,,53130,,1.6,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,115153,,[...],,[...],,1.3,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,135685,,65988,,69697,,1.5,,[...],,[...],,[...],,[...] 
,Saint Pierre and Miquelon - Saint Pierre-et-Miquelon,,,,,,,,,,,,,,,,,
,,14 V 1951,Cdf,4606,,2227,,2379,,[...],,[...],,[...],,[...],,[...] 
,,15 X 1957,Cdj,4822,,2345,,2477,,[...],,[...],,[...],,[...],,[...] 
,,20 IV 1962,Cdf,4990,,2440,,2550,,[...],,[...],,[...],,[...],,[...] 
,,12 VI 1967,Cdf,5186,,2593,,2593,,0.8,,[...],,[...],,[...],,[...] 
,,18 II 1974,Cdf,5840,,2887,,2953,,1.7,,[...],,[...],,[...],,[...] 
,,9 III 1982,Cdf,6037,,2981,,3056,,0.4,,[...],,[...],,[...],,[...] 
,,5 III 1990,Cdf,6392,,[...],,[...],,0.7,,[...],,[...],,[...],,[...] 
,Saint Vincent and the Grenadines - Saint Vincent-et-les Grenadines,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,79948,,37561,,42387,,[...],,10937,,13.7,,69011,,86.3
,,7 IV 1970,Cdf,87305,,41325,,45980,,0.9,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,97914,,[...],,[...],,1.1,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,106499,,53165,,53334,,0.8,,[...],,[...],,[...],,[...] 
,Trinidad and Tobago - Trinité-et-Tobago,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,827957,,411580,,416377,,[...],,144766,,17.5,,683191,,82.5
,,7 IV 1970,Cdf,940719,,465857,,474862,,1.3,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,1079791,,[...],,[...],,1.4,,[...],,[...],,[...],,[...] 
,,2 V 1990,Cdf,1169572,,584445,,585127,,0.8,,[...],,[...],,[...],,[...] 
,Turks and Caicos Islands - Iles Turques et Caïques,,,,,,,,,,,,,,,,,
,,IV 1954,Cdf,5052,,2077,,2975,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1960,Cdf,5716,,2662,,3054,,2.1,,[...],,[...],,[...],,[...] 
,,29 X 1970,Cdf,5607,,2661,,2946,,-0.2,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,7435,,3602,,3833,,2.8,,[...],,[...],,[...],,[...] 
,,31 V 1990,Cdf,12350,,6289,,6061,,5.1,,[...],,[...],,[...],,[...] 
,United States - Etats-Unis [32],,,,,,,,,,,,,,,,,
,,1 IV 1950,Cdj,151325798,,75186606,,76139192,,[...],,[...],,[...],,[...],,[...] 
,,1 IV 1960,Cdj,179323175,,88331494,,90991681,,1.7,,[...],,[...],,[...],,[...] 
,,1 IV 1970,Cdj,203235298,,[...],,[...],,1.3,,[...],,[...],,[...],,[...] 
,,1 IV 1980,Cdj,226545805,,110053161,,116492644,,1.1,,167050992,,73.7,,59494813,,26.3
,,1 IV 1990,Cdj,248709873,,121239418,,127470455,,0.9,,187053487,,75.2,,61656386,,24.8
,United States Virgin Islands - Iles Vierges américaines [28],,,,,,,,,,,,,,,,,
,,1 IV 1950,Cdj,26665,,13075,,13590,,[...],,15581,,58.4,,11084,,41.6
,,1 IV 1960,Cdj,32099,,15930,,16169,,1.9,,18017,,56.1,,14082,,43.9
,,1 IV 1970,Cdj,62468,,31157,,31311,,6.7,,15240,,24.4,,47228,,75.6
,,1 IV 1980,Cdj,96569,,46204,,50365,,4.4,,37730,,39.1,,58839,,60.9
,,1 IV 1990,Cdj,101809,,49210,,52599,,0.5,,[...],,[...],,[...],,[...] 
"AMERICA, SOUTH - AMERIQUE DU SUD",,,,,,,,,,,,,,,,,,
,"Argentina - Argentine [33], [34]",,,,,,,,,,,,,,,,,
,,30 IX 1960,Cdf,20010539,,10005897,,10004642,,[...],,14758341,,73.8,,5252198,,26.2
,,30 IX 1970,Cdf,23362204,,11601155,,11761049,,1.5,,[...],,[...],,[...],,[...] 
,,22 X 1980,Cdf,27947446,,13755983,,14191463,,1.8,,23192892,,83,,4754554,,17
,,15 V 1991,Cdf,32615528,,15937980,,16677548,,1.4,,[...],,[...],,[...],,[...] 
,"Bolivia - Bolivie [35], [36]",,,,,,,,,,,,,,,,,
,,5 IX 1950,Cdf,2704165,,1326099,,1378066,,[...],,1023365,,37.8,,1680800,,62.2
,,29 IX 1976,Cdf,4613486,,2276029,,2337457,,2.1,,1925840,,41.7,,2687646,,58.3
,,3 VI 1992,Cdf,6420792,,3171265,,3249527,,2.1,,3694846,,57.5,,2725946,,42.5
,Brazil - Brésil [37],,,,,,,,,,,,,,,,,
,,1 IX 1950,Cdf,51944397,,25885001,,26059396,,[...],,18782891,,36.2,,33161506,,63.8
,,1 IX 1960,Cdf,70119071,,35010717,,35108354,,3,,32471377,,46.3,,37647694,,53.7
,,1 IX 1970,Cdf,92341556,,45754659,,46586897,,2.8,,51774052,,56.1,,40567504,,43.9
,,1 IX 1980,Cdf,121148582,,60298897,,60849685,,2.7,,[...],,[...],,[...],,[...] 
,,1 IX 1991,Cdj,146825475,,72485122,,74340353,,[...],,110990990,,75.6,,35834485,,24.4
,Chile - Chili [38],,,,,,,,,,,,,,,,,
,,24 IV 1952,Cdf,5932995,,2912558,,3020437,,[...],,3573122,,60.2,,2359873,,39.8
,,29 XI 1960,Cdf,7374115,,3612807,,3761308,,2.7,,5028060,,68.2,,2346055,,31.8
,,22 IV 1970,Cdf,8884768,,4343512,,4541256,,1.9,,6675137,,75.1,,2209631,,24.9
,,21 IV 1982,Cdf,11329736,,5553409,,5776327,,2,,9316120,,82.2,,2013616,,17.8
,,22 IV 1992,Cdf,13348401,,6553254,,6795147,,1.6,,11140405,,83.5,,2207996,,16.5
,Colombia - Colombie [39],,,,,,,,,,,,,,,,,
,,9 V 1951,Cdf,11228509,,5579259,,5649250,,[...],,4441386,,39.6,,6787123,,60.4
,,15 VII 1964,Cdf,17484508,,8614652,,8869856,,3.4,,9093094,,52,,8391414,,48
,,24 X 1973,Cdf,20666920,,10124394,,10542526,,1.9,,12607849,,61,,8059071,,39
,,15 X 1985,Cdf,27837932,,13777700,,14060232,,2.5,,18713553,,67.2,,9124379,,32.8
,,24 X 1993,Cdf,33109840,,16296539,,16813301,,2.2,,23514070,,71,,9595770,,29
,"Ecuador - Equateur [40], [41]",,,,,,,,,,,,,,,,,
,,29 XI 1950,Cdf,3202757,,1594803,,1607954,,[...],,913932,,28.5,,2288825,,71.5
,,25 XI 1962,Cdf,4476007,,2236476,,2239531,,2.8,,1612346,,36,,2863661,,64
,,8 VI 1974,Cdf,6521710,,3258413,,3263297,,3.1,,2698722,,41.4,,3822988,,58.6
,,28 XI 1982,Cdf,8060712,,4021034,,4039678,,2.6,,3968362,,49.2,,4092350,,50.8
,,25 XI 1990,Cdf,9648189,,4796412,,4851777,,2.2,,5345858,,55.4,,4302331,,44.6
,Falkland Islands (Malvinas) - Iles Falkland (Malvinas) [42],,,,,,,,,,,,,,,,,
,,28 III 1953,Cdf,2230,,1135,,1095,,[...],,[...],,[...],,[...],,[...] 
,,18 III 1962,Cdf,2131,,1074,,1057,,-0.5,,[...],,[...],,[...],,[...] 
,,3 XII 1972,Cdf,1957,,1081,,876,,-0.9,,1079,,55.1,,878,,44.9
,,7 XII 1980,Cdf,1855,,1034,,821,,-0.7,,1092,,58.9,,763,,41.1
,,16 XI 1986,Cdf,1878,,994,,884,,0.2,,1231,,65.5,,647,,34.5
,,5 III 1991,Cdf,2050,,1095,,955,,1.8,,1557,,76,,493,,24
,French Guiana - Guyane Française,,,,,,,,,,,,,,,,,
,,1 VII 1954,Cdj,27863,,[...],,[...],,[...],,16038,,57.6,,11825,,42.4
,,9 X 1961,Cdj,33535,,17039,,16496,,2.6,,21634,,64.5,,11901,,35.5
,,16 X 1967,Cdj,44392,,24078,,20314,,4.7,,29511,,66.5,,14881,,33.5
,,16 X 1974,Cdj,54415,,27140,,27275,,2.9,,[...],,[...],,[...],,[...] 
,,9 III 1982,Cdj,73012,,38448,,34564,,3.7,,[...],,[...],,[...],,[...] 
,,15 III 1990,Cdj,114808,,59798,,55010,,5.7,,[...],,[...],,[...],,[...] 
,Guyana,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,560330,,279128,,281202,,[...],,87017,,15.5,,473313,,84.5
,,7 IV 1970,Cdf,701885,,349233,,352652,,2.3,,[...],,[...],,[...],,[...] 
,,12 V 1980,Cdf,758619,,375841,,382778,,0.8,,[...],,[...],,[...],,[...] 
,,12 V 1991,Cdf,701704,,344928,,356776,,-0.7,,[...],,[...],,[...],,[...] 
,Paraguay [43],,,,,,,,,,,,,,,,,
,,28 X 1950,Cdf,1328452,,649109,,679343,,[...],,459726,,34.6,,868726,,65.4
,,14 X 1962,Cdf,1819103,,894164,,924939,,2.6,,651869,,35.8,,1167234,,64.2
,,9 VII 1972,Cdf,2357955,,1169111,,1188844,,2.6,,882345,,37.4,,1475610,,62.6
,,11 VII 1982,Cdf,3029830,,1521409,,1508421,,2.5,,1295345,,42.8,,1734485,,57.2
,,26 VIII 1992,Cdf,4152588,,2085905,,2066683,,3.2,,2089688,,50.3,,2062900,,49.7
,"Peru - Pérou [16], [37]",,,,,,,,,,,,,,,,,
,,2 VII 1961,Cdf,9906746,,4925518,,4981228,,[...],,4698178,,47.4,,5208568,,52.6
,,4 VI 1972,Cdf,13538208,,6784530,,6753678,,2.8,,8058495,,59.5,,5479713,,40.5
,,12 VII 1981,Cdf,17005210,,8489867,,8515343,,2.5,,11091923,,65.2,,5913287,,34.8
,,11 VII 1993,Cdf,22048356,,10956375,,11091981,,2.2,,15458599,,70.1,,6589757,,29.9
,Suriname [44],,,,,,,,,,,,,,,,,
,,31 X 1950,Cdf,183681,,91505,,92176,,[...],,[...],,[...],,[...],,[...] 
,,31 III 1964,Cdf,324211,,161855,,162356,,4.1,,213344,,65.8,,110867,,34.2
,,31 XII 1971,Cdf,384903,,192500,,192403,,2.5,,[...],,[...],,[...],,[...] 
,,1 VII 1980,Cdf,355240,,[...],,[...],,-0.9,,[...],,[...],,[...],,[...] 
,Uruguay [16],,,,,,,,,,,,,,,,,
,,16 X 1963,Cdf,2595510,,1290386,,1305124,,[...],,2097128,,80.8,,498382,,19.2
,,21 V 1975,Cdf,2788429,,1369412,,1419017,,0.6,,2314356,,83,,474073,,17
,,23 X 1985,Cdf,2955241,,1439021,,1516220,,0.6,,2581087,,87.3,,374154,,12.7
,,22 V 1996,Cdf,3163763,,1532288,,1631475,,0.6,,2872077,,90.8,,291686,,9.2
,"Venezuela [37], [45], [46]",,,,,,,,,,,,,,,,,
,,26 XI 1950,Cdf,5034838,,2552491,,2482347,,[...],,2709344,,53.8,,2325494,,46.2
,,26 II 1961,Cdf,7523999,,3821720,,3702279,,3.7,,5073845,,67.4,,2450154,,32.6
,,2 XI 1971,Cdf,10721522,,5349711,,5371811,,3.5,,7834008,,73.1,,2887514,,26.9
,,20 X 1981,Cdf,14516735,,7259812,,7256923,,3,,12208301,,84.1,,2308434,,15.9
,,20 X 1990,Cdf,18105265,,9019757,,9085508,,2.5,,15227740,,84.1,,2877525,,15.9
ASIA - ASIE,,,,,,,,,,,,,,,,,,
,"Afghanistan [47], [48]",,,,,,,,,,,,,,,,,
,,23 VI 1979,Cdf,13051358,,6712377,,6338981,,[...],,2014127,,15.4,,11037231,,84.6
,Armenia - Arménie,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,3037259,,1477899,,1559360,,[...],,1985679,,65.4,,1051580,,34.6
,,12 I 1989,Cdf,3304776,,1619308,,1685468,,0.8,,2222241,,67.2,,1082535,,32.8
,Azerbaijan - Azerbaïdjan,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,6026515,,2933374,,3093141,,[...],,3169962,,52.6,,2856553,,47.4
,,12 I 1989,Cdj,7021178,,3423793,,3597385,,[...],,3805885,,54.2,,3215293,,45.8
,Bahrain - Bahreïn,,,,,,,,,,,,,,,,,
,,3 III 1950,Cdf,109650,,58601,,51049,,[...],,69071,,63,,40579,,37
,,2 V 1959,Cdf,143135,,77622,,65513,,3,,117731,,82.3,,25404,,17.7
,,13 II 1965,Cdf,182203,,99384,,82819,,4,,150095,,82.4,,32108,,17.6
