"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1990,Cdf,C,208138,3914,,14097,,18319,,19509,,16622,,18724,,20712,,18435,,16224,,12552,,9809,,8746,,7604,,7317,,15532,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,22
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1990,Cdf,C,642418,12758,,47233,,66089,,73678,,63678,,64997,,63507,,55728,,48197,,35595,,25659,,21039,,17406,,16818,,30002,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,34
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1990,Cdf,C,321656,6410,,23693,,33427,,37085,,32336,,33483,,32326,,28288,,24496,,17838,,12666,,10209,,8535,,8047,,12803,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,14
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1990,Cdf,C,320762,6348,,23540,,32662,,36593,,31342,,31514,,31181,,27440,,23701,,17757,,12993,,10830,,8871,,8771,,17199,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,20
,"Mauritius, Island of Mauritius - Maurice, Ile Maurice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1949,,Edf,C,480972,14096,,44891,,57602,,53245,,54609,,46996,,37802,,33963,,29443,,26632,,21210,,19753,,13249,,11047,,6654,,4258,,1904,,1160,,662,[=>],[85+],,[85+],,[85+],,1796
,,,29 VI 1952,,Cdf,C,501200,17395,,69334,,64566,,49649,,46434,,42138,,42996,,32392,,30583,,25160,,20572,,17939,,13136,,11633,,7953,,4272,,2346,,1039,,577,[=>],[85+],,[85+],,[85+],,1086
,,,1 VII 1953,,Edf,C,516525,17923,,71461,,66555,,51163,,47856,,43414,,44369,,33368,,31508,,25930,,21177,,18492,,13533,,11984,,8212,,4390,,2427,,1058,,594,[=>],[85+],,[85+],,[85+],,1111
,,,1 VII 1954,,Edf,C,530461,18407,,73388,,68349,,52548,,49146,,44585,,45566,,34267,,32358,,26628,,21748,,18990,,13899,,12307,,8435,,4510,,2493,,1087,,610,[=>],[85+],,[85+],,[85+],,1140
,,,31 XII 1955,,Edf,C,559932,21420,,75620,,79680,,58200,,48340,,45908,,46878,,35321,,33349,,27452,,22455,,19563,,14316,,12666,,8654,,4639,,2541,,1125,,631,[=>],[85+],,[85+],,[85+],,1174
,,,1 VII 1956,,Edf,C,568886,21298,,77072,,81311,,60080,,48667,,46531,,47521,,35808,,33812,,27835,,22769,,19835,,14512,,12834,,8764,,4696,,2572,,1139,,639,[=>],[85+],,[85+],,[85+],,1191
,,,1 VII 1957,,Edf,C,587872,23320,,80752,,84366,,64176,,49514,,50247,,44272,,38377,,33458,,29033,,24887,,20585,,16282,,11980,,7834,,4545,,2416,,1132,,696,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,603500,21600,,83800,,89400,,68950,,50800,,48300,,42800,,44700,,33900,,28400,,25200,,18800,,16400,,11100,,8600,,6300,,2600,,1150,,700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,621200,21700,,86600,,91900,,73400,,53300,,48300,,43500,,44900,,36700,,27800,,26500,,18900,,16700,,11400,,8450,,6500,,2900,,1100,,650,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,638700,22425,,88600,,94000,,77900,,56100,,48600,,44400,,44400,,39400,,28100,,27100,,19600,,16400,,12000,,8400,,6500,,3050,,1100,,625,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1961,,Edf,C,656300,22475,,89400,,98500,,81300,,59350,,48700,,45500,,43150,,41600,,28950,,27700,,20500,,16600,,12500,,8550,,6350,,3350,,1125,,700,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1962,,Cdf,C,681619,23459,,88615,,104629,,91973,,62150,,47297,,44188,,39211,,41867,,31579,,28471,,22604,,18549,,14753,,9682,,6457,,3301,,1613,,906,[=>],[85+],,[85+],,[85+],,315
,,,1 VII 1963,,Edf,C,701450,25150,,93100,,103900,,96000,,69050,,46750,,45650,,38450,,42700,,32400,,28850,,22700,,18800,,15150,,10450,,6750,,3700,,1500,,400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,722100,26300,,94900,,106000,,99800,,72600,,49650,,45600,,38800,,42450,,34600,,28400,,24850,,18900,,15400,,10950,,6900,,3950,,1650,,400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,741050,25400,,97700,,109000,,100550,,77050,,52850,,46500,,39250,,41850,,37150,,27950,,26100,,18550,,16100,,11200,,7550,,4000,,1850,,450,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,759100,25750,,99550,,109900,,100000,,85950,,55750,,45700,,40250,,39800,,39250,,29600,,26050,,19550,,15850,,11850,,7700,,4150,,2000,,450,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,773600,23100,,98650,,112400,,102650,,89950,,60000,,45450,,42750,,37800,,40300,,30150,,26650,,20600,,16250,,12200,,7650,,4400,,2150,,500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,787400,22950,,193000,,114450,,102100,,94100,,66850,,44700,,44100,,37000,,41050,,30950,,27150,,20700,,16600,,12550,,8200,,4650,,2250,,550,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,798700,20800,,92800,,117100,,103800,,97500,,70200,,47300,,43800,,37100,,40600,,33000,,26600,,22700,,16500,,12700,,8500,,4750,,2350,,600,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,C,811300,21700,,88200,,118500,,106300,,97950,,74400,,50400,,44500,,37600,,40100,,35350,,26150,,23800,,16150,,13300,,8500,,5350,,2400,,650,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,822350,19650,,84750,,120650,,107250,,97300,,82950,,53150,,43650,,38550,,38000,,37400,,27750,,23800,,16900,,13000,,9050,,5450,,2400,,700,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1972,,Cdf,C,826199,19531,,81929,,118590,,111235,,100656,,79827,,53174,,42663,,41221,,35991,,38580,,27744,,25081,,18787,,13029,,8715,,4725,,2491,,1379,[=>],[85+],,[85+],,[85+],,851
,,,1 VII 1973,,Edf,C,834781,18565,,78392,,116982,,113296,,101143,,84501,,58266,,41708,,42559,,35175,,39494,,28631,,25420,,19016,,13583,,9401,,5331,,2527,,791,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,845755,20767,,76721,,111445,,115865,,103321,,88403,,60337,,43714,,42164,,35506,,38987,,30746,,24743,,20797,,13829,,9425,,5583,,2617,,785,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edf,C,856516,21351,,75964,,108074,,117368,,105810,,89371,,63524,,45789,,42566,,36266,,38241,,33246,,24110,,21725,,13864,,9783,,5809,,2876,,779,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,867885,20497,,77801,,102560,,119435,,106527,,89971,,71259,,48106,,41857,,37475,,36259,,35418,,25209,,21533,,14693,,9635,,6025,,2851,,774,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,881761,21633,,79194,,99159,,117066,,108968,,94103,,75510,,51340,,41328,,39924,,34452,,36514,,25462,,22012,,15571,,9834,,6059,,2811,,821,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,896471,22876,,82391,,94989,,115455,,110979,,94841,,80479,,56919,,40626,,41332,,33827,,37373,,26052,,22355,,15628,,10160,,6267,,3083,,839,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,911499,23863,,84729,,95631,,110081,,113413,,96380,,85184,,59079,,41929,,41764,,34457,,36904,,28348,,21819,,17145,,10407,,6188,,3313,,865,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,926578,24652,,87385,,95630,,106311,,115041,,99261,,86032,,63325,,44327,,41321,,34810,,36358,,31221,,21431,,18173,,10246,,6648,,3369,,1037,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1981,,Edf,C,939477,23189,,91218,,96125,,101228,,116669,,101682,,85933,,70028,,46783,,40035,,35818,,34388,,33447,,22568,,18478,,10960,,6403,,3600,,925,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,949686,21961,,93167,,98915,,97668,,114277,,102666,,88255,,73916,,49838,,38917,,38188,,32472,,34636,,22609,,19038,,12081,,6483,,3661,,938,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1983,,Edf,C,957301,20061,,92756,,103545,,93575,,112625,,105256,,87991,,77707,,54475,,37609,,39020,,31261,,34483,,23444,,19310,,12485,,6889,,3686,,1123,[=>],[85+],,[85+],,[85+],,-
,,,2 VII 1983,,Cdf,C,966863,19795,,91561,,104156,,94807,,113725,,105300,,89385,,77908,,54782,,40464,,38835,,32198,,34798,,24583,,18659,,12277,,7297,,3669,,2003,[=>],[85+],,[85+],,[85+],,661
,,,1 VII 1984,,Edf,C,977129,19087,,89026,,107240,,94829,,108906,,108459,,92276,,80544,,57473,,43385,,38814,,33121,,33635,,26021,,18366,,12866,,7341,,3765,,1975,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,985210,18315,,83416,,110417,,95205,,105764,,109914,,94576,,81144,,60063,,45825,,39675,,34366,,33208,,28350,,18202,,13423,,7326,,3952,,2069,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1986,,Edf,C,993851,17759,,78141,,113289,,95247,,100801,,112085,,94632,,82667,,68414,,47725,,38974,,36159,,31805,,30243,,18493,,13631,,7547,,4098,,2141,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1987,,Edf,C,1003794,18242,,74241,,114271,,98226,,97121,,109941,,99116,,85095,,72452,,49200,,38482,,38401,,30860,,30571,,19361,,14416,,7400,,4198,,2200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1988,,Edf,C,1016596,19215,,72466,,111231,,103746,,93742,,107363,,102784,,87261,,75737,,52359,,40148,,39362,,31099,,30310,,20545,,14831,,7858,,4053,,2486,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1989,,Edf,C,1026813,20441,,73542,,107047,,107128,,93887,,104312,,104450,,88918,,76563,,54048,,43483,,39327,,31206,,30558,,22268,,14314,,8930,,3818,,2573,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1991,,Edj,C,1035807,97909,[=>],[0-4],,94042,,110746,,94472,,94959,,105171,,92252,,80321,,65649,,44989,,36572,,32178,,28577,,25261,,14927,,9828,,4927,,3027,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1993,,Edj,C,1062810,21564,,82911,,90339,,108077,,101682,,89257,,102993,,96520,,84133,,73648,,51670,,36678,,34284,,27131,,26655,,16292,,10563,,5080,,3333,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1994,,Edj,C,1077946,20647,,84682,,91711,,104147,,104496,,91168,,99873,,99810,,86546,,76629,,54003,,39219,,33833,,27725,,26412,,17657,,10362,,5678,,3348,[=>],[85+],,[85+],,[85+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1949,,Edf,C,243804,7153,,22675,,29297,,27241,,27420,,23555,,18896,,17765,,15654,,14175,,11378,,10186,,6685,,5011,,2885,,1706,,714,,360,,200,[=>],[85+],,[85+],,[85+],,848
,,,29 VI 1952,,Cdf,C,251903,8784,,34952,,32339,,24936,,23349,,20642,,21863,,16755,,16036,,13555,,11167,,9449,,6558,,5314,,3075,,1502,,706,,268,,150,[=>],[85+],,[85+],,[85+],,503
,,,1 VII 1953,,Edf,C,258316,9015,,35855,,33169,,25574,,23946,,21156,,22473,,17178,,16429,,13897,,11443,,9687,,6716,,5450,,3151,,1524,,723,,258,,155,[=>],[85+],,[85+],,[85+],,517
,,,1 VII 1954,,Edf,C,265176,9255,,36805,,34048,,26258,,24581,,21717,,23070,,17634,,16865,,14266,,11747,,9944,,6895,,5595,,3235,,1565,,742,,265,,159,[=>],[85+],,[85+],,[85+],,530
,,,31 XII 1955,,Edf,C,282997,10820,,38140,,40240,,29000,,24150,,22757,,24107,,18481,,17679,,14951,,12321,,10422,,7229,,5865,,3390,,1660,,773,,295,,169,[=>],[85+],,[85+],,[85+],,548
,,,1 VII 1956,,Edf,C,288187,10767,,38852,,41121,,29937,,24358,,23162,,24536,,18810,,17994,,15217,,12540,,10608,,7358,,5969,,3450,,1689,,787,,301,,172,[=>],[85+],,[85+],,[85+],,559
,,,1 VII 1957,,Edf,C,297656,11833,,40709,,42686,,32052,,24855,,25175,,22818,,20009,,17753,,15571,,13388,,10769,,8149,,5530,,3347,,1601,,873,,291,,247,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,305300,10800,,42300,,45300,,34700,,25600,,25000,,21700,,23300,,17800,,14500,,13400,,9900,,8400,,5300,,3700,,2300,,800,,300,,200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,314100,10850,,43800,,46500,,37000,,26800,,24800,,22200,,23300,,19400,,14100,,14000,,9900,,8500,,5500,,3700,,2400,,900,,300,,150,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,322900,11350,,44800,,47600,,39400,,28100,,24800,,22700,,22800,,20800,,14300,,14200,,10300,,8300,,5800,,3700,,2500,,950,,300,,200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1961,,Edf,C,331650,11400,,45250,,49800,,41200,,29700,,24700,,23400,,22000,,21900,,14850,,14300,,10750,,8400,,6100,,3850,,2500,,1050,,300,,200,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1962,,Cdf,C,342306,11786,,44869,,52715,,46166,,31107,,23574,,22014,,19877,,21756,,16592,,15073,,12011,,9325,,7038,,4111,,2465,,1070,,427,,183,[=>],[85+],,[85+],,[85+],,147
,,,1 VII 1963,,Edf,C,352350,12800,,47100,,52350,,48200,,34550,,23350,,22700,,19400,,22050,,17000,,15250,,12100,,9500,,7300,,4400,,2550,,1250,,400,,100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,362800,13250,,48100,,53550,,50100,,36300,,24850,,22600,,19600,,21800,,18150,,15000,,13200,,9600,,7450,,4750,,2600,,1350,,450,,100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,372100,12850,,49400,,55200,,50500,,38550,,26450,,23050,,19700,,21350,,19400,,14650,,13900,,9450,,7850,,4950,,2850,,1350,,550,,100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,381000,12950,,50250,,55650,,50300,,43150,,27850,,22700,,20100,,20250,,20400,,15500,,13800,,10050,,7700,,5350,,2900,,1400,,600,,100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,388100,11720,,49780,,56750,,51650,,45150,,30050,,22650,,21250,,19200,,20850,,15750,,13900,,10700,,7900,,5600,,2900,,1500,,650,,150,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,395050,11550,,97400,,58000,,51350,,47250,,33500,,22350,,21900,,18700,,21100,,16150,,14200,,10800,,8100,,5800,,3200,,1600,,650,,150,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,400500,10550,,46800,,59200,,52350,,48900,,35150,,23700,,21700,,18750,,20700,,17200,,13900,,11800,,8100,,5900,,3400,,1550,,700,,150,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,C,407000,11100,,44450,,59900,,53750,,49100,,37350,,25300,,22050,,18900,,20400,,18350,,13600,,12450,,7950,,6200,,3450,,1800,,700,,200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,412950,10050,,42950,,60850,,54250,,49000,,41800,,26650,,21700,,19300,,19350,,19350,,14400,,12400,,8400,,6050,,3750,,1800,,700,,200,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1972,,Cdf,C,413580,9763,,41498,,59972,,56150,,50226,,40150,,26204,,21168,,20751,,18310,,20139,,14535,,12617,,9213,,6067,,3673,,1684,,766,,285,[=>],[85+],,[85+],,[85+],,409
,,,1 VII 1973,,Edf,C,417571,9521,,39654,,58996,,57365,,50474,,42461,,28696,,20565,,21391,,17757,,20499,,14972,,12872,,9318,,6334,,3931,,1849,,712,,204,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,422750,10428,,38874,,56259,,58622,,51724,,44263,,29810,,21527,,21088,,17901,,20068,,16055,,12673,,10101,,6419,,4020,,1979,,706,,233,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edf,C,427584,10862,,38274,,54589,,59330,,53209,,44448,,31544,,22431,,21234,,18140,,19574,,17264,,12350,,10600,,6393,,4229,,2105,,791,,217,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,433055,10231,,39241,,51891,,60143,,53675,,44611,,35650,,23580,,20950,,18740,,18477,,18362,,12881,,10489,,6808,,4127,,2224,,780,,195,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,438944,11025,,39921,,49980,,58945,,54901,,46549,,37695,,25224,,20442,,20013,,17245,,18856,,13021,,10628,,7173,,4143,,2231,,773,,179,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,445299,11636,,41423,,48031,,57977,,56034,,46785,,40046,,27885,,19954,,20683,,16817,,19174,,13212,,10843,,7136,,4280,,2338,,878,,167,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,449086,12000,,42799,,48015,,55108,,57021,,47481,,41641,,28289,,19846,,20845,,16879,,18613,,14698,,10645,,7528,,4226,,2360,,944,,148,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,455031,12550,,44406,,48008,,53026,,57659,,48790,,41808,,30658,,21125,,20196,,16643,,18107,,16223,,10263,,7893,,4030,,2536,,925,,185,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1981,,Edf,C,459675,11830,,46345,,48119,,50560,,58193,,50291,,41558,,33897,,21834,,18870,,16987,,16649,,17378,,11137,,8244,,4300,,2306,,1062,,115,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,465186,10958,,47358,,50140,,48707,,56952,,50584,,42572,,36178,,23507,,18185,,18684,,15554,,17924,,11264,,8471,,4715,,2218,,1097,,118,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1983,,Edf,C,468301,10206,,46846,,52326,,46886,,55660,,52526,,42269,,38172,,25527,,17678,,18950,,14770,,17528,,11743,,8703,,4891,,2338,,1110,,172,[=>],[85+],,[85+],,[85+],,-
,,,2 VII 1983,,Cdf,C,481368,9975,,46196,,52488,,48131,,57431,,53077,,44708,,39230,,26955,,19952,,19285,,16159,,17281,,11878,,8658,,5233,,2718,,1158,,447,[=>],[85+],,[85+],,[85+],,408
,,,1 VII 1984,,Edf,C,488349,9719,,45334,,54756,,48151,,54919,,54506,,46605,,40744,,28032,,21121,,19411,,16801,,16940,,12720,,8645,,5585,,2846,,1095,,419,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,493900,9288,,42804,,56458,,48310,,53751,,55607,,47586,,40933,,29662,,22329,,19992,,17467,,16797,,14138,,8477,,5862,,2799,,1217,,423,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1986,,Edf,C,497659,9047,,39819,,58130,,48385,,51624,,56705,,47446,,41358,,34267,,22906,,19073,,18568,,15917,,15090,,8650,,6027,,2899,,1295,,453,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1987,,Edf,C,501221,9307,,38199,,57864,,50743,,49840,,55236,,49608,,41710,,36825,,23301,,18822,,19312,,15380,,15265,,8679,,6391,,2867,,1420,,452,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1988,,Edf,C,506710,9680,,36886,,56608,,53226,,47556,,54389,,52081,,42977,,37549,,25382,,19182,,19509,,15620,,15235,,9208,,6843,,2838,,1387,,554,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1989,,Edf,C,510627,10420,,37439,,54748,,54829,,47470,,52850,,52870,,44012,,37277,,26307,,20646,,19201,,15704,,15304,,9971,,6498,,3290,,1260,,531,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1991,,Edj,C,517195,49670,[=>],[0-4],,47765,,56060,,47651,,48506,,53381,,47001,,40782,,33007,,21847,,17806,,15572,,13510,,11796,,6510,,3923,,1662,,746,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1993,,Edj,C,532599,10817,,42242,,46118,,54662,,51502,,45964,,52950,,49501,,43002,,37226,,25353,,17811,,16444,,12732,,12315,,7151,,4251,,1729,,829,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1994,,Edj,C,539715,10392,,43051,,46720,,52823,,52821,,46718,,51404,,51237,,44167,,38840,,26467,,19046,,16060,,13059,,12111,,7787,,4169,,2002,,841,[=>],[85+],,[85+],,[85+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1949,,Edf,C,237168,6943,,22216,,28305,,26004,,27189,,23441,,18906,,16198,,13789,,12457,,9832,,9567,,6564,,6036,,3769,,2552,,1190,,800,,462,[=>],[85+],,[85+],,[85+],,948
,,,29 VI 1952,,Cdf,C,249297,8611,,34382,,32227,,24713,,23085,,21496,,21133,,15637,,14547,,11605,,9405,,8490,,6578,,6319,,4878,,2770,,1640,,771,,427,[=>],[85+],,[85+],,[85+],,583
,,,1 VII 1953,,Edf,C,258209,8908,,35606,,33386,,25589,,23910,,22258,,21896,,16190,,15079,,12033,,9734,,8805,,6817,,6534,,5061,,2866,,1704,,800,,439,[=>],[85+],,[85+],,[85+],,594
,,,1 VII 1954,,Edf,C,265285,9152,,36583,,34301,,26290,,24565,,22868,,22496,,16633,,15493,,12362,,10001,,9046,,7004,,6712,,5200,,2945,,1751,,822,,451,[=>],[85+],,[85+],,[85+],,610
,,,31 XII 1955,,Edf,C,276935,10600,,37480,,39440,,29200,,24190,,23151,,22771,,16840,,15670,,12501,,10134,,9141,,7087,,6801,,5264,,2979,,1768,,830,,462,[=>],[85+],,[85+],,[85+],,626
,,,1 VII 1956,,Edf,C,280699,10531,,38220,,40190,,30143,,24309,,23369,,22985,,16998,,15818,,12618,,10229,,9227,,7154,,6865,,5314,,3007,,1785,,838,,467,[=>],[85+],,[85+],,[85+],,632
,,,1 VII 1957,,Edf,C,290216,11487,,40043,,41680,,32124,,24659,,25072,,21454,,18368,,15705,,13462,,11499,,9816,,8133,,6450,,4487,,2944,,1543,,841,,449,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,298200,10800,,41500,,44100,,34250,,25200,,23300,,21100,,21400,,16100,,13900,,11800,,8900,,8000,,5800,,4900,,4000,,1800,,850,,500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,307100,10850,,42800,,45400,,36400,,26500,,23500,,21300,,21600,,17300,,13700,,12500,,9000,,8200,,5900,,4750,,4100,,2000,,800,,500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,315800,11075,,43800,,46400,,38500,,28000,,23800,,21700,,21600,,18600,,13800,,12900,,9300,,8100,,6200,,4700,,4000,,2100,,800,,425,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1961,,Edf,C,324650,11075,,44150,,48700,,40100,,29650,,24000,,22100,,21150,,19700,,14100,,13400,,9750,,8200,,6400,,4700,,3850,,2300,,825,,500,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1962,,Cdf,C,339313,11673,,43746,,51914,,45807,,31043,,23723,,22174,,19334,,20111,,14987,,13398,,10593,,9224,,7715,,5571,,3992,,2231,,1186,,723,[=>],[85+],,[85+],,[85+],,168
,,,1 VII 1963,,Edf,C,349100,12350,,46000,,51550,,47800,,34500,,23400,,22950,,19050,,20650,,15400,,13600,,10600,,9300,,7850,,6050,,4200,,2450,,1100,,300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,359300,13050,,46800,,52450,,49700,,36300,,24800,,23000,,19200,,20650,,16450,,13400,,11650,,9300,,7950,,6200,,4300,,2600,,1200,,300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,368950,12550,,48300,,53800,,50050,,38500,,26400,,23450,,19550,,20500,,17750,,13300,,12200,,9100,,8250,,6250,,4700,,2650,,1300,,350,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,378100,12800,,49300,,54250,,49700,,42800,,27900,,23000,,20150,,19550,,18850,,14100,,12250,,9500,,8150,,6500,,4800,,2750,,1400,,350,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,385500,11380,,48870,,55650,,51000,,44800,,29950,,22800,,21500,,18600,,19450,,14400,,12750,,9900,,8350,,6600,,4750,,2900,,1500,,350,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,392350,11400,,95600,,56450,,50750,,46850,,33350,,22350,,22200,,18300,,19950,,14800,,12950,,9900,,8500,,6750,,5000,,3050,,1600,,400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,398200,10250,,46000,,57900,,51450,,48600,,35050,,23600,,22100,,18350,,19900,,15800,,12700,,10900,,8400,,6800,,5100,,3200,,1650,,450,[=>],[85+],,[85+],,[85+],,-
